Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
BBAS3,04/01/2011,31.4,02/11/2010,31/12/2010,31.1,20/01/2011,12,0.4250,0.0000,0.5750,1,1,1
BBAS3,05/01/2011,31.53,04/11/2010,04/01/2011,31.77,15/01/2011,8,0.3684,0.0000,0.6316,0,1,0
BBAS3,06/01/2011,31.98,05/11/2010,05/01/2011,31.4,18/01/2011,8,0.4324,0.0000,0.5676,1,1,1
BBAS3,07/01/2011,31.7,06/11/2010,06/01/2011,31.55,19/01/2011,8,0.4579,0.0000,0.5421,1,1,1
BBAS3,08/01/2011,30.95,09/11/2010,07/01/2011,31.1,20/01/2011,8,0.4250,0.0000,0.5750,0,1,1
BBAS3,11/01/2011,31,10/11/2010,08/01/2011,30.89,21/01/2011,8,0.4250,0.0000,0.5750,1,1,0
BBAS3,12/01/2011,31.37,11/11/2010,11/01/2011,30.75,22/01/2011,8,0.4793,0.0000,0.5207,-1,-1,-1
BBAS3,13/01/2011,31.92,12/11/2010,12/01/2011,31.03,25/01/2011,8,0.4750,0.0000,0.5250,1,1,1
BBAS3,14/01/2011,31.6,13/11/2010,13/01/2011,31,27/01/2011,8,0.4750,0.0000,0.5250,1,1,1
BBAS3,15/01/2011,31.77,17/11/2010,14/01/2011,31,28/01/2011,8,0.4500,0.0000,0.5500,1,1,1
BBAS3,18/01/2011,31.4,18/11/2010,15/01/2011,30.36,29/01/2011,8,0.4750,0.0000,0.5250,1,1,1
BBAS3,19/01/2011,31.55,19/11/2010,18/01/2011,29.76,01/02/2011,8,0.4211,0.0000,0.5789,1,1,1
BBAS3,20/01/2011,31.1,20/11/2010,19/01/2011,29.9,02/02/2011,8,0.4793,0.0000,0.5207,-1,-1,-1
BBAS3,21/01/2011,30.89,23/11/2010,20/01/2011,30.36,29/01/2011,5,0.4500,0.0000,0.5500,1,1,1
BBAS3,22/01/2011,30.75,24/11/2010,21/01/2011,29.26,04/02/2011,8,0.4211,0.0000,0.5789,1,1,1
BBAS3,25/01/2011,31.03,25/11/2010,22/01/2011,28.1,05/02/2011,8,0.3965,0.0000,0.6035,1,1,1
BBAS3,27/01/2011,31,26/11/2010,25/01/2011,29.58,03/02/2011,5,0.4250,0.0000,0.5750,1,1,1
BBAS3,28/01/2011,31,27/11/2010,27/01/2011,29.76,01/02/2011,2,0.3750,0.0000,0.6250,1,1,1
BBAS3,29/01/2011,30.36,30/11/2010,28/01/2011,29.18,03/03/2011,23,0.3659,0.0488,0.5854,1,1,1
BBAS3,01/02/2011,29.76,01/12/2010,29/01/2011,28.28,08/02/2011,5,0.3617,0.0255,0.6128,1,1,1
BBAS3,02/02/2011,29.9,02/12/2010,01/02/2011,29.58,12/02/2011,8,0.3500,0.0250,0.6250,1,1,0
BBAS3,03/02/2011,29.58,03/12/2010,02/02/2011,29.77,15/02/2011,8,0.4030,0.0239,0.5731,0,0,0
BBAS3,04/02/2011,29.26,04/12/2010,03/02/2011,30.4,16/02/2011,8,0.3750,0.0250,0.6000,0,0,0
