Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
BBDC4,04/01/2011,33.04,02/11/2010,31/12/2010,32.95,14/01/2011,8,0.4250,0.0000,0.5750,1,0,1
BBDC4,05/01/2011,33.33,04/11/2010,04/01/2011,33.26,15/01/2011,8,0.4250,0.0000,0.5750,1,1,1
BBDC4,06/01/2011,33.95,05/11/2010,05/01/2011,32.8,18/01/2011,8,0.4250,0.0000,0.5750,1,1,1
BBDC4,07/01/2011,33.05,06/11/2010,06/01/2011,32.83,19/01/2011,8,0.4250,0.0000,0.5750,1,1,1
BBDC4,08/01/2011,32.49,09/11/2010,07/01/2011,32.44,20/01/2011,8,0.4000,0.0000,0.6000,1,1,1
BBDC4,11/01/2011,32.55,10/11/2010,08/01/2011,31.86,21/01/2011,8,0.3684,0.0000,0.6316,1,1,1
BBDC4,12/01/2011,32.72,11/11/2010,11/01/2011,31.6,22/01/2011,8,0.4324,0.0000,0.5676,1,1,1
BBDC4,13/01/2011,33.36,12/11/2010,12/01/2011,32.09,25/01/2011,8,0.4579,0.0000,0.5421,1,1,1
BBDC4,14/01/2011,32.95,13/11/2010,13/01/2011,31.9,27/01/2011,8,0.4832,0.0000,0.5168,-1,-1,-1
BBDC4,15/01/2011,33.26,17/11/2010,14/01/2011,32.03,28/01/2011,8,0.4500,0.0000,0.5500,1,1,1
BBDC4,18/01/2011,32.8,18/11/2010,15/01/2011,31.27,29/01/2011,8,0.4750,0.0000,0.5250,1,1,1
BBDC4,19/01/2011,32.83,19/11/2010,18/01/2011,30.8,01/02/2011,8,0.4211,0.0000,0.5789,1,1,1
BBDC4,20/01/2011,32.44,20/11/2010,19/01/2011,30.84,02/02/2011,8,0.4793,0.0000,0.5207,-1,-1,-1
BBDC4,21/01/2011,31.86,23/11/2010,20/01/2011,31.27,29/01/2011,5,0.4500,0.0000,0.5500,1,1,1
BBDC4,22/01/2011,31.6,24/11/2010,21/01/2011,30.21,04/02/2011,8,0.4211,0.0000,0.5789,1,1,1
BBDC4,25/01/2011,32.09,25/11/2010,22/01/2011,29.2,05/02/2011,8,0.4250,0.0000,0.5750,1,1,1
BBDC4,27/01/2011,31.9,26/11/2010,25/01/2011,29.5,08/02/2011,8,0.4793,0.0000,0.5207,-1,-1,-1
BBDC4,28/01/2011,32.03,27/11/2010,27/01/2011,30.21,04/02/2011,5,0.4500,0.0000,0.5500,1,1,1
BBDC4,29/01/2011,31.27,30/11/2010,28/01/2011,29.2,05/02/2011,5,0.5013,0.0000,0.4987,-1,-1,-1
BBDC4,01/02/2011,30.8,01/12/2010,29/01/2011,29.5,08/02/2011,5,0.4488,0.0000,0.5512,1,1,1
BBDC4,02/02/2011,30.84,02/12/2010,01/02/2011,30.3,09/02/2011,5,0.4241,0.0000,0.5759,1,1,1
BBDC4,03/02/2011,30.45,03/12/2010,02/02/2011,29.74,10/02/2011,5,0.4762,0.0000,0.5238,-1,-1,-1
BBDC4,04/02/2011,30.21,04/12/2010,03/02/2011,30.3,09/02/2011,3,0.4500,0.0000,0.5500,0,1,1
BBDC4,05/02/2011,29.2,07/12/2010,04/02/2011,29.74,10/02/2011,3,0.4500,0.0000,0.5500,0,0,0
BBDC4,08/02/2011,29.5,08/12/2010,05/02/2011,29.8,11/02/2011,3,0.4500,0.0000,0.5500,0,0,0
BBDC4,09/02/2011,30.3,09/12/2010,08/02/2011,31.39,16/02/2011,5,0.4988,0.0000,0.5012,-1,-1,-1
BBDC4,10/02/2011,29.74,10/12/2010,09/02/2011,32.24,17/02/2011,5,0.5238,0.0000,0.4762,-1,-1,-1
BBDC4,11/02/2011,29.8,11/12/2010,10/02/2011,32.28,18/02/2011,5,0.4762,0.0000,0.5238,-1,-1,-1
BBDC4,12/02/2011,30.9,14/12/2010,11/02/2011,31,24/02/2011,8,0.5000,0.0000,0.5000,-1,-1,-1
BBDC4,15/02/2011,30.98,15/12/2010,12/02/2011,31.68,22/02/2011,5,0.5238,0.0000,0.4762,-1,-1,-1
BBDC4,16/02/2011,31.39,16/12/2010,15/02/2011,30.88,23/02/2011,5,0.5487,0.0000,0.4513,0,0,0
BBDC4,17/02/2011,32.24,17/12/2010,16/02/2011,31.68,22/02/2011,3,0.5500,0.0000,0.4500,0,0,0
BBDC4,18/02/2011,32.28,18/12/2010,17/02/2011,31.17,25/02/2011,5,0.5759,0.0000,0.4241,0,0,0
BBDC4,19/02/2011,32.1,21/12/2010,18/02/2011,31.29,26/02/2011,5,0.5750,0.0000,0.4250,0,0,0
BBDC4,22/02/2011,31.68,22/12/2010,19/02/2011,32,01/03/2011,5,0.5238,0.0000,0.4762,-1,-1,-1
BBDC4,23/02/2011,30.88,23/12/2010,22/02/2011,31.5,02/03/2011,5,0.5250,0.0000,0.4750,1,1,1
BBDC4,24/02/2011,31,24/12/2010,23/02/2011,31.47,03/03/2011,5,0.5250,0.0000,0.4750,1,1,1
BBDC4,25/02/2011,31.17,28/12/2010,24/02/2011,32.03,04/03/2011,5,0.5759,0.0000,0.4241,1,1,1
BBDC4,26/02/2011,31.29,29/12/2010,25/02/2011,32.1,05/03/2011,5,0.5750,0.0000,0.4250,1,1,0
BBDC4,01/03/2011,32,30/12/2010,26/02/2011,31.38,10/03/2011,5,0.5750,0.0000,0.4250,0,0,0
BBDC4,02/03/2011,31.5,31/12/2010,01/03/2011,30.22,11/03/2011,5,0.5750,0.0000,0.4250,0,0,0
BBDC4,03/03/2011,31.47,04/01/2011,02/03/2011,30.5,12/03/2011,5,0.5238,0.0000,0.4762,-1,-1,-1
BBDC4,04/03/2011,32.03,05/01/2011,03/03/2011,30.69,15/03/2011,5,0.4987,0.0000,0.5013,-1,-1,-1
BBDC4,05/03/2011,32.1,06/01/2011,04/03/2011,30.99,16/03/2011,5,0.5512,0.0000,0.4488,0,0,0
BBDC4,10/03/2011,31.38,07/01/2011,05/03/2011,30.4,17/03/2011,5,0.5759,0.0000,0.4241,0,0,0
BBDC4,11/03/2011,30.22,08/01/2011,10/03/2011,30.4,18/03/2011,5,0.5238,0.0000,0.4762,-1,-1,-1
BBDC4,12/03/2011,30.5,11/01/2011,11/03/2011,30.8,19/03/2011,5,0.4987,0.0000,0.5013,-1,-1,-1
BBDC4,15/03/2011,30.69,12/01/2011,12/03/2011,30.4,18/03/2011,3,0.5250,0.0000,0.4750,0,1,1
BBDC4,16/03/2011,30.99,13/01/2011,15/03/2011,32.1,23/03/2011,5,0.5512,0.0000,0.4488,1,1,1
BBDC4,17/03/2011,30.4,14/01/2011,16/03/2011,31.67,24/03/2011,5,0.5500,0.0000,0.4500,1,1,1
BBDC4,18/03/2011,30.4,15/01/2011,17/03/2011,31.65,25/03/2011,5,0.5250,0.0000,0.4750,1,1,1
BBDC4,19/03/2011,30.8,18/01/2011,18/03/2011,33.04,06/04/2011,12,0.5122,0.0488,0.4390,1,1,1
BBDC4,22/03/2011,31.07,19/01/2011,19/03/2011,33.35,01/04/2011,8,0.5401,0.0242,0.4357,1,1,1
BBDC4,23/03/2011,32.1,20/01/2011,22/03/2011,33.5,02/04/2011,8,0.5650,0.0242,0.4109,1,1,1
BBDC4,24/03/2011,31.67,21/01/2011,23/03/2011,33.2,05/04/2011,8,0.5897,0.0241,0.3861,1,1,1
BBDC4,25/03/2011,31.65,22/01/2011,24/03/2011,33.04,06/04/2011,8,0.5460,0.0267,0.4273,1,1,1
BBDC4,26/03/2011,31.62,25/01/2011,25/03/2011,32.91,07/04/2011,8,0.5340,0.0259,0.4401,1,1,1
BBDC4,29/03/2011,31.49,27/01/2011,26/03/2011,33.15,08/04/2011,8,0.5168,0.0268,0.4564,1,1,1
BBDC4,30/03/2011,31.47,28/01/2011,29/03/2011,31.64,15/04/2011,12,0.5065,0.0260,0.4675,-1,-1,-1
BBDC4,31/03/2011,32.45,29/01/2011,30/03/2011,31.5,16/04/2011,12,0.5065,0.0260,0.4675,-1,-1,-1
BBDC4,01/04/2011,33.35,01/02/2011,31/03/2011,31.85,13/04/2011,8,0.5500,0.0250,0.4250,0,0,0
