Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
BRFS3,04/01/2011,27.14,02/11/2010,31/12/2010,28.2,14/01/2011,8,0.5107,0.0258,0.4635,-1,-1,-1
BRFS3,05/01/2011,27.41,04/11/2010,04/01/2011,28.82,12/01/2011,5,0.4857,0.0257,0.4886,-1,-1,-1
BRFS3,06/01/2011,28,05/11/2010,05/01/2011,28.65,13/01/2011,5,0.5135,0.0243,0.4622,1,1,0
BRFS3,07/01/2011,28.15,06/11/2010,06/01/2011,28.2,14/01/2011,5,0.5135,0.0243,0.4622,1,0,0
BRFS3,08/01/2011,28.48,09/11/2010,07/01/2011,27.9,15/01/2011,5,0.5135,0.0243,0.4622,0,0,1
BRFS3,11/01/2011,28.47,10/11/2010,08/01/2011,28.03,18/01/2011,5,0.5135,0.0243,0.4622,0,1,1
BRFS3,12/01/2011,28.82,11/11/2010,11/01/2011,28.2,22/01/2011,8,0.4750,0.0250,0.5000,-1,-1,-1
BRFS3,13/01/2011,28.65,12/11/2010,12/01/2011,28.55,25/01/2011,8,0.5263,0.0237,0.4500,0,1,0
BRFS3,14/01/2011,28.2,13/11/2010,13/01/2011,28.68,27/01/2011,8,0.5000,0.0250,0.4750,-1,-1,-1
BRFS3,15/01/2011,27.9,17/11/2010,14/01/2011,28.2,28/01/2011,8,0.5000,0.0250,0.4750,-1,-1,-1
BRFS3,18/01/2011,28.03,18/11/2010,15/01/2011,28.55,25/01/2011,5,0.4872,0.0256,0.4872,-1,-1,-1
BRFS3,19/01/2011,29.17,19/11/2010,18/01/2011,27.35,01/02/2011,8,0.5263,0.0237,0.4500,0,0,0
BRFS3,20/01/2011,28.85,20/11/2010,19/01/2011,27.93,02/02/2011,8,0.5512,0.0236,0.4252,0,0,0
BRFS3,21/01/2011,29.05,23/11/2010,20/01/2011,27.47,03/02/2011,8,0.5250,0.0250,0.4500,0,0,0
BRFS3,22/01/2011,28.2,24/11/2010,21/01/2011,27.56,04/02/2011,8,0.5620,0.0243,0.4136,0,0,0
BRFS3,25/01/2011,28.55,25/11/2010,22/01/2011,27.25,05/02/2011,8,0.5250,0.0250,0.4500,0,0,0
BRFS3,27/01/2011,28.68,26/11/2010,25/01/2011,27.07,12/02/2011,12,0.5735,0.0237,0.4028,0,0,0
BRFS3,28/01/2011,28.2,27/11/2010,27/01/2011,27.37,09/02/2011,8,0.5869,0.0243,0.3888,0,0,0
BRFS3,29/01/2011,27.42,30/11/2010,28/01/2011,26.75,10/02/2011,8,0.5385,0.0256,0.4359,0,0,0
BRFS3,01/02/2011,27.35,01/12/2010,29/01/2011,27.6,08/02/2011,5,0.5134,0.0256,0.4610,1,1,0
BRFS3,02/02/2011,27.93,02/12/2010,01/02/2011,27.07,12/02/2011,8,0.4884,0.0256,0.4860,-1,-1,-1
BRFS3,03/02/2011,27.47,03/12/2010,02/02/2011,27.33,15/02/2011,8,0.5238,0.0238,0.4524,0,1,1
BRFS3,04/02/2011,27.56,04/12/2010,03/02/2011,27.7,16/02/2011,8,0.5000,0.0250,0.4750,-1,-1,-1
BRFS3,05/02/2011,27.25,07/12/2010,04/02/2011,28.8,02/03/2011,17,0.5600,0.0000,0.4400,1,1,1
BRFS3,08/02/2011,27.6,08/12/2010,05/02/2011,28.71,18/02/2011,8,0.5250,0.0000,0.4750,1,1,1
BRFS3,09/02/2011,27.37,09/12/2010,08/02/2011,29.65,19/02/2011,8,0.5500,0.0000,0.4500,1,1,1
BRFS3,10/02/2011,26.75,10/12/2010,09/02/2011,29.7,22/02/2011,8,0.5050,0.0000,0.4950,-1,-1,-1
BRFS3,11/02/2011,26.57,11/12/2010,10/02/2011,29.25,23/02/2011,8,0.5000,0.0000,0.5000,-1,-1,-1
BRFS3,12/02/2011,27.07,14/12/2010,11/02/2011,28.68,24/02/2011,8,0.4783,0.0000,0.5217,-1,-1,-1
BRFS3,15/02/2011,27.33,15/12/2010,12/02/2011,28.8,25/02/2011,8,0.5217,0.0000,0.4783,-1,-1,-1
BRFS3,16/02/2011,27.7,16/12/2010,15/02/2011,28.65,26/02/2011,8,0.5250,0.0000,0.4750,1,1,1
BRFS3,17/02/2011,28.73,17/12/2010,16/02/2011,28.9,01/03/2011,8,0.5250,0.0000,0.4750,1,1,1
BRFS3,18/02/2011,28.71,18/12/2010,17/02/2011,28.8,25/02/2011,5,0.5487,0.0000,0.4513,1,0,1
BRFS3,19/02/2011,29.65,21/12/2010,18/02/2011,28.65,26/02/2011,5,0.5012,0.0000,0.4988,-1,-1,-1
BRFS3,22/02/2011,29.7,22/12/2010,19/02/2011,28.8,04/03/2011,8,0.5250,0.0000,0.4750,0,0,0
BRFS3,23/02/2011,29.25,23/12/2010,22/02/2011,28.5,05/03/2011,8,0.5250,0.0000,0.4750,0,0,0
BRFS3,24/02/2011,28.68,24/12/2010,23/02/2011,28.83,10/03/2011,8,0.5000,0.0000,0.5000,-1,-1,-1
BRFS3,25/02/2011,28.8,28/12/2010,24/02/2011,28.8,04/03/2011,5,0.4762,0.0000,0.5238,-1,-1,-1
BRFS3,26/02/2011,28.65,29/12/2010,25/02/2011,28.5,05/03/2011,5,0.5238,0.0000,0.4762,-1,-1,-1
BRFS3,01/03/2011,28.9,30/12/2010,26/02/2011,28.8,15/03/2011,8,0.5000,0.0000,0.5000,-1,-1,-1
BRFS3,02/03/2011,28.8,31/12/2010,01/03/2011,29.08,16/03/2011,8,0.5466,0.0000,0.4534,1,0,0
BRFS3,03/03/2011,28.89,04/01/2011,02/03/2011,28.21,17/03/2011,8,0.5033,0.0000,0.4967,-1,-1,-1
BRFS3,04/03/2011,28.8,05/01/2011,03/03/2011,28.44,18/03/2011,8,0.5250,0.0000,0.4750,0,0,1
BRFS3,05/03/2011,28.5,06/01/2011,04/03/2011,28.6,19/03/2011,8,0.4800,0.0000,0.5200,-1,-1,-1
BRFS3,10/03/2011,28.83,07/01/2011,05/03/2011,29.15,22/03/2011,8,0.4551,0.0000,0.5449,0,0,0
BRFS3,11/03/2011,28.56,08/01/2011,10/03/2011,28.96,23/03/2011,8,0.4950,0.0000,0.5050,-1,-1,-1
BRFS3,12/03/2011,28.8,11/01/2011,11/03/2011,29.94,24/03/2011,8,0.4551,0.0000,0.5449,0,0,0
BRFS3,15/03/2011,28.8,12/01/2011,12/03/2011,30.39,25/03/2011,8,0.4950,0.0000,0.5050,-1,-1,-1
BRFS3,16/03/2011,29.08,13/01/2011,15/03/2011,30.05,08/04/2011,17,0.4634,0.0488,0.4878,-1,-1,-1
BRFS3,17/03/2011,28.21,14/01/2011,16/03/2011,31.19,02/04/2011,12,0.5093,0.0255,0.4652,-1,-1,-1
BRFS3,18/03/2011,28.44,15/01/2011,17/03/2011,30.83,05/04/2011,12,0.4810,0.0240,0.4950,-1,-1,-1
BRFS3,19/03/2011,28.6,18/01/2011,18/03/2011,31.1,06/04/2011,12,0.5000,0.0250,0.4750,-1,-1,-1
BRFS3,22/03/2011,29.15,19/01/2011,19/03/2011,30.6,07/04/2011,12,0.5093,0.0255,0.4652,-1,-1,-1
BRFS3,23/03/2011,28.96,20/01/2011,22/03/2011,30.05,08/04/2011,12,0.5250,0.0250,0.4500,1,1,1
BRFS3,24/03/2011,29.94,21/01/2011,23/03/2011,30.83,05/04/2011,8,0.4903,0.0245,0.4852,-1,-1,-1
BRFS3,25/03/2011,30.39,22/01/2011,24/03/2011,29.9,12/04/2011,12,0.5250,0.0250,0.4500,0,0,0
BRFS3,26/03/2011,30.45,25/01/2011,25/03/2011,29.74,13/04/2011,12,0.5250,0.0250,0.4500,0,0,1
BRFS3,29/03/2011,30.15,27/01/2011,26/03/2011,30.05,08/04/2011,8,0.5350,0.0255,0.4395,0,0,0
BRFS3,30/03/2011,30.2,28/01/2011,29/03/2011,29.8,09/04/2011,8,0.5153,0.0245,0.4601,0,0,0
BRFS3,31/03/2011,30.4,29/01/2011,30/03/2011,30.75,16/04/2011,12,0.5591,0.0254,0.4154,1,1,1
BRFS3,01/04/2011,30.83,01/02/2011,31/03/2011,30.95,19/04/2011,12,0.5750,0.0250,0.4000,1,0,1
BRFS3,02/04/2011,31.19,02/02/2011,01/04/2011,30.33,14/04/2011,8,0.5847,0.0254,0.3898,0,0,0
BRFS3,05/04/2011,30.83,03/02/2011,02/04/2011,30.78,15/04/2011,8,0.6000,0.0250,0.3750,0,0,1
BRFS3,06/04/2011,31.1,04/02/2011,05/04/2011,30.75,16/04/2011,8,0.5647,0.0246,0.4107,0,0,0
BRFS3,07/04/2011,30.6,05/02/2011,06/04/2011,30.95,19/04/2011,8,0.6000,0.0250,0.3750,1,1,1
BRFS3,08/04/2011,30.05,08/02/2011,07/04/2011,30.7,20/04/2011,8,0.5647,0.0246,0.4107,1,1,1
BRFS3,09/04/2011,29.8,09/02/2011,08/04/2011,31.4,21/04/2011,8,0.5647,0.0246,0.4107,1,1,1
