Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
ALPA4,05/01/2021,41.65,04/01/2011,31/12/2020,39.81,12/01/2021,5,0.4992,0.0356,0.4652,-1,-1,-1
ALPA4,06/01/2021,41.67,05/01/2011,05/01/2021,39.66,13/01/2021,5,0.4988,0.0356,0.4656,-1,-1,-1
ALPA4,07/01/2021,39.4,06/01/2011,06/01/2021,39.94,14/01/2021,5,0.4992,0.0356,0.4652,-1,-1,-1
ALPA4,08/01/2021,38.7,07/01/2011,07/01/2021,41.1,15/01/2021,5,0.4984,0.0356,0.4660,-1,-1,-1
ALPA4,09/01/2021,40.7,08/01/2011,08/01/2021,41.09,16/01/2021,5,0.4980,0.0356,0.4664,-1,-1,-1
ALPA4,12/01/2021,39.81,11/01/2011,09/01/2021,42.22,19/01/2021,5,0.4984,0.0356,0.4660,-1,-1,-1
ALPA4,13/01/2021,39.66,12/01/2011,12/01/2021,42,20/01/2021,5,0.4976,0.0356,0.4668,-1,-1,-1
ALPA4,14/01/2021,39.94,13/01/2011,13/01/2021,41.9,21/01/2021,5,0.4972,0.0356,0.4672,-1,-1,-1
ALPA4,15/01/2021,41.1,14/01/2011,14/01/2021,41.2,22/01/2021,5,0.4976,0.0356,0.4669,-1,-1,-1
ALPA4,16/01/2021,41.09,15/01/2011,15/01/2021,40.46,23/01/2021,5,0.4976,0.0355,0.4669,-1,-1,-1
ALPA4,19/01/2021,42.22,18/01/2011,16/01/2021,40.83,27/01/2021,5,0.4972,0.0351,0.4676,-1,-1,-1
ALPA4,20/01/2021,42,19/01/2011,19/01/2021,40.15,28/01/2021,5,0.4976,0.0351,0.4673,-1,-1,-1
ALPA4,21/01/2021,41.9,20/01/2011,20/01/2021,40.35,29/01/2021,5,0.4972,0.0351,0.4676,-1,-1,-1
ALPA4,22/01/2021,41.2,21/01/2011,21/01/2021,38.84,30/01/2021,5,0.4972,0.0351,0.4676,-1,-1,-1
