Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
BTOW3,05/01/2021,75.18,04/01/2011,31/12/2020,71.31,12/01/2021,5,0.4810,0.0109,0.5082,-1,-1,-1
BTOW3,06/01/2021,73.5,05/01/2011,05/01/2021,74.09,13/01/2021,5,0.4806,0.0109,0.5085,-1,-1,-1
BTOW3,07/01/2021,68.41,06/01/2011,06/01/2021,82.15,19/01/2021,8,0.4805,0.0109,0.5086,-1,-1,-1
BTOW3,08/01/2021,67.31,07/01/2011,07/01/2021,80.62,20/01/2021,8,0.4802,0.0109,0.5090,-1,-1,-1
BTOW3,09/01/2021,72,08/01/2011,08/01/2021,81.3,16/01/2021,5,0.4801,0.0109,0.5090,-1,-1,-1
BTOW3,12/01/2021,71.31,11/01/2011,09/01/2021,82.15,19/01/2021,5,0.4806,0.0109,0.5085,-1,-1,-1
BTOW3,13/01/2021,74.09,12/01/2011,12/01/2021,89.31,23/01/2021,8,0.4802,0.0109,0.5090,-1,-1,-1
BTOW3,14/01/2021,75.3,13/01/2011,13/01/2021,87.5,21/01/2021,5,0.4810,0.0109,0.5081,-1,-1,-1
BTOW3,15/01/2021,77.35,14/01/2011,14/01/2021,89.79,22/01/2021,5,0.4814,0.0109,0.5077,-1,-1,-1
BTOW3,16/01/2021,81.3,15/01/2011,15/01/2021,89.31,23/01/2021,5,0.4818,0.0109,0.5073,-1,-1,-1
BTOW3,19/01/2021,82.15,18/01/2011,16/01/2021,85.85,27/01/2021,5,0.4822,0.0109,0.5069,-1,-1,-1
BTOW3,20/01/2021,80.62,19/01/2011,19/01/2021,84.77,28/01/2021,5,0.4826,0.0109,0.5065,-1,-1,-1
BTOW3,21/01/2021,87.5,20/01/2011,20/01/2021,86.2,29/01/2021,5,0.4822,0.0109,0.5069,-1,-1,-1
BTOW3,22/01/2021,89.79,21/01/2011,21/01/2021,82.32,30/01/2021,5,0.4826,0.0109,0.5065,-1,-1,-1
BTOW3,23/01/2021,89.31,22/01/2011,22/01/2021,83.56,02/02/2021,5,0.4830,0.0109,0.5061,-1,-1,-1
BTOW3,27/01/2021,85.85,25/01/2011,23/01/2021,89.3,03/02/2021,5,0.4822,0.0109,0.5069,-1,-1,-1
BTOW3,28/01/2021,84.77,27/01/2011,27/01/2021,90.39,04/02/2021,5,0.4822,0.0109,0.5069,-1,-1,-1
BTOW3,29/01/2021,86.2,28/01/2011,28/01/2021,86.34,05/02/2021,5,0.4822,0.0109,0.5069,-1,-1,-1
BTOW3,30/01/2021,82.32,29/01/2011,29/01/2021,84.51,06/02/2021,5,0.4830,0.0109,0.5061,-1,-1,-1
BTOW3,02/02/2021,83.56,01/02/2011,30/01/2021,84.07,09/02/2021,5,0.4822,0.0109,0.5069,-1,-1,-1
BTOW3,03/02/2021,89.3,02/02/2011,02/02/2021,83,10/02/2021,5,0.4830,0.0109,0.5061,-1,-1,-1
BTOW3,04/02/2021,90.39,03/02/2011,03/02/2021,82.54,11/02/2021,5,0.4834,0.0109,0.5057,-1,-1,-1
BTOW3,05/02/2021,86.34,04/02/2011,04/02/2021,85.6,12/02/2021,5,0.4838,0.0109,0.5053,-1,-1,-1
BTOW3,06/02/2021,84.51,05/02/2011,05/02/2021,85.41,13/02/2021,5,0.4834,0.0109,0.5057,-1,-1,-1
BTOW3,09/02/2021,84.07,08/02/2011,06/02/2021,86.38,18/02/2021,5,0.4834,0.0109,0.5057,-1,-1,-1
BTOW3,10/02/2021,83,09/02/2011,09/02/2021,83,19/02/2021,5,0.4830,0.0109,0.5061,-1,-1,-1
BTOW3,11/02/2021,82.54,10/02/2011,10/02/2021,88.65,20/02/2021,5,0.4830,0.0109,0.5061,-1,-1,-1
BTOW3,12/02/2021,85.6,11/02/2011,11/02/2021,89.67,23/02/2021,5,0.4826,0.0109,0.5065,-1,-1,-1
BTOW3,13/02/2021,85.41,12/02/2011,12/02/2021,85.9,24/02/2021,5,0.4830,0.0109,0.5061,-1,-1,-1
BTOW3,18/02/2021,86.38,15/02/2011,13/02/2021,86.3,25/02/2021,5,0.4826,0.0109,0.5065,-1,-1,-1
BTOW3,19/02/2021,83,16/02/2011,18/02/2021,85.27,26/02/2021,5,0.4834,0.0109,0.5057,-1,-1,-1
