Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
CPFE3,05/01/2021,31.52,04/01/2011,31/12/2020,31.76,15/01/2021,8,0.4947,0.0327,0.4726,-1,-1,-1
CPFE3,06/01/2021,31.37,05/01/2011,05/01/2021,30.68,13/01/2021,5,0.4939,0.0327,0.4733,-1,-1,-1
CPFE3,07/01/2021,31.33,06/01/2011,06/01/2021,31.95,19/01/2021,8,0.4935,0.0327,0.4738,-1,-1,-1
CPFE3,08/01/2021,30.25,07/01/2011,07/01/2021,31.76,15/01/2021,5,0.4931,0.0327,0.4742,-1,-1,-1
CPFE3,09/01/2021,31.42,08/01/2011,08/01/2021,32.24,16/01/2021,5,0.4927,0.0327,0.4746,-1,-1,-1
CPFE3,12/01/2021,30.53,11/01/2011,09/01/2021,31.95,19/01/2021,5,0.4935,0.0327,0.4738,-1,-1,-1
CPFE3,13/01/2021,30.68,12/01/2011,12/01/2021,31.69,20/01/2021,5,0.4927,0.0327,0.4746,-1,-1,-1
CPFE3,14/01/2021,31.03,13/01/2011,13/01/2021,31.41,21/01/2021,5,0.4931,0.0327,0.4742,-1,-1,-1
CPFE3,15/01/2021,31.76,14/01/2011,14/01/2021,31.01,22/01/2021,5,0.4931,0.0327,0.4742,-1,-1,-1
CPFE3,16/01/2021,32.24,15/01/2011,15/01/2021,30.48,23/01/2021,5,0.4931,0.0327,0.4742,-1,-1,-1
CPFE3,19/01/2021,31.95,18/01/2011,16/01/2021,30.37,27/01/2021,5,0.4931,0.0327,0.4742,-1,-1,-1
CPFE3,20/01/2021,31.69,19/01/2011,19/01/2021,30.85,28/01/2021,5,0.4927,0.0327,0.4746,-1,-1,-1
CPFE3,21/01/2021,31.41,20/01/2011,20/01/2021,31.4,29/01/2021,5,0.4927,0.0327,0.4746,-1,-1,-1
CPFE3,22/01/2021,31.01,21/01/2011,21/01/2021,31.11,30/01/2021,5,0.4927,0.0327,0.4746,-1,-1,-1
CPFE3,23/01/2021,30.48,22/01/2011,22/01/2021,31.56,02/02/2021,5,0.4927,0.0327,0.4746,-1,-1,-1
CPFE3,27/01/2021,30.37,25/01/2011,23/01/2021,32.37,03/02/2021,5,0.4923,0.0327,0.4750,-1,-1,-1
CPFE3,28/01/2021,30.85,27/01/2011,27/01/2021,32.72,04/02/2021,5,0.4923,0.0327,0.4750,-1,-1,-1
CPFE3,29/01/2021,31.4,28/01/2011,28/01/2021,33.13,05/02/2021,5,0.4931,0.0327,0.4742,-1,-1,-1
CPFE3,30/01/2021,31.11,29/01/2011,29/01/2021,33.43,06/02/2021,5,0.4935,0.0327,0.4738,-1,-1,-1
CPFE3,02/02/2021,31.56,01/02/2011,30/01/2021,33.5,09/02/2021,5,0.4931,0.0327,0.4742,-1,-1,-1
CPFE3,03/02/2021,32.37,02/02/2011,02/02/2021,33.78,10/02/2021,5,0.4935,0.0327,0.4738,-1,-1,-1
CPFE3,04/02/2021,32.72,03/02/2011,03/02/2021,33.6,11/02/2021,5,0.4939,0.0327,0.4734,-1,-1,-1
CPFE3,05/02/2021,33.13,04/02/2011,04/02/2021,33.75,12/02/2021,5,0.4939,0.0327,0.4734,-1,-1,-1
CPFE3,06/02/2021,33.43,05/02/2011,05/02/2021,33.5,13/02/2021,5,0.4943,0.0327,0.4730,-1,-1,-1
CPFE3,09/02/2021,33.5,08/02/2011,06/02/2021,32.86,18/02/2021,5,0.4943,0.0327,0.4730,-1,-1,-1
CPFE3,10/02/2021,33.78,09/02/2011,09/02/2021,30.48,24/02/2021,8,0.4943,0.0327,0.4730,-1,-1,-1
CPFE3,11/02/2021,33.6,10/02/2011,10/02/2021,29.99,25/02/2021,8,0.4947,0.0327,0.4726,-1,-1,-1
CPFE3,12/02/2021,33.75,11/02/2011,11/02/2021,30.35,23/02/2021,5,0.4939,0.0327,0.4733,-1,-1,-1
CPFE3,13/02/2021,33.5,12/02/2011,12/02/2021,28.86,27/02/2021,8,0.4943,0.0327,0.4730,-1,-1,-1
CPFE3,18/02/2021,32.86,15/02/2011,13/02/2021,29.99,25/02/2021,5,0.4939,0.0327,0.4733,-1,-1,-1
CPFE3,19/02/2021,32.75,16/02/2011,18/02/2021,28.68,03/03/2021,8,0.4935,0.0327,0.4738,-1,-1,-1
CPFE3,20/02/2021,32.63,17/02/2011,19/02/2021,28.86,27/02/2021,5,0.4931,0.0327,0.4742,-1,-1,-1
CPFE3,23/02/2021,30.35,18/02/2011,20/02/2021,28.05,02/03/2021,5,0.4927,0.0327,0.4746,-1,-1,-1
CPFE3,24/02/2021,30.48,19/02/2011,23/02/2021,28.68,03/03/2021,5,0.4923,0.0327,0.4750,-1,-1,-1
CPFE3,25/02/2021,29.99,22/02/2011,24/02/2021,29.04,04/03/2021,5,0.4931,0.0327,0.4742,-1,-1,-1
CPFE3,26/02/2021,29.46,23/02/2011,25/02/2021,29.5,05/03/2021,5,0.4923,0.0327,0.4750,-1,-1,-1
CPFE3,27/02/2021,28.86,24/02/2011,26/02/2021,29.39,06/03/2021,5,0.4923,0.0327,0.4750,-1,-1,-1
CPFE3,02/03/2021,28.05,25/02/2011,27/02/2021,28.47,09/03/2021,5,0.4919,0.0327,0.4754,-1,-1,-1
CPFE3,03/03/2021,28.68,26/02/2011,02/03/2021,28.58,10/03/2021,5,0.4915,0.0327,0.4758,-1,-1,-1
CPFE3,04/03/2021,29.04,01/03/2011,03/03/2021,29.5,11/03/2021,5,0.4919,0.0327,0.4754,-1,-1,-1
CPFE3,05/03/2021,29.5,02/03/2011,04/03/2021,29.71,12/03/2021,5,0.4923,0.0327,0.4750,-1,-1,-1
CPFE3,06/03/2021,29.39,03/03/2011,05/03/2021,29.86,13/03/2021,5,0.4927,0.0327,0.4746,-1,-1,-1
CPFE3,09/03/2021,28.47,04/03/2011,06/03/2021,29.89,16/03/2021,5,0.4923,0.0327,0.4750,-1,-1,-1
CPFE3,10/03/2021,28.58,05/03/2011,09/03/2021,30.37,17/03/2021,5,0.4919,0.0327,0.4754,-1,-1,-1
CPFE3,11/03/2021,29.5,10/03/2011,10/03/2021,31.25,18/03/2021,5,0.4927,0.0327,0.4746,-1,-1,-1
CPFE3,12/03/2021,29.71,11/03/2011,11/03/2021,30.56,19/03/2021,5,0.4927,0.0327,0.4746,-1,-1,-1
CPFE3,13/03/2021,29.86,12/03/2011,12/03/2021,31.68,20/03/2021,5,0.4927,0.0327,0.4746,-1,-1,-1
CPFE3,16/03/2021,29.89,15/03/2011,13/03/2021,31.1,23/03/2021,5,0.4927,0.0327,0.4746,-1,-1,-1
CPFE3,17/03/2021,30.37,16/03/2011,16/03/2021,30.75,24/03/2021,5,0.4927,0.0327,0.4746,-1,-1,-1
CPFE3,18/03/2021,31.25,17/03/2011,17/03/2021,30,25/03/2021,5,0.4931,0.0327,0.4742,-1,-1,-1
CPFE3,19/03/2021,30.56,18/03/2011,18/03/2021,30.77,26/03/2021,5,0.4931,0.0327,0.4742,-1,-1,-1
CPFE3,20/03/2021,31.68,19/03/2011,19/03/2021,30.27,27/03/2021,5,0.4927,0.0327,0.4746,-1,-1,-1
CPFE3,23/03/2021,31.1,22/03/2011,20/03/2021,29.82,30/03/2021,5,0.4931,0.0327,0.4742,-1,-1,-1
CPFE3,24/03/2021,30.75,23/03/2011,23/03/2021,30.09,31/03/2021,5,0.4923,0.0327,0.4750,-1,-1,-1
CPFE3,25/03/2021,30,24/03/2011,24/03/2021,30.42,01/04/2021,5,0.4919,0.0327,0.4754,-1,-1,-1
CPFE3,26/03/2021,30.77,25/03/2011,25/03/2021,30.02,02/04/2021,5,0.4915,0.0327,0.4758,-1,-1,-1
CPFE3,27/03/2021,30.27,26/03/2011,26/03/2021,30.6,06/04/2021,5,0.4919,0.0327,0.4754,-1,-1,-1
CPFE3,30/03/2021,29.82,29/03/2011,27/03/2021,31.12,07/04/2021,5,0.4915,0.0327,0.4758,-1,-1,-1
CPFE3,31/03/2021,30.09,30/03/2011,30/03/2021,30.64,08/04/2021,5,0.4911,0.0327,0.4762,-1,-1,-1
CPFE3,01/04/2021,30.42,31/03/2011,31/03/2021,30.49,09/04/2021,5,0.4915,0.0327,0.4758,-1,-1,-1
CPFE3,02/04/2021,30.02,01/04/2011,01/04/2021,30,10/04/2021,5,0.4915,0.0327,0.4758,-1,-1,-1
CPFE3,06/04/2021,30.6,02/04/2011,02/04/2021,30.65,13/04/2021,5,0.4907,0.0327,0.4766,-1,-1,-1
CPFE3,07/04/2021,31.12,05/04/2011,06/04/2021,30.45,14/04/2021,5,0.4911,0.0327,0.4762,-1,-1,-1
CPFE3,08/04/2021,30.64,06/04/2011,07/04/2021,30.48,15/04/2021,5,0.4915,0.0327,0.4758,-1,-1,-1
CPFE3,09/04/2021,30.49,07/04/2011,08/04/2021,30.55,16/04/2021,5,0.4911,0.0327,0.4762,-1,-1,-1
CPFE3,10/04/2021,30,08/04/2011,09/04/2021,31.23,17/04/2021,5,0.4911,0.0327,0.4762,-1,-1,-1
CPFE3,13/04/2021,30.65,09/04/2011,10/04/2021,31,20/04/2021,5,0.4911,0.0327,0.4762,-1,-1,-1
CPFE3,14/04/2021,30.45,12/04/2011,13/04/2021,30.72,21/04/2021,5,0.4919,0.0327,0.4754,-1,-1,-1
CPFE3,15/04/2021,30.48,13/04/2011,14/04/2021,30.49,23/04/2021,5,0.4911,0.0327,0.4762,-1,-1,-1
CPFE3,16/04/2021,30.55,14/04/2011,15/04/2021,30.68,24/04/2021,5,0.4919,0.0327,0.4754,-1,-1,-1
CPFE3,17/04/2021,31.23,15/04/2011,16/04/2021,30.45,27/04/2021,5,0.4919,0.0327,0.4754,-1,-1,-1
