Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
CSNA3,05/01/2021,34.17,04/01/2011,31/12/2020,38.53,08/01/2021,3,0.4753,0.0186,0.5061,-1,-1,-1
CSNA3,06/01/2021,34.79,05/01/2011,05/01/2021,38.76,09/01/2021,3,0.4757,0.0186,0.5057,-1,-1,-1
CSNA3,07/01/2021,36.2,06/01/2011,06/01/2021,37.91,12/01/2021,3,0.4757,0.0186,0.5057,-1,-1,-1
CSNA3,08/01/2021,38.53,07/01/2011,07/01/2021,38.08,13/01/2021,3,0.4757,0.0186,0.5057,-1,-1,-1
CSNA3,09/01/2021,38.76,08/01/2011,08/01/2021,36.25,14/01/2021,3,0.4757,0.0186,0.5057,-1,-1,-1
CSNA3,12/01/2021,37.91,11/01/2011,09/01/2021,35.04,19/01/2021,5,0.4761,0.0186,0.5053,-1,-1,-1
CSNA3,13/01/2021,38.08,12/01/2011,12/01/2021,34.36,16/01/2021,3,0.4753,0.0186,0.5061,-1,-1,-1
CSNA3,14/01/2021,36.25,13/01/2011,13/01/2021,35.04,19/01/2021,3,0.4757,0.0186,0.5057,-1,-1,-1
CSNA3,15/01/2021,37.39,14/01/2011,14/01/2021,33.04,20/01/2021,3,0.4753,0.0186,0.5061,-1,-1,-1
CSNA3,16/01/2021,34.36,15/01/2011,15/01/2021,33.1,21/01/2021,3,0.4757,0.0186,0.5057,-1,-1,-1
CSNA3,19/01/2021,35.04,18/01/2011,16/01/2021,33.42,22/01/2021,3,0.4753,0.0186,0.5061,-1,-1,-1
CSNA3,20/01/2021,33.04,19/01/2011,19/01/2021,32.1,28/01/2021,5,0.4761,0.0186,0.5053,-1,-1,-1
CSNA3,21/01/2021,33.1,20/01/2011,20/01/2021,33,27/01/2021,3,0.4757,0.0186,0.5057,-1,-1,-1
CSNA3,22/01/2021,33.42,21/01/2011,21/01/2021,30.4,30/01/2021,5,0.4761,0.0186,0.5053,-1,-1,-1
CSNA3,23/01/2021,33.98,22/01/2011,22/01/2021,31.69,02/02/2021,5,0.4765,0.0186,0.5049,-1,-1,-1
CSNA3,27/01/2021,33,25/01/2011,23/01/2021,30.6,03/02/2021,5,0.4765,0.0186,0.5049,-1,-1,-1
CSNA3,28/01/2021,32.1,27/01/2011,27/01/2021,31.69,02/02/2021,3,0.4757,0.0186,0.5057,-1,-1,-1
CSNA3,29/01/2021,33.14,28/01/2011,28/01/2021,30.6,03/02/2021,3,0.4757,0.0186,0.5057,-1,-1,-1
CSNA3,30/01/2021,30.4,29/01/2011,29/01/2021,31.18,04/02/2021,3,0.4766,0.0186,0.5049,-1,-1,-1
CSNA3,02/02/2021,31.69,01/02/2011,30/01/2021,31.1,05/02/2021,3,0.4761,0.0186,0.5053,-1,-1,-1
CSNA3,03/02/2021,30.6,02/02/2011,02/02/2021,33.39,06/02/2021,3,0.4766,0.0186,0.5049,-1,-1,-1
CSNA3,04/02/2021,31.18,03/02/2011,03/02/2021,34.61,09/02/2021,3,0.4761,0.0186,0.5053,-1,-1,-1
CSNA3,05/02/2021,31.1,04/02/2011,04/02/2021,35.45,10/02/2021,3,0.4766,0.0186,0.5049,-1,-1,-1
CSNA3,06/02/2021,33.39,05/02/2011,05/02/2021,34.39,11/02/2021,3,0.4761,0.0186,0.5053,-1,-1,-1
CSNA3,09/02/2021,34.61,08/02/2011,06/02/2021,33.78,18/02/2021,5,0.4765,0.0186,0.5049,-1,-1,-1
CSNA3,10/02/2021,35.45,09/02/2011,09/02/2021,32.83,13/02/2021,3,0.4766,0.0186,0.5049,-1,-1,-1
CSNA3,11/02/2021,34.39,10/02/2011,10/02/2021,35.26,20/02/2021,5,0.4770,0.0186,0.5044,-1,-1,-1
CSNA3,12/02/2021,33.02,11/02/2011,11/02/2021,34.16,19/02/2021,3,0.4765,0.0186,0.5049,-1,-1,-1
CSNA3,13/02/2021,32.83,12/02/2011,12/02/2021,35.26,20/02/2021,3,0.4761,0.0186,0.5053,-1,-1,-1
