Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
DIRR3,05/01/2021,13.29,04/01/2011,31/12/2020,13.55,12/01/2021,5,0.4750,0.0461,0.4790,-1,-1,-1
DIRR3,06/01/2021,13.24,05/01/2011,05/01/2021,14.31,13/01/2021,5,0.4754,0.0457,0.4790,-1,-1,-1
DIRR3,07/01/2021,12.79,06/01/2011,06/01/2021,14.51,14/01/2021,5,0.4750,0.0453,0.4798,-1,-1,-1
DIRR3,08/01/2021,12.6,07/01/2011,07/01/2021,14.62,15/01/2021,5,0.4750,0.0453,0.4798,-1,-1,-1
DIRR3,09/01/2021,13.21,08/01/2011,08/01/2021,14.5,16/01/2021,5,0.4750,0.0453,0.4798,-1,-1,-1
DIRR3,12/01/2021,13.55,11/01/2011,09/01/2021,14.16,19/01/2021,5,0.4754,0.0453,0.4794,-1,-1,-1
DIRR3,13/01/2021,14.31,12/01/2011,12/01/2021,14.02,20/01/2021,5,0.4754,0.0453,0.4794,-1,-1,-1
DIRR3,14/01/2021,14.51,13/01/2011,13/01/2021,13.86,21/01/2021,5,0.4754,0.0453,0.4794,-1,-1,-1
DIRR3,15/01/2021,14.62,14/01/2011,14/01/2021,13.22,22/01/2021,5,0.4758,0.0453,0.4790,-1,-1,-1
DIRR3,16/01/2021,14.5,15/01/2011,15/01/2021,13.52,23/01/2021,5,0.4758,0.0453,0.4790,-1,-1,-1
DIRR3,19/01/2021,14.16,18/01/2011,16/01/2021,13.38,27/01/2021,5,0.4750,0.0453,0.4798,-1,-1,-1
DIRR3,20/01/2021,14.02,19/01/2011,19/01/2021,13.4,28/01/2021,5,0.4750,0.0453,0.4798,-1,-1,-1
DIRR3,21/01/2021,13.86,20/01/2011,20/01/2021,14.09,29/01/2021,5,0.4750,0.0453,0.4798,-1,-1,-1
DIRR3,22/01/2021,13.22,21/01/2011,21/01/2021,13.91,30/01/2021,5,0.4746,0.0453,0.4802,-1,-1,-1
DIRR3,23/01/2021,13.52,22/01/2011,22/01/2021,14.15,02/02/2021,5,0.4742,0.0453,0.4806,-1,-1,-1
