Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
EZTC3,05/01/2021,41.7,04/01/2011,31/12/2020,38.59,12/01/2021,5,0.5141,0.0129,0.4729,-1,-1,-1
EZTC3,06/01/2021,40.7,05/01/2011,05/01/2021,40,13/01/2021,5,0.5141,0.0129,0.4730,-1,-1,-1
EZTC3,07/01/2021,38.82,06/01/2011,06/01/2021,39.24,14/01/2021,5,0.5137,0.0129,0.4734,-1,-1,-1
EZTC3,08/01/2021,38.32,07/01/2011,07/01/2021,40.81,15/01/2021,5,0.5133,0.0129,0.4738,-1,-1,-1
EZTC3,09/01/2021,40.44,08/01/2011,08/01/2021,39.39,16/01/2021,5,0.5129,0.0129,0.4742,-1,-1,-1
EZTC3,12/01/2021,38.59,11/01/2011,09/01/2021,39.24,19/01/2021,5,0.5133,0.0129,0.4738,-1,-1,-1
EZTC3,13/01/2021,40,12/01/2011,12/01/2021,39.6,20/01/2021,5,0.5125,0.0129,0.4746,-1,-1,-1
EZTC3,14/01/2021,39.24,13/01/2011,13/01/2021,39,21/01/2021,5,0.5133,0.0129,0.4737,-1,-1,-1
EZTC3,15/01/2021,40.81,14/01/2011,14/01/2021,36.8,22/01/2021,5,0.5129,0.0129,0.4742,-1,-1,-1
EZTC3,16/01/2021,39.39,15/01/2011,15/01/2021,36.14,23/01/2021,5,0.5133,0.0129,0.4738,-1,-1,-1
EZTC3,19/01/2021,39.24,18/01/2011,16/01/2021,35.4,27/01/2021,5,0.5129,0.0125,0.4746,-1,-1,-1
EZTC3,20/01/2021,39.6,19/01/2011,19/01/2021,36.83,28/01/2021,5,0.5125,0.0125,0.4750,-1,-1,-1
EZTC3,21/01/2021,39,20/01/2011,20/01/2021,37.94,29/01/2021,5,0.5129,0.0125,0.4745,-1,-1,-1
EZTC3,22/01/2021,36.8,21/01/2011,21/01/2021,36.68,30/01/2021,5,0.5125,0.0125,0.4750,-1,-1,-1
EZTC3,23/01/2021,36.14,22/01/2011,22/01/2021,37.93,02/02/2021,5,0.5121,0.0125,0.4754,-1,-1,-1
EZTC3,27/01/2021,35.4,25/01/2011,23/01/2021,38.69,03/02/2021,5,0.5117,0.0125,0.4758,-1,-1,-1
EZTC3,28/01/2021,36.83,27/01/2011,27/01/2021,39.18,04/02/2021,5,0.5117,0.0125,0.4758,-1,-1,-1
EZTC3,29/01/2021,37.94,28/01/2011,28/01/2021,38.65,05/02/2021,5,0.5125,0.0125,0.4750,-1,-1,-1
EZTC3,30/01/2021,36.68,29/01/2011,29/01/2021,38.2,06/02/2021,5,0.5129,0.0125,0.4745,-1,-1,-1
EZTC3,02/02/2021,37.93,01/02/2011,30/01/2021,38.12,09/02/2021,5,0.5125,0.0125,0.4750,-1,-1,-1
EZTC3,03/02/2021,38.69,02/02/2011,02/02/2021,36.84,10/02/2021,5,0.5129,0.0125,0.4746,-1,-1,-1
EZTC3,04/02/2021,39.18,03/02/2011,03/02/2021,35.4,11/02/2021,5,0.5129,0.0125,0.4745,-1,-1,-1
EZTC3,05/02/2021,38.65,04/02/2011,04/02/2021,35.71,12/02/2021,5,0.5133,0.0125,0.4741,-1,-1,-1
EZTC3,06/02/2021,38.2,05/02/2011,05/02/2021,35.7,13/02/2021,5,0.5129,0.0125,0.4746,-1,-1,-1
EZTC3,09/02/2021,38.12,08/02/2011,06/02/2021,35.1,18/02/2021,5,0.5129,0.0125,0.4746,-1,-1,-1
EZTC3,10/02/2021,36.84,09/02/2011,09/02/2021,34.85,19/02/2021,5,0.5125,0.0125,0.4750,-1,-1,-1
EZTC3,11/02/2021,35.4,10/02/2011,10/02/2021,34.94,20/02/2021,5,0.5125,0.0125,0.4750,-1,-1,-1
EZTC3,12/02/2021,35.71,11/02/2011,11/02/2021,33.46,23/02/2021,5,0.5121,0.0125,0.4754,-1,-1,-1
EZTC3,13/02/2021,35.7,12/02/2011,12/02/2021,33,24/02/2021,5,0.5125,0.0125,0.4750,-1,-1,-1
EZTC3,18/02/2021,35.1,15/02/2011,13/02/2021,33.05,25/02/2021,5,0.5117,0.0125,0.4758,-1,-1,-1
EZTC3,19/02/2021,34.85,16/02/2011,18/02/2021,31.87,26/02/2021,5,0.5117,0.0125,0.4758,-1,-1,-1
EZTC3,20/02/2021,34.94,17/02/2011,19/02/2021,31.5,27/02/2021,5,0.5113,0.0125,0.4762,-1,-1,-1
EZTC3,23/02/2021,33.46,18/02/2011,20/02/2021,30.95,02/03/2021,5,0.5117,0.0125,0.4758,-1,-1,-1
EZTC3,24/02/2021,33,19/02/2011,23/02/2021,31.5,27/02/2021,3,0.5109,0.0125,0.4766,-1,-1,-1
EZTC3,25/02/2021,33.05,22/02/2011,24/02/2021,30.95,02/03/2021,3,0.5109,0.0125,0.4766,-1,-1,-1
EZTC3,26/02/2021,31.87,23/02/2011,25/02/2021,31.13,05/03/2021,5,0.5117,0.0125,0.4758,-1,-1,-1
EZTC3,27/02/2021,31.5,24/02/2011,26/02/2021,32.92,06/03/2021,5,0.5113,0.0125,0.4762,-1,-1,-1
EZTC3,02/03/2021,30.95,25/02/2011,27/02/2021,31.13,05/03/2021,3,0.5109,0.0125,0.4766,-1,-1,-1
EZTC3,03/03/2021,30.96,26/02/2011,02/03/2021,32.92,06/03/2021,3,0.5109,0.0125,0.4766,-1,-1,-1
EZTC3,04/03/2021,30.78,01/03/2011,03/03/2021,29.79,11/03/2021,5,0.5117,0.0125,0.4758,-1,-1,-1
EZTC3,05/03/2021,31.13,02/03/2011,04/03/2021,30.73,12/03/2021,5,0.5113,0.0125,0.4762,-1,-1,-1
EZTC3,06/03/2021,32.92,03/03/2011,05/03/2021,31.66,13/03/2021,5,0.5117,0.0125,0.4758,-1,-1,-1
EZTC3,09/03/2021,30.05,04/03/2011,06/03/2021,31.89,16/03/2021,5,0.5117,0.0125,0.4758,-1,-1,-1
EZTC3,10/03/2021,28.87,05/03/2011,09/03/2021,30.36,17/03/2021,5,0.5113,0.0125,0.4762,-1,-1,-1
EZTC3,11/03/2021,29.79,10/03/2011,10/03/2021,31.91,18/03/2021,5,0.5113,0.0125,0.4762,-1,-1,-1
EZTC3,12/03/2021,30.73,11/03/2011,11/03/2021,30.81,19/03/2021,5,0.5121,0.0125,0.4754,-1,-1,-1
EZTC3,13/03/2021,31.66,12/03/2011,12/03/2021,32.17,20/03/2021,5,0.5121,0.0125,0.4754,-1,-1,-1
EZTC3,16/03/2021,31.89,15/03/2011,13/03/2021,32.35,23/03/2021,5,0.5125,0.0121,0.4754,-1,-1,-1
EZTC3,17/03/2021,30.36,16/03/2011,16/03/2021,31.92,24/03/2021,5,0.5129,0.0121,0.4750,-1,-1,-1
EZTC3,18/03/2021,31.91,17/03/2011,17/03/2021,30.78,25/03/2021,5,0.5121,0.0121,0.4758,-1,-1,-1
EZTC3,19/03/2021,30.81,18/03/2011,18/03/2021,31.86,26/03/2021,5,0.5125,0.0121,0.4754,-1,-1,-1
EZTC3,20/03/2021,32.17,19/03/2011,19/03/2021,31.2,27/03/2021,5,0.5117,0.0121,0.4762,-1,-1,-1
EZTC3,23/03/2021,32.35,22/03/2011,20/03/2021,30.25,30/03/2021,5,0.5125,0.0121,0.4754,-1,-1,-1
EZTC3,24/03/2021,31.92,23/03/2011,23/03/2021,32.21,31/03/2021,5,0.5125,0.0121,0.4754,-1,-1,-1
EZTC3,25/03/2021,30.78,24/03/2011,24/03/2021,32.05,01/04/2021,5,0.5121,0.0121,0.4758,-1,-1,-1
EZTC3,26/03/2021,31.86,25/03/2011,25/03/2021,32.21,31/03/2021,3,0.5117,0.0121,0.4762,-1,-1,-1
EZTC3,27/03/2021,31.2,26/03/2011,26/03/2021,33.31,06/04/2021,5,0.5121,0.0121,0.4758,-1,-1,-1
EZTC3,30/03/2021,30.25,29/03/2011,27/03/2021,33.56,07/04/2021,5,0.5117,0.0121,0.4762,-1,-1,-1
EZTC3,31/03/2021,32.21,30/03/2011,30/03/2021,32.98,08/04/2021,5,0.5117,0.0121,0.4762,-1,-1,-1
