Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
HYPE3,05/01/2021,33.13,04/01/2011,31/12/2020,34.1,12/01/2021,5,0.4850,0.0166,0.4984,-1,-1,-1
HYPE3,06/01/2021,34.23,05/01/2011,05/01/2021,34.87,13/01/2021,5,0.4850,0.0166,0.4984,-1,-1,-1
HYPE3,07/01/2021,33.44,06/01/2011,06/01/2021,34.99,14/01/2021,5,0.4854,0.0166,0.4980,-1,-1,-1
HYPE3,08/01/2021,33.43,07/01/2011,07/01/2021,34.7,15/01/2021,5,0.4850,0.0166,0.4984,-1,-1,-1
HYPE3,09/01/2021,35.31,08/01/2011,08/01/2021,34.8,16/01/2021,5,0.4846,0.0166,0.4988,-1,-1,-1
HYPE3,12/01/2021,34.1,11/01/2011,09/01/2021,34.67,19/01/2021,5,0.4850,0.0166,0.4984,-1,-1,-1
HYPE3,13/01/2021,34.87,12/01/2011,12/01/2021,35.41,20/01/2021,5,0.4842,0.0166,0.4993,-1,-1,-1
HYPE3,14/01/2021,34.99,13/01/2011,13/01/2021,34.99,21/01/2021,5,0.4846,0.0166,0.4988,-1,-1,-1
HYPE3,15/01/2021,34.7,14/01/2011,14/01/2021,34.73,22/01/2021,5,0.4850,0.0166,0.4984,-1,-1,-1
HYPE3,16/01/2021,34.8,15/01/2011,15/01/2021,34.65,23/01/2021,5,0.4846,0.0166,0.4988,-1,-1,-1
HYPE3,19/01/2021,34.67,18/01/2011,16/01/2021,34.24,27/01/2021,5,0.4850,0.0166,0.4984,-1,-1,-1
HYPE3,20/01/2021,35.41,19/01/2011,19/01/2021,33.36,28/01/2021,5,0.4842,0.0166,0.4992,-1,-1,-1
HYPE3,21/01/2021,34.99,20/01/2011,20/01/2021,34.2,29/01/2021,5,0.4850,0.0166,0.4984,-1,-1,-1
HYPE3,22/01/2021,34.73,21/01/2011,21/01/2021,32.29,30/01/2021,5,0.4846,0.0166,0.4988,-1,-1,-1
HYPE3,23/01/2021,34.65,22/01/2011,22/01/2021,33.06,02/02/2021,5,0.4846,0.0166,0.4988,-1,-1,-1
HYPE3,27/01/2021,34.24,25/01/2011,23/01/2021,33.25,03/02/2021,5,0.4846,0.0166,0.4988,-1,-1,-1
HYPE3,28/01/2021,33.36,27/01/2011,27/01/2021,33.02,04/02/2021,5,0.4846,0.0166,0.4988,-1,-1,-1
HYPE3,29/01/2021,34.2,28/01/2011,28/01/2021,33.21,05/02/2021,5,0.4846,0.0166,0.4988,-1,-1,-1
HYPE3,30/01/2021,32.29,29/01/2011,29/01/2021,33,06/02/2021,5,0.4854,0.0166,0.4980,-1,-1,-1
HYPE3,02/02/2021,33.06,01/02/2011,30/01/2021,33.02,09/02/2021,5,0.4850,0.0166,0.4984,-1,-1,-1
HYPE3,03/02/2021,33.25,02/02/2011,02/02/2021,32.81,10/02/2021,5,0.4858,0.0166,0.4976,-1,-1,-1
HYPE3,04/02/2021,33.02,03/02/2011,03/02/2021,32.76,11/02/2021,5,0.4862,0.0166,0.4972,-1,-1,-1
HYPE3,05/02/2021,33.21,04/02/2011,04/02/2021,33.83,12/02/2021,5,0.4858,0.0166,0.4976,-1,-1,-1
HYPE3,06/02/2021,33,05/02/2011,05/02/2021,33.82,13/02/2021,5,0.4866,0.0166,0.4968,-1,-1,-1
HYPE3,09/02/2021,33.02,08/02/2011,06/02/2021,33.93,18/02/2021,5,0.4858,0.0166,0.4976,-1,-1,-1
HYPE3,10/02/2021,32.81,09/02/2011,09/02/2021,33.99,19/02/2021,5,0.4862,0.0166,0.4972,-1,-1,-1
HYPE3,11/02/2021,32.76,10/02/2011,10/02/2021,34.42,20/02/2021,5,0.4858,0.0166,0.4976,-1,-1,-1
HYPE3,12/02/2021,33.83,11/02/2011,11/02/2021,33.66,23/02/2021,5,0.4858,0.0166,0.4976,-1,-1,-1
HYPE3,13/02/2021,33.82,12/02/2011,12/02/2021,33.76,24/02/2021,5,0.4862,0.0166,0.4972,-1,-1,-1
HYPE3,18/02/2021,33.93,15/02/2011,13/02/2021,33.79,25/02/2021,5,0.4854,0.0166,0.4980,-1,-1,-1
HYPE3,19/02/2021,33.99,16/02/2011,18/02/2021,33.34,26/02/2021,5,0.4862,0.0166,0.4972,-1,-1,-1
HYPE3,20/02/2021,34.42,17/02/2011,19/02/2021,32.78,27/02/2021,5,0.4866,0.0162,0.4972,-1,-1,-1
HYPE3,23/02/2021,33.66,18/02/2011,20/02/2021,31.45,02/03/2021,5,0.4870,0.0162,0.4968,-1,-1,-1
HYPE3,24/02/2021,33.76,19/02/2011,23/02/2021,32.03,03/03/2021,5,0.4862,0.0162,0.4976,-1,-1,-1
