Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
IGTA3,05/01/2021,35.46,04/01/2011,31/12/2020,34.72,15/01/2021,8,0.4842,0.0267,0.4891,-1,-1,-1
IGTA3,06/01/2021,35.34,05/01/2011,05/01/2021,34.13,13/01/2021,5,0.4839,0.0267,0.4895,-1,-1,-1
IGTA3,07/01/2021,33.87,06/01/2011,06/01/2021,33.64,14/01/2021,5,0.4839,0.0267,0.4895,-1,-1,-1
IGTA3,08/01/2021,33.5,07/01/2011,07/01/2021,34.72,15/01/2021,5,0.4839,0.0267,0.4895,-1,-1,-1
IGTA3,09/01/2021,35.23,08/01/2011,08/01/2021,34.14,16/01/2021,5,0.4839,0.0267,0.4895,-1,-1,-1
IGTA3,12/01/2021,33.7,11/01/2011,09/01/2021,34.57,19/01/2021,5,0.4847,0.0267,0.4887,-1,-1,-1
IGTA3,13/01/2021,34.13,12/01/2011,12/01/2021,34.6,20/01/2021,5,0.4843,0.0267,0.4891,-1,-1,-1
IGTA3,14/01/2021,33.64,13/01/2011,13/01/2021,34.01,21/01/2021,5,0.4851,0.0267,0.4883,-1,-1,-1
IGTA3,15/01/2021,34.72,14/01/2011,14/01/2021,33.1,22/01/2021,5,0.4847,0.0267,0.4887,-1,-1,-1
IGTA3,16/01/2021,34.14,15/01/2011,15/01/2021,32.65,23/01/2021,5,0.4855,0.0267,0.4879,-1,-1,-1
IGTA3,19/01/2021,34.57,18/01/2011,16/01/2021,33.19,27/01/2021,5,0.4847,0.0267,0.4887,-1,-1,-1
IGTA3,20/01/2021,34.6,19/01/2011,19/01/2021,33.15,28/01/2021,5,0.4851,0.0267,0.4883,-1,-1,-1
IGTA3,21/01/2021,34.01,20/01/2011,20/01/2021,35.47,29/01/2021,5,0.4851,0.0267,0.4883,-1,-1,-1
IGTA3,22/01/2021,33.1,21/01/2011,21/01/2021,34.31,30/01/2021,5,0.4843,0.0267,0.4891,-1,-1,-1
IGTA3,23/01/2021,32.65,22/01/2011,22/01/2021,34.72,02/02/2021,5,0.4843,0.0267,0.4891,-1,-1,-1
IGTA3,27/01/2021,33.19,25/01/2011,23/01/2021,34.98,03/02/2021,5,0.4839,0.0267,0.4895,-1,-1,-1
IGTA3,28/01/2021,33.15,27/01/2011,27/01/2021,36.39,04/02/2021,5,0.4846,0.0267,0.4887,-1,-1,-1
IGTA3,29/01/2021,35.47,28/01/2011,28/01/2021,35.63,05/02/2021,5,0.4839,0.0267,0.4895,-1,-1,-1
IGTA3,30/01/2021,34.31,29/01/2011,29/01/2021,35.19,06/02/2021,5,0.4847,0.0267,0.4887,-1,-1,-1
IGTA3,02/02/2021,34.72,01/02/2011,30/01/2021,35.5,09/02/2021,5,0.4843,0.0267,0.4891,-1,-1,-1
IGTA3,03/02/2021,34.98,02/02/2011,02/02/2021,34.96,10/02/2021,5,0.4847,0.0267,0.4887,-1,-1,-1
IGTA3,04/02/2021,36.39,03/02/2011,03/02/2021,34.43,11/02/2021,5,0.4851,0.0267,0.4883,-1,-1,-1
IGTA3,05/02/2021,35.63,04/02/2011,04/02/2021,34.48,12/02/2021,5,0.4855,0.0267,0.4879,-1,-1,-1
IGTA3,06/02/2021,35.19,05/02/2011,05/02/2021,35,13/02/2021,5,0.4851,0.0267,0.4883,-1,-1,-1
IGTA3,09/02/2021,35.5,08/02/2011,06/02/2021,34.36,18/02/2021,5,0.4851,0.0267,0.4883,-1,-1,-1
IGTA3,10/02/2021,34.96,09/02/2011,09/02/2021,33.96,19/02/2021,5,0.4855,0.0267,0.4879,-1,-1,-1
IGTA3,11/02/2021,34.43,10/02/2011,10/02/2021,34,20/02/2021,5,0.4847,0.0267,0.4887,-1,-1,-1
IGTA3,12/02/2021,34.48,11/02/2011,11/02/2021,32.88,23/02/2021,5,0.4847,0.0267,0.4887,-1,-1,-1
IGTA3,13/02/2021,35,12/02/2011,12/02/2021,32.93,24/02/2021,5,0.4855,0.0267,0.4879,-1,-1,-1
IGTA3,18/02/2021,34.36,15/02/2011,13/02/2021,32.79,25/02/2021,5,0.4855,0.0267,0.4879,-1,-1,-1
IGTA3,19/02/2021,33.96,16/02/2011,18/02/2021,32.65,26/02/2021,5,0.4851,0.0267,0.4883,-1,-1,-1
IGTA3,20/02/2021,34,17/02/2011,19/02/2021,31.55,27/02/2021,5,0.4847,0.0267,0.4887,-1,-1,-1
IGTA3,23/02/2021,32.88,18/02/2011,20/02/2021,30.63,02/03/2021,5,0.4851,0.0267,0.4883,-1,-1,-1
IGTA3,24/02/2021,32.93,19/02/2011,23/02/2021,30.99,03/03/2021,5,0.4843,0.0267,0.4891,-1,-1,-1
IGTA3,25/02/2021,32.79,22/02/2011,24/02/2021,30.54,04/03/2021,5,0.4851,0.0267,0.4883,-1,-1,-1
IGTA3,26/02/2021,32.65,23/02/2011,25/02/2021,31.47,05/03/2021,5,0.4843,0.0267,0.4891,-1,-1,-1
IGTA3,27/02/2021,31.55,24/02/2011,26/02/2021,32.89,06/03/2021,5,0.4843,0.0267,0.4891,-1,-1,-1
IGTA3,02/03/2021,30.63,25/02/2011,27/02/2021,31.11,09/03/2021,5,0.4839,0.0267,0.4895,-1,-1,-1
IGTA3,03/03/2021,30.99,26/02/2011,02/03/2021,31.37,10/03/2021,5,0.4835,0.0267,0.4899,-1,-1,-1
IGTA3,04/03/2021,30.54,01/03/2011,03/03/2021,32.16,11/03/2021,5,0.4838,0.0267,0.4895,-1,-1,-1
IGTA3,05/03/2021,31.47,02/03/2011,04/03/2021,34.27,12/03/2021,5,0.4830,0.0267,0.4903,-1,-1,-1
IGTA3,06/03/2021,32.89,03/03/2011,05/03/2021,34.82,13/03/2021,5,0.4834,0.0267,0.4899,-1,-1,-1
IGTA3,09/03/2021,31.11,04/03/2011,06/03/2021,35.69,16/03/2021,5,0.4834,0.0267,0.4899,-1,-1,-1
IGTA3,10/03/2021,31.37,05/03/2011,09/03/2021,34.82,17/03/2021,5,0.4831,0.0267,0.4903,-1,-1,-1
IGTA3,11/03/2021,32.16,10/03/2011,10/03/2021,35.45,18/03/2021,5,0.4838,0.0267,0.4895,-1,-1,-1
IGTA3,12/03/2021,34.27,11/03/2011,11/03/2021,34.49,19/03/2021,5,0.4842,0.0267,0.4891,-1,-1,-1
IGTA3,13/03/2021,34.82,12/03/2011,12/03/2021,36.21,20/03/2021,5,0.4842,0.0267,0.4891,-1,-1,-1
IGTA3,16/03/2021,35.69,15/03/2011,13/03/2021,35.81,23/03/2021,5,0.4847,0.0267,0.4887,-1,-1,-1
IGTA3,17/03/2021,34.82,16/03/2011,16/03/2021,36.03,24/03/2021,5,0.4851,0.0267,0.4883,-1,-1,-1
IGTA3,18/03/2021,35.45,17/03/2011,17/03/2021,36.01,25/03/2021,5,0.4847,0.0267,0.4887,-1,-1,-1
IGTA3,19/03/2021,34.49,18/03/2011,18/03/2021,36.76,26/03/2021,5,0.4851,0.0267,0.4883,-1,-1,-1
IGTA3,20/03/2021,36.21,19/03/2011,19/03/2021,36.45,27/03/2021,5,0.4847,0.0267,0.4887,-1,-1,-1
IGTA3,23/03/2021,35.81,22/03/2011,20/03/2021,36.13,30/03/2021,5,0.4851,0.0267,0.4883,-1,-1,-1
IGTA3,24/03/2021,36.03,23/03/2011,23/03/2021,37.84,31/03/2021,5,0.4843,0.0267,0.4891,-1,-1,-1
IGTA3,25/03/2021,36.01,24/03/2011,24/03/2021,37.4,01/04/2021,5,0.4847,0.0267,0.4887,-1,-1,-1
IGTA3,26/03/2021,36.76,25/03/2011,25/03/2021,37.08,02/04/2021,5,0.4843,0.0267,0.4891,-1,-1,-1
IGTA3,27/03/2021,36.45,26/03/2011,26/03/2021,37.3,06/04/2021,5,0.4851,0.0267,0.4883,-1,-1,-1
