Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
ITSA4,05/01/2021,11.55,04/01/2011,31/12/2020,12.16,08/01/2021,3,0.4854,0.0279,0.4867,-1,-1,-1
ITSA4,06/01/2021,11.46,05/01/2011,05/01/2021,12.13,09/01/2021,3,0.4850,0.0279,0.4871,-1,-1,-1
ITSA4,07/01/2021,11.71,06/01/2011,06/01/2021,11.85,12/01/2021,3,0.4846,0.0279,0.4875,-1,-1,-1
ITSA4,08/01/2021,12.16,07/01/2011,07/01/2021,11.94,13/01/2021,3,0.4854,0.0279,0.4867,-1,-1,-1
ITSA4,09/01/2021,12.13,08/01/2011,08/01/2021,11.82,14/01/2021,3,0.4858,0.0279,0.4863,-1,-1,-1
ITSA4,12/01/2021,11.85,11/01/2011,09/01/2021,12.08,15/01/2021,3,0.4850,0.0279,0.4871,-1,-1,-1
ITSA4,13/01/2021,11.94,12/01/2011,12/01/2021,11.61,16/01/2021,3,0.4846,0.0279,0.4875,-1,-1,-1
ITSA4,14/01/2021,11.82,13/01/2011,13/01/2021,11.63,19/01/2021,3,0.4850,0.0279,0.4871,-1,-1,-1
ITSA4,15/01/2021,12.08,14/01/2011,14/01/2021,11.45,20/01/2021,3,0.4846,0.0279,0.4875,-1,-1,-1
ITSA4,16/01/2021,11.61,15/01/2011,15/01/2021,11.27,21/01/2021,3,0.4854,0.0279,0.4867,-1,-1,-1
ITSA4,19/01/2021,11.63,18/01/2011,16/01/2021,11.04,22/01/2021,3,0.4850,0.0279,0.4871,-1,-1,-1
ITSA4,20/01/2021,11.45,19/01/2011,19/01/2021,10.88,23/01/2021,3,0.4858,0.0279,0.4863,-1,-1,-1
ITSA4,21/01/2021,11.27,20/01/2011,20/01/2021,10.62,27/01/2021,3,0.4854,0.0279,0.4867,-1,-1,-1
ITSA4,22/01/2021,11.04,21/01/2011,21/01/2021,10.58,28/01/2021,3,0.4854,0.0279,0.4867,-1,-1,-1
ITSA4,23/01/2021,10.88,22/01/2011,22/01/2021,10.97,29/01/2021,3,0.4854,0.0275,0.4871,-1,-1,-1
ITSA4,27/01/2021,10.62,25/01/2011,23/01/2021,10.61,30/01/2021,3,0.4850,0.0275,0.4875,-1,-1,-1
ITSA4,28/01/2021,10.58,27/01/2011,27/01/2021,10.79,02/02/2021,3,0.4850,0.0275,0.4875,-1,-1,-1
ITSA4,29/01/2021,10.97,28/01/2011,28/01/2021,10.81,03/02/2021,3,0.4846,0.0275,0.4879,-1,-1,-1
ITSA4,30/01/2021,10.61,29/01/2011,29/01/2021,10.82,04/02/2021,3,0.4854,0.0275,0.4871,-1,-1,-1
ITSA4,02/02/2021,10.79,01/02/2011,30/01/2021,10.82,05/02/2021,3,0.4850,0.0275,0.4875,-1,-1,-1
ITSA4,03/02/2021,10.81,02/02/2011,02/02/2021,10.76,06/02/2021,3,0.4854,0.0275,0.4871,-1,-1,-1
ITSA4,04/02/2021,10.82,03/02/2011,03/02/2021,10.6,09/02/2021,3,0.4858,0.0275,0.4867,-1,-1,-1
ITSA4,05/02/2021,10.82,04/02/2011,04/02/2021,10.69,10/02/2021,3,0.4858,0.0275,0.4867,-1,-1,-1
ITSA4,06/02/2021,10.76,05/02/2011,05/02/2021,10.62,11/02/2021,3,0.4854,0.0283,0.4863,-1,-1,-1
ITSA4,09/02/2021,10.6,08/02/2011,06/02/2021,10.64,12/02/2021,3,0.4850,0.0279,0.4871,-1,-1,-1
ITSA4,10/02/2021,10.69,09/02/2011,09/02/2021,10.6,13/02/2021,3,0.4846,0.0279,0.4875,-1,-1,-1
ITSA4,11/02/2021,10.62,10/02/2011,10/02/2021,10.54,18/02/2021,3,0.4854,0.0279,0.4867,-1,-1,-1
ITSA4,12/02/2021,10.64,11/02/2011,11/02/2021,10.35,19/02/2021,3,0.4846,0.0279,0.4875,-1,-1,-1
ITSA4,13/02/2021,10.6,12/02/2011,12/02/2021,10.25,20/02/2021,3,0.4850,0.0279,0.4871,-1,-1,-1
ITSA4,18/02/2021,10.54,15/02/2011,13/02/2021,9.78,23/02/2021,3,0.4842,0.0279,0.4879,-1,-1,-1
ITSA4,19/02/2021,10.35,16/02/2011,18/02/2021,10.52,24/02/2021,3,0.4838,0.0279,0.4883,-1,-1,-1
ITSA4,20/02/2021,10.25,17/02/2011,19/02/2021,10.42,25/02/2021,3,0.4834,0.0279,0.4887,-1,-1,-1
ITSA4,23/02/2021,9.78,18/02/2011,20/02/2021,10.08,26/02/2021,3,0.4830,0.0279,0.4891,-1,-1,-1
ITSA4,24/02/2021,10.52,19/02/2011,23/02/2021,9.95,27/02/2021,3,0.4830,0.0279,0.4891,-1,-1,-1
ITSA4,25/02/2021,10.42,22/02/2011,24/02/2021,9.62,02/03/2021,3,0.4838,0.0279,0.4883,-1,-1,-1
ITSA4,26/02/2021,10.08,23/02/2011,25/02/2021,9.9,03/03/2021,3,0.4834,0.0279,0.4887,-1,-1,-1
ITSA4,27/02/2021,9.95,24/02/2011,26/02/2021,9.99,04/03/2021,3,0.4830,0.0279,0.4891,-1,-1,-1
ITSA4,02/03/2021,9.62,25/02/2011,27/02/2021,10.21,05/03/2021,3,0.4830,0.0279,0.4891,-1,-1,-1
ITSA4,03/03/2021,9.9,26/02/2011,02/03/2021,10.37,06/03/2021,3,0.4830,0.0279,0.4891,-1,-1,-1
ITSA4,04/03/2021,9.99,01/03/2011,03/03/2021,9.96,09/03/2021,3,0.4834,0.0279,0.4887,-1,-1,-1
ITSA4,05/03/2021,10.21,02/03/2011,04/03/2021,10.05,10/03/2021,3,0.4838,0.0279,0.4883,-1,-1,-1
ITSA4,06/03/2021,10.37,03/03/2011,05/03/2021,10.31,11/03/2021,3,0.4838,0.0279,0.4883,-1,-1,-1
ITSA4,09/03/2021,9.96,04/03/2011,06/03/2021,10.28,12/03/2021,3,0.4838,0.0279,0.4883,-1,-1,-1
ITSA4,10/03/2021,10.05,05/03/2011,09/03/2021,10.2,13/03/2021,3,0.4834,0.0279,0.4887,-1,-1,-1
ITSA4,11/03/2021,10.31,10/03/2011,10/03/2021,10.23,16/03/2021,3,0.4842,0.0279,0.4879,-1,-1,-1
ITSA4,12/03/2021,10.28,11/03/2011,11/03/2021,10.08,17/03/2021,3,0.4846,0.0279,0.4875,-1,-1,-1
ITSA4,13/03/2021,10.2,12/03/2011,12/03/2021,10.37,18/03/2021,3,0.4838,0.0279,0.4883,-1,-1,-1
ITSA4,16/03/2021,10.23,15/03/2011,13/03/2021,10.47,19/03/2021,3,0.4834,0.0279,0.4887,-1,-1,-1
ITSA4,17/03/2021,10.08,16/03/2011,16/03/2021,10.44,20/03/2021,3,0.4838,0.0279,0.4883,-1,-1,-1
ITSA4,18/03/2021,10.37,17/03/2011,17/03/2021,10.52,23/03/2021,3,0.4834,0.0279,0.4887,-1,-1,-1
ITSA4,19/03/2021,10.47,18/03/2011,18/03/2021,10.26,24/03/2021,3,0.4838,0.0279,0.4883,-1,-1,-1
ITSA4,20/03/2021,10.44,19/03/2011,19/03/2021,10.05,25/03/2021,3,0.4838,0.0279,0.4883,-1,-1,-1
ITSA4,23/03/2021,10.52,22/03/2011,20/03/2021,10.26,26/03/2021,3,0.4830,0.0279,0.4891,-1,-1,-1
ITSA4,24/03/2021,10.26,23/03/2011,23/03/2021,10.36,27/03/2021,3,0.4834,0.0279,0.4887,-1,-1,-1
ITSA4,25/03/2021,10.05,24/03/2011,24/03/2021,10.32,30/03/2021,3,0.4830,0.0279,0.4891,-1,-1,-1
ITSA4,26/03/2021,10.26,25/03/2011,25/03/2021,10.47,31/03/2021,3,0.4826,0.0279,0.4895,-1,-1,-1
ITSA4,27/03/2021,10.36,26/03/2011,26/03/2021,10.32,01/04/2021,3,0.4830,0.0279,0.4891,-1,-1,-1
ITSA4,30/03/2021,10.32,29/03/2011,27/03/2021,10.1,02/04/2021,3,0.4834,0.0279,0.4887,-1,-1,-1
ITSA4,31/03/2021,10.47,30/03/2011,30/03/2021,10.23,06/04/2021,3,0.4830,0.0279,0.4891,-1,-1,-1
ITSA4,01/04/2021,10.32,31/03/2011,31/03/2021,10.13,07/04/2021,3,0.4834,0.0279,0.4887,-1,-1,-1
ITSA4,02/04/2021,10.1,01/04/2011,01/04/2021,10.12,08/04/2021,3,0.4826,0.0279,0.4895,-1,-1,-1
ITSA4,06/04/2021,10.23,02/04/2011,02/04/2021,10.09,09/04/2021,3,0.4822,0.0279,0.4899,-1,-1,-1
ITSA4,07/04/2021,10.13,05/04/2011,06/04/2021,10.04,10/04/2021,3,0.4830,0.0279,0.4891,-1,-1,-1
ITSA4,08/04/2021,10.12,06/04/2011,07/04/2021,10.21,13/04/2021,3,0.4826,0.0279,0.4895,-1,-1,-1
ITSA4,09/04/2021,10.09,07/04/2011,08/04/2021,10.19,14/04/2021,3,0.4826,0.0279,0.4895,-1,-1,-1
ITSA4,10/04/2021,10.04,08/04/2011,09/04/2021,10.26,15/04/2021,3,0.4826,0.0275,0.4899,-1,-1,-1
ITSA4,13/04/2021,10.21,09/04/2011,10/04/2021,10.26,16/04/2021,3,0.4826,0.0275,0.4899,-1,-1,-1
ITSA4,14/04/2021,10.19,12/04/2011,13/04/2021,10.3,17/04/2021,3,0.4834,0.0275,0.4891,-1,-1,-1
ITSA4,15/04/2021,10.26,13/04/2011,14/04/2021,10.2,20/04/2021,3,0.4830,0.0275,0.4895,-1,-1,-1
ITSA4,16/04/2021,10.26,14/04/2011,15/04/2021,10.22,21/04/2021,3,0.4834,0.0275,0.4891,-1,-1,-1
ITSA4,17/04/2021,10.3,15/04/2011,16/04/2021,10.22,23/04/2021,3,0.4830,0.0283,0.4887,-1,-1,-1
ITSA4,20/04/2021,10.2,16/04/2011,17/04/2021,10.32,24/04/2021,3,0.4834,0.0279,0.4887,-1,-1,-1
ITSA4,21/04/2021,10.22,19/04/2011,20/04/2021,10.27,27/04/2021,3,0.4830,0.0279,0.4891,-1,-1,-1
ITSA4,23/04/2021,10.22,20/04/2011,21/04/2021,10.05,28/04/2021,3,0.4834,0.0279,0.4887,-1,-1,-1
ITSA4,24/04/2021,10.32,21/04/2011,23/04/2021,10.4,29/04/2021,3,0.4826,0.0287,0.4887,-1,-1,-1
ITSA4,27/04/2021,10.27,26/04/2011,24/04/2021,10.16,30/04/2021,3,0.4834,0.0283,0.4883,-1,-1,-1
ITSA4,28/04/2021,10.05,27/04/2011,27/04/2021,10.06,01/05/2021,3,0.4826,0.0283,0.4891,-1,-1,-1
ITSA4,29/04/2021,10.4,28/04/2011,28/04/2021,10.19,04/05/2021,3,0.4826,0.0283,0.4891,-1,-1,-1
ITSA4,30/04/2021,10.16,29/04/2011,29/04/2021,9.92,05/05/2021,3,0.4834,0.0283,0.4883,-1,-1,-1
ITSA4,01/05/2021,10.06,30/04/2011,30/04/2021,10.21,06/05/2021,3,0.4826,0.0283,0.4891,-1,-1,-1
ITSA4,04/05/2021,10.19,03/05/2011,01/05/2021,10.2,07/05/2021,3,0.4826,0.0283,0.4891,-1,-1,-1
ITSA4,05/05/2021,9.92,04/05/2011,04/05/2021,10.34,08/05/2021,3,0.4834,0.0283,0.4883,-1,-1,-1
ITSA4,06/05/2021,10.21,05/05/2011,05/05/2021,10.45,11/05/2021,3,0.4826,0.0283,0.4891,-1,-1,-1
ITSA4,07/05/2021,10.2,06/05/2011,06/05/2021,10.45,12/05/2021,3,0.4830,0.0283,0.4887,-1,-1,-1
ITSA4,08/05/2021,10.34,07/05/2011,07/05/2021,10.25,13/05/2021,3,0.4822,0.0283,0.4895,-1,-1,-1
ITSA4,11/05/2021,10.45,10/05/2011,08/05/2021,10.43,14/05/2021,3,0.4830,0.0283,0.4887,-1,-1,-1
ITSA4,12/05/2021,10.45,11/05/2011,11/05/2021,10.64,15/05/2021,3,0.4830,0.0283,0.4887,-1,-1,-1
ITSA4,13/05/2021,10.25,12/05/2011,12/05/2021,10.65,18/05/2021,3,0.4826,0.0291,0.4883,-1,-1,-1
ITSA4,14/05/2021,10.43,13/05/2011,13/05/2021,10.62,19/05/2021,3,0.4822,0.0287,0.4891,-1,-1,-1
ITSA4,15/05/2021,10.64,14/05/2011,14/05/2021,10.74,20/05/2021,3,0.4830,0.0287,0.4883,-1,-1,-1
ITSA4,18/05/2021,10.65,17/05/2011,15/05/2021,10.78,21/05/2021,3,0.4834,0.0287,0.4879,-1,-1,-1
ITSA4,19/05/2021,10.62,18/05/2011,18/05/2021,10.84,22/05/2021,3,0.4834,0.0287,0.4879,-1,-1,-1
ITSA4,20/05/2021,10.74,19/05/2011,19/05/2021,10.86,25/05/2021,3,0.4830,0.0287,0.4883,-1,-1,-1
ITSA4,21/05/2021,10.78,20/05/2011,20/05/2021,10.78,26/05/2021,3,0.4838,0.0287,0.4875,-1,-1,-1
ITSA4,22/05/2021,10.84,21/05/2011,21/05/2021,10.88,27/05/2021,3,0.4842,0.0287,0.4871,-1,-1,-1
ITSA4,25/05/2021,10.86,24/05/2011,22/05/2021,10.74,28/05/2021,3,0.4846,0.0287,0.4867,-1,-1,-1
ITSA4,26/05/2021,10.78,25/05/2011,25/05/2021,10.9,29/05/2021,3,0.4846,0.0287,0.4867,-1,-1,-1
ITSA4,27/05/2021,10.88,26/05/2011,26/05/2021,10.86,01/06/2021,3,0.4842,0.0287,0.4871,-1,-1,-1
ITSA4,28/05/2021,10.74,27/05/2011,27/05/2021,11.27,02/06/2021,3,0.4846,0.0287,0.4867,-1,-1,-1
ITSA4,29/05/2021,10.9,28/05/2011,28/05/2021,11.64,03/06/2021,3,0.4842,0.0287,0.4871,-1,-1,-1
