Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
ITUB4,05/01/2021,30.9,04/01/2011,31/12/2020,32.08,12/01/2021,5,0.5008,0.0077,0.4915,-1,-1,-1
ITUB4,06/01/2021,30.7,05/01/2011,05/01/2021,32.18,13/01/2021,5,0.5004,0.0077,0.4919,-1,-1,-1
ITUB4,07/01/2021,31.55,06/01/2011,06/01/2021,32.08,12/01/2021,3,0.5000,0.0077,0.4923,-1,-1,-1
ITUB4,08/01/2021,32.83,07/01/2011,07/01/2021,32.18,13/01/2021,3,0.5008,0.0077,0.4915,-1,-1,-1
ITUB4,09/01/2021,32.82,08/01/2011,08/01/2021,31.36,16/01/2021,5,0.5012,0.0077,0.4911,-1,-1,-1
ITUB4,12/01/2021,32.08,11/01/2011,09/01/2021,31.2,19/01/2021,5,0.5004,0.0077,0.4919,-1,-1,-1
ITUB4,13/01/2021,32.18,12/01/2011,12/01/2021,30.83,20/01/2021,5,0.5000,0.0077,0.4924,-1,-1,-1
ITUB4,14/01/2021,31.65,13/01/2011,13/01/2021,31.2,19/01/2021,3,0.5004,0.0077,0.4919,-1,-1,-1
ITUB4,15/01/2021,32.59,14/01/2011,14/01/2021,29.91,22/01/2021,5,0.5000,0.0077,0.4924,-1,-1,-1
ITUB4,16/01/2021,31.36,15/01/2011,15/01/2021,30.32,21/01/2021,3,0.5004,0.0077,0.4919,-1,-1,-1
ITUB4,19/01/2021,31.2,18/01/2011,16/01/2021,29.91,22/01/2021,3,0.5000,0.0077,0.4923,-1,-1,-1
ITUB4,20/01/2021,30.83,19/01/2011,19/01/2021,29.27,23/01/2021,3,0.5000,0.0077,0.4923,-1,-1,-1
ITUB4,21/01/2021,30.32,20/01/2011,20/01/2021,28.25,27/01/2021,3,0.5000,0.0077,0.4923,-1,-1,-1
ITUB4,22/01/2021,29.91,21/01/2011,21/01/2021,28.34,30/01/2021,5,0.5000,0.0077,0.4924,-1,-1,-1
ITUB4,23/01/2021,29.27,22/01/2011,22/01/2021,29.08,02/02/2021,5,0.4996,0.0077,0.4928,-1,-1,-1
ITUB4,27/01/2021,28.25,25/01/2011,23/01/2021,28.46,03/02/2021,5,0.4992,0.0077,0.4931,-1,-1,-1
ITUB4,28/01/2021,28.23,27/01/2011,27/01/2021,28.32,04/02/2021,5,0.4992,0.0077,0.4932,-1,-1,-1
ITUB4,29/01/2021,29.39,28/01/2011,28/01/2021,28.2,05/02/2021,5,0.4988,0.0077,0.4935,-1,-1,-1
ITUB4,30/01/2021,28.34,29/01/2011,29/01/2021,28.08,06/02/2021,5,0.4996,0.0077,0.4927,-1,-1,-1
ITUB4,02/02/2021,29.08,01/02/2011,30/01/2021,27.56,09/02/2021,5,0.4992,0.0077,0.4932,-1,-1,-1
ITUB4,03/02/2021,28.46,02/02/2011,02/02/2021,27.89,10/02/2021,5,0.4996,0.0077,0.4927,-1,-1,-1
ITUB4,04/02/2021,28.32,03/02/2011,03/02/2021,27.69,11/02/2021,5,0.4992,0.0077,0.4931,-1,-1,-1
ITUB4,05/02/2021,28.2,04/02/2011,04/02/2021,27.69,12/02/2021,5,0.4992,0.0077,0.4931,-1,-1,-1
ITUB4,06/02/2021,28.08,05/02/2011,05/02/2021,27.76,13/02/2021,5,0.4992,0.0077,0.4932,-1,-1,-1
ITUB4,09/02/2021,27.56,08/02/2011,06/02/2021,28.11,18/02/2021,5,0.4988,0.0077,0.4936,-1,-1,-1
ITUB4,10/02/2021,27.89,09/02/2011,09/02/2021,27.91,19/02/2021,5,0.4984,0.0077,0.4939,-1,-1,-1
ITUB4,11/02/2021,27.69,10/02/2011,10/02/2021,27.62,20/02/2021,5,0.4992,0.0077,0.4932,-1,-1,-1
ITUB4,12/02/2021,27.69,11/02/2011,11/02/2021,25.61,23/02/2021,5,0.4988,0.0077,0.4936,-1,-1,-1
ITUB4,13/02/2021,27.76,12/02/2011,12/02/2021,27.25,24/02/2021,5,0.4984,0.0085,0.4931,-1,-1,-1
ITUB4,18/02/2021,28.11,15/02/2011,13/02/2021,26.85,25/02/2021,5,0.4987,0.0081,0.4932,-1,-1,-1
ITUB4,19/02/2021,27.91,16/02/2011,18/02/2021,26.08,26/02/2021,5,0.4987,0.0081,0.4932,-1,-1,-1
ITUB4,20/02/2021,27.62,17/02/2011,19/02/2021,25.55,27/02/2021,5,0.4979,0.0081,0.4940,-1,-1,-1
ITUB4,23/02/2021,25.61,18/02/2011,20/02/2021,24.77,02/03/2021,5,0.4976,0.0081,0.4944,-1,-1,-1
ITUB4,24/02/2021,27.25,19/02/2011,23/02/2021,25.77,03/03/2021,5,0.4976,0.0081,0.4944,-1,-1,-1
ITUB4,25/02/2021,26.85,22/02/2011,24/02/2021,25.83,04/03/2021,5,0.4983,0.0081,0.4936,-1,-1,-1
ITUB4,26/02/2021,26.08,23/02/2011,25/02/2021,26.64,05/03/2021,5,0.4979,0.0081,0.4940,-1,-1,-1
ITUB4,27/02/2021,25.55,24/02/2011,26/02/2021,27.63,06/03/2021,5,0.4976,0.0081,0.4944,-1,-1,-1
ITUB4,02/03/2021,24.77,25/02/2011,27/02/2021,26.75,09/03/2021,5,0.4976,0.0081,0.4944,-1,-1,-1
ITUB4,03/03/2021,25.77,26/02/2011,02/03/2021,27.12,10/03/2021,5,0.4975,0.0081,0.4944,-1,-1,-1
ITUB4,04/03/2021,25.83,01/03/2011,03/03/2021,27.32,11/03/2021,5,0.4979,0.0081,0.4940,-1,-1,-1
ITUB4,05/03/2021,26.64,02/03/2011,04/03/2021,27.36,12/03/2021,5,0.4983,0.0081,0.4936,-1,-1,-1
ITUB4,06/03/2021,27.63,03/03/2011,05/03/2021,27.18,13/03/2021,5,0.4983,0.0081,0.4936,-1,-1,-1
ITUB4,09/03/2021,26.75,04/03/2011,06/03/2021,27.5,16/03/2021,5,0.4983,0.0081,0.4936,-1,-1,-1
ITUB4,10/03/2021,27.12,05/03/2011,09/03/2021,26.94,17/03/2021,5,0.4976,0.0081,0.4944,-1,-1,-1
ITUB4,11/03/2021,27.32,10/03/2011,10/03/2021,27.99,18/03/2021,5,0.4983,0.0081,0.4936,-1,-1,-1
ITUB4,12/03/2021,27.36,11/03/2011,11/03/2021,28.15,19/03/2021,5,0.4987,0.0081,0.4932,-1,-1,-1
ITUB4,13/03/2021,27.18,12/03/2011,12/03/2021,28.21,20/03/2021,5,0.4987,0.0081,0.4932,-1,-1,-1
ITUB4,16/03/2021,27.5,15/03/2011,13/03/2021,28.37,23/03/2021,5,0.4979,0.0081,0.4940,-1,-1,-1
ITUB4,17/03/2021,26.94,16/03/2011,16/03/2021,27.65,24/03/2021,5,0.4983,0.0081,0.4936,-1,-1,-1
ITUB4,18/03/2021,27.99,17/03/2011,17/03/2021,27.17,25/03/2021,5,0.4980,0.0081,0.4940,-1,-1,-1
ITUB4,19/03/2021,28.15,18/03/2011,18/03/2021,27.65,26/03/2021,5,0.4987,0.0081,0.4932,-1,-1,-1
ITUB4,20/03/2021,28.21,19/03/2011,19/03/2021,28.07,27/03/2021,5,0.4987,0.0081,0.4932,-1,-1,-1
ITUB4,23/03/2021,28.37,22/03/2011,20/03/2021,28.06,30/03/2021,5,0.4987,0.0081,0.4932,-1,-1,-1
ITUB4,24/03/2021,27.65,23/03/2011,23/03/2021,28.52,31/03/2021,5,0.4988,0.0081,0.4932,-1,-1,-1
