Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
MRFG3,05/01/2021,14.3,04/01/2011,31/12/2020,13.96,12/01/2021,5,0.4624,0.0448,0.4927,-1,-1,-1
MRFG3,06/01/2021,14.21,05/01/2011,05/01/2021,14.21,13/01/2021,5,0.4620,0.0448,0.4932,-1,-1,-1
MRFG3,07/01/2021,13.8,06/01/2011,06/01/2021,14.19,14/01/2021,5,0.4616,0.0448,0.4936,-1,-1,-1
MRFG3,08/01/2021,13.84,07/01/2011,07/01/2021,14.09,15/01/2021,5,0.4616,0.0448,0.4936,-1,-1,-1
MRFG3,09/01/2021,14.01,08/01/2011,08/01/2021,13.97,16/01/2021,5,0.4624,0.0448,0.4927,-1,-1,-1
MRFG3,12/01/2021,13.96,11/01/2011,09/01/2021,13.88,19/01/2021,5,0.4624,0.0448,0.4927,-1,-1,-1
MRFG3,13/01/2021,14.21,12/01/2011,12/01/2021,13.67,20/01/2021,5,0.4620,0.0448,0.4932,-1,-1,-1
MRFG3,14/01/2021,14.19,13/01/2011,13/01/2021,13.53,21/01/2021,5,0.4624,0.0448,0.4927,-1,-1,-1
MRFG3,15/01/2021,14.09,14/01/2011,14/01/2021,13.33,22/01/2021,5,0.4616,0.0448,0.4936,-1,-1,-1
MRFG3,16/01/2021,13.97,15/01/2011,15/01/2021,13.19,23/01/2021,5,0.4616,0.0444,0.4940,-1,-1,-1
MRFG3,19/01/2021,13.88,18/01/2011,16/01/2021,12.8,27/01/2021,5,0.4616,0.0444,0.4940,-1,-1,-1
MRFG3,20/01/2021,13.67,19/01/2011,19/01/2021,13.07,28/01/2021,5,0.4616,0.0444,0.4940,-1,-1,-1
