Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
MULT3,05/01/2021,22.55,04/01/2011,31/12/2020,21.42,12/01/2021,5,0.4907,0.0137,0.4956,-1,-1,-1
MULT3,06/01/2021,22.58,05/01/2011,05/01/2021,21.64,13/01/2021,5,0.4903,0.0137,0.4960,-1,-1,-1
MULT3,07/01/2021,21.6,06/01/2011,06/01/2021,21.48,14/01/2021,5,0.4911,0.0137,0.4952,-1,-1,-1
MULT3,08/01/2021,21.6,07/01/2011,07/01/2021,21.94,15/01/2021,5,0.4903,0.0137,0.4960,-1,-1,-1
MULT3,09/01/2021,22.38,08/01/2011,08/01/2021,21.35,16/01/2021,5,0.4903,0.0146,0.4951,-1,-1,-1
MULT3,12/01/2021,21.42,11/01/2011,09/01/2021,21.42,19/01/2021,5,0.4907,0.0141,0.4952,-1,-1,-1
MULT3,13/01/2021,21.64,12/01/2011,12/01/2021,21.19,20/01/2021,5,0.4899,0.0141,0.4960,-1,-1,-1
MULT3,14/01/2021,21.48,13/01/2011,13/01/2021,20.96,21/01/2021,5,0.4903,0.0141,0.4956,-1,-1,-1
MULT3,15/01/2021,21.94,14/01/2011,14/01/2021,20.59,22/01/2021,5,0.4899,0.0141,0.4960,-1,-1,-1
MULT3,16/01/2021,21.35,15/01/2011,15/01/2021,20.38,23/01/2021,5,0.4907,0.0141,0.4952,-1,-1,-1
MULT3,19/01/2021,21.42,18/01/2011,16/01/2021,20.51,27/01/2021,5,0.4899,0.0141,0.4960,-1,-1,-1
MULT3,20/01/2021,21.19,19/01/2011,19/01/2021,20.44,28/01/2021,5,0.4907,0.0141,0.4952,-1,-1,-1
MULT3,21/01/2021,20.96,20/01/2011,20/01/2021,21.8,29/01/2021,5,0.4903,0.0141,0.4956,-1,-1,-1
MULT3,22/01/2021,20.59,21/01/2011,21/01/2021,21.2,30/01/2021,5,0.4903,0.0141,0.4956,-1,-1,-1
MULT3,23/01/2021,20.38,22/01/2011,22/01/2021,21.31,02/02/2021,5,0.4899,0.0141,0.4960,-1,-1,-1
MULT3,27/01/2021,20.51,25/01/2011,23/01/2021,21.3,03/02/2021,5,0.4899,0.0141,0.4960,-1,-1,-1
MULT3,28/01/2021,20.44,27/01/2011,27/01/2021,22.5,04/02/2021,5,0.4907,0.0141,0.4952,-1,-1,-1
MULT3,29/01/2021,21.8,28/01/2011,28/01/2021,22.13,05/02/2021,5,0.4903,0.0141,0.4956,-1,-1,-1
MULT3,30/01/2021,21.2,29/01/2011,29/01/2021,21.84,06/02/2021,5,0.4911,0.0141,0.4948,-1,-1,-1
MULT3,02/02/2021,21.31,01/02/2011,30/01/2021,21.6,09/02/2021,5,0.4903,0.0141,0.4956,-1,-1,-1
MULT3,03/02/2021,21.3,02/02/2011,02/02/2021,21.38,10/02/2021,5,0.4907,0.0141,0.4952,-1,-1,-1
MULT3,04/02/2021,22.5,03/02/2011,03/02/2021,21.25,11/02/2021,5,0.4903,0.0141,0.4956,-1,-1,-1
MULT3,05/02/2021,22.13,04/02/2011,04/02/2021,21.35,12/02/2021,5,0.4911,0.0141,0.4948,-1,-1,-1
MULT3,06/02/2021,21.84,05/02/2011,05/02/2021,21.39,13/02/2021,5,0.4907,0.0141,0.4952,-1,-1,-1
MULT3,09/02/2021,21.6,08/02/2011,06/02/2021,21.07,18/02/2021,5,0.4903,0.0141,0.4956,-1,-1,-1
MULT3,10/02/2021,21.38,09/02/2011,09/02/2021,20.93,19/02/2021,5,0.4899,0.0141,0.4960,-1,-1,-1
MULT3,11/02/2021,21.25,10/02/2011,10/02/2021,20.67,20/02/2021,5,0.4899,0.0141,0.4960,-1,-1,-1
MULT3,12/02/2021,21.35,11/02/2011,11/02/2021,20.14,23/02/2021,5,0.4899,0.0141,0.4960,-1,-1,-1
MULT3,13/02/2021,21.39,12/02/2011,12/02/2021,20.1,24/02/2021,5,0.4903,0.0141,0.4956,-1,-1,-1
