Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
RENT3,05/01/2021,67.78,04/01/2011,31/12/2020,69.62,12/01/2021,5,0.5081,0.0150,0.4769,-1,-1,-1
RENT3,06/01/2021,67.38,05/01/2011,05/01/2021,71.08,13/01/2021,5,0.5077,0.0149,0.4773,-1,-1,-1
RENT3,07/01/2021,63.71,06/01/2011,06/01/2021,71.05,14/01/2021,5,0.5073,0.0149,0.4778,-1,-1,-1
RENT3,08/01/2021,66.51,07/01/2011,07/01/2021,73.93,15/01/2021,5,0.5069,0.0149,0.4781,-1,-1,-1
RENT3,09/01/2021,71,08/01/2011,08/01/2021,70.71,16/01/2021,5,0.5077,0.0150,0.4774,-1,-1,-1
RENT3,12/01/2021,69.62,11/01/2011,09/01/2021,70.69,19/01/2021,5,0.5081,0.0150,0.4770,-1,-1,-1
RENT3,13/01/2021,71.08,12/01/2011,12/01/2021,68.8,20/01/2021,5,0.5073,0.0149,0.4778,-1,-1,-1
RENT3,14/01/2021,71.05,13/01/2011,13/01/2021,69.57,21/01/2021,5,0.5081,0.0145,0.4774,-1,-1,-1
RENT3,15/01/2021,73.93,14/01/2011,14/01/2021,67.91,22/01/2021,5,0.5077,0.0145,0.4778,-1,-1,-1
RENT3,16/01/2021,70.71,15/01/2011,15/01/2021,67.51,23/01/2021,5,0.5081,0.0145,0.4774,-1,-1,-1
RENT3,19/01/2021,70.69,18/01/2011,16/01/2021,65.96,27/01/2021,5,0.5077,0.0145,0.4778,-1,-1,-1
RENT3,20/01/2021,68.8,19/01/2011,19/01/2021,64.88,28/01/2021,5,0.5073,0.0145,0.4782,-1,-1,-1
RENT3,21/01/2021,69.57,20/01/2011,20/01/2021,67.24,29/01/2021,5,0.5073,0.0145,0.4782,-1,-1,-1
RENT3,22/01/2021,67.91,21/01/2011,21/01/2021,63.88,30/01/2021,5,0.5081,0.0145,0.4774,-1,-1,-1
RENT3,23/01/2021,67.51,22/01/2011,22/01/2021,63.95,02/02/2021,5,0.5077,0.0145,0.4778,-1,-1,-1
RENT3,27/01/2021,65.96,25/01/2011,23/01/2021,67.51,03/02/2021,5,0.5077,0.0141,0.4782,-1,-1,-1
RENT3,28/01/2021,64.88,27/01/2011,27/01/2021,68.8,04/02/2021,5,0.5077,0.0141,0.4782,-1,-1,-1
RENT3,29/01/2021,67.24,28/01/2011,28/01/2021,69.6,05/02/2021,5,0.5077,0.0141,0.4782,-1,-1,-1
RENT3,30/01/2021,63.88,29/01/2011,29/01/2021,68.8,04/02/2021,3,0.5085,0.0141,0.4774,-1,-1,-1
RENT3,02/02/2021,63.95,01/02/2011,30/01/2021,69.6,05/02/2021,3,0.5077,0.0141,0.4782,-1,-1,-1
RENT3,03/02/2021,67.51,02/02/2011,02/02/2021,68.87,06/02/2021,3,0.5081,0.0141,0.4778,-1,-1,-1
RENT3,04/02/2021,68.8,03/02/2011,03/02/2021,67.35,11/02/2021,5,0.5085,0.0141,0.4774,-1,-1,-1
RENT3,05/02/2021,69.6,04/02/2011,04/02/2021,66.96,12/02/2021,5,0.5089,0.0141,0.4770,-1,-1,-1
RENT3,06/02/2021,68.87,05/02/2011,05/02/2021,66.9,13/02/2021,5,0.5093,0.0141,0.4766,-1,-1,-1
RENT3,09/02/2021,69.26,08/02/2011,06/02/2021,65.91,18/02/2021,5,0.5085,0.0141,0.4774,-1,-1,-1
RENT3,10/02/2021,68.52,09/02/2011,09/02/2021,64.61,19/02/2021,5,0.5093,0.0137,0.4770,-1,-1,-1
RENT3,11/02/2021,67.35,10/02/2011,10/02/2021,65.1,20/02/2021,5,0.5089,0.0137,0.4774,-1,-1,-1
RENT3,12/02/2021,66.96,11/02/2011,11/02/2021,64.61,19/02/2021,3,0.5085,0.0137,0.4778,-1,-1,-1
RENT3,13/02/2021,66.9,12/02/2011,12/02/2021,65.1,20/02/2021,3,0.5081,0.0137,0.4782,-1,-1,-1
RENT3,18/02/2021,65.91,15/02/2011,13/02/2021,61.09,23/02/2021,3,0.5077,0.0137,0.4786,-1,-1,-1
RENT3,19/02/2021,64.61,16/02/2011,18/02/2021,61.3,24/02/2021,3,0.5073,0.0137,0.4790,-1,-1,-1
RENT3,20/02/2021,65.1,17/02/2011,19/02/2021,60.54,25/02/2021,3,0.5069,0.0137,0.4794,-1,-1,-1
RENT3,23/02/2021,61.09,18/02/2011,20/02/2021,59.16,02/03/2021,5,0.5073,0.0137,0.4790,-1,-1,-1
RENT3,24/02/2021,61.3,19/02/2011,23/02/2021,58,27/02/2021,3,0.5065,0.0137,0.4798,-1,-1,-1
RENT3,25/02/2021,60.54,22/02/2011,24/02/2021,59.16,02/03/2021,3,0.5073,0.0137,0.4790,-1,-1,-1
RENT3,26/02/2021,59.86,23/02/2011,25/02/2021,58.6,03/03/2021,3,0.5069,0.0137,0.4794,-1,-1,-1
RENT3,27/02/2021,58,24/02/2011,26/02/2021,58.82,04/03/2021,3,0.5069,0.0137,0.4794,-1,-1,-1
RENT3,02/03/2021,59.16,25/02/2011,27/02/2021,60.92,05/03/2021,3,0.5069,0.0137,0.4794,-1,-1,-1
RENT3,03/03/2021,58.6,26/02/2011,02/03/2021,55.58,10/03/2021,5,0.5073,0.0137,0.4790,-1,-1,-1
RENT3,04/03/2021,58.82,01/03/2011,03/03/2021,56.54,11/03/2021,5,0.5065,0.0137,0.4798,-1,-1,-1
RENT3,05/03/2021,60.92,02/03/2011,04/03/2021,59.55,12/03/2021,5,0.5069,0.0137,0.4794,-1,-1,-1
RENT3,06/03/2021,60.83,03/03/2011,05/03/2021,59.5,13/03/2021,5,0.5073,0.0137,0.4790,-1,-1,-1
RENT3,09/03/2021,55.12,04/03/2011,06/03/2021,59.55,12/03/2021,3,0.5065,0.0137,0.4798,-1,-1,-1
RENT3,10/03/2021,55.58,05/03/2011,09/03/2021,59.5,13/03/2021,3,0.5065,0.0137,0.4798,-1,-1,-1
RENT3,11/03/2021,56.54,10/03/2011,10/03/2021,59.78,18/03/2021,5,0.5073,0.0137,0.4790,-1,-1,-1
RENT3,12/03/2021,59.55,11/03/2011,11/03/2021,57.75,19/03/2021,5,0.5073,0.0137,0.4790,-1,-1,-1
RENT3,13/03/2021,59.5,12/03/2011,12/03/2021,59.78,18/03/2021,3,0.5073,0.0137,0.4790,-1,-1,-1
RENT3,16/03/2021,59.34,15/03/2011,13/03/2021,57.75,19/03/2021,3,0.5069,0.0137,0.4794,-1,-1,-1
RENT3,17/03/2021,58,16/03/2011,16/03/2021,56.55,24/03/2021,5,0.5065,0.0137,0.4798,-1,-1,-1
RENT3,18/03/2021,59.78,17/03/2011,17/03/2021,55.13,25/03/2021,5,0.5061,0.0137,0.4802,-1,-1,-1
RENT3,19/03/2021,57.75,18/03/2011,18/03/2021,56.8,26/03/2021,5,0.5065,0.0137,0.4798,-1,-1,-1
RENT3,20/03/2021,59.3,19/03/2011,19/03/2021,57.43,27/03/2021,5,0.5061,0.0137,0.4802,-1,-1,-1
RENT3,23/03/2021,57.84,22/03/2011,20/03/2021,57.55,30/03/2021,5,0.5065,0.0137,0.4798,-1,-1,-1
RENT3,24/03/2021,56.55,23/03/2011,23/03/2021,57.43,27/03/2021,3,0.5057,0.0137,0.4806,-1,-1,-1
RENT3,25/03/2021,55.13,24/03/2011,24/03/2021,59.73,01/04/2021,5,0.5057,0.0137,0.4806,-1,-1,-1
RENT3,26/03/2021,56.8,25/03/2011,25/03/2021,60.04,02/04/2021,5,0.5053,0.0137,0.4810,-1,-1,-1
RENT3,27/03/2021,57.43,26/03/2011,26/03/2021,61.53,06/04/2021,5,0.5057,0.0137,0.4806,-1,-1,-1
RENT3,30/03/2021,57.55,29/03/2011,27/03/2021,62.36,07/04/2021,5,0.5061,0.0137,0.4802,-1,-1,-1
RENT3,31/03/2021,59.8,30/03/2011,30/03/2021,62.4,08/04/2021,5,0.5061,0.0137,0.4802,-1,-1,-1
RENT3,01/04/2021,59.73,31/03/2011,31/03/2021,63.6,09/04/2021,5,0.5065,0.0133,0.4802,-1,-1,-1
RENT3,02/04/2021,60.04,01/04/2011,01/04/2021,62.99,10/04/2021,5,0.5057,0.0133,0.4810,-1,-1,-1
RENT3,06/04/2021,61.53,02/04/2011,02/04/2021,62.98,13/04/2021,5,0.5061,0.0133,0.4806,-1,-1,-1
RENT3,07/04/2021,62.36,05/04/2011,06/04/2021,62.99,10/04/2021,3,0.5065,0.0133,0.4802,-1,-1,-1
RENT3,08/04/2021,62.4,06/04/2011,07/04/2021,63.65,15/04/2021,5,0.5069,0.0133,0.4798,-1,-1,-1
