Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
SMTO3,05/01/2021,27.25,04/01/2011,31/12/2020,31.2,12/01/2021,5,0.4782,0.0307,0.4911,-1,-1,-1
SMTO3,06/01/2021,27.3,05/01/2011,05/01/2021,31.85,13/01/2021,5,0.4774,0.0307,0.4919,-1,-1,-1
SMTO3,07/01/2021,28.67,06/01/2011,06/01/2021,31.35,14/01/2021,5,0.4782,0.0307,0.4911,-1,-1,-1
SMTO3,08/01/2021,30.08,07/01/2011,07/01/2021,31.59,15/01/2021,5,0.4782,0.0307,0.4911,-1,-1,-1
SMTO3,09/01/2021,31.09,08/01/2011,08/01/2021,31.08,16/01/2021,5,0.4782,0.0307,0.4911,-1,-1,-1
SMTO3,12/01/2021,31.2,11/01/2011,09/01/2021,31.65,19/01/2021,5,0.4782,0.0307,0.4911,-1,-1,-1
SMTO3,13/01/2021,31.85,12/01/2011,12/01/2021,32.08,20/01/2021,5,0.4782,0.0307,0.4911,-1,-1,-1
SMTO3,14/01/2021,31.35,13/01/2011,13/01/2021,31.26,21/01/2021,5,0.4782,0.0307,0.4911,-1,-1,-1
SMTO3,15/01/2021,31.59,14/01/2011,14/01/2021,30.62,22/01/2021,5,0.4774,0.0307,0.4919,-1,-1,-1
SMTO3,16/01/2021,31.08,15/01/2011,15/01/2021,30.31,23/01/2021,5,0.4782,0.0307,0.4911,-1,-1,-1
SMTO3,19/01/2021,31.65,18/01/2011,16/01/2021,30.43,27/01/2021,5,0.4778,0.0307,0.4915,-1,-1,-1
SMTO3,20/01/2021,32.08,19/01/2011,19/01/2021,30.01,28/01/2021,5,0.4786,0.0307,0.4907,-1,-1,-1
SMTO3,21/01/2021,31.26,20/01/2011,20/01/2021,30.4,29/01/2021,5,0.4786,0.0307,0.4907,-1,-1,-1
SMTO3,22/01/2021,30.62,21/01/2011,21/01/2021,29.79,30/01/2021,5,0.4782,0.0307,0.4911,-1,-1,-1
SMTO3,23/01/2021,30.31,22/01/2011,22/01/2021,30.84,02/02/2021,5,0.4782,0.0307,0.4911,-1,-1,-1
SMTO3,27/01/2021,30.43,25/01/2011,23/01/2021,30.48,03/02/2021,5,0.4782,0.0307,0.4911,-1,-1,-1
SMTO3,28/01/2021,30.01,27/01/2011,27/01/2021,30.4,04/02/2021,5,0.4790,0.0307,0.4903,-1,-1,-1
SMTO3,29/01/2021,30.4,28/01/2011,28/01/2021,30.21,05/02/2021,5,0.4786,0.0307,0.4907,-1,-1,-1
SMTO3,30/01/2021,29.79,29/01/2011,29/01/2021,30.6,06/02/2021,5,0.4794,0.0307,0.4899,-1,-1,-1
SMTO3,02/02/2021,30.84,01/02/2011,30/01/2021,33.36,09/02/2021,5,0.4786,0.0307,0.4907,-1,-1,-1
SMTO3,03/02/2021,30.48,02/02/2011,02/02/2021,32.7,10/02/2021,5,0.4794,0.0307,0.4899,-1,-1,-1
