Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
TRIS3,05/01/2021,11.71,04/01/2011,31/12/2020,11.49,15/01/2021,8,0.4487,0.1204,0.4309,-1,-1,-1
TRIS3,06/01/2021,11.3,05/01/2011,05/01/2021,11.45,16/01/2021,8,0.4483,0.1204,0.4314,-1,-1,-1
TRIS3,07/01/2021,10.8,06/01/2011,06/01/2021,11.22,19/01/2021,8,0.4478,0.1204,0.4318,-1,-1,-1
TRIS3,08/01/2021,10.65,07/01/2011,07/01/2021,11.22,20/01/2021,8,0.4478,0.1204,0.4318,-1,-1,-1
TRIS3,09/01/2021,11.22,08/01/2011,08/01/2021,11.22,21/01/2021,8,0.4478,0.1204,0.4318,-1,-1,-1
TRIS3,12/01/2021,10.85,11/01/2011,09/01/2021,10.84,22/01/2021,8,0.4487,0.1199,0.4314,-1,-1,-1
TRIS3,13/01/2021,11.22,12/01/2011,12/01/2021,10.41,23/01/2021,8,0.4483,0.1199,0.4318,-1,-1,-1
TRIS3,14/01/2021,10.98,13/01/2011,13/01/2021,10.49,27/01/2021,8,0.4491,0.1195,0.4314,-1,-1,-1
TRIS3,15/01/2021,11.49,14/01/2011,14/01/2021,10.69,28/01/2021,8,0.4487,0.1195,0.4318,-1,-1,-1
TRIS3,16/01/2021,11.45,15/01/2011,15/01/2021,10.91,29/01/2021,8,0.4491,0.1195,0.4314,-1,-1,-1
TRIS3,19/01/2021,11.22,18/01/2011,16/01/2021,10.8,30/01/2021,8,0.4483,0.1195,0.4322,-1,-1,-1
TRIS3,20/01/2021,11.22,19/01/2011,19/01/2021,11.2,02/02/2021,8,0.4478,0.1195,0.4327,-1,-1,-1
TRIS3,21/01/2021,11.22,20/01/2011,20/01/2021,11.36,03/02/2021,8,0.4478,0.1205,0.4318,-1,-1,-1
TRIS3,22/01/2021,10.84,21/01/2011,21/01/2021,11.45,04/02/2021,8,0.4478,0.1205,0.4318,-1,-1,-1
TRIS3,23/01/2021,10.41,22/01/2011,22/01/2021,11.38,05/02/2021,8,0.4474,0.1199,0.4327,-1,-1,-1
TRIS3,27/01/2021,10.49,25/01/2011,23/01/2021,11.22,06/02/2021,8,0.4474,0.1195,0.4331,-1,-1,-1
TRIS3,28/01/2021,10.69,27/01/2011,27/01/2021,11.33,09/02/2021,8,0.4478,0.1195,0.4327,-1,-1,-1
TRIS3,29/01/2021,10.91,28/01/2011,28/01/2021,10.97,10/02/2021,8,0.4482,0.1195,0.4323,-1,-1,-1
TRIS3,30/01/2021,10.8,29/01/2011,29/01/2021,10.5,11/02/2021,8,0.4487,0.1195,0.4318,-1,-1,-1
TRIS3,02/02/2021,11.2,01/02/2011,30/01/2021,10.59,12/02/2021,8,0.4478,0.1195,0.4327,-1,-1,-1
TRIS3,03/02/2021,11.36,02/02/2011,02/02/2021,10.58,13/02/2021,8,0.4482,0.1195,0.4323,-1,-1,-1
TRIS3,04/02/2021,11.45,03/02/2011,03/02/2021,10.39,18/02/2021,8,0.4487,0.1195,0.4318,-1,-1,-1
TRIS3,05/02/2021,11.38,04/02/2011,04/02/2021,10.22,19/02/2021,8,0.4487,0.1195,0.4318,-1,-1,-1
TRIS3,06/02/2021,11.22,05/02/2011,05/02/2021,10.32,20/02/2021,8,0.4483,0.1195,0.4322,-1,-1,-1
TRIS3,09/02/2021,11.33,08/02/2011,06/02/2021,10,23/02/2021,8,0.4483,0.1191,0.4327,-1,-1,-1
TRIS3,10/02/2021,10.97,09/02/2011,09/02/2021,10.17,24/02/2021,8,0.4491,0.1191,0.4318,-1,-1,-1
TRIS3,11/02/2021,10.5,10/02/2011,10/02/2021,10.06,25/02/2021,8,0.4487,0.1191,0.4322,-1,-1,-1
TRIS3,12/02/2021,10.59,11/02/2011,11/02/2021,9.96,26/02/2021,8,0.4487,0.1186,0.4327,-1,-1,-1
TRIS3,13/02/2021,10.58,12/02/2011,12/02/2021,9.36,27/02/2021,8,0.4491,0.1186,0.4323,-1,-1,-1
TRIS3,18/02/2021,10.39,15/02/2011,13/02/2021,9.18,02/03/2021,8,0.4483,0.1186,0.4331,-1,-1,-1
TRIS3,19/02/2021,10.22,16/02/2011,18/02/2021,9.31,03/03/2021,8,0.4483,0.1182,0.4335,-1,-1,-1
TRIS3,20/02/2021,10.32,17/02/2011,19/02/2021,9.24,04/03/2021,8,0.4483,0.1178,0.4340,-1,-1,-1
TRIS3,23/02/2021,10,18/02/2011,20/02/2021,9.29,05/03/2021,8,0.4491,0.1178,0.4331,-1,-1,-1
TRIS3,24/02/2021,10.17,19/02/2011,23/02/2021,9.99,06/03/2021,8,0.4487,0.1178,0.4335,-1,-1,-1
TRIS3,25/02/2021,10.06,22/02/2011,24/02/2021,9.39,09/03/2021,8,0.4495,0.1178,0.4327,-1,-1,-1
TRIS3,26/02/2021,9.96,23/02/2011,25/02/2021,9.09,10/03/2021,8,0.4491,0.1178,0.4331,-1,-1,-1
TRIS3,27/02/2021,9.36,24/02/2011,26/02/2021,9.33,11/03/2021,8,0.4491,0.1178,0.4331,-1,-1,-1
TRIS3,02/03/2021,9.18,25/02/2011,27/02/2021,10.32,12/03/2021,8,0.4491,0.1178,0.4331,-1,-1,-1
TRIS3,03/03/2021,9.31,26/02/2011,02/03/2021,10.56,13/03/2021,8,0.4491,0.1178,0.4331,-1,-1,-1
TRIS3,04/03/2021,9.24,01/03/2011,03/03/2021,10.3,16/03/2021,8,0.4495,0.1178,0.4327,-1,-1,-1
TRIS3,05/03/2021,9.29,02/03/2011,04/03/2021,10.29,17/03/2021,8,0.4491,0.1178,0.4331,-1,-1,-1
TRIS3,06/03/2021,9.99,03/03/2011,05/03/2021,10.52,18/03/2021,8,0.4500,0.1178,0.4323,-1,-1,-1
TRIS3,09/03/2021,9.39,04/03/2011,06/03/2021,10.14,19/03/2021,8,0.4504,0.1178,0.4318,-1,-1,-1
TRIS3,10/03/2021,9.09,05/03/2011,09/03/2021,10.37,20/03/2021,8,0.4500,0.1178,0.4322,-1,-1,-1
TRIS3,11/03/2021,9.33,10/03/2011,10/03/2021,10.39,23/03/2021,8,0.4500,0.1178,0.4322,-1,-1,-1
TRIS3,12/03/2021,10.32,11/03/2011,11/03/2021,10.26,24/03/2021,8,0.4508,0.1178,0.4314,-1,-1,-1
TRIS3,13/03/2021,10.56,12/03/2011,12/03/2021,9.74,25/03/2021,8,0.4508,0.1178,0.4314,-1,-1,-1
TRIS3,16/03/2021,10.3,15/03/2011,13/03/2021,9.92,26/03/2021,8,0.4508,0.1178,0.4314,-1,-1,-1
TRIS3,17/03/2021,10.29,16/03/2011,16/03/2021,9.7,27/03/2021,8,0.4500,0.1178,0.4322,-1,-1,-1
TRIS3,18/03/2021,10.52,17/03/2011,17/03/2021,9.58,30/03/2021,8,0.4500,0.1178,0.4322,-1,-1,-1
TRIS3,19/03/2021,10.14,18/03/2011,18/03/2021,9.93,31/03/2021,8,0.4508,0.1173,0.4318,-1,-1,-1
TRIS3,20/03/2021,10.37,19/03/2011,19/03/2021,9.83,01/04/2021,8,0.4500,0.1173,0.4327,-1,-1,-1
TRIS3,23/03/2021,10.39,22/03/2011,20/03/2021,9.73,02/04/2021,8,0.4508,0.1173,0.4318,-1,-1,-1
TRIS3,24/03/2021,10.26,23/03/2011,23/03/2021,10.07,06/04/2021,8,0.4513,0.1173,0.4314,-1,-1,-1
TRIS3,25/03/2021,9.74,24/03/2011,24/03/2021,10.2,07/04/2021,8,0.4504,0.1173,0.4322,-1,-1,-1
TRIS3,26/03/2021,9.92,25/03/2011,25/03/2021,9.91,08/04/2021,8,0.4500,0.1173,0.4327,-1,-1,-1
TRIS3,27/03/2021,9.7,26/03/2011,26/03/2021,9.92,09/04/2021,8,0.4508,0.1173,0.4318,-1,-1,-1
TRIS3,30/03/2021,9.58,29/03/2011,27/03/2021,10.14,10/04/2021,8,0.4504,0.1173,0.4322,-1,-1,-1
TRIS3,31/03/2021,9.93,30/03/2011,30/03/2021,10.16,13/04/2021,8,0.4504,0.1173,0.4322,-1,-1,-1
TRIS3,01/04/2021,9.83,31/03/2011,31/03/2021,10.07,14/04/2021,8,0.4513,0.1173,0.4314,-1,-1,-1
TRIS3,02/04/2021,9.73,01/04/2011,01/04/2021,9.99,15/04/2021,8,0.4509,0.1173,0.4318,-1,-1,-1
TRIS3,06/04/2021,10.07,02/04/2011,02/04/2021,10.1,16/04/2021,8,0.4509,0.1169,0.4322,-1,-1,-1
TRIS3,07/04/2021,10.2,05/04/2011,06/04/2021,10.19,17/04/2021,8,0.4517,0.1169,0.4314,-1,-1,-1
TRIS3,08/04/2021,9.91,06/04/2011,07/04/2021,10.23,20/04/2021,8,0.4517,0.1169,0.4314,-1,-1,-1
TRIS3,09/04/2021,9.92,07/04/2011,08/04/2021,10.03,21/04/2021,8,0.4513,0.1169,0.4318,-1,-1,-1
TRIS3,10/04/2021,10.14,08/04/2011,09/04/2021,9.94,23/04/2021,8,0.4521,0.1169,0.4310,-1,-1,-1
