Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
WEGE3,05/01/2021,74.62,04/01/2011,31/12/2020,87.03,12/01/2021,5,0.5133,0.0250,0.4616,1,1,1
WEGE3,06/01/2021,79.2,05/01/2011,05/01/2021,86.16,16/01/2021,8,0.5129,0.0250,0.4620,1,1,1
WEGE3,07/01/2021,81.54,06/01/2011,06/01/2021,90.28,14/01/2021,5,0.5137,0.0250,0.4612,1,1,1
WEGE3,08/01/2021,84.66,07/01/2011,07/01/2021,89.87,15/01/2021,5,0.5141,0.0250,0.4608,1,1,1
WEGE3,09/01/2021,89.78,08/01/2011,08/01/2021,86.16,16/01/2021,5,0.5141,0.0250,0.4608,0,1,0
WEGE3,12/01/2021,87.03,11/01/2011,09/01/2021,92.21,19/01/2021,5,0.5141,0.0250,0.4608,1,1,1
WEGE3,13/01/2021,90.07,12/01/2011,12/01/2021,89.6,20/01/2021,5,0.5133,0.0250,0.4616,0,0,0
WEGE3,14/01/2021,90.28,13/01/2011,13/01/2021,88.7,21/01/2021,5,0.5137,0.0250,0.4612,0,0,0
WEGE3,15/01/2021,89.87,14/01/2011,14/01/2021,88.25,28/01/2021,8,0.5142,0.0250,0.4608,0,0,0
WEGE3,16/01/2021,86.16,15/01/2011,15/01/2021,88.97,23/01/2021,5,0.5138,0.0250,0.4612,1,1,1
WEGE3,19/01/2021,92.21,18/01/2011,16/01/2021,88.95,27/01/2021,5,0.5138,0.0250,0.4612,0,0,0
WEGE3,20/01/2021,89.6,19/01/2011,19/01/2021,88.25,28/01/2021,5,0.5145,0.0250,0.4604,0,0,0
WEGE3,21/01/2021,88.7,20/01/2011,20/01/2021,87.97,29/01/2021,5,0.5138,0.0250,0.4612,0,0,0
WEGE3,22/01/2021,87.65,21/01/2011,21/01/2021,83.79,30/01/2021,5,0.5138,0.0250,0.4612,0,0,0
WEGE3,23/01/2021,88.97,22/01/2011,22/01/2021,84.54,02/02/2021,5,0.5138,0.0250,0.4612,0,0,0
WEGE3,27/01/2021,88.95,25/01/2011,23/01/2021,85,03/02/2021,5,0.5146,0.0250,0.4604,0,0,0
WEGE3,28/01/2021,88.25,27/01/2011,27/01/2021,88.67,04/02/2021,5,0.5142,0.0250,0.4608,1,0,0
WEGE3,29/01/2021,87.97,28/01/2011,28/01/2021,85.57,05/02/2021,5,0.5142,0.0250,0.4608,0,0,0
WEGE3,30/01/2021,83.79,29/01/2011,29/01/2021,84.5,06/02/2021,5,0.5142,0.0250,0.4608,1,1,1
WEGE3,02/02/2021,84.54,01/02/2011,30/01/2021,85.5,09/02/2021,5,0.5138,0.0250,0.4612,1,1,1
WEGE3,03/02/2021,85,02/02/2011,02/02/2021,85.01,10/02/2021,5,0.5146,0.0250,0.4604,1,1,1
WEGE3,04/02/2021,88.67,03/02/2011,03/02/2021,86.03,11/02/2021,5,0.5150,0.0250,0.4600,0,0,0
WEGE3,05/02/2021,85.57,04/02/2011,04/02/2021,87,12/02/2021,5,0.5154,0.0250,0.4596,1,1,0
WEGE3,06/02/2021,84.5,05/02/2011,05/02/2021,86.67,13/02/2021,5,0.5150,0.0250,0.4600,1,0,0
WEGE3,09/02/2021,85.5,08/02/2011,06/02/2021,83.95,18/02/2021,5,0.5150,0.0250,0.4600,0,0,0
WEGE3,10/02/2021,85.01,09/02/2011,09/02/2021,83.38,19/02/2021,5,0.5158,0.0250,0.4592,0,0,0
WEGE3,11/02/2021,86.03,10/02/2011,10/02/2021,83.24,20/02/2021,5,0.5150,0.0250,0.4600,0,0,0
WEGE3,12/02/2021,87,11/02/2011,11/02/2021,82.72,23/02/2021,5,0.5154,0.0250,0.4596,0,0,0
WEGE3,13/02/2021,86.67,12/02/2011,12/02/2021,83.66,24/02/2021,5,0.5158,0.0250,0.4592,0,1,0
WEGE3,18/02/2021,83.95,15/02/2011,13/02/2021,86.7,25/02/2021,5,0.5154,0.0250,0.4596,1,0,0
WEGE3,19/02/2021,83.38,16/02/2011,18/02/2021,79.5,26/02/2021,5,0.5150,0.0250,0.4600,0,0,0
WEGE3,20/02/2021,83.24,17/02/2011,19/02/2021,78.05,27/02/2021,5,0.5146,0.0250,0.4604,0,0,0
WEGE3,23/02/2021,82.72,18/02/2011,20/02/2021,78,02/03/2021,5,0.5142,0.0250,0.4608,0,0,0
WEGE3,24/02/2021,83.66,19/02/2011,23/02/2021,77.06,03/03/2021,5,0.5138,0.0250,0.4612,0,0,0
WEGE3,25/02/2021,86.7,22/02/2011,24/02/2021,77,04/03/2021,5,0.5145,0.0250,0.4604,0,0,0
WEGE3,26/02/2021,79.5,23/02/2011,25/02/2021,73.23,05/03/2021,5,0.5146,0.0250,0.4604,0,0,0
WEGE3,27/02/2021,78.05,24/02/2011,26/02/2021,73.04,06/03/2021,5,0.5142,0.0250,0.4608,0,0,0
WEGE3,02/03/2021,78,25/02/2011,27/02/2021,69.15,09/03/2021,5,0.5142,0.0250,0.4608,0,0,0
WEGE3,03/03/2021,77.06,26/02/2011,02/03/2021,71.5,10/03/2021,5,0.5142,0.0250,0.4608,0,0,0
WEGE3,04/03/2021,77,01/03/2011,03/03/2021,72.28,11/03/2021,5,0.5138,0.0250,0.4612,0,0,0
WEGE3,05/03/2021,73.23,02/03/2011,04/03/2021,71.92,12/03/2021,5,0.5133,0.0250,0.4616,0,0,0
WEGE3,06/03/2021,73.04,03/03/2011,05/03/2021,71.15,13/03/2021,5,0.5129,0.0250,0.4620,0,1,1
WEGE3,09/03/2021,69.15,04/03/2011,06/03/2021,73.22,16/03/2021,5,0.5125,0.0250,0.4624,1,1,1
WEGE3,10/03/2021,71.5,05/03/2011,09/03/2021,73.4,17/03/2021,5,0.5125,0.0250,0.4624,1,1,1
WEGE3,11/03/2021,72.28,10/03/2011,10/03/2021,73.19,18/03/2021,5,0.5129,0.0250,0.4620,1,0,0
WEGE3,12/03/2021,71.92,11/03/2011,11/03/2021,71.81,19/03/2021,5,0.5133,0.0250,0.4616,0,1,0
WEGE3,13/03/2021,71.15,12/03/2011,12/03/2021,71.95,20/03/2021,5,0.5129,0.0250,0.4620,1,1,1
WEGE3,16/03/2021,73.22,15/03/2011,13/03/2021,71.3,23/03/2021,5,0.5125,0.0250,0.4624,0,0,0
WEGE3,17/03/2021,73.4,16/03/2011,16/03/2021,71.61,24/03/2021,5,0.5133,0.0250,0.4616,0,0,0
WEGE3,18/03/2021,73.19,17/03/2011,17/03/2021,70.52,25/03/2021,5,0.5137,0.0250,0.4612,0,0,0
WEGE3,19/03/2021,71.81,18/03/2011,18/03/2021,71.07,26/03/2021,5,0.5129,0.0250,0.4620,0,1,1
WEGE3,20/03/2021,71.95,19/03/2011,19/03/2021,72.74,27/03/2021,5,0.5125,0.0250,0.4624,1,1,1
WEGE3,23/03/2021,71.3,22/03/2011,20/03/2021,75.06,02/04/2021,8,0.5129,0.0250,0.4621,1,1,1
WEGE3,24/03/2021,71.61,23/03/2011,23/03/2021,75.05,31/03/2021,5,0.5121,0.0250,0.4628,-1,-1,-1
WEGE3,25/03/2021,70.52,24/03/2011,24/03/2021,77.1,07/04/2021,8,0.5129,0.0250,0.4621,1,1,1
WEGE3,26/03/2021,71.07,25/03/2011,25/03/2021,76.16,08/04/2021,8,0.5121,0.0250,0.4629,-1,-1,-1
WEGE3,27/03/2021,72.74,26/03/2011,26/03/2021,76.91,06/04/2021,5,0.5125,0.0250,0.4625,-1,-1,-1
WEGE3,30/03/2021,72.1,29/03/2011,27/03/2021,75.51,10/04/2021,8,0.5125,0.0250,0.4625,-1,-1,-1
WEGE3,31/03/2021,75.05,30/03/2011,30/03/2021,76.16,08/04/2021,5,0.5121,0.0250,0.4628,-1,-1,-1
WEGE3,01/04/2021,74.56,31/03/2011,31/03/2021,74.98,14/04/2021,8,0.5129,0.0250,0.4621,1,1,1
WEGE3,02/04/2021,75.06,01/04/2011,01/04/2021,76.23,15/04/2021,8,0.5121,0.0250,0.4628,-1,-1,-1
WEGE3,06/04/2021,76.91,02/04/2011,02/04/2021,75.51,13/04/2021,5,0.5125,0.0250,0.4625,-1,-1,-1
WEGE3,07/04/2021,77.1,05/04/2011,06/04/2021,74.98,14/04/2021,5,0.5125,0.0250,0.4625,-1,-1,-1
