Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
BBAS3,05/01/2021,37.59,03/01/2014,31/12/2020,39.14,12/01/2021,5,0.5015,0.0110,0.4875,-1,-1,-1
BBAS3,06/01/2021,37.2,04/01/2014,05/01/2021,39.5,13/01/2021,5,0.5010,0.0110,0.4880,-1,-1,-1
BBAS3,07/01/2021,37.99,07/01/2014,06/01/2021,37.55,14/01/2021,5,0.5010,0.0110,0.4880,-1,-1,-1
BBAS3,08/01/2021,39.56,08/01/2014,07/01/2021,37.46,15/01/2021,5,0.5021,0.0110,0.4869,-1,-1,-1
BBAS3,09/01/2021,39.79,09/01/2014,08/01/2021,36.3,16/01/2021,5,0.5027,0.0110,0.4863,-1,-1,-1
BBAS3,12/01/2021,39.14,10/01/2014,09/01/2021,35.93,19/01/2021,5,0.5033,0.0110,0.4858,-1,-1,-1
BBAS3,13/01/2021,39.5,11/01/2014,12/01/2021,35.32,20/01/2021,5,0.5021,0.0110,0.4869,-1,-1,-1
BBAS3,14/01/2021,37.55,14/01/2014,13/01/2021,34.53,21/01/2021,5,0.5033,0.0110,0.4858,-1,-1,-1
BBAS3,15/01/2021,37.46,15/01/2014,14/01/2021,34.18,22/01/2021,5,0.5021,0.0110,0.4869,-1,-1,-1
BBAS3,16/01/2021,36.3,16/01/2014,15/01/2021,33.69,23/01/2021,5,0.5021,0.0110,0.4869,-1,-1,-1
BBAS3,19/01/2021,35.93,17/01/2014,16/01/2021,32.79,27/01/2021,5,0.5021,0.0110,0.4869,-1,-1,-1
BBAS3,20/01/2021,35.32,18/01/2014,19/01/2021,33.59,28/01/2021,5,0.5021,0.0110,0.4869,-1,-1,-1
BBAS3,21/01/2021,34.53,21/01/2014,20/01/2021,34.54,29/01/2021,5,0.5021,0.0110,0.4869,-1,-1,-1
BBAS3,22/01/2021,34.18,22/01/2014,21/01/2021,33.86,30/01/2021,5,0.5015,0.0110,0.4875,-1,-1,-1
BBAS3,23/01/2021,33.69,23/01/2014,22/01/2021,34.29,02/02/2021,5,0.5010,0.0110,0.4880,-1,-1,-1
BBAS3,27/01/2021,32.79,24/01/2014,23/01/2021,34.06,03/02/2021,5,0.5010,0.0110,0.4880,-1,-1,-1
BBAS3,28/01/2021,33.59,25/01/2014,27/01/2021,34.33,04/02/2021,5,0.5010,0.0110,0.4881,-1,-1,-1
BBAS3,29/01/2021,34.54,28/01/2014,28/01/2021,34.19,05/02/2021,5,0.5016,0.0110,0.4875,-1,-1,-1
BBAS3,30/01/2021,33.86,29/01/2014,29/01/2021,33.96,06/02/2021,5,0.5021,0.0110,0.4869,-1,-1,-1
BBAS3,02/02/2021,34.29,30/01/2014,30/01/2021,33.87,09/02/2021,5,0.5016,0.0110,0.4875,-1,-1,-1
BBAS3,03/02/2021,34.06,31/01/2014,02/02/2021,34.28,10/02/2021,5,0.5027,0.0110,0.4863,-1,-1,-1
BBAS3,04/02/2021,34.33,01/02/2014,03/02/2021,33.81,11/02/2021,5,0.5016,0.0110,0.4875,-1,-1,-1
BBAS3,05/02/2021,34.19,04/02/2014,04/02/2021,33.94,12/02/2021,5,0.5027,0.0110,0.4863,-1,-1,-1
BBAS3,06/02/2021,33.96,05/02/2014,05/02/2021,33.75,13/02/2021,5,0.5016,0.0110,0.4875,-1,-1,-1
BBAS3,09/02/2021,33.87,06/02/2014,06/02/2021,33.36,18/02/2021,5,0.5015,0.0110,0.4875,-1,-1,-1
BBAS3,10/02/2021,34.28,07/02/2014,09/02/2021,33.26,19/02/2021,5,0.5010,0.0110,0.4880,-1,-1,-1
BBAS3,11/02/2021,33.81,08/02/2014,10/02/2021,32.63,20/02/2021,5,0.5021,0.0110,0.4869,-1,-1,-1
BBAS3,12/02/2021,33.94,11/02/2014,11/02/2021,28.83,23/02/2021,5,0.5010,0.0110,0.4880,-1,-1,-1
BBAS3,13/02/2021,33.75,12/02/2014,12/02/2021,30.43,24/02/2021,5,0.5021,0.0110,0.4869,-1,-1,-1
BBAS3,18/02/2021,33.36,13/02/2014,13/02/2021,30.31,25/02/2021,5,0.5010,0.0110,0.4880,-1,-1,-1
BBAS3,19/02/2021,33.26,14/02/2014,18/02/2021,29.5,26/02/2021,5,0.5010,0.0110,0.4880,-1,-1,-1
BBAS3,20/02/2021,32.63,15/02/2014,19/02/2021,28.05,27/02/2021,5,0.5010,0.0110,0.4881,-1,-1,-1
BBAS3,23/02/2021,28.83,18/02/2014,20/02/2021,27.86,02/03/2021,5,0.5004,0.0110,0.4886,-1,-1,-1
BBAS3,24/02/2021,30.43,19/02/2014,23/02/2021,28.93,03/03/2021,5,0.5004,0.0110,0.4886,-1,-1,-1
BBAS3,25/02/2021,30.31,20/02/2014,24/02/2021,28.99,04/03/2021,5,0.5015,0.0110,0.4875,-1,-1,-1
BBAS3,26/02/2021,29.5,21/02/2014,25/02/2021,30.04,05/03/2021,5,0.5004,0.0110,0.4886,-1,-1,-1
BBAS3,27/02/2021,28.05,22/02/2014,26/02/2021,30.6,06/03/2021,5,0.5004,0.0110,0.4886,-1,-1,-1
BBAS3,02/03/2021,27.86,25/02/2014,27/02/2021,29.2,09/03/2021,5,0.5004,0.0110,0.4886,-1,-1,-1
BBAS3,03/03/2021,28.93,26/02/2014,02/03/2021,28.99,10/03/2021,5,0.4998,0.0110,0.4892,-1,-1,-1
BBAS3,04/03/2021,28.99,27/02/2014,03/03/2021,29.9,11/03/2021,5,0.5010,0.0110,0.4881,-1,-1,-1
BBAS3,05/03/2021,30.04,28/02/2014,04/03/2021,30.05,12/03/2021,5,0.5010,0.0110,0.4881,-1,-1,-1
BBAS3,06/03/2021,30.6,01/03/2014,05/03/2021,30,13/03/2021,5,0.5010,0.0110,0.4881,-1,-1,-1
BBAS3,09/03/2021,29.2,06/03/2014,06/03/2021,29.79,16/03/2021,5,0.5015,0.0104,0.4880,-1,-1,-1
BBAS3,10/03/2021,28.99,07/03/2014,09/03/2021,29.87,17/03/2021,5,0.5010,0.0104,0.4886,-1,-1,-1
BBAS3,11/03/2021,29.9,08/03/2014,10/03/2021,30.7,18/03/2021,5,0.5010,0.0104,0.4886,-1,-1,-1
