Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
BBDC4,05/01/2021,26.43,03/01/2014,31/12/2020,27.11,12/01/2021,5,0.4997,0.0116,0.4888,-1,-1,-1
BBDC4,06/01/2021,26.25,04/01/2014,05/01/2021,27.09,13/01/2021,5,0.4997,0.0116,0.4888,-1,-1,-1
BBDC4,07/01/2021,27.07,07/01/2014,06/01/2021,26.68,14/01/2021,5,0.4991,0.0116,0.4893,-1,-1,-1
BBDC4,08/01/2021,27.84,08/01/2014,07/01/2021,27.5,15/01/2021,5,0.5002,0.0116,0.4882,-1,-1,-1
BBDC4,09/01/2021,27.6,09/01/2014,08/01/2021,26.74,16/01/2021,5,0.5008,0.0116,0.4876,-1,-1,-1
BBDC4,12/01/2021,27.11,10/01/2014,09/01/2021,26.83,19/01/2021,5,0.5002,0.0116,0.4882,-1,-1,-1
BBDC4,13/01/2021,27.09,11/01/2014,12/01/2021,26.4,20/01/2021,5,0.4997,0.0116,0.4888,-1,-1,-1
BBDC4,14/01/2021,26.68,14/01/2014,13/01/2021,25.85,21/01/2021,5,0.4996,0.0116,0.4888,-1,-1,-1
BBDC4,15/01/2021,27.5,15/01/2014,14/01/2021,25.48,22/01/2021,5,0.4991,0.0116,0.4894,-1,-1,-1
BBDC4,16/01/2021,26.74,16/01/2014,15/01/2021,25.01,23/01/2021,5,0.4997,0.0116,0.4888,-1,-1,-1
BBDC4,19/01/2021,26.83,17/01/2014,16/01/2021,24.41,27/01/2021,5,0.4991,0.0116,0.4893,-1,-1,-1
BBDC4,20/01/2021,26.4,18/01/2014,19/01/2021,24.8,28/01/2021,5,0.5002,0.0116,0.4882,-1,-1,-1
BBDC4,21/01/2021,25.85,21/01/2014,20/01/2021,25.53,29/01/2021,5,0.4997,0.0116,0.4888,-1,-1,-1
BBDC4,22/01/2021,25.48,22/01/2014,21/01/2021,24.74,30/01/2021,5,0.4991,0.0116,0.4894,-1,-1,-1
BBDC4,23/01/2021,25.01,23/01/2014,22/01/2021,25.25,02/02/2021,5,0.4985,0.0116,0.4899,-1,-1,-1
BBDC4,27/01/2021,24.41,24/01/2014,23/01/2021,25.13,03/02/2021,5,0.4985,0.0116,0.4899,-1,-1,-1
BBDC4,28/01/2021,24.8,25/01/2014,27/01/2021,25.25,04/02/2021,5,0.4985,0.0116,0.4899,-1,-1,-1
BBDC4,29/01/2021,25.53,28/01/2014,28/01/2021,26.01,05/02/2021,5,0.4991,0.0116,0.4894,-1,-1,-1
BBDC4,30/01/2021,24.74,29/01/2014,29/01/2021,25.87,06/02/2021,5,0.4991,0.0116,0.4894,-1,-1,-1
BBDC4,02/02/2021,25.25,30/01/2014,30/01/2021,25.32,09/02/2021,5,0.4985,0.0116,0.4899,-1,-1,-1
BBDC4,03/02/2021,25.13,31/01/2014,02/02/2021,25.45,10/02/2021,5,0.4996,0.0116,0.4888,-1,-1,-1
BBDC4,04/02/2021,25.25,01/02/2014,03/02/2021,25.17,11/02/2021,5,0.4985,0.0116,0.4899,-1,-1,-1
BBDC4,05/02/2021,26.01,04/02/2014,04/02/2021,25.2,12/02/2021,5,0.4996,0.0116,0.4888,-1,-1,-1
