Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
BRKM5,05/01/2021,23.35,03/01/2014,31/12/2020,25.1,12/01/2021,5,0.4754,0.0121,0.5124,-1,-1,-1
BRKM5,06/01/2021,23.36,04/01/2014,05/01/2021,25.11,13/01/2021,5,0.4743,0.0121,0.5136,-1,-1,-1
BRKM5,07/01/2021,24.27,07/01/2014,06/01/2021,25.1,14/01/2021,5,0.4755,0.0121,0.5124,-1,-1,-1
BRKM5,08/01/2021,24.87,08/01/2014,07/01/2021,25.24,15/01/2021,5,0.4761,0.0121,0.5118,-1,-1,-1
BRKM5,09/01/2021,24.69,09/01/2014,08/01/2021,25.2,16/01/2021,5,0.4766,0.0121,0.5113,-1,-1,-1
BRKM5,12/01/2021,25.1,10/01/2014,09/01/2021,24.83,19/01/2021,5,0.4754,0.0121,0.5124,-1,-1,-1
BRKM5,13/01/2021,25.11,11/01/2014,12/01/2021,25.38,20/01/2021,5,0.4761,0.0121,0.5118,-1,-1,-1
BRKM5,14/01/2021,25.1,14/01/2014,13/01/2021,25.21,21/01/2021,5,0.4766,0.0121,0.5113,-1,-1,-1
BRKM5,15/01/2021,25.24,15/01/2014,14/01/2021,24.83,22/01/2021,5,0.4754,0.0121,0.5124,-1,-1,-1
BRKM5,16/01/2021,25.2,16/01/2014,15/01/2021,24.01,23/01/2021,5,0.4766,0.0121,0.5112,-1,-1,-1
BRKM5,19/01/2021,24.83,17/01/2014,16/01/2021,23.65,27/01/2021,5,0.4760,0.0121,0.5118,-1,-1,-1
BRKM5,20/01/2021,25.38,18/01/2014,19/01/2021,23.22,28/01/2021,5,0.4760,0.0121,0.5119,-1,-1,-1
BRKM5,21/01/2021,25.21,21/01/2014,20/01/2021,23.83,29/01/2021,5,0.4766,0.0121,0.5113,-1,-1,-1
BRKM5,22/01/2021,24.83,22/01/2014,21/01/2021,24.22,30/01/2021,5,0.4760,0.0116,0.5124,-1,-1,-1
BRKM5,23/01/2021,24.01,23/01/2014,22/01/2021,25.56,02/02/2021,5,0.4760,0.0116,0.5124,-1,-1,-1
BRKM5,27/01/2021,23.65,24/01/2014,23/01/2021,27.18,03/02/2021,5,0.4760,0.0116,0.5124,-1,-1,-1
BRKM5,28/01/2021,23.22,25/01/2014,27/01/2021,28.87,04/02/2021,5,0.4760,0.0116,0.5124,-1,-1,-1
BRKM5,29/01/2021,23.83,28/01/2014,28/01/2021,29.71,05/02/2021,5,0.4760,0.0116,0.5125,-1,-1,-1
BRKM5,30/01/2021,24.22,29/01/2014,29/01/2021,29.16,06/02/2021,5,0.4766,0.0116,0.5118,-1,-1,-1
BRKM5,02/02/2021,25.56,30/01/2014,30/01/2021,28.63,09/02/2021,5,0.4772,0.0116,0.5112,-1,-1,-1
BRKM5,03/02/2021,27.18,31/01/2014,02/02/2021,28.99,10/02/2021,5,0.4777,0.0116,0.5107,-1,-1,-1
BRKM5,04/02/2021,28.87,01/02/2014,03/02/2021,28.81,11/02/2021,5,0.4778,0.0116,0.5107,-1,-1,-1
BRKM5,05/02/2021,29.71,04/02/2014,04/02/2021,29.33,12/02/2021,5,0.4784,0.0116,0.5101,-1,-1,-1
BRKM5,06/02/2021,29.16,05/02/2014,05/02/2021,30.22,13/02/2021,5,0.4789,0.0116,0.5095,-1,-1,-1
BRKM5,09/02/2021,28.63,06/02/2014,06/02/2021,30.52,18/02/2021,5,0.4783,0.0116,0.5101,-1,-1,-1
BRKM5,10/02/2021,28.99,07/02/2014,09/02/2021,30.22,19/02/2021,5,0.4777,0.0116,0.5107,-1,-1,-1
BRKM5,11/02/2021,28.81,08/02/2014,10/02/2021,30.65,20/02/2021,5,0.4784,0.0116,0.5101,-1,-1,-1
BRKM5,12/02/2021,29.33,11/02/2014,11/02/2021,30.01,23/02/2021,5,0.4777,0.0116,0.5107,-1,-1,-1
BRKM5,13/02/2021,30.22,12/02/2014,12/02/2021,30.09,24/02/2021,5,0.4784,0.0116,0.5101,-1,-1,-1
BRKM5,18/02/2021,30.52,13/02/2014,13/02/2021,33.14,25/02/2021,5,0.4789,0.0116,0.5095,-1,-1,-1
BRKM5,19/02/2021,30.22,14/02/2014,18/02/2021,31.71,26/02/2021,5,0.4789,0.0116,0.5095,-1,-1,-1
BRKM5,20/02/2021,30.65,15/02/2014,19/02/2021,31.26,27/02/2021,5,0.4777,0.0116,0.5107,-1,-1,-1
BRKM5,23/02/2021,30.01,18/02/2014,20/02/2021,31.78,02/03/2021,5,0.4789,0.0116,0.5095,-1,-1,-1
BRKM5,24/02/2021,30.09,19/02/2014,23/02/2021,30.51,03/03/2021,5,0.4783,0.0116,0.5101,-1,-1,-1
BRKM5,25/02/2021,33.14,20/02/2014,24/02/2021,29.51,04/03/2021,5,0.4795,0.0116,0.5090,-1,-1,-1
BRKM5,26/02/2021,31.71,21/02/2014,25/02/2021,30.13,05/03/2021,5,0.4795,0.0116,0.5089,-1,-1,-1
BRKM5,27/02/2021,31.26,22/02/2014,26/02/2021,30.53,06/03/2021,5,0.4789,0.0116,0.5095,-1,-1,-1
BRKM5,02/03/2021,31.78,25/02/2014,27/02/2021,30.2,09/03/2021,5,0.4789,0.0116,0.5095,-1,-1,-1
