Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
CIEL3,05/01/2021,3.9,03/01/2014,31/12/2020,3.72,12/01/2021,5,0.4605,0.0139,0.5256,1,1,1
CIEL3,06/01/2021,3.81,04/01/2014,05/01/2021,3.82,13/01/2021,5,0.4593,0.0139,0.5268,0,0,0
CIEL3,07/01/2021,3.72,07/01/2014,06/01/2021,3.88,14/01/2021,5,0.4588,0.0139,0.5274,0,0,0
CIEL3,08/01/2021,3.75,08/01/2014,07/01/2021,3.93,15/01/2021,5,0.4582,0.0139,0.5280,0,0,0
CIEL3,09/01/2021,3.83,09/01/2014,08/01/2021,3.82,16/01/2021,5,0.4588,0.0139,0.5274,1,1,1
CIEL3,12/01/2021,3.72,10/01/2014,09/01/2021,3.81,19/01/2021,5,0.4593,0.0139,0.5268,0,0,0
CIEL3,13/01/2021,3.82,11/01/2014,12/01/2021,3.77,20/01/2021,5,0.4582,0.0139,0.5279,1,1,1
CIEL3,14/01/2021,3.88,14/01/2014,13/01/2021,3.75,21/01/2021,5,0.4594,0.0139,0.5268,1,1,1
CIEL3,15/01/2021,3.93,15/01/2014,14/01/2021,3.66,22/01/2021,5,0.4599,0.0139,0.5262,1,1,1
CIEL3,16/01/2021,3.82,16/01/2014,15/01/2021,3.61,23/01/2021,5,0.4605,0.0139,0.5256,1,1,0
CIEL3,19/01/2021,3.81,17/01/2014,16/01/2021,3.67,27/01/2021,5,0.4599,0.0139,0.5262,1,0,0
CIEL3,20/01/2021,3.77,18/01/2014,19/01/2021,4.16,28/01/2021,5,0.4599,0.0139,0.5262,0,0,0
CIEL3,21/01/2021,3.75,21/01/2014,20/01/2021,4.13,29/01/2021,5,0.4599,0.0139,0.5262,0,0,0
CIEL3,22/01/2021,3.66,22/01/2014,21/01/2021,4.11,30/01/2021,5,0.4599,0.0139,0.5262,0,0,0
CIEL3,23/01/2021,3.61,23/01/2014,22/01/2021,4.2,02/02/2021,5,0.4594,0.0139,0.5268,0,0,0
CIEL3,27/01/2021,3.67,24/01/2014,23/01/2021,4.22,03/02/2021,5,0.4594,0.0139,0.5268,0,0,0
CIEL3,28/01/2021,4.16,25/01/2014,27/01/2021,4.2,04/02/2021,5,0.4605,0.0139,0.5256,0,1,0
CIEL3,29/01/2021,4.13,28/01/2014,28/01/2021,4.13,05/02/2021,5,0.4611,0.0139,0.5251,0,0,1
CIEL3,30/01/2021,4.11,29/01/2014,29/01/2021,4.19,06/02/2021,5,0.4599,0.0139,0.5262,0,1,1
CIEL3,02/02/2021,4.2,30/01/2014,30/01/2021,4.06,09/02/2021,5,0.4593,0.0139,0.5268,1,1,1
CIEL3,03/02/2021,4.22,31/01/2014,02/02/2021,4.06,10/02/2021,5,0.4599,0.0139,0.5262,1,1,1
CIEL3,04/02/2021,4.2,01/02/2014,03/02/2021,3.91,11/02/2021,5,0.4599,0.0139,0.5262,1,1,1
