Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
CPLE6,05/01/2021,73.65,03/01/2014,31/12/2020,69.31,12/01/2021,5,0.5008,0.0104,0.4887,-1,-1,-1
CPLE6,06/01/2021,72.54,04/01/2014,05/01/2021,73.32,09/01/2021,3,0.4997,0.0104,0.4899,-1,-1,-1
CPLE6,07/01/2021,72.33,07/01/2014,06/01/2021,69.31,12/01/2021,3,0.4997,0.0104,0.4899,-1,-1,-1
CPLE6,08/01/2021,70.74,08/01/2014,07/01/2021,67.07,13/01/2021,3,0.4997,0.0104,0.4899,-1,-1,-1
CPLE6,09/01/2021,73.32,09/01/2014,08/01/2021,65.4,14/01/2021,3,0.4997,0.0104,0.4899,-1,-1,-1
CPLE6,12/01/2021,69.31,10/01/2014,09/01/2021,65.26,19/01/2021,5,0.5008,0.0104,0.4887,-1,-1,-1
CPLE6,13/01/2021,67.07,11/01/2014,12/01/2021,66.01,16/01/2021,3,0.4997,0.0104,0.4899,-1,-1,-1
CPLE6,14/01/2021,65.4,14/01/2014,13/01/2021,65.26,19/01/2021,3,0.4991,0.0104,0.4905,-1,-1,-1
CPLE6,15/01/2021,67.05,15/01/2014,14/01/2021,64.99,20/01/2021,3,0.4986,0.0104,0.4910,-1,-1,-1
CPLE6,16/01/2021,66.01,16/01/2014,15/01/2021,65.13,21/01/2021,3,0.4997,0.0104,0.4899,-1,-1,-1
CPLE6,19/01/2021,65.26,17/01/2014,16/01/2021,63.66,27/01/2021,5,0.4992,0.0104,0.4904,-1,-1,-1
CPLE6,20/01/2021,64.99,18/01/2014,19/01/2021,64.45,28/01/2021,5,0.4992,0.0104,0.4904,-1,-1,-1
CPLE6,21/01/2021,65.13,21/01/2014,20/01/2021,66.16,29/01/2021,5,0.4992,0.0104,0.4904,-1,-1,-1
CPLE6,22/01/2021,66.28,22/01/2014,21/01/2021,64.45,28/01/2021,3,0.5003,0.0104,0.4893,-1,-1,-1
CPLE6,23/01/2021,65.31,23/01/2014,22/01/2021,66.16,29/01/2021,3,0.5003,0.0104,0.4893,-1,-1,-1
CPLE6,27/01/2021,63.66,24/01/2014,23/01/2021,65.28,30/01/2021,3,0.4997,0.0104,0.4899,-1,-1,-1
CPLE6,28/01/2021,64.45,25/01/2014,27/01/2021,65.4,02/02/2021,3,0.4997,0.0104,0.4899,-1,-1,-1
CPLE6,29/01/2021,66.16,28/01/2014,28/01/2021,67.34,05/02/2021,5,0.5008,0.0104,0.4887,-1,-1,-1
CPLE6,30/01/2021,65.28,29/01/2014,29/01/2021,66.03,04/02/2021,3,0.5009,0.0104,0.4887,-1,-1,-1
CPLE6,02/02/2021,65.4,30/01/2014,30/01/2021,67.34,05/02/2021,3,0.5003,0.0104,0.4893,-1,-1,-1
CPLE6,03/02/2021,66.2,31/01/2014,02/02/2021,67.93,06/02/2021,3,0.5014,0.0104,0.4882,-1,-1,-1
CPLE6,04/02/2021,66.03,01/02/2014,03/02/2021,66.3,11/02/2021,5,0.5015,0.0104,0.4881,-1,-1,-1
CPLE6,05/02/2021,67.34,04/02/2014,04/02/2021,66.9,10/02/2021,3,0.5009,0.0104,0.4887,-1,-1,-1
CPLE6,06/02/2021,67.93,05/02/2014,05/02/2021,66.3,11/02/2021,3,0.5020,0.0104,0.4876,-1,-1,-1
CPLE6,09/02/2021,67.8,06/02/2014,06/02/2021,67.17,12/02/2021,3,0.5026,0.0104,0.4870,-1,-1,-1
CPLE6,10/02/2021,66.9,07/02/2014,09/02/2021,65.89,13/02/2021,3,0.5015,0.0104,0.4881,-1,-1,-1
CPLE6,11/02/2021,66.3,08/02/2014,10/02/2021,65.12,18/02/2021,3,0.5015,0.0104,0.4881,-1,-1,-1
CPLE6,12/02/2021,67.17,11/02/2014,11/02/2021,63.09,19/02/2021,3,0.5014,0.0104,0.4882,-1,-1,-1
CPLE6,13/02/2021,65.89,12/02/2014,12/02/2021,63.26,20/02/2021,3,0.5020,0.0104,0.4876,-1,-1,-1
CPLE6,18/02/2021,65.12,13/02/2014,13/02/2021,60.14,23/02/2021,3,0.5009,0.0104,0.4887,-1,-1,-1
CPLE6,19/02/2021,63.09,14/02/2014,18/02/2021,61.14,24/02/2021,3,0.5009,0.0104,0.4887,-1,-1,-1
CPLE6,20/02/2021,63.26,15/02/2014,19/02/2021,61.5,25/02/2021,3,0.5003,0.0104,0.4893,-1,-1,-1
CPLE6,23/02/2021,60.14,18/02/2014,20/02/2021,58.99,02/03/2021,5,0.5015,0.0104,0.4881,-1,-1,-1
CPLE6,24/02/2021,61.14,19/02/2014,23/02/2021,58.58,27/02/2021,3,0.5009,0.0104,0.4887,-1,-1,-1
CPLE6,25/02/2021,61.5,20/02/2014,24/02/2021,58.99,02/03/2021,3,0.5014,0.0104,0.4882,-1,-1,-1
CPLE6,26/02/2021,59.55,21/02/2014,25/02/2021,62.85,05/03/2021,5,0.5015,0.0104,0.4882,-1,-1,-1
CPLE6,27/02/2021,58.58,22/02/2014,26/02/2021,60.01,04/03/2021,3,0.5009,0.0098,0.4893,-1,-1,-1
CPLE6,02/03/2021,58.99,25/02/2014,27/02/2021,62.85,05/03/2021,3,0.5009,0.0098,0.4893,-1,-1,-1
CPLE6,03/03/2021,60.49,26/02/2014,02/03/2021,61.11,06/03/2021,3,0.5020,0.0098,0.4882,-1,-1,-1
CPLE6,04/03/2021,60.01,27/02/2014,03/03/2021,59.55,09/03/2021,3,0.5020,0.0098,0.4882,-1,-1,-1
CPLE6,05/03/2021,62.85,28/02/2014,04/03/2021,59.17,10/03/2021,3,0.5009,0.0098,0.4893,-1,-1,-1
CPLE6,06/03/2021,61.11,01/03/2014,05/03/2021,61.64,11/03/2021,3,0.5020,0.0098,0.4882,-1,-1,-1
CPLE6,09/03/2021,59.55,06/03/2014,06/03/2021,6.76,16/03/2021,5,0.5014,0.0098,0.4888,-1,-1,-1
CPLE6,10/03/2021,59.17,07/03/2014,09/03/2021,6.3,13/03/2021,3,0.5009,0.0098,0.4893,-1,-1,-1
CPLE6,11/03/2021,61.64,08/03/2014,10/03/2021,6.76,16/03/2021,3,0.5009,0.0098,0.4893,-1,-1,-1
CPLE6,12/03/2021,61.36,11/03/2014,11/03/2021,6.88,17/03/2021,3,0.5020,0.0098,0.4882,-1,-1,-1
CPLE6,13/03/2021,6.3,12/03/2014,12/03/2021,6.99,20/03/2021,5,0.5008,0.0098,0.4893,-1,-1,-1
CPLE6,16/03/2021,6.76,13/03/2014,13/03/2021,6.95,19/03/2021,3,0.5003,0.0098,0.4899,-1,-1,-1
CPLE6,17/03/2021,6.88,14/03/2014,16/03/2021,6.99,20/03/2021,3,0.5009,0.0098,0.4893,-1,-1,-1
CPLE6,18/03/2021,6.98,15/03/2014,17/03/2021,7.1,23/03/2021,3,0.5014,0.0098,0.4887,-1,-1,-1
CPLE6,19/03/2021,6.95,18/03/2014,18/03/2021,7.08,24/03/2021,3,0.5020,0.0098,0.4882,-1,-1,-1
CPLE6,20/03/2021,6.99,19/03/2014,19/03/2021,6.98,27/03/2021,5,0.5008,0.0098,0.4893,-1,-1,-1
CPLE6,23/03/2021,7.1,20/03/2014,20/03/2021,7.06,30/03/2021,5,0.5014,0.0098,0.4888,-1,-1,-1
CPLE6,24/03/2021,7.08,21/03/2014,23/03/2021,7.07,31/03/2021,5,0.5014,0.0098,0.4888,-1,-1,-1
CPLE6,25/03/2021,6.82,22/03/2014,24/03/2021,7.06,30/03/2021,3,0.5003,0.0098,0.4899,-1,-1,-1
CPLE6,26/03/2021,6.87,25/03/2014,25/03/2021,7.07,31/03/2021,3,0.5003,0.0098,0.4899,-1,-1,-1
CPLE6,27/03/2021,6.98,26/03/2014,26/03/2021,6.31,06/04/2021,5,0.5008,0.0098,0.4893,-1,-1,-1
CPLE6,30/03/2021,7.06,27/03/2014,27/03/2021,6.32,07/04/2021,5,0.5008,0.0098,0.4893,-1,-1,-1
CPLE6,31/03/2021,7.07,28/03/2014,30/03/2021,6.32,08/04/2021,5,0.5008,0.0098,0.4893,-1,-1,-1
CPLE6,01/04/2021,7.13,29/03/2014,31/03/2021,6.28,09/04/2021,5,0.5008,0.0098,0.4893,-1,-1,-1
CPLE6,02/04/2021,6.36,01/04/2014,01/04/2021,6.32,08/04/2021,3,0.5009,0.0098,0.4893,-1,-1,-1
CPLE6,06/04/2021,6.31,02/04/2014,02/04/2021,6.28,09/04/2021,3,0.5003,0.0098,0.4899,-1,-1,-1
