Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
CYRE3,05/01/2021,28.5,03/01/2014,31/12/2020,27.4,08/01/2021,3,0.4836,0.0260,0.4904,-1,-1,-1
CYRE3,06/01/2021,27.95,04/01/2014,05/01/2021,28.71,09/01/2021,3,0.4824,0.0260,0.4916,-1,-1,-1
CYRE3,07/01/2021,27.12,07/01/2014,06/01/2021,27.6,12/01/2021,3,0.4824,0.0260,0.4916,-1,-1,-1
CYRE3,08/01/2021,27.4,08/01/2014,07/01/2021,28.96,13/01/2021,3,0.4824,0.0260,0.4916,-1,-1,-1
CYRE3,09/01/2021,28.71,09/01/2014,08/01/2021,28.58,16/01/2021,5,0.4836,0.0260,0.4904,-1,-1,-1
CYRE3,12/01/2021,27.6,10/01/2014,09/01/2021,28.55,19/01/2021,5,0.4842,0.0260,0.4898,-1,-1,-1
CYRE3,13/01/2021,28.96,11/01/2014,12/01/2021,28.58,16/01/2021,3,0.4830,0.0260,0.4910,-1,-1,-1
CYRE3,14/01/2021,28.78,14/01/2014,13/01/2021,28.42,21/01/2021,5,0.4836,0.0260,0.4904,-1,-1,-1
CYRE3,15/01/2021,29.78,15/01/2014,14/01/2021,28.26,20/01/2021,3,0.4824,0.0260,0.4916,-1,-1,-1
CYRE3,16/01/2021,28.58,16/01/2014,15/01/2021,28.42,21/01/2021,3,0.4830,0.0260,0.4910,-1,-1,-1
CYRE3,19/01/2021,28.55,17/01/2014,16/01/2021,26.9,22/01/2021,3,0.4824,0.0260,0.4916,-1,-1,-1
CYRE3,20/01/2021,28.26,18/01/2014,19/01/2021,26,23/01/2021,3,0.4824,0.0260,0.4916,-1,-1,-1
CYRE3,21/01/2021,28.42,21/01/2014,20/01/2021,26.65,29/01/2021,5,0.4819,0.0260,0.4921,-1,-1,-1
CYRE3,22/01/2021,26.9,22/01/2014,21/01/2021,25.79,28/01/2021,3,0.4830,0.0260,0.4910,-1,-1,-1
CYRE3,23/01/2021,26,23/01/2014,22/01/2021,26.42,02/02/2021,5,0.4819,0.0260,0.4921,-1,-1,-1
CYRE3,27/01/2021,25.54,24/01/2014,23/01/2021,27.1,03/02/2021,5,0.4819,0.0260,0.4921,-1,-1,-1
CYRE3,28/01/2021,25.79,25/01/2014,27/01/2021,26.42,02/02/2021,3,0.4818,0.0260,0.4922,-1,-1,-1
CYRE3,29/01/2021,26.65,28/01/2014,28/01/2021,27.1,03/02/2021,3,0.4824,0.0260,0.4916,-1,-1,-1
CYRE3,30/01/2021,25.63,29/01/2014,29/01/2021,28.14,04/02/2021,3,0.4830,0.0260,0.4910,-1,-1,-1
CYRE3,02/02/2021,26.42,30/01/2014,30/01/2021,27.86,05/02/2021,3,0.4824,0.0260,0.4916,-1,-1,-1
CYRE3,03/02/2021,27.1,31/01/2014,02/02/2021,28.08,10/02/2021,5,0.4836,0.0260,0.4904,-1,-1,-1
CYRE3,04/02/2021,28.14,01/02/2014,03/02/2021,27.65,11/02/2021,5,0.4842,0.0260,0.4898,-1,-1,-1
CYRE3,05/02/2021,27.86,04/02/2014,04/02/2021,28.08,10/02/2021,3,0.4847,0.0260,0.4893,-1,-1,-1
CYRE3,06/02/2021,27.44,05/02/2014,05/02/2021,28.35,13/02/2021,5,0.4836,0.0260,0.4904,-1,-1,-1
CYRE3,09/02/2021,28.75,06/02/2014,06/02/2021,28.03,12/02/2021,3,0.4830,0.0260,0.4910,-1,-1,-1
