Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
ENBR3,05/01/2021,19.56,03/01/2014,31/12/2020,19.31,12/01/2021,5,0.4952,0.0271,0.4777,-1,-1,-1
ENBR3,06/01/2021,19.1,04/01/2014,05/01/2021,20.42,16/01/2021,8,0.4946,0.0271,0.4782,-1,-1,-1
ENBR3,07/01/2021,18.98,07/01/2014,06/01/2021,20.16,19/01/2021,8,0.4946,0.0271,0.4782,-1,-1,-1
ENBR3,08/01/2021,18.56,08/01/2014,07/01/2021,20.17,20/01/2021,8,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,09/01/2021,19.36,09/01/2014,08/01/2021,20.05,21/01/2021,8,0.4941,0.0271,0.4788,-1,-1,-1
ENBR3,12/01/2021,19.31,10/01/2014,09/01/2021,19.68,22/01/2021,8,0.4951,0.0271,0.4777,-1,-1,-1
ENBR3,13/01/2021,19.68,11/01/2014,12/01/2021,19.46,23/01/2021,8,0.4941,0.0271,0.4788,-1,-1,-1
ENBR3,14/01/2021,19.89,14/01/2014,13/01/2021,19.19,27/01/2021,8,0.4951,0.0271,0.4777,-1,-1,-1
ENBR3,15/01/2021,20.5,15/01/2014,14/01/2021,19.36,28/01/2021,8,0.4952,0.0271,0.4777,-1,-1,-1
ENBR3,16/01/2021,20.42,16/01/2014,15/01/2021,19.86,29/01/2021,8,0.4957,0.0271,0.4771,-1,-1,-1
ENBR3,19/01/2021,20.16,17/01/2014,16/01/2021,19.29,30/01/2021,8,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,20/01/2021,20.17,18/01/2014,19/01/2021,19.5,02/02/2021,8,0.4941,0.0271,0.4788,-1,-1,-1
ENBR3,21/01/2021,20.05,21/01/2014,20/01/2021,19.83,03/02/2021,8,0.4952,0.0271,0.4777,-1,-1,-1
ENBR3,22/01/2021,19.68,22/01/2014,21/01/2021,19.91,04/02/2021,8,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,23/01/2021,19.46,23/01/2014,22/01/2021,19.9,05/02/2021,8,0.4941,0.0271,0.4788,-1,-1,-1
ENBR3,27/01/2021,19.19,24/01/2014,23/01/2021,19.66,06/02/2021,8,0.4941,0.0271,0.4788,-1,-1,-1
ENBR3,28/01/2021,19.36,25/01/2014,27/01/2021,19.5,09/02/2021,8,0.4941,0.0271,0.4788,-1,-1,-1
ENBR3,29/01/2021,19.86,28/01/2014,28/01/2021,19.36,10/02/2021,8,0.4951,0.0271,0.4777,-1,-1,-1
ENBR3,30/01/2021,19.29,29/01/2014,29/01/2021,19.01,11/02/2021,8,0.4951,0.0271,0.4777,-1,-1,-1
ENBR3,02/02/2021,19.5,30/01/2014,30/01/2021,19.02,12/02/2021,8,0.4941,0.0271,0.4788,-1,-1,-1
ENBR3,03/02/2021,19.83,31/01/2014,02/02/2021,18.92,13/02/2021,8,0.4951,0.0271,0.4777,-1,-1,-1
ENBR3,04/02/2021,19.91,01/02/2014,03/02/2021,18.76,18/02/2021,8,0.4952,0.0271,0.4777,-1,-1,-1
ENBR3,05/02/2021,19.9,04/02/2014,04/02/2021,18.66,19/02/2021,8,0.4957,0.0271,0.4771,-1,-1,-1
ENBR3,06/02/2021,19.66,05/02/2014,05/02/2021,18.63,20/02/2021,8,0.4946,0.0271,0.4782,-1,-1,-1
ENBR3,09/02/2021,19.5,06/02/2014,06/02/2021,18.05,23/02/2021,8,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,10/02/2021,19.36,07/02/2014,09/02/2021,18.66,19/02/2021,5,0.4940,0.0271,0.4788,-1,-1,-1
ENBR3,11/02/2021,19.01,08/02/2014,10/02/2021,18.63,20/02/2021,5,0.4935,0.0271,0.4794,-1,-1,-1
ENBR3,12/02/2021,19.02,11/02/2014,11/02/2021,18.05,23/02/2021,5,0.4935,0.0271,0.4794,-1,-1,-1
ENBR3,13/02/2021,18.92,12/02/2014,12/02/2021,18.26,24/02/2021,5,0.4940,0.0271,0.4789,-1,-1,-1
ENBR3,18/02/2021,18.76,13/02/2014,13/02/2021,18.31,25/02/2021,5,0.4929,0.0271,0.4800,-1,-1,-1
ENBR3,19/02/2021,18.66,14/02/2014,18/02/2021,18.28,26/02/2021,5,0.4929,0.0271,0.4800,-1,-1,-1
ENBR3,20/02/2021,18.63,15/02/2014,19/02/2021,18.01,27/02/2021,5,0.4929,0.0271,0.4800,-1,-1,-1
ENBR3,23/02/2021,18.05,18/02/2014,20/02/2021,17.59,02/03/2021,5,0.4929,0.0271,0.4800,-1,-1,-1
ENBR3,24/02/2021,18.26,19/02/2014,23/02/2021,17.78,03/03/2021,5,0.4929,0.0271,0.4800,-1,-1,-1
ENBR3,25/02/2021,18.31,20/02/2014,24/02/2021,17.9,04/03/2021,5,0.4934,0.0271,0.4795,-1,-1,-1
ENBR3,26/02/2021,18.28,21/02/2014,25/02/2021,18.35,10/03/2021,8,0.4934,0.0271,0.4794,-1,-1,-1
ENBR3,27/02/2021,18.01,22/02/2014,26/02/2021,18.54,06/03/2021,5,0.4929,0.0271,0.4800,-1,-1,-1
ENBR3,02/03/2021,17.59,25/02/2014,27/02/2021,18.05,09/03/2021,5,0.4929,0.0271,0.4800,-1,-1,-1
ENBR3,03/03/2021,17.78,26/02/2014,02/03/2021,18.35,10/03/2021,5,0.4929,0.0271,0.4800,-1,-1,-1
ENBR3,04/03/2021,17.9,27/02/2014,03/03/2021,18.89,11/03/2021,5,0.4934,0.0271,0.4795,-1,-1,-1
ENBR3,05/03/2021,18.47,28/02/2014,04/03/2021,19.16,17/03/2021,8,0.4934,0.0271,0.4794,-1,-1,-1
ENBR3,06/03/2021,18.54,01/03/2014,05/03/2021,19.12,13/03/2021,5,0.4940,0.0271,0.4789,-1,-1,-1
ENBR3,09/03/2021,18.05,06/03/2014,06/03/2021,19.11,16/03/2021,5,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,10/03/2021,18.35,07/03/2014,09/03/2021,19.55,20/03/2021,8,0.4940,0.0271,0.4788,-1,-1,-1
ENBR3,11/03/2021,18.89,08/03/2014,10/03/2021,19.5,23/03/2021,8,0.4951,0.0271,0.4777,-1,-1,-1
ENBR3,12/03/2021,18.95,11/03/2014,11/03/2021,19.3,24/03/2021,8,0.4951,0.0271,0.4777,-1,-1,-1
ENBR3,13/03/2021,19.12,12/03/2014,12/03/2021,18.92,25/03/2021,8,0.4951,0.0271,0.4777,-1,-1,-1
ENBR3,16/03/2021,19.11,13/03/2014,13/03/2021,19.32,26/03/2021,8,0.4951,0.0271,0.4777,-1,-1,-1
ENBR3,17/03/2021,19.16,14/03/2014,16/03/2021,19.41,27/03/2021,8,0.4940,0.0271,0.4788,-1,-1,-1
ENBR3,18/03/2021,19.4,15/03/2014,17/03/2021,18.92,25/03/2021,5,0.4952,0.0271,0.4777,-1,-1,-1
ENBR3,19/03/2021,19.23,18/03/2014,18/03/2021,19.78,31/03/2021,8,0.4957,0.0271,0.4771,-1,-1,-1
ENBR3,20/03/2021,19.55,19/03/2014,19/03/2021,19.79,01/04/2021,8,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,23/03/2021,19.5,20/03/2014,20/03/2021,19.32,30/03/2021,5,0.4952,0.0271,0.4777,-1,-1,-1
ENBR3,24/03/2021,19.3,21/03/2014,23/03/2021,19.88,06/04/2021,8,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,25/03/2021,18.92,22/03/2014,24/03/2021,19.79,01/04/2021,5,0.4940,0.0271,0.4788,-1,-1,-1
ENBR3,26/03/2021,19.32,25/03/2014,25/03/2021,19.72,02/04/2021,5,0.4935,0.0271,0.4794,-1,-1,-1
ENBR3,27/03/2021,19.41,26/03/2014,26/03/2021,19.88,06/04/2021,5,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,30/03/2021,19.32,27/03/2014,27/03/2021,19.61,10/04/2021,8,0.4951,0.0271,0.4777,-1,-1,-1
ENBR3,31/03/2021,19.78,28/03/2014,30/03/2021,19.69,08/04/2021,5,0.4940,0.0271,0.4788,-1,-1,-1
ENBR3,01/04/2021,19.79,29/03/2014,31/03/2021,19.7,09/04/2021,5,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,02/04/2021,19.72,01/04/2014,01/04/2021,19.61,10/04/2021,5,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,06/04/2021,19.88,02/04/2014,02/04/2021,18.95,13/04/2021,5,0.4940,0.0271,0.4788,-1,-1,-1
ENBR3,07/04/2021,19.81,03/04/2014,06/04/2021,19.01,14/04/2021,5,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,08/04/2021,19.69,04/04/2014,07/04/2021,18.6,15/04/2021,5,0.4935,0.0271,0.4794,-1,-1,-1
ENBR3,09/04/2021,19.7,05/04/2014,08/04/2021,18.75,16/04/2021,5,0.4935,0.0271,0.4794,-1,-1,-1
ENBR3,10/04/2021,19.61,08/04/2014,09/04/2021,19,17/04/2021,5,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,13/04/2021,18.95,09/04/2014,10/04/2021,19.13,24/04/2021,8,0.4941,0.0271,0.4788,-1,-1,-1
ENBR3,14/04/2021,19.01,10/04/2014,13/04/2021,18.86,27/04/2021,8,0.4941,0.0271,0.4788,-1,-1,-1
ENBR3,15/04/2021,18.6,11/04/2014,14/04/2021,18.58,28/04/2021,8,0.4951,0.0271,0.4777,-1,-1,-1
ENBR3,16/04/2021,18.75,12/04/2014,15/04/2021,19.13,24/04/2021,5,0.4940,0.0271,0.4788,-1,-1,-1
ENBR3,17/04/2021,19,15/04/2014,16/04/2021,18.86,27/04/2021,5,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,20/04/2021,18.85,16/04/2014,17/04/2021,18.79,01/05/2021,8,0.4951,0.0271,0.4777,-1,-1,-1
ENBR3,21/04/2021,19.1,17/04/2014,20/04/2021,18.76,29/04/2021,5,0.4940,0.0271,0.4788,-1,-1,-1
ENBR3,23/04/2021,18.91,18/04/2014,21/04/2021,19.12,30/04/2021,5,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,24/04/2021,19.13,23/04/2014,23/04/2021,18.79,01/05/2021,5,0.4935,0.0271,0.4794,-1,-1,-1
ENBR3,27/04/2021,18.86,24/04/2014,24/04/2021,18.75,04/05/2021,5,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,28/04/2021,18.58,25/04/2014,27/04/2021,18.65,05/05/2021,5,0.4935,0.0271,0.4794,-1,-1,-1
ENBR3,29/04/2021,18.76,26/04/2014,28/04/2021,18.5,06/05/2021,5,0.4935,0.0271,0.4794,-1,-1,-1
ENBR3,30/04/2021,19.12,29/04/2014,29/04/2021,18.38,07/05/2021,5,0.4940,0.0271,0.4789,-1,-1,-1
ENBR3,01/05/2021,18.79,30/04/2014,30/04/2021,18.48,08/05/2021,5,0.4946,0.0271,0.4783,-1,-1,-1
ENBR3,04/05/2021,18.75,01/05/2014,01/05/2021,18.35,11/05/2021,5,0.4940,0.0271,0.4788,-1,-1,-1
ENBR3,05/05/2021,18.65,03/05/2014,04/05/2021,18.41,12/05/2021,5,0.4935,0.0271,0.4794,-1,-1,-1
ENBR3,06/05/2021,18.5,06/05/2014,05/05/2021,18.27,13/05/2021,5,0.4935,0.0266,0.4800,-1,-1,-1
ENBR3,07/05/2021,18.38,07/05/2014,06/05/2021,18.4,14/05/2021,5,0.4929,0.0266,0.4806,-1,-1,-1
ENBR3,08/05/2021,18.48,08/05/2014,07/05/2021,18.46,15/05/2021,5,0.4923,0.0266,0.4811,-1,-1,-1
ENBR3,11/05/2021,18.35,09/05/2014,08/05/2021,18.46,18/05/2021,5,0.4934,0.0265,0.4800,-1,-1,-1
ENBR3,12/05/2021,18.41,10/05/2014,11/05/2021,18.41,19/05/2021,5,0.4929,0.0266,0.4806,-1,-1,-1
ENBR3,13/05/2021,18.27,13/05/2014,12/05/2021,18.61,20/05/2021,5,0.4934,0.0265,0.4800,-1,-1,-1
ENBR3,14/05/2021,18.4,14/05/2014,13/05/2021,18.64,21/05/2021,5,0.4929,0.0260,0.4811,-1,-1,-1
ENBR3,15/05/2021,18.46,15/05/2014,14/05/2021,18.62,22/05/2021,5,0.4940,0.0260,0.4800,-1,-1,-1
ENBR3,18/05/2021,18.46,16/05/2014,15/05/2021,18.98,28/05/2021,8,0.4946,0.0260,0.4794,-1,-1,-1
ENBR3,19/05/2021,18.41,17/05/2014,18/05/2021,19.02,26/05/2021,5,0.4939,0.0272,0.4789,-1,-1,-1
ENBR3,20/05/2021,18.61,20/05/2014,19/05/2021,18.65,01/06/2021,8,0.4941,0.0266,0.4794,-1,-1,-1
ENBR3,21/05/2021,18.64,21/05/2014,20/05/2021,18.98,28/05/2021,5,0.4952,0.0265,0.4783,-1,-1,-1
ENBR3,22/05/2021,18.62,22/05/2014,21/05/2021,18.65,29/05/2021,5,0.4957,0.0260,0.4783,-1,-1,-1
ENBR3,25/05/2021,18.94,23/05/2014,22/05/2021,18.81,05/06/2021,8,0.4946,0.0260,0.4794,-1,-1,-1
ENBR3,26/05/2021,19.02,24/05/2014,25/05/2021,19.14,08/06/2021,8,0.4958,0.0260,0.4783,-1,-1,-1
ENBR3,27/05/2021,18.98,27/05/2014,26/05/2021,18.7,03/06/2021,5,0.4963,0.0260,0.4777,-1,-1,-1
ENBR3,28/05/2021,18.98,28/05/2014,27/05/2021,18.81,05/06/2021,5,0.4958,0.0260,0.4782,-1,-1,-1
ENBR3,29/05/2021,18.65,29/05/2014,28/05/2021,19.14,08/06/2021,5,0.4951,0.0272,0.4778,-1,-1,-1
ENBR3,01/06/2021,18.65,30/05/2014,29/05/2021,18.81,09/06/2021,5,0.4952,0.0266,0.4782,-1,-1,-1
ENBR3,02/06/2021,18.7,31/05/2014,01/06/2021,18.7,10/06/2021,5,0.4951,0.0277,0.4772,-1,-1,-1
ENBR3,03/06/2021,18.7,03/06/2014,02/06/2021,18.85,11/06/2021,5,0.4963,0.0271,0.4766,-1,-1,-1
ENBR3,05/06/2021,18.81,04/06/2014,03/06/2021,18.56,12/06/2021,5,0.4951,0.0283,0.4766,-1,-1,-1
ENBR3,08/06/2021,19.14,05/06/2014,05/06/2021,18.83,18/06/2021,8,0.4957,0.0277,0.4766,-1,-1,-1
ENBR3,09/06/2021,18.81,06/06/2014,08/06/2021,19.09,16/06/2021,5,0.4963,0.0277,0.4760,-1,-1,-1
