Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
ENGI11,05/01/2021,50.6,08/01/2014,31/12/2020,48.9,15/01/2021,8,0.5047,0.0769,0.4184,0,0,0
ENGI11,06/01/2021,50.99,09/01/2014,05/01/2021,47.84,22/01/2021,12,0.5041,0.0761,0.4198,0,0,0
ENGI11,07/01/2021,49.34,10/01/2014,06/01/2021,47.65,19/01/2021,8,0.5054,0.0762,0.4184,0,0,0
ENGI11,08/01/2021,47.58,11/01/2014,07/01/2021,47.67,27/01/2021,12,0.5041,0.0761,0.4198,1,1,1
ENGI11,09/01/2021,49.43,14/01/2014,08/01/2021,47.63,21/01/2021,8,0.5034,0.0761,0.4205,0,0,0
ENGI11,12/01/2021,47.02,15/01/2014,09/01/2021,47.84,22/01/2021,8,0.5047,0.0754,0.4198,1,1,1
ENGI11,13/01/2021,47.17,16/01/2014,12/01/2021,47.66,23/01/2021,8,0.5041,0.0747,0.4212,1,1,1
ENGI11,14/01/2021,47.25,17/01/2014,13/01/2021,47.67,27/01/2021,8,0.5054,0.0740,0.4205,1,1,1
ENGI11,15/01/2021,48.9,22/01/2014,14/01/2021,49.54,28/01/2021,8,0.5054,0.0740,0.4205,1,1,1
ENGI11,16/01/2021,48.4,23/01/2014,15/01/2021,50.69,29/01/2021,8,0.5062,0.0740,0.4198,1,1,1
ENGI11,19/01/2021,47.65,25/01/2014,16/01/2021,49.25,30/01/2021,8,0.5055,0.0740,0.4205,1,1,1
ENGI11,20/01/2021,47.76,28/01/2014,19/01/2021,49.4,02/02/2021,8,0.5048,0.0740,0.4212,1,1,1
ENGI11,21/01/2021,47.63,29/01/2014,20/01/2021,50.78,03/02/2021,8,0.5061,0.0740,0.4198,1,1,1
ENGI11,22/01/2021,47.84,30/01/2014,21/01/2021,52,04/02/2021,8,0.5048,0.0740,0.4212,1,1,1
ENGI11,23/01/2021,47.66,31/01/2014,22/01/2021,50.76,05/02/2021,8,0.5062,0.0740,0.4198,1,1,1
ENGI11,27/01/2021,47.67,04/02/2014,23/01/2021,50.11,06/02/2021,8,0.5055,0.0740,0.4205,1,1,1
ENGI11,28/01/2021,49.54,13/02/2014,27/01/2021,50.78,09/02/2021,8,0.5062,0.0740,0.4198,1,1,1
ENGI11,29/01/2021,50.69,14/02/2014,28/01/2021,51.25,10/02/2021,8,0.5069,0.0733,0.4198,1,0,1
ENGI11,30/01/2021,49.25,15/02/2014,29/01/2021,50.62,11/02/2021,8,0.5076,0.0726,0.4198,1,1,1
ENGI11,02/02/2021,49.4,18/02/2014,30/01/2021,51.11,12/02/2021,8,0.5062,0.0726,0.4212,1,1,1
ENGI11,03/02/2021,50.78,19/02/2014,02/02/2021,51.14,13/02/2021,8,0.5076,0.0726,0.4198,1,0,0
ENGI11,04/02/2021,52,20/02/2014,03/02/2021,50.56,18/02/2021,8,0.5083,0.0719,0.4198,0,0,0
ENGI11,05/02/2021,50.76,22/02/2014,04/02/2021,49.56,19/02/2021,8,0.5090,0.0712,0.4198,0,0,0
ENGI11,06/02/2021,50.11,26/02/2014,05/02/2021,49.39,20/02/2021,8,0.5084,0.0712,0.4205,0,0,0
ENGI11,09/02/2021,50.78,08/03/2014,06/02/2021,46.9,23/02/2021,8,0.5083,0.0712,0.4205,0,0,0
ENGI11,10/02/2021,51.25,15/03/2014,09/02/2021,46.9,24/02/2021,8,0.5090,0.0712,0.4198,0,0,0
ENGI11,11/02/2021,50.62,18/03/2014,10/02/2021,46.13,25/02/2021,8,0.5090,0.0712,0.4198,0,0,0
ENGI11,12/02/2021,51.11,19/03/2014,11/02/2021,44.92,26/02/2021,8,0.5084,0.0712,0.4205,0,0,0
ENGI11,13/02/2021,51.14,10/04/2014,12/02/2021,43.67,27/02/2021,8,0.5097,0.0712,0.4191,0,0,0
ENGI11,18/02/2021,50.56,12/04/2014,13/02/2021,42.71,02/03/2021,8,0.5097,0.0712,0.4191,0,0,0
ENGI11,19/02/2021,49.56,15/04/2014,18/02/2021,43.1,03/03/2021,8,0.5091,0.0712,0.4198,0,0,0
ENGI11,20/02/2021,49.39,16/04/2014,19/02/2021,43.4,04/03/2021,8,0.5091,0.0705,0.4205,0,0,0
ENGI11,23/02/2021,46.9,24/04/2014,20/02/2021,44.22,05/03/2021,8,0.5084,0.0704,0.4212,0,0,0
ENGI11,24/02/2021,46.9,25/04/2014,23/02/2021,44.14,06/03/2021,8,0.5084,0.0697,0.4219,0,0,0
ENGI11,25/02/2021,46.13,26/04/2014,24/02/2021,41.57,09/03/2021,8,0.5082,0.0707,0.4211,0,0,0
ENGI11,26/02/2021,44.92,30/04/2014,25/02/2021,41.9,10/03/2021,8,0.5076,0.0697,0.4226,0,0,0
ENGI11,27/02/2021,43.67,01/05/2014,26/02/2021,42.51,11/03/2021,8,0.5076,0.0690,0.4233,0,1,1
ENGI11,02/03/2021,42.71,07/05/2014,27/02/2021,44.1,12/03/2021,8,0.5076,0.0690,0.4233,1,1,1
ENGI11,03/03/2021,43.1,22/05/2014,02/03/2021,43.82,13/03/2021,8,0.5076,0.0690,0.4233,1,1,1
ENGI11,04/03/2021,43.4,30/05/2014,03/03/2021,44.81,16/03/2021,8,0.5090,0.0690,0.4220,1,1,1
ENGI11,05/03/2021,44.22,03/06/2014,04/03/2021,44.63,17/03/2021,8,0.5090,0.0690,0.4220,1,1,1
ENGI11,06/03/2021,44.14,04/06/2014,05/03/2021,43.86,24/03/2021,12,0.5090,0.0690,0.4220,0,0,0
ENGI11,09/03/2021,41.57,06/06/2014,06/03/2021,45.33,19/03/2021,8,0.5083,0.0690,0.4226,1,1,1
ENGI11,10/03/2021,41.9,07/06/2014,09/03/2021,46.05,20/03/2021,8,0.5076,0.0690,0.4233,1,1,1
ENGI11,11/03/2021,42.51,10/06/2014,10/03/2021,44.14,23/03/2021,8,0.5090,0.0683,0.4227,1,1,0
ENGI11,12/03/2021,44.1,12/06/2014,11/03/2021,43.86,24/03/2021,8,0.5097,0.0676,0.4227,0,0,0
ENGI11,13/03/2021,43.82,17/06/2014,12/03/2021,41.86,25/03/2021,8,0.5104,0.0669,0.4227,0,1,1
ENGI11,16/03/2021,44.81,21/06/2014,13/03/2021,44,26/03/2021,8,0.5098,0.0662,0.4240,0,0,0
ENGI11,17/03/2021,44.63,24/06/2014,16/03/2021,44.29,27/03/2021,8,0.5111,0.0662,0.4227,0,0,0
ENGI11,18/03/2021,45.4,08/07/2014,17/03/2021,43.95,30/03/2021,8,0.5105,0.0662,0.4233,0,0,0
ENGI11,19/03/2021,45.33,11/07/2014,18/03/2021,44.55,31/03/2021,8,0.5118,0.0662,0.4220,0,0,0
ENGI11,20/03/2021,46.05,12/07/2014,19/03/2021,45.22,01/04/2021,8,0.5105,0.0662,0.4233,0,0,0
ENGI11,23/03/2021,44.14,15/07/2014,20/03/2021,44.22,02/04/2021,8,0.5111,0.0662,0.4227,1,1,1
ENGI11,24/03/2021,43.86,16/07/2014,23/03/2021,44.33,06/04/2021,8,0.5098,0.0662,0.4240,1,1,0
ENGI11,25/03/2021,41.86,17/07/2014,24/03/2021,44.59,07/04/2021,8,0.5098,0.0662,0.4240,1,1,1
ENGI11,26/03/2021,44,18/07/2014,25/03/2021,43.58,08/04/2021,8,0.5098,0.0655,0.4248,0,0,0
ENGI11,27/03/2021,44.29,22/07/2014,26/03/2021,43.47,09/04/2021,8,0.5111,0.0655,0.4234,0,0,0
ENGI11,30/03/2021,43.95,23/07/2014,27/03/2021,42.94,10/04/2021,8,0.5118,0.0655,0.4227,0,0,0
ENGI11,31/03/2021,44.55,25/07/2014,30/03/2021,43.48,13/04/2021,8,0.5105,0.0655,0.4240,0,0,0
ENGI11,01/04/2021,45.22,26/07/2014,31/03/2021,43.55,14/04/2021,8,0.5118,0.0655,0.4227,0,0,0
ENGI11,02/04/2021,44.22,29/07/2014,01/04/2021,44.1,21/04/2021,12,0.5119,0.0655,0.4227,0,0,0
ENGI11,06/04/2021,44.33,02/08/2014,02/04/2021,43.02,16/04/2021,8,0.5112,0.0655,0.4233,0,0,0
ENGI11,07/04/2021,44.59,06/08/2014,06/04/2021,43.99,24/04/2021,12,0.5119,0.0655,0.4227,0,0,0
ENGI11,08/04/2021,43.58,07/08/2014,07/04/2021,43.84,20/04/2021,8,0.5126,0.0648,0.4227,1,1,0
ENGI11,09/04/2021,43.47,08/08/2014,08/04/2021,44.1,21/04/2021,8,0.5119,0.0641,0.4240,1,1,1
ENGI11,10/04/2021,42.94,09/08/2014,09/04/2021,43.55,23/04/2021,8,0.5119,0.0634,0.4248,1,1,1
ENGI11,13/04/2021,43.48,19/08/2014,10/04/2021,43.99,24/04/2021,8,0.5112,0.0634,0.4255,1,1,1
ENGI11,14/04/2021,43.55,20/08/2014,13/04/2021,43.59,27/04/2021,8,0.5118,0.0634,0.4248,1,1,1
ENGI11,15/04/2021,43.03,21/08/2014,14/04/2021,44.14,28/04/2021,8,0.5126,0.0633,0.4241,1,1,1
ENGI11,16/04/2021,43.02,22/08/2014,15/04/2021,44.89,29/04/2021,8,0.5119,0.0626,0.4255,1,1,1
ENGI11,17/04/2021,43.42,23/08/2014,16/04/2021,45.08,30/04/2021,8,0.5112,0.0626,0.4262,1,1,1
ENGI11,20/04/2021,43.84,26/08/2014,17/04/2021,44.06,01/05/2021,8,0.5126,0.0626,0.4248,1,0,0
ENGI11,21/04/2021,44.1,27/08/2014,20/04/2021,43.68,04/05/2021,8,0.5126,0.0626,0.4248,0,0,0
ENGI11,23/04/2021,43.55,28/08/2014,21/04/2021,43.57,05/05/2021,8,0.5126,0.0626,0.4248,1,1,1
ENGI11,24/04/2021,43.99,30/08/2014,23/04/2021,43.9,06/05/2021,8,0.5112,0.0626,0.4262,0,0,1
ENGI11,27/04/2021,43.59,02/09/2014,24/04/2021,43.65,07/05/2021,8,0.5118,0.0626,0.4255,1,1,1
ENGI11,28/04/2021,44.14,03/09/2014,27/04/2021,44.52,08/05/2021,8,0.5105,0.0626,0.4269,1,0,0
ENGI11,29/04/2021,44.89,04/09/2014,28/04/2021,43.71,11/05/2021,8,0.5111,0.0626,0.4262,0,0,0
ENGI11,30/04/2021,45.08,05/09/2014,29/04/2021,45.46,18/05/2021,12,0.5119,0.0626,0.4255,1,0,1
ENGI11,01/05/2021,44.06,06/09/2014,30/04/2021,42.66,13/05/2021,8,0.5126,0.0626,0.4248,0,1,1
ENGI11,04/05/2021,43.68,09/09/2014,01/05/2021,44.27,14/05/2021,8,0.5119,0.0626,0.4255,1,1,1
ENGI11,05/05/2021,43.57,10/09/2014,04/05/2021,45.25,15/05/2021,8,0.5112,0.0626,0.4262,1,1,1
ENGI11,06/05/2021,43.9,11/09/2014,05/05/2021,45.46,18/05/2021,8,0.5112,0.0626,0.4262,1,1,1
