Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
GOAU4,05/01/2021,11.8,03/01/2014,31/12/2020,12.66,12/01/2021,5,0.4767,0.0277,0.4956,-1,-1,-1
GOAU4,06/01/2021,12.06,04/01/2014,05/01/2021,12.88,09/01/2021,3,0.4778,0.0277,0.4945,-1,-1,-1
GOAU4,07/01/2021,12.55,07/01/2014,06/01/2021,12.12,14/01/2021,5,0.4784,0.0277,0.4939,-1,-1,-1
GOAU4,08/01/2021,13.1,08/01/2014,07/01/2021,12.46,15/01/2021,5,0.4789,0.0277,0.4933,-1,-1,-1
GOAU4,09/01/2021,12.88,09/01/2014,08/01/2021,11.8,16/01/2021,5,0.4795,0.0277,0.4928,-1,-1,-1
GOAU4,12/01/2021,12.66,10/01/2014,09/01/2021,11.89,19/01/2021,5,0.4790,0.0277,0.4933,-1,-1,-1
GOAU4,13/01/2021,12.44,11/01/2014,12/01/2021,11.8,16/01/2021,3,0.4784,0.0277,0.4939,-1,-1,-1
GOAU4,14/01/2021,12.12,14/01/2014,13/01/2021,11.89,19/01/2021,3,0.4784,0.0277,0.4939,-1,-1,-1
GOAU4,15/01/2021,12.46,15/01/2014,14/01/2021,11.59,20/01/2021,3,0.4784,0.0277,0.4939,-1,-1,-1
GOAU4,16/01/2021,11.8,16/01/2014,15/01/2021,11.59,23/01/2021,5,0.4789,0.0277,0.4933,-1,-1,-1
GOAU4,19/01/2021,11.89,17/01/2014,16/01/2021,11.43,22/01/2021,3,0.4778,0.0277,0.4945,-1,-1,-1
GOAU4,20/01/2021,11.59,18/01/2014,19/01/2021,10.74,28/01/2021,5,0.4789,0.0277,0.4933,-1,-1,-1
GOAU4,21/01/2021,11.41,21/01/2014,20/01/2021,10.98,29/01/2021,5,0.4784,0.0277,0.4939,-1,-1,-1
