Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
JBSS3,05/01/2021,23.41,03/01/2014,31/12/2020,24.25,12/01/2021,5,0.4899,0.0162,0.4939,-1,-1,-1
JBSS3,06/01/2021,23.75,04/01/2014,05/01/2021,24.63,13/01/2021,5,0.4899,0.0162,0.4939,-1,-1,-1
JBSS3,07/01/2021,23.61,07/01/2014,06/01/2021,24.86,14/01/2021,5,0.4905,0.0162,0.4934,-1,-1,-1
JBSS3,08/01/2021,23.83,08/01/2014,07/01/2021,24.56,15/01/2021,5,0.4893,0.0162,0.4945,-1,-1,-1
JBSS3,09/01/2021,24.4,09/01/2014,08/01/2021,24.42,16/01/2021,5,0.4899,0.0162,0.4939,-1,-1,-1
JBSS3,12/01/2021,24.25,10/01/2014,09/01/2021,24.25,19/01/2021,5,0.4905,0.0162,0.4934,-1,-1,-1
JBSS3,13/01/2021,24.63,11/01/2014,12/01/2021,24.47,20/01/2021,5,0.4899,0.0162,0.4939,-1,-1,-1
JBSS3,14/01/2021,24.86,14/01/2014,13/01/2021,24.75,21/01/2021,5,0.4905,0.0162,0.4934,-1,-1,-1
JBSS3,15/01/2021,24.56,15/01/2014,14/01/2021,24.47,22/01/2021,5,0.4905,0.0162,0.4934,-1,-1,-1
JBSS3,16/01/2021,24.42,16/01/2014,15/01/2021,24.51,23/01/2021,5,0.4894,0.0162,0.4945,-1,-1,-1
JBSS3,19/01/2021,24.25,17/01/2014,16/01/2021,24.14,27/01/2021,5,0.4894,0.0162,0.4945,-1,-1,-1
JBSS3,20/01/2021,24.47,18/01/2014,19/01/2021,23.91,28/01/2021,5,0.4894,0.0161,0.4945,-1,-1,-1
JBSS3,21/01/2021,24.75,21/01/2014,20/01/2021,24.3,29/01/2021,5,0.4905,0.0156,0.4939,-1,-1,-1
JBSS3,22/01/2021,24.47,22/01/2014,21/01/2021,24.18,30/01/2021,5,0.4910,0.0156,0.4934,-1,-1,-1
JBSS3,23/01/2021,24.51,23/01/2014,22/01/2021,24.23,02/02/2021,5,0.4899,0.0156,0.4945,-1,-1,-1
JBSS3,27/01/2021,24.14,24/01/2014,23/01/2021,24.52,03/02/2021,5,0.4910,0.0156,0.4934,-1,-1,-1
JBSS3,28/01/2021,23.91,25/01/2014,27/01/2021,24.83,04/02/2021,5,0.4899,0.0156,0.4945,-1,-1,-1
JBSS3,29/01/2021,24.3,28/01/2014,28/01/2021,25.1,05/02/2021,5,0.4893,0.0156,0.4951,-1,-1,-1
JBSS3,30/01/2021,24.18,29/01/2014,29/01/2021,25.15,06/02/2021,5,0.4905,0.0156,0.4939,-1,-1,-1
JBSS3,02/02/2021,24.23,30/01/2014,30/01/2021,25.6,09/02/2021,5,0.4899,0.0156,0.4945,-1,-1,-1
JBSS3,03/02/2021,24.52,31/01/2014,02/02/2021,25.66,10/02/2021,5,0.4904,0.0156,0.4940,-1,-1,-1
JBSS3,04/02/2021,24.83,01/02/2014,03/02/2021,25.45,11/02/2021,5,0.4905,0.0156,0.4939,-1,-1,-1
JBSS3,05/02/2021,25.1,04/02/2014,04/02/2021,26.48,12/02/2021,5,0.4910,0.0156,0.4934,-1,-1,-1
