Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
JHSF3,05/01/2021,7.44,03/01/2014,31/12/2020,7.12,12/01/2021,5,0.4281,0.0832,0.4887,1,1,1
JHSF3,06/01/2021,7.36,04/01/2014,05/01/2021,7.28,13/01/2021,5,0.4270,0.0832,0.4899,1,1,1
JHSF3,07/01/2021,7.09,07/01/2014,06/01/2021,7.17,14/01/2021,5,0.4264,0.0832,0.4904,0,0,0
JHSF3,08/01/2021,7.02,08/01/2014,07/01/2021,7.33,15/01/2021,5,0.4258,0.0832,0.4910,0,0,0
JHSF3,09/01/2021,7.4,09/01/2014,08/01/2021,7.48,16/01/2021,5,0.4252,0.0832,0.4916,0,0,1
JHSF3,12/01/2021,7.12,10/01/2014,09/01/2021,7.41,19/01/2021,5,0.4264,0.0832,0.4904,0,0,0
JHSF3,13/01/2021,7.28,11/01/2014,12/01/2021,7.34,20/01/2021,5,0.4258,0.0826,0.4916,0,0,1
JHSF3,14/01/2021,7.17,14/01/2014,13/01/2021,7.35,21/01/2021,5,0.4270,0.0826,0.4904,0,1,1
JHSF3,15/01/2021,7.33,15/01/2014,14/01/2021,7.16,22/01/2021,5,0.4264,0.0826,0.4910,1,1,1
JHSF3,16/01/2021,7.48,16/01/2014,15/01/2021,7.06,23/01/2021,5,0.4270,0.0826,0.4904,1,1,1
JHSF3,19/01/2021,7.41,17/01/2014,16/01/2021,7.04,27/01/2021,5,0.4275,0.0820,0.4904,1,1,1
JHSF3,20/01/2021,7.34,18/01/2014,19/01/2021,7.09,28/01/2021,5,0.4264,0.0820,0.4916,1,1,1
JHSF3,21/01/2021,7.35,21/01/2014,20/01/2021,7.33,29/01/2021,5,0.4264,0.0820,0.4916,1,1,1
JHSF3,22/01/2021,7.16,22/01/2014,21/01/2021,7.22,30/01/2021,5,0.4275,0.0814,0.4910,0,0,0
JHSF3,23/01/2021,7.06,23/01/2014,22/01/2021,7.33,02/02/2021,5,0.4270,0.0814,0.4916,0,0,0
JHSF3,27/01/2021,7.04,24/01/2014,23/01/2021,7.61,03/02/2021,5,0.4270,0.0814,0.4916,0,0,0
JHSF3,28/01/2021,7.09,25/01/2014,27/01/2021,7.88,04/02/2021,5,0.4270,0.0814,0.4916,0,0,0
JHSF3,29/01/2021,7.33,28/01/2014,28/01/2021,7.63,05/02/2021,5,0.4281,0.0814,0.4904,0,0,0
JHSF3,30/01/2021,7.22,29/01/2014,29/01/2021,7.59,06/02/2021,5,0.4287,0.0814,0.4899,0,0,0
JHSF3,02/02/2021,7.33,30/01/2014,30/01/2021,7.58,09/02/2021,5,0.4281,0.0814,0.4904,0,0,1
JHSF3,03/02/2021,7.61,31/01/2014,02/02/2021,7.35,10/02/2021,5,0.4287,0.0814,0.4899,1,1,1
JHSF3,04/02/2021,7.88,01/02/2014,03/02/2021,7.08,11/02/2021,5,0.4287,0.0814,0.4899,1,1,1
JHSF3,05/02/2021,7.63,04/02/2014,04/02/2021,7.23,12/02/2021,5,0.4293,0.0814,0.4893,1,1,1
JHSF3,06/02/2021,7.59,05/02/2014,05/02/2021,7.2,13/02/2021,5,0.4281,0.0814,0.4904,1,1,1
JHSF3,09/02/2021,7.58,06/02/2014,06/02/2021,7.15,18/02/2021,5,0.4275,0.0814,0.4910,1,1,1
JHSF3,10/02/2021,7.35,07/02/2014,09/02/2021,7.42,19/02/2021,5,0.4270,0.0814,0.4916,0,1,1
JHSF3,11/02/2021,7.08,08/02/2014,10/02/2021,7.2,20/02/2021,5,0.4264,0.0814,0.4922,0,1,1
JHSF3,12/02/2021,7.23,11/02/2014,11/02/2021,6.89,23/02/2021,5,0.4258,0.0814,0.4928,1,1,1
JHSF3,13/02/2021,7.2,12/02/2014,12/02/2021,6.89,24/02/2021,5,0.4264,0.0814,0.4922,1,1,1
JHSF3,18/02/2021,7.15,13/02/2014,13/02/2021,6.8,25/02/2021,5,0.4252,0.0814,0.4933,1,1,1
JHSF3,19/02/2021,7.42,14/02/2014,18/02/2021,6.68,26/02/2021,5,0.4252,0.0814,0.4933,1,1,1
JHSF3,20/02/2021,7.2,15/02/2014,19/02/2021,6.48,27/02/2021,5,0.4258,0.0814,0.4928,1,1,1
JHSF3,23/02/2021,6.89,18/02/2014,20/02/2021,6.53,02/03/2021,5,0.4247,0.0814,0.4939,1,1,1
JHSF3,24/02/2021,6.89,19/02/2014,23/02/2021,6.66,03/03/2021,5,0.4247,0.0814,0.4939,1,1,1
JHSF3,25/02/2021,6.8,20/02/2014,24/02/2021,6.59,04/03/2021,5,0.4246,0.0826,0.4928,1,0,0
JHSF3,26/02/2021,6.68,21/02/2014,25/02/2021,6.88,05/03/2021,5,0.4247,0.0820,0.4933,0,0,1
JHSF3,27/02/2021,6.48,22/02/2014,26/02/2021,6.87,06/03/2021,5,0.4241,0.0820,0.4939,0,1,1
JHSF3,02/03/2021,6.53,25/02/2014,27/02/2021,6.4,09/03/2021,5,0.4235,0.0820,0.4945,1,1,1
JHSF3,03/03/2021,6.66,26/02/2014,02/03/2021,6.22,10/03/2021,5,0.4241,0.0820,0.4939,1,1,0
JHSF3,04/03/2021,6.59,27/02/2014,03/03/2021,6.46,11/03/2021,5,0.4241,0.0820,0.4939,1,0,0
JHSF3,05/03/2021,6.88,28/02/2014,04/03/2021,6.76,12/03/2021,5,0.4229,0.0820,0.4951,1,1,0
JHSF3,06/03/2021,6.87,01/03/2014,05/03/2021,6.81,13/03/2021,5,0.4241,0.0820,0.4939,1,0,1
JHSF3,09/03/2021,6.4,06/03/2014,06/03/2021,7.04,16/03/2021,5,0.4235,0.0820,0.4945,0,0,0
JHSF3,10/03/2021,6.22,07/03/2014,09/03/2021,6.69,17/03/2021,5,0.4229,0.0820,0.4951,0,0,0
JHSF3,11/03/2021,6.46,08/03/2014,10/03/2021,7.2,18/03/2021,5,0.4229,0.0820,0.4951,0,0,0
JHSF3,12/03/2021,6.76,11/03/2014,11/03/2021,6.86,19/03/2021,5,0.4241,0.0814,0.4945,0,0,0
JHSF3,13/03/2021,6.81,12/03/2014,12/03/2021,7.04,20/03/2021,5,0.4247,0.0814,0.4939,0,0,0
JHSF3,16/03/2021,7.04,13/03/2014,13/03/2021,7.12,23/03/2021,5,0.4252,0.0809,0.4939,0,1,1
JHSF3,17/03/2021,6.69,14/03/2014,16/03/2021,7,24/03/2021,5,0.4258,0.0809,0.4933,0,0,0
JHSF3,18/03/2021,7.2,15/03/2014,17/03/2021,6.78,25/03/2021,5,0.4252,0.0809,0.4939,1,1,1
JHSF3,19/03/2021,6.86,18/03/2014,18/03/2021,6.95,26/03/2021,5,0.4258,0.0809,0.4933,0,1,1
JHSF3,20/03/2021,7.04,19/03/2014,19/03/2021,6.74,27/03/2021,5,0.4247,0.0809,0.4945,1,1,0
JHSF3,23/03/2021,7.12,20/03/2014,20/03/2021,6.73,30/03/2021,5,0.4252,0.0809,0.4939,1,0,1
JHSF3,24/03/2021,7,21/03/2014,23/03/2021,7.14,31/03/2021,5,0.4258,0.0809,0.4933,0,1,1
JHSF3,25/03/2021,6.78,22/03/2014,24/03/2021,6.96,01/04/2021,5,0.4247,0.0809,0.4945,0,0,0
JHSF3,26/03/2021,6.95,25/03/2014,25/03/2021,6.83,02/04/2021,5,0.4247,0.0809,0.4945,1,1,1
JHSF3,27/03/2021,6.74,26/03/2014,26/03/2021,6.79,06/04/2021,5,0.4258,0.0809,0.4933,0,0,0
JHSF3,30/03/2021,6.73,27/03/2014,27/03/2021,6.92,07/04/2021,5,0.4252,0.0809,0.4939,0,0,0
JHSF3,31/03/2021,7.14,28/03/2014,30/03/2021,6.82,08/04/2021,5,0.4247,0.0809,0.4945,1,1,1
JHSF3,01/04/2021,6.96,29/03/2014,31/03/2021,6.8,09/04/2021,5,0.4258,0.0809,0.4933,1,1,1
JHSF3,02/04/2021,6.83,01/04/2014,01/04/2021,6.87,10/04/2021,5,0.4247,0.0809,0.4945,0,0,0
JHSF3,06/04/2021,6.79,02/04/2014,02/04/2021,6.84,13/04/2021,5,0.4241,0.0809,0.4951,0,0,0
JHSF3,07/04/2021,6.92,03/04/2014,06/04/2021,6.87,14/04/2021,5,0.4235,0.0809,0.4956,1,1,0
JHSF3,08/04/2021,6.82,04/04/2014,07/04/2021,6.91,15/04/2021,5,0.4246,0.0809,0.4945,0,0,0
JHSF3,09/04/2021,6.8,05/04/2014,08/04/2021,6.93,16/04/2021,5,0.4235,0.0809,0.4956,0,0,0
JHSF3,10/04/2021,6.87,08/04/2014,09/04/2021,7.03,17/04/2021,5,0.4235,0.0803,0.4962,0,0,0
JHSF3,13/04/2021,6.84,09/04/2014,10/04/2021,7.05,20/04/2021,5,0.4247,0.0797,0.4956,0,0,0
JHSF3,14/04/2021,6.87,10/04/2014,13/04/2021,7.05,21/04/2021,5,0.4241,0.0797,0.4962,0,0,0
JHSF3,15/04/2021,6.91,11/04/2014,14/04/2021,6.93,23/04/2021,5,0.4246,0.0797,0.4957,0,0,0
JHSF3,16/04/2021,6.93,12/04/2014,15/04/2021,6.97,24/04/2021,5,0.4247,0.0797,0.4956,0,0,0
JHSF3,17/04/2021,7.03,15/04/2014,16/04/2021,7.06,27/04/2021,5,0.4252,0.0797,0.4951,0,1,1
JHSF3,20/04/2021,7.05,16/04/2014,17/04/2021,6.94,28/04/2021,5,0.4258,0.0797,0.4945,1,1,1
JHSF3,21/04/2021,7.05,17/04/2014,20/04/2021,6.88,29/04/2021,5,0.4258,0.0797,0.4945,1,1,1
JHSF3,23/04/2021,6.93,18/04/2014,21/04/2021,6.85,30/04/2021,5,0.4252,0.0809,0.4939,1,1,0
JHSF3,24/04/2021,6.97,23/04/2014,23/04/2021,6.83,01/05/2021,5,0.4252,0.0797,0.4951,1,0,1
JHSF3,27/04/2021,7.06,24/04/2014,24/04/2021,6.97,04/05/2021,5,0.4264,0.0797,0.4939,1,1,0
JHSF3,28/04/2021,6.94,25/04/2014,27/04/2021,6.89,05/05/2021,5,0.4270,0.0797,0.4933,1,0,0
JHSF3,29/04/2021,6.88,26/04/2014,28/04/2021,7.11,06/05/2021,5,0.4264,0.0797,0.4939,0,0,0
JHSF3,30/04/2021,6.85,29/04/2014,29/04/2021,7.12,07/05/2021,5,0.4264,0.0797,0.4939,0,0,0
JHSF3,01/05/2021,6.83,30/04/2014,30/04/2021,7.31,08/05/2021,5,0.4264,0.0797,0.4939,0,0,0
JHSF3,04/05/2021,6.97,01/05/2014,01/05/2021,7.07,11/05/2021,5,0.4264,0.0797,0.4939,0,0,0
JHSF3,05/05/2021,6.89,03/05/2014,04/05/2021,7.1,12/05/2021,5,0.4270,0.0797,0.4933,0,0,0
JHSF3,06/05/2021,7.11,06/05/2014,05/05/2021,6.99,13/05/2021,5,0.4264,0.0791,0.4945,1,0,0
JHSF3,07/05/2021,7.12,07/05/2014,06/05/2021,7.11,14/05/2021,5,0.4270,0.0791,0.4939,1,0,0
JHSF3,08/05/2021,7.31,08/05/2014,07/05/2021,7.18,15/05/2021,5,0.4275,0.0785,0.4939,1,0,0
JHSF3,11/05/2021,7.07,09/05/2014,08/05/2021,7.53,18/05/2021,5,0.4281,0.0785,0.4933,0,0,0
JHSF3,12/05/2021,7.1,10/05/2014,11/05/2021,7.55,19/05/2021,5,0.4275,0.0786,0.4939,0,0,0
JHSF3,13/05/2021,6.99,13/05/2014,12/05/2021,7.55,20/05/2021,5,0.4281,0.0785,0.4933,0,0,0
JHSF3,14/05/2021,7.11,14/05/2014,13/05/2021,7.61,21/05/2021,5,0.4275,0.0786,0.4939,0,0,0
JHSF3,15/05/2021,7.18,15/05/2014,14/05/2021,7.35,22/05/2021,5,0.4287,0.0785,0.4928,0,0,0
JHSF3,18/05/2021,7.53,16/05/2014,15/05/2021,7.38,25/05/2021,5,0.4293,0.0785,0.4922,1,1,0
JHSF3,19/05/2021,7.55,17/05/2014,18/05/2021,7.4,26/05/2021,5,0.4299,0.0785,0.4916,1,1,0
JHSF3,20/05/2021,7.55,20/05/2014,19/05/2021,7.54,27/05/2021,5,0.4299,0.0785,0.4916,1,0,0
JHSF3,21/05/2021,7.61,21/05/2014,20/05/2021,7.74,28/05/2021,5,0.4287,0.0797,0.4916,0,0,0
JHSF3,22/05/2021,7.35,22/05/2014,21/05/2021,7.64,29/05/2021,5,0.4299,0.0791,0.4910,0,0,0
JHSF3,25/05/2021,7.38,23/05/2014,22/05/2021,7.62,01/06/2021,5,0.4293,0.0791,0.4916,0,0,0
JHSF3,26/05/2021,7.4,24/05/2014,25/05/2021,7.72,02/06/2021,5,0.4304,0.0791,0.4905,0,0,0
JHSF3,27/05/2021,7.54,27/05/2014,26/05/2021,7.94,03/06/2021,5,0.4304,0.0791,0.4905,0,0,0
JHSF3,28/05/2021,7.74,28/05/2014,27/05/2021,7.94,05/06/2021,5,0.4304,0.0791,0.4904,0,0,0
JHSF3,29/05/2021,7.64,29/05/2014,28/05/2021,7.9,08/06/2021,5,0.4310,0.0791,0.4899,0,0,0
JHSF3,01/06/2021,7.62,30/05/2014,29/05/2021,7.8,09/06/2021,5,0.4304,0.0791,0.4904,0,0,0
JHSF3,02/06/2021,7.72,31/05/2014,01/06/2021,7.74,10/06/2021,5,0.4304,0.0791,0.4904,0,1,1
JHSF3,03/06/2021,7.94,03/06/2014,02/06/2021,7.69,11/06/2021,5,0.4310,0.0791,0.4899,1,1,1
JHSF3,05/06/2021,7.94,04/06/2014,03/06/2021,7.49,12/06/2021,5,0.4310,0.0791,0.4899,1,1,1
JHSF3,08/06/2021,7.9,05/06/2014,05/06/2021,7.59,15/06/2021,5,0.4304,0.0803,0.4893,1,1,1
JHSF3,09/06/2021,7.8,06/06/2014,08/06/2021,7.54,16/06/2021,5,0.4299,0.0797,0.4904,1,1,1
JHSF3,10/06/2021,7.74,07/06/2014,09/06/2021,7.48,17/06/2021,5,0.4293,0.0797,0.4910,1,1,1
JHSF3,11/06/2021,7.69,10/06/2014,10/06/2021,7.39,18/06/2021,5,0.4287,0.0797,0.4916,1,1,1
JHSF3,12/06/2021,7.49,11/06/2014,11/06/2021,7.37,19/06/2021,5,0.4281,0.0797,0.4922,1,0,1
JHSF3,15/06/2021,7.59,12/06/2014,12/06/2021,7.55,22/06/2021,5,0.4275,0.0797,0.4928,1,1,1
JHSF3,16/06/2021,7.54,14/06/2014,15/06/2021,7.43,23/06/2021,5,0.4281,0.0797,0.4922,1,1,0
JHSF3,17/06/2021,7.48,17/06/2014,16/06/2021,7.38,24/06/2021,5,0.4270,0.0797,0.4933,1,0,0
JHSF3,18/06/2021,7.39,18/06/2014,17/06/2021,7.84,25/06/2021,5,0.4264,0.0797,0.4939,0,0,0
JHSF3,19/06/2021,7.37,19/06/2014,18/06/2021,7.59,26/06/2021,5,0.4258,0.0797,0.4945,0,0,1
JHSF3,22/06/2021,7.55,21/06/2014,19/06/2021,7.43,29/06/2021,5,0.4258,0.0797,0.4945,1,1,1
JHSF3,23/06/2021,7.43,24/06/2014,22/06/2021,7.27,30/06/2021,5,0.4264,0.0797,0.4939,1,1,1
JHSF3,24/06/2021,7.38,25/06/2014,23/06/2021,7.27,01/07/2021,5,0.4258,0.0797,0.4945,1,1,1
JHSF3,25/06/2021,7.84,26/06/2014,24/06/2021,7.09,02/07/2021,5,0.4252,0.0797,0.4951,1,1,1
JHSF3,26/06/2021,7.59,27/06/2014,25/06/2021,7.17,03/07/2021,5,0.4264,0.0797,0.4939,1,1,1
JHSF3,29/06/2021,7.43,28/06/2014,26/06/2021,7.15,06/07/2021,5,0.4258,0.0797,0.4945,1,1,1
JHSF3,30/06/2021,7.27,01/07/2014,29/06/2021,6.96,07/07/2021,5,0.4252,0.0797,0.4951,1,1,1
JHSF3,01/07/2021,7.27,02/07/2014,30/06/2021,7.11,08/07/2021,5,0.4252,0.0797,0.4951,1,1,0
JHSF3,02/07/2021,7.09,03/07/2014,01/07/2021,6.93,09/07/2021,5,0.4246,0.0809,0.4945,1,0,0
JHSF3,03/07/2021,7.17,04/07/2014,02/07/2021,7.27,13/07/2021,5,0.4247,0.0797,0.4956,0,0,0
JHSF3,06/07/2021,7.15,05/07/2014,03/07/2021,7.5,14/07/2021,5,0.4252,0.0797,0.4951,0,0,0
JHSF3,07/07/2021,6.96,08/07/2014,06/07/2021,7.76,15/07/2021,5,0.4247,0.0797,0.4956,0,0,0
JHSF3,08/07/2021,7.11,09/07/2014,07/07/2021,7.84,16/07/2021,5,0.4241,0.0797,0.4962,0,0,0
JHSF3,09/07/2021,6.93,11/07/2014,08/07/2021,7.78,17/07/2021,5,0.4247,0.0797,0.4956,0,0,0
JHSF3,13/07/2021,7.27,12/07/2014,09/07/2021,7.62,20/07/2021,5,0.4241,0.0797,0.4962,0,0,0
JHSF3,14/07/2021,7.5,15/07/2014,13/07/2021,7.73,21/07/2021,5,0.4252,0.0797,0.4951,0,0,0
JHSF3,15/07/2021,7.76,16/07/2014,14/07/2021,7.56,22/07/2021,5,0.4252,0.0797,0.4951,1,1,1
JHSF3,16/07/2021,7.84,17/07/2014,15/07/2021,7.72,23/07/2021,5,0.4252,0.0797,0.4951,1,1,1
JHSF3,17/07/2021,7.78,18/07/2014,16/07/2021,7.65,24/07/2021,5,0.4252,0.0797,0.4951,1,1,1
JHSF3,20/07/2021,7.62,19/07/2014,17/07/2021,7.51,27/07/2021,5,0.4241,0.0797,0.4962,1,1,1
JHSF3,21/07/2021,7.73,22/07/2014,20/07/2021,7.36,28/07/2021,5,0.4241,0.0791,0.4968,1,1,1
JHSF3,22/07/2021,7.56,23/07/2014,21/07/2021,7.56,29/07/2021,5,0.4247,0.0791,0.4962,0,0,1
JHSF3,23/07/2021,7.72,24/07/2014,22/07/2021,7.66,30/07/2021,5,0.4241,0.0791,0.4968,1,1,1
JHSF3,24/07/2021,7.65,25/07/2014,23/07/2021,7.46,31/07/2021,5,0.4252,0.0791,0.4956,1,1,1
JHSF3,27/07/2021,7.51,26/07/2014,24/07/2021,7.61,03/08/2021,5,0.4247,0.0791,0.4962,0,0,1
JHSF3,28/07/2021,7.36,29/07/2014,27/07/2021,7.6,04/08/2021,5,0.4247,0.0791,0.4962,0,0,0
JHSF3,29/07/2021,7.56,30/07/2014,28/07/2021,7.46,05/08/2021,5,0.4247,0.0791,0.4962,1,1,0
JHSF3,30/07/2021,7.66,31/07/2014,29/07/2021,7.55,06/08/2021,5,0.4258,0.0791,0.4951,1,0,1
JHSF3,31/07/2021,7.46,01/08/2014,30/07/2021,7.71,07/08/2021,5,0.4264,0.0791,0.4945,0,0,0
JHSF3,03/08/2021,7.61,02/08/2014,31/07/2021,7.54,10/08/2021,5,0.4252,0.0791,0.4956,1,1,1
JHSF3,04/08/2021,7.6,05/08/2014,03/08/2021,7.53,11/08/2021,5,0.4258,0.0791,0.4951,1,1,1
JHSF3,05/08/2021,7.46,06/08/2014,04/08/2021,7.35,12/08/2021,5,0.4247,0.0791,0.4962,1,1,1
JHSF3,06/08/2021,7.55,07/08/2014,05/08/2021,7.24,13/08/2021,5,0.4247,0.0791,0.4962,1,1,1
JHSF3,07/08/2021,7.71,08/08/2014,06/08/2021,7.14,14/08/2021,5,0.4252,0.0791,0.4956,1,1,1
JHSF3,10/08/2021,7.54,09/08/2014,07/08/2021,6.86,17/08/2021,5,0.4252,0.0791,0.4956,1,1,1
JHSF3,11/08/2021,7.53,12/08/2014,10/08/2021,6.52,18/08/2021,5,0.4247,0.0791,0.4962,1,1,1
JHSF3,12/08/2021,7.35,13/08/2014,11/08/2021,6.68,19/08/2021,5,0.4247,0.0791,0.4962,1,1,1
JHSF3,13/08/2021,7.24,14/08/2014,12/08/2021,6.79,20/08/2021,5,0.4247,0.0791,0.4962,1,1,1
JHSF3,14/08/2021,7.14,15/08/2014,13/08/2021,6.88,21/08/2021,5,0.4247,0.0791,0.4962,1,1,1
JHSF3,17/08/2021,6.86,16/08/2014,14/08/2021,6.71,24/08/2021,5,0.4241,0.0791,0.4968,1,0,0
JHSF3,18/08/2021,6.52,19/08/2014,17/08/2021,6.94,25/08/2021,5,0.4241,0.0791,0.4968,0,0,0
JHSF3,19/08/2021,6.68,20/08/2014,18/08/2021,6.89,26/08/2021,5,0.4235,0.0791,0.4974,0,1,0
JHSF3,20/08/2021,6.79,21/08/2014,19/08/2021,6.66,27/08/2021,5,0.4247,0.0791,0.4962,1,1,1
JHSF3,21/08/2021,6.88,22/08/2014,20/08/2021,6.74,28/08/2021,5,0.4247,0.0791,0.4962,1,1,1
JHSF3,24/08/2021,6.71,23/08/2014,21/08/2021,6.68,31/08/2021,5,0.4252,0.0791,0.4956,1,1,1
JHSF3,25/08/2021,6.94,26/08/2014,24/08/2021,6.61,01/09/2021,5,0.4247,0.0791,0.4962,1,1,1
JHSF3,26/08/2021,6.89,27/08/2014,25/08/2021,6.55,02/09/2021,5,0.4258,0.0791,0.4951,1,1,1
JHSF3,27/08/2021,6.66,28/08/2014,26/08/2021,6.3,03/09/2021,5,0.4252,0.0791,0.4956,1,1,1
JHSF3,28/08/2021,6.74,29/08/2014,27/08/2021,6.23,04/09/2021,5,0.4252,0.0791,0.4956,1,1,1
JHSF3,31/08/2021,6.68,30/08/2014,28/08/2021,6.4,07/09/2021,5,0.4264,0.0785,0.4951,1,1,1
JHSF3,01/09/2021,6.61,02/09/2014,31/08/2021,6.06,09/09/2021,5,0.4252,0.0786,0.4962,1,1,1
