Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
LAME4,05/01/2021,25.5,03/01/2014,31/12/2020,23.18,08/01/2021,3,0.5095,0.0162,0.4743,-1,-1,-1
LAME4,06/01/2021,24.93,04/01/2014,05/01/2021,23.84,09/01/2021,3,0.5090,0.0162,0.4748,-1,-1,-1
LAME4,07/01/2021,23.5,07/01/2014,06/01/2021,23.38,12/01/2021,3,0.5090,0.0162,0.4748,-1,-1,-1
LAME4,08/01/2021,23.18,08/01/2014,07/01/2021,23.66,13/01/2021,3,0.5090,0.0162,0.4749,-1,-1,-1
LAME4,09/01/2021,23.84,09/01/2014,08/01/2021,23.6,14/01/2021,3,0.5084,0.0162,0.4754,-1,-1,-1
LAME4,12/01/2021,23.38,10/01/2014,09/01/2021,23.98,15/01/2021,3,0.5095,0.0162,0.4743,-1,-1,-1
LAME4,13/01/2021,23.66,11/01/2014,12/01/2021,24.3,16/01/2021,3,0.5090,0.0156,0.4754,-1,-1,-1
LAME4,14/01/2021,23.6,14/01/2014,13/01/2021,25.65,21/01/2021,5,0.5096,0.0156,0.4748,-1,-1,-1
LAME4,15/01/2021,23.98,15/01/2014,14/01/2021,24.65,20/01/2021,3,0.5090,0.0156,0.4754,-1,-1,-1
LAME4,16/01/2021,24.3,16/01/2014,15/01/2021,24.77,23/01/2021,5,0.5096,0.0156,0.4748,-1,-1,-1
LAME4,19/01/2021,24.37,17/01/2014,16/01/2021,25.29,22/01/2021,3,0.5101,0.0156,0.4743,-1,-1,-1
LAME4,20/01/2021,24.65,18/01/2014,19/01/2021,24.77,23/01/2021,3,0.5107,0.0156,0.4737,-1,-1,-1
LAME4,21/01/2021,25.65,21/01/2014,20/01/2021,24.35,27/01/2021,3,0.5113,0.0156,0.4731,-1,-1,-1
LAME4,22/01/2021,25.29,22/01/2014,21/01/2021,24.4,28/01/2021,3,0.5118,0.0156,0.4725,-1,-1,-1
LAME4,23/01/2021,24.77,23/01/2014,22/01/2021,24.85,29/01/2021,3,0.5107,0.0156,0.4737,-1,-1,-1
LAME4,27/01/2021,24.35,24/01/2014,23/01/2021,24.09,30/01/2021,3,0.5107,0.0156,0.4737,-1,-1,-1
LAME4,28/01/2021,24.4,25/01/2014,27/01/2021,23.93,02/02/2021,3,0.5107,0.0156,0.4737,-1,-1,-1
LAME4,29/01/2021,24.85,28/01/2014,28/01/2021,25.25,03/02/2021,3,0.5113,0.0156,0.4731,-1,-1,-1
LAME4,30/01/2021,24.09,29/01/2014,29/01/2021,25.25,04/02/2021,3,0.5113,0.0156,0.4731,-1,-1,-1
LAME4,02/02/2021,23.93,30/01/2014,30/01/2021,24.81,05/02/2021,3,0.5107,0.0156,0.4737,-1,-1,-1
LAME4,03/02/2021,25.25,31/01/2014,02/02/2021,24.8,06/02/2021,3,0.5107,0.0156,0.4737,-1,-1,-1
LAME4,04/02/2021,25.25,01/02/2014,03/02/2021,24.52,09/02/2021,3,0.5119,0.0156,0.4725,-1,-1,-1
LAME4,05/02/2021,24.81,04/02/2014,04/02/2021,24.3,12/02/2021,5,0.5113,0.0168,0.4720,-1,-1,-1
LAME4,06/02/2021,24.8,05/02/2014,05/02/2021,23.82,11/02/2021,3,0.5113,0.0162,0.4725,-1,-1,-1
LAME4,09/02/2021,24.52,06/02/2014,06/02/2021,24.3,12/02/2021,3,0.5113,0.0162,0.4725,-1,-1,-1
LAME4,10/02/2021,24.27,07/02/2014,09/02/2021,24.61,13/02/2021,3,0.5107,0.0162,0.4731,-1,-1,-1
LAME4,11/02/2021,23.82,08/02/2014,10/02/2021,24.15,20/02/2021,5,0.5101,0.0162,0.4737,-1,-1,-1
LAME4,12/02/2021,24.3,11/02/2014,11/02/2021,28.95,23/02/2021,5,0.5101,0.0162,0.4737,-1,-1,-1
LAME4,13/02/2021,24.61,12/02/2014,12/02/2021,24.15,20/02/2021,3,0.5113,0.0162,0.4725,-1,-1,-1
LAME4,18/02/2021,24.4,13/02/2014,13/02/2021,26.6,25/02/2021,5,0.5119,0.0162,0.4720,-1,-1,-1
LAME4,19/02/2021,23.82,14/02/2014,18/02/2021,27.23,24/02/2021,3,0.5107,0.0162,0.4731,-1,-1,-1
LAME4,20/02/2021,24.15,15/02/2014,19/02/2021,26.6,25/02/2021,3,0.5107,0.0162,0.4731,-1,-1,-1
LAME4,23/02/2021,28.95,18/02/2014,20/02/2021,24.68,02/03/2021,5,0.5119,0.0162,0.4719,-1,-1,-1
LAME4,24/02/2021,27.23,19/02/2014,23/02/2021,24.91,27/02/2021,3,0.5124,0.0162,0.4714,-1,-1,-1
LAME4,25/02/2021,26.6,20/02/2014,24/02/2021,24.68,02/03/2021,3,0.5113,0.0162,0.4725,-1,-1,-1
LAME4,26/02/2021,25.98,21/02/2014,25/02/2021,24.25,03/03/2021,3,0.5107,0.0162,0.4731,-1,-1,-1
LAME4,27/02/2021,24.91,22/02/2014,26/02/2021,23.91,04/03/2021,3,0.5101,0.0162,0.4737,-1,-1,-1
LAME4,02/03/2021,24.68,25/02/2014,27/02/2021,22.27,09/03/2021,5,0.5096,0.0162,0.4742,-1,-1,-1
LAME4,03/03/2021,24.25,26/02/2014,02/03/2021,21,10/03/2021,5,0.5096,0.0162,0.4743,-1,-1,-1
LAME4,04/03/2021,23.91,27/02/2014,03/03/2021,21.97,11/03/2021,5,0.5090,0.0162,0.4748,-1,-1,-1
LAME4,05/03/2021,24.56,28/02/2014,04/03/2021,21,10/03/2021,3,0.5084,0.0162,0.4754,-1,-1,-1
LAME4,06/03/2021,23.92,01/03/2014,05/03/2021,21.67,13/03/2021,5,0.5096,0.0162,0.4742,-1,-1,-1
LAME4,09/03/2021,22.27,06/03/2014,06/03/2021,22.19,16/03/2021,5,0.5090,0.0162,0.4748,-1,-1,-1
LAME4,10/03/2021,21,07/03/2014,09/03/2021,21.67,13/03/2021,3,0.5084,0.0162,0.4754,-1,-1,-1
LAME4,11/03/2021,21.97,08/03/2014,10/03/2021,22.19,16/03/2021,3,0.5084,0.0162,0.4754,-1,-1,-1
LAME4,12/03/2021,22.47,11/03/2014,11/03/2021,22.36,17/03/2021,3,0.5095,0.0162,0.4743,-1,-1,-1
LAME4,13/03/2021,21.67,12/03/2014,12/03/2021,22.65,18/03/2021,3,0.5095,0.0162,0.4743,-1,-1,-1
LAME4,16/03/2021,22.19,13/03/2014,13/03/2021,21.7,19/03/2021,3,0.5084,0.0162,0.4754,-1,-1,-1
LAME4,17/03/2021,22.36,14/03/2014,16/03/2021,22.14,20/03/2021,3,0.5090,0.0162,0.4748,-1,-1,-1
LAME4,18/03/2021,22.65,15/03/2014,17/03/2021,21.44,25/03/2021,5,0.5096,0.0156,0.4748,-1,-1,-1
LAME4,19/03/2021,21.7,18/03/2014,18/03/2021,21.76,26/03/2021,5,0.5096,0.0156,0.4748,-1,-1,-1
LAME4,20/03/2021,22.14,19/03/2014,19/03/2021,21.6,27/03/2021,5,0.5084,0.0156,0.4760,-1,-1,-1
LAME4,23/03/2021,22.21,20/03/2014,20/03/2021,21.65,30/03/2021,5,0.5096,0.0156,0.4748,-1,-1,-1
LAME4,24/03/2021,21.99,21/03/2014,23/03/2021,22.5,31/03/2021,5,0.5096,0.0156,0.4748,-1,-1,-1
LAME4,25/03/2021,21.44,22/03/2014,24/03/2021,21.65,30/03/2021,3,0.5084,0.0156,0.4760,-1,-1,-1
LAME4,26/03/2021,21.76,25/03/2014,25/03/2021,22.5,31/03/2021,3,0.5078,0.0156,0.4766,-1,-1,-1
LAME4,27/03/2021,21.6,26/03/2014,26/03/2021,22.84,06/04/2021,5,0.5084,0.0156,0.4760,-1,-1,-1
LAME4,30/03/2021,21.65,27/03/2014,27/03/2021,22.4,02/04/2021,3,0.5078,0.0156,0.4766,-1,-1,-1
LAME4,31/03/2021,22.5,28/03/2014,30/03/2021,22.84,06/04/2021,3,0.5084,0.0156,0.4760,-1,-1,-1
LAME4,01/04/2021,22.36,29/03/2014,31/03/2021,22.7,07/04/2021,3,0.5084,0.0156,0.4760,-1,-1,-1
LAME4,02/04/2021,22.4,01/04/2014,01/04/2021,22.19,08/04/2021,3,0.5073,0.0156,0.4771,-1,-1,-1
LAME4,06/04/2021,22.84,02/04/2014,02/04/2021,22.39,09/04/2021,3,0.5084,0.0156,0.4760,-1,-1,-1
LAME4,07/04/2021,22.7,03/04/2014,06/04/2021,21.91,10/04/2021,3,0.5084,0.0156,0.4760,-1,-1,-1
LAME4,08/04/2021,22.19,04/04/2014,07/04/2021,22.02,13/04/2021,3,0.5073,0.0156,0.4771,-1,-1,-1
LAME4,09/04/2021,22.39,05/04/2014,08/04/2021,23.26,16/04/2021,5,0.5072,0.0156,0.4771,-1,-1,-1
LAME4,10/04/2021,21.91,08/04/2014,09/04/2021,23.6,17/04/2021,5,0.5078,0.0156,0.4766,-1,-1,-1
LAME4,13/04/2021,22.02,09/04/2014,10/04/2021,23.26,16/04/2021,3,0.5073,0.0156,0.4771,-1,-1,-1
LAME4,14/04/2021,24.07,10/04/2014,13/04/2021,23.6,17/04/2021,3,0.5084,0.0156,0.4760,-1,-1,-1
LAME4,15/04/2021,23.31,11/04/2014,14/04/2021,23.35,20/04/2021,3,0.5084,0.0156,0.4760,-1,-1,-1
LAME4,16/04/2021,23.26,12/04/2014,15/04/2021,22.85,21/04/2021,3,0.5073,0.0156,0.4771,-1,-1,-1
LAME4,17/04/2021,23.6,15/04/2014,16/04/2021,22.12,23/04/2021,3,0.5073,0.0156,0.4771,-1,-1,-1
LAME4,20/04/2021,23.35,16/04/2014,17/04/2021,22.8,24/04/2021,3,0.5084,0.0156,0.4760,-1,-1,-1
LAME4,21/04/2021,22.85,17/04/2014,20/04/2021,22.35,27/04/2021,3,0.5073,0.0156,0.4771,-1,-1,-1
LAME4,23/04/2021,22.12,18/04/2014,21/04/2021,21.83,28/04/2021,3,0.5073,0.0156,0.4771,-1,-1,-1
LAME4,24/04/2021,22.8,23/04/2014,23/04/2021,22.63,29/04/2021,3,0.5073,0.0156,0.4771,-1,-1,-1
LAME4,27/04/2021,22.35,24/04/2014,24/04/2021,21.46,30/04/2021,3,0.5084,0.0156,0.4760,-1,-1,-1
LAME4,28/04/2021,21.83,25/04/2014,27/04/2021,21,05/05/2021,5,0.5073,0.0156,0.4771,-1,-1,-1
LAME4,29/04/2021,22.63,26/04/2014,28/04/2021,20.95,04/05/2021,3,0.5067,0.0156,0.4777,-1,-1,-1
LAME4,30/04/2021,21.46,29/04/2014,29/04/2021,20.45,07/05/2021,5,0.5073,0.0156,0.4771,-1,-1,-1
LAME4,01/05/2021,20.86,30/04/2014,30/04/2021,20.91,06/05/2021,3,0.5067,0.0156,0.4777,-1,-1,-1
LAME4,04/05/2021,20.95,01/05/2014,01/05/2021,19.69,11/05/2021,5,0.5061,0.0156,0.4783,-1,-1,-1
LAME4,05/05/2021,21,03/05/2014,04/05/2021,19.6,12/05/2021,5,0.5072,0.0156,0.4771,-1,-1,-1
LAME4,06/05/2021,20.91,06/05/2014,05/05/2021,19.69,11/05/2021,3,0.5073,0.0156,0.4771,-1,-1,-1
LAME4,07/05/2021,20.45,07/05/2014,06/05/2021,19.6,12/05/2021,3,0.5067,0.0150,0.4783,-1,-1,-1
LAME4,08/05/2021,20.5,08/05/2014,07/05/2021,19.34,13/05/2021,3,0.5067,0.0150,0.4783,-1,-1,-1
LAME4,11/05/2021,19.69,09/05/2014,08/05/2021,19.43,14/05/2021,3,0.5078,0.0150,0.4772,-1,-1,-1
LAME4,12/05/2021,19.6,10/05/2014,11/05/2021,19.44,15/05/2021,3,0.5067,0.0150,0.4783,-1,-1,-1
LAME4,13/05/2021,19.34,13/05/2014,12/05/2021,19.54,18/05/2021,3,0.5061,0.0150,0.4789,-1,-1,-1
LAME4,14/05/2021,19.43,14/05/2014,13/05/2021,19.52,19/05/2021,3,0.5055,0.0150,0.4795,-1,-1,-1
LAME4,15/05/2021,19.44,15/05/2014,14/05/2021,18.46,22/05/2021,5,0.5061,0.0150,0.4789,-1,-1,-1
LAME4,18/05/2021,19.54,16/05/2014,15/05/2021,19.48,25/05/2021,5,0.5067,0.0150,0.4783,-1,-1,-1
LAME4,19/05/2021,19.52,17/05/2014,18/05/2021,19.7,26/05/2021,5,0.5067,0.0150,0.4783,-1,-1,-1
LAME4,20/05/2021,19.06,20/05/2014,19/05/2021,19.48,25/05/2021,3,0.5061,0.0150,0.4789,-1,-1,-1
LAME4,21/05/2021,18.82,21/05/2014,20/05/2021,19.7,26/05/2021,3,0.5061,0.0150,0.4789,-1,-1,-1
LAME4,22/05/2021,18.46,22/05/2014,21/05/2021,19.3,27/05/2021,3,0.5055,0.0150,0.4795,-1,-1,-1
LAME4,25/05/2021,19.48,23/05/2014,22/05/2021,19.89,01/06/2021,5,0.5049,0.0150,0.4800,-1,-1,-1
LAME4,26/05/2021,19.7,24/05/2014,25/05/2021,20.05,29/05/2021,3,0.5061,0.0150,0.4789,-1,-1,-1
LAME4,27/05/2021,19.3,27/05/2014,26/05/2021,21.32,03/06/2021,5,0.5061,0.0150,0.4789,-1,-1,-1
LAME4,28/05/2021,19.38,28/05/2014,27/05/2021,21.4,02/06/2021,3,0.5055,0.0150,0.4795,-1,-1,-1
LAME4,29/05/2021,20.05,29/05/2014,28/05/2021,21.81,08/06/2021,5,0.5061,0.0150,0.4789,-1,-1,-1
LAME4,01/06/2021,19.89,30/05/2014,29/05/2021,22.18,09/06/2021,5,0.5067,0.0150,0.4783,-1,-1,-1
LAME4,02/06/2021,21.4,31/05/2014,01/06/2021,21.81,08/06/2021,3,0.5061,0.0150,0.4789,-1,-1,-1
LAME4,03/06/2021,21.32,03/06/2014,02/06/2021,22.53,11/06/2021,5,0.5067,0.0150,0.4783,-1,-1,-1
LAME4,05/06/2021,21.15,04/06/2014,03/06/2021,22.3,10/06/2021,3,0.5055,0.0150,0.4795,-1,-1,-1
LAME4,08/06/2021,21.81,05/06/2014,05/06/2021,22.67,15/06/2021,5,0.5049,0.0150,0.4800,-1,-1,-1
LAME4,09/06/2021,22.18,06/06/2014,08/06/2021,22.36,12/06/2021,3,0.5055,0.0150,0.4795,-1,-1,-1
LAME4,10/06/2021,22.3,07/06/2014,09/06/2021,22.67,15/06/2021,3,0.5055,0.0150,0.4795,-1,-1,-1
LAME4,11/06/2021,22.53,10/06/2014,10/06/2021,22.14,18/06/2021,5,0.5055,0.0150,0.4794,-1,-1,-1
LAME4,12/06/2021,22.36,11/06/2014,11/06/2021,21.75,19/06/2021,5,0.5061,0.0150,0.4789,-1,-1,-1
LAME4,15/06/2021,22.67,12/06/2014,12/06/2021,22.1,22/06/2021,5,0.5055,0.0150,0.4794,-1,-1,-1
LAME4,16/06/2021,22.74,14/06/2014,15/06/2021,21.76,23/06/2021,5,0.5067,0.0150,0.4783,-1,-1,-1
LAME4,17/06/2021,22.28,17/06/2014,16/06/2021,21.42,24/06/2021,5,0.5067,0.0150,0.4783,-1,-1,-1
LAME4,18/06/2021,22.14,18/06/2014,17/06/2021,22.38,25/06/2021,5,0.5055,0.0150,0.4794,-1,-1,-1
LAME4,19/06/2021,21.75,19/06/2014,18/06/2021,21.94,26/06/2021,5,0.5055,0.0150,0.4794,-1,-1,-1
LAME4,22/06/2021,22.1,21/06/2014,19/06/2021,22.35,29/06/2021,5,0.5055,0.0150,0.4794,-1,-1,-1
LAME4,23/06/2021,21.76,24/06/2014,22/06/2021,22.22,30/06/2021,5,0.5067,0.0150,0.4783,-1,-1,-1
LAME4,24/06/2021,21.42,25/06/2014,23/06/2021,22.35,29/06/2021,3,0.5055,0.0150,0.4795,-1,-1,-1
LAME4,25/06/2021,22.38,26/06/2014,24/06/2021,21.09,02/07/2021,5,0.5055,0.0144,0.4800,-1,-1,-1
LAME4,26/06/2021,21.94,27/06/2014,25/06/2021,21.58,01/07/2021,3,0.5061,0.0145,0.4794,-1,-1,-1
LAME4,29/06/2021,22.35,28/06/2014,26/06/2021,21.11,06/07/2021,5,0.5055,0.0144,0.4800,-1,-1,-1
LAME4,30/06/2021,22.22,01/07/2014,29/06/2021,20.5,07/07/2021,5,0.5067,0.0145,0.4789,-1,-1,-1
LAME4,01/07/2021,21.58,02/07/2014,30/06/2021,20.71,08/07/2021,5,0.5061,0.0144,0.4794,-1,-1,-1
LAME4,02/07/2021,21.09,03/07/2014,01/07/2021,20.57,09/07/2021,5,0.5061,0.0144,0.4795,-1,-1,-1
