Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
MRVE3,05/01/2021,18.73,03/01/2014,31/12/2020,18.69,12/01/2021,5,0.4900,0.0260,0.4841,-1,-1,-1
MRVE3,06/01/2021,18.62,04/01/2014,05/01/2021,19.36,13/01/2021,5,0.4894,0.0260,0.4846,-1,-1,-1
MRVE3,07/01/2021,17.93,07/01/2014,06/01/2021,20.21,14/01/2021,5,0.4894,0.0260,0.4846,-1,-1,-1
MRVE3,08/01/2021,17.95,08/01/2014,07/01/2021,20.7,15/01/2021,5,0.4894,0.0260,0.4846,-1,-1,-1
MRVE3,09/01/2021,19.19,09/01/2014,08/01/2021,19.72,21/01/2021,8,0.4906,0.0260,0.4835,-1,-1,-1
MRVE3,12/01/2021,18.69,10/01/2014,09/01/2021,20.08,19/01/2021,5,0.4911,0.0260,0.4829,-1,-1,-1
MRVE3,13/01/2021,19.36,11/01/2014,12/01/2021,19.74,20/01/2021,5,0.4900,0.0260,0.4841,-1,-1,-1
MRVE3,14/01/2021,20.21,14/01/2014,13/01/2021,19.72,21/01/2021,5,0.4905,0.0260,0.4835,-1,-1,-1
MRVE3,15/01/2021,20.7,15/01/2014,14/01/2021,19.1,22/01/2021,5,0.4905,0.0260,0.4835,-1,-1,-1
MRVE3,16/01/2021,20.3,16/01/2014,15/01/2021,19.61,29/01/2021,8,0.4906,0.0260,0.4835,-1,-1,-1
MRVE3,19/01/2021,20.08,17/01/2014,16/01/2021,18.67,27/01/2021,5,0.4900,0.0260,0.4841,-1,-1,-1
MRVE3,20/01/2021,19.74,18/01/2014,19/01/2021,18.81,28/01/2021,5,0.4900,0.0260,0.4841,-1,-1,-1
MRVE3,21/01/2021,19.72,21/01/2014,20/01/2021,19.61,29/01/2021,5,0.4900,0.0260,0.4841,-1,-1,-1
MRVE3,22/01/2021,19.1,22/01/2014,21/01/2021,19,30/01/2021,5,0.4900,0.0260,0.4841,-1,-1,-1
MRVE3,23/01/2021,19.03,23/01/2014,22/01/2021,19.32,02/02/2021,5,0.4894,0.0260,0.4846,-1,-1,-1
MRVE3,27/01/2021,18.67,24/01/2014,23/01/2021,19.4,03/02/2021,5,0.4894,0.0260,0.4846,-1,-1,-1
MRVE3,28/01/2021,18.81,25/01/2014,27/01/2021,20.2,04/02/2021,5,0.4894,0.0260,0.4846,-1,-1,-1
MRVE3,29/01/2021,19.61,28/01/2014,28/01/2021,19.98,05/02/2021,5,0.4905,0.0260,0.4835,-1,-1,-1
MRVE3,30/01/2021,19,29/01/2014,29/01/2021,19.75,06/02/2021,5,0.4906,0.0260,0.4835,-1,-1,-1
MRVE3,02/02/2021,19.32,30/01/2014,30/01/2021,19.91,09/02/2021,5,0.4900,0.0260,0.4841,-1,-1,-1
MRVE3,03/02/2021,19.4,31/01/2014,02/02/2021,19.59,10/02/2021,5,0.4911,0.0260,0.4829,-1,-1,-1
MRVE3,04/02/2021,20.2,01/02/2014,03/02/2021,19.07,11/02/2021,5,0.4917,0.0260,0.4823,-1,-1,-1
MRVE3,05/02/2021,19.98,04/02/2014,04/02/2021,19.51,12/02/2021,5,0.4923,0.0260,0.4818,-1,-1,-1
MRVE3,06/02/2021,19.75,05/02/2014,05/02/2021,19.3,13/02/2021,5,0.4917,0.0260,0.4823,-1,-1,-1
MRVE3,09/02/2021,19.91,06/02/2014,06/02/2021,18.97,18/02/2021,5,0.4911,0.0260,0.4829,-1,-1,-1
MRVE3,10/02/2021,19.59,07/02/2014,09/02/2021,18.54,19/02/2021,5,0.4917,0.0260,0.4823,-1,-1,-1
MRVE3,11/02/2021,19.07,08/02/2014,10/02/2021,18.38,20/02/2021,5,0.4911,0.0260,0.4829,-1,-1,-1
