Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
ODPV3,05/01/2021,15.17,03/01/2014,31/12/2020,14.46,12/01/2021,5,0.4957,0.0295,0.4749,-1,-1,-1
ODPV3,06/01/2021,15.45,04/01/2014,05/01/2021,14.53,13/01/2021,5,0.4968,0.0289,0.4744,-1,-1,-1
ODPV3,07/01/2021,15.04,07/01/2014,06/01/2021,14.3,14/01/2021,5,0.4974,0.0289,0.4738,-1,-1,-1
ODPV3,08/01/2021,14.3,08/01/2014,07/01/2021,14.46,15/01/2021,5,0.4968,0.0289,0.4743,-1,-1,-1
ODPV3,09/01/2021,14.58,09/01/2014,08/01/2021,15.05,16/01/2021,5,0.4968,0.0289,0.4743,-1,-1,-1
ODPV3,12/01/2021,14.46,10/01/2014,09/01/2021,14.83,19/01/2021,5,0.4979,0.0289,0.4732,-1,-1,-1
ODPV3,13/01/2021,14.53,11/01/2014,12/01/2021,14.46,20/01/2021,5,0.4968,0.0289,0.4743,-1,-1,-1
ODPV3,14/01/2021,14.3,14/01/2014,13/01/2021,14.48,21/01/2021,5,0.4974,0.0289,0.4738,-1,-1,-1
ODPV3,15/01/2021,14.46,15/01/2014,14/01/2021,14.43,22/01/2021,5,0.4968,0.0289,0.4743,-1,-1,-1
ODPV3,16/01/2021,15.05,16/01/2014,15/01/2021,14.02,23/01/2021,5,0.4973,0.0289,0.4738,-1,-1,-1
ODPV3,19/01/2021,14.83,17/01/2014,16/01/2021,14.35,27/01/2021,5,0.4974,0.0289,0.4738,-1,-1,-1
ODPV3,20/01/2021,14.46,18/01/2014,19/01/2021,14.21,28/01/2021,5,0.4968,0.0289,0.4743,-1,-1,-1
ODPV3,21/01/2021,14.48,21/01/2014,20/01/2021,14.53,29/01/2021,5,0.4968,0.0289,0.4743,-1,-1,-1
ODPV3,22/01/2021,14.43,22/01/2014,21/01/2021,14.17,30/01/2021,5,0.4979,0.0289,0.4732,-1,-1,-1
ODPV3,23/01/2021,14.02,23/01/2014,22/01/2021,14.5,02/02/2021,5,0.4968,0.0289,0.4743,-1,-1,-1
ODPV3,27/01/2021,14.35,24/01/2014,23/01/2021,14.6,03/02/2021,5,0.4962,0.0289,0.4749,-1,-1,-1
ODPV3,28/01/2021,14.21,25/01/2014,27/01/2021,14.2,04/02/2021,5,0.4974,0.0289,0.4738,-1,-1,-1
ODPV3,29/01/2021,14.53,28/01/2014,28/01/2021,14.06,05/02/2021,5,0.4968,0.0289,0.4743,-1,-1,-1
ODPV3,30/01/2021,14.17,29/01/2014,29/01/2021,13.96,06/02/2021,5,0.4973,0.0289,0.4738,-1,-1,-1
ODPV3,02/02/2021,14.5,30/01/2014,30/01/2021,13.6,09/02/2021,5,0.4962,0.0289,0.4749,-1,-1,-1
ODPV3,03/02/2021,14.6,31/01/2014,02/02/2021,13.55,10/02/2021,5,0.4973,0.0289,0.4738,-1,-1,-1
ODPV3,04/02/2021,14.2,01/02/2014,03/02/2021,13.59,11/02/2021,5,0.4974,0.0289,0.4738,-1,-1,-1
ODPV3,05/02/2021,14.06,04/02/2014,04/02/2021,13.37,12/02/2021,5,0.4968,0.0289,0.4743,-1,-1,-1
ODPV3,06/02/2021,13.96,05/02/2014,05/02/2021,13.35,13/02/2021,5,0.4962,0.0289,0.4749,-1,-1,-1
ODPV3,09/02/2021,13.6,06/02/2014,06/02/2021,13.26,18/02/2021,5,0.4957,0.0289,0.4755,-1,-1,-1
ODPV3,10/02/2021,13.55,07/02/2014,09/02/2021,13.25,19/02/2021,5,0.4957,0.0289,0.4755,-1,-1,-1
ODPV3,11/02/2021,13.59,08/02/2014,10/02/2021,13.2,20/02/2021,5,0.4957,0.0289,0.4755,-1,-1,-1
ODPV3,12/02/2021,13.37,11/02/2014,11/02/2021,13.14,23/02/2021,5,0.4968,0.0289,0.4744,-1,-1,-1
