Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
BRFS3,05/01/2021,21.48,03/01/2018,31/12/2020,21.93,08/01/2021,3,0.4677,0.0081,0.5242,0,0,0
BRFS3,06/01/2021,21.31,04/01/2018,05/01/2021,21.98,09/01/2021,3,0.4675,0.0081,0.5244,0,0,0
BRFS3,07/01/2021,21.2,05/01/2018,06/01/2021,21.24,14/01/2021,5,0.4662,0.0081,0.5257,0,1,1
BRFS3,08/01/2021,21.93,06/01/2018,07/01/2021,21.36,13/01/2021,3,0.4648,0.0081,0.5271,1,1,1
BRFS3,09/01/2021,21.98,09/01/2018,08/01/2021,20.76,16/01/2021,5,0.4662,0.0081,0.5257,1,1,1
BRFS3,12/01/2021,21.53,10/01/2018,09/01/2021,20.39,19/01/2021,5,0.4664,0.0081,0.5255,1,1,1
BRFS3,13/01/2021,21.36,11/01/2018,12/01/2021,20.76,16/01/2021,3,0.4648,0.0081,0.5271,1,1,1
BRFS3,14/01/2021,21.24,12/01/2018,13/01/2021,20.41,21/01/2021,5,0.4635,0.0081,0.5284,1,1,1
BRFS3,15/01/2021,21.1,13/01/2018,14/01/2021,20.41,20/01/2021,3,0.4623,0.0081,0.5296,1,1,1
BRFS3,16/01/2021,20.76,16/01/2018,15/01/2021,20.41,21/01/2021,3,0.4621,0.0081,0.5298,1,1,1
BRFS3,19/01/2021,20.39,17/01/2018,16/01/2021,20.41,27/01/2021,5,0.4610,0.0081,0.5309,0,0,0
BRFS3,20/01/2021,20.41,18/01/2018,19/01/2021,20.98,28/01/2021,5,0.4610,0.0081,0.5309,0,0,0
BRFS3,21/01/2021,20.41,19/01/2018,20/01/2021,20.41,27/01/2021,3,0.4637,0.0081,0.5282,0,0,0
BRFS3,22/01/2021,20.05,20/01/2018,21/01/2021,22.57,04/02/2021,8,0.4623,0.0108,0.5270,0,0,0
