Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
BRML3,05/01/2021,9.53,03/01/2018,31/12/2020,9.14,08/01/2021,3,0.4730,0.0148,0.5121,-1,-1,-1
BRML3,06/01/2021,9.72,04/01/2018,05/01/2021,9.24,13/01/2021,5,0.4729,0.0148,0.5123,-1,-1,-1
BRML3,07/01/2021,9.21,05/01/2018,06/01/2021,9.23,14/01/2021,5,0.4742,0.0148,0.5109,-1,-1,-1
BRML3,08/01/2021,9.14,06/01/2018,07/01/2021,9.24,13/01/2021,3,0.4717,0.0148,0.5135,-1,-1,-1
BRML3,09/01/2021,9.41,09/01/2018,08/01/2021,9.23,14/01/2021,3,0.4717,0.0148,0.5135,-1,-1,-1
BRML3,12/01/2021,9.14,10/01/2018,09/01/2021,9.38,15/01/2021,3,0.4744,0.0148,0.5108,-1,-1,-1
BRML3,13/01/2021,9.24,11/01/2018,12/01/2021,9.45,20/01/2021,5,0.4729,0.0148,0.5123,-1,-1,-1
BRML3,14/01/2021,9.23,12/01/2018,13/01/2021,9.36,19/01/2021,3,0.4744,0.0148,0.5108,-1,-1,-1
BRML3,15/01/2021,9.38,13/01/2018,14/01/2021,9.37,22/01/2021,5,0.4729,0.0148,0.5123,-1,-1,-1
BRML3,16/01/2021,9.28,16/01/2018,15/01/2021,9.4,21/01/2021,3,0.4744,0.0148,0.5108,-1,-1,-1
BRML3,19/01/2021,9.36,17/01/2018,16/01/2021,9.37,22/01/2021,3,0.4730,0.0148,0.5121,-1,-1,-1
BRML3,20/01/2021,9.45,18/01/2018,19/01/2021,9.34,28/01/2021,5,0.4756,0.0148,0.5096,-1,-1,-1
BRML3,21/01/2021,9.4,19/01/2018,20/01/2021,9.89,29/01/2021,5,0.4756,0.0148,0.5096,-1,-1,-1
BRML3,22/01/2021,9.37,20/01/2018,21/01/2021,9.34,28/01/2021,3,0.4730,0.0148,0.5121,-1,-1,-1
BRML3,23/01/2021,9.17,23/01/2018,22/01/2021,9.89,29/01/2021,3,0.4730,0.0148,0.5121,-1,-1,-1
BRML3,27/01/2021,9.34,24/01/2018,23/01/2021,9.87,03/02/2021,5,0.4729,0.0148,0.5123,-1,-1,-1
BRML3,28/01/2021,9.34,25/01/2018,27/01/2021,10.14,04/02/2021,5,0.4742,0.0148,0.5109,-1,-1,-1
BRML3,29/01/2021,9.89,27/01/2018,28/01/2021,9.91,05/02/2021,5,0.4717,0.0175,0.5108,-1,-1,-1
BRML3,30/01/2021,9.55,30/01/2018,29/01/2021,9.83,06/02/2021,5,0.4728,0.0162,0.5110,-1,-1,-1
BRML3,02/02/2021,9.67,31/01/2018,30/01/2021,9.75,09/02/2021,5,0.4703,0.0162,0.5135,-1,-1,-1
BRML3,03/02/2021,9.87,01/02/2018,02/02/2021,9.61,10/02/2021,5,0.4728,0.0162,0.5110,-1,-1,-1
BRML3,04/02/2021,10.14,02/02/2018,03/02/2021,9.47,11/02/2021,5,0.4730,0.0162,0.5109,-1,-1,-1
BRML3,05/02/2021,9.91,03/02/2018,04/02/2021,9.45,12/02/2021,5,0.4743,0.0162,0.5095,-1,-1,-1
BRML3,06/02/2021,9.83,06/02/2018,05/02/2021,9.47,13/02/2021,5,0.4730,0.0162,0.5108,-1,-1,-1
BRML3,09/02/2021,9.75,07/02/2018,06/02/2021,9.35,18/02/2021,5,0.4730,0.0162,0.5108,-1,-1,-1
BRML3,10/02/2021,9.61,08/02/2018,09/02/2021,9.27,19/02/2021,5,0.4730,0.0162,0.5108,-1,-1,-1
BRML3,11/02/2021,9.47,09/02/2018,10/02/2021,9.22,20/02/2021,5,0.4730,0.0162,0.5108,-1,-1,-1
BRML3,12/02/2021,9.45,10/02/2018,11/02/2021,8.96,23/02/2021,5,0.4729,0.0162,0.5109,-1,-1,-1
BRML3,13/02/2021,9.47,15/02/2018,12/02/2021,8.9,24/02/2021,5,0.4716,0.0162,0.5122,-1,-1,-1
BRML3,18/02/2021,9.35,16/02/2018,13/02/2021,8.8,25/02/2021,5,0.4742,0.0162,0.5096,-1,-1,-1
BRML3,19/02/2021,9.27,17/02/2018,18/02/2021,8.7,26/02/2021,5,0.4716,0.0162,0.5122,-1,-1,-1
BRML3,20/02/2021,9.22,20/02/2018,19/02/2021,8.35,27/02/2021,5,0.4716,0.0162,0.5122,-1,-1,-1
BRML3,23/02/2021,8.96,21/02/2018,20/02/2021,8.17,02/03/2021,5,0.4715,0.0162,0.5123,-1,-1,-1
BRML3,24/02/2021,8.9,22/02/2018,23/02/2021,8.23,03/03/2021,5,0.4703,0.0162,0.5135,-1,-1,-1
BRML3,25/02/2021,8.8,23/02/2018,24/02/2021,8.15,04/03/2021,5,0.4702,0.0162,0.5137,-1,-1,-1
