Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
COCE5,05/01/2021,60.79,03/01/2018,31/12/2020,58.65,15/01/2021,8,0.4810,0.0459,0.4731,-1,-1,-1
COCE5,06/01/2021,59.15,04/01/2018,05/01/2021,58.59,16/01/2021,8,0.4823,0.0459,0.4717,-1,-1,-1
COCE5,07/01/2021,58.7,05/01/2018,06/01/2021,57.02,19/01/2021,8,0.4812,0.0459,0.4729,-1,-1,-1
COCE5,08/01/2021,58.12,06/01/2018,07/01/2021,58.54,20/01/2021,8,0.4811,0.0459,0.4730,-1,-1,-1
COCE5,09/01/2021,57.84,09/01/2018,08/01/2021,58.45,21/01/2021,8,0.4798,0.0459,0.4743,-1,-1,-1
COCE5,12/01/2021,57.44,10/01/2018,09/01/2021,57.89,22/01/2021,8,0.4784,0.0459,0.4757,-1,-1,-1
COCE5,13/01/2021,57.92,11/01/2018,12/01/2021,58.54,20/01/2021,5,0.4771,0.0459,0.4770,-1,-1,-1
COCE5,14/01/2021,58.08,12/01/2018,13/01/2021,54.75,27/01/2021,8,0.4796,0.0459,0.4744,-1,-1,-1
COCE5,15/01/2021,58.65,13/01/2018,14/01/2021,54.91,28/01/2021,8,0.4810,0.0459,0.4731,-1,-1,-1
COCE5,16/01/2021,58.59,16/01/2018,15/01/2021,55.2,29/01/2021,8,0.4810,0.0459,0.4731,-1,-1,-1
COCE5,19/01/2021,57.02,17/01/2018,16/01/2021,55.29,30/01/2021,8,0.4784,0.0459,0.4757,-1,-1,-1
COCE5,20/01/2021,58.54,18/01/2018,19/01/2021,54.91,28/01/2021,5,0.4771,0.0459,0.4770,-1,-1,-1
COCE5,21/01/2021,58.45,19/01/2018,20/01/2021,57.37,03/02/2021,8,0.4796,0.0459,0.4745,-1,-1,-1
COCE5,22/01/2021,57.89,20/01/2018,21/01/2021,55.29,30/01/2021,5,0.4771,0.0459,0.4770,-1,-1,-1
COCE5,23/01/2021,56.93,23/01/2018,22/01/2021,55.4,05/02/2021,8,0.4771,0.0459,0.4770,-1,-1,-1
COCE5,27/01/2021,54.75,24/01/2018,23/01/2021,57.37,03/02/2021,5,0.4757,0.0459,0.4784,-1,-1,-1
COCE5,28/01/2021,54.91,25/01/2018,27/01/2021,56.12,04/02/2021,5,0.4744,0.0459,0.4797,-1,-1,-1
COCE5,29/01/2021,55.2,27/01/2018,28/01/2021,55.94,10/02/2021,8,0.4769,0.0459,0.4771,-1,-1,-1
COCE5,30/01/2021,55.29,30/01/2018,29/01/2021,55.87,06/02/2021,5,0.4783,0.0459,0.4758,-1,-1,-1
COCE5,02/02/2021,57.21,31/01/2018,30/01/2021,54.82,12/02/2021,8,0.4796,0.0459,0.4744,-1,-1,-1
COCE5,03/02/2021,57.37,01/02/2018,02/02/2021,53.53,13/02/2021,8,0.4796,0.0459,0.4744,-1,-1,-1
COCE5,04/02/2021,56.12,02/02/2018,03/02/2021,53.52,18/02/2021,8,0.4810,0.0459,0.4731,-1,-1,-1
COCE5,05/02/2021,55.4,03/02/2018,04/02/2021,54.5,19/02/2021,8,0.4798,0.0459,0.4743,-1,-1,-1
COCE5,06/02/2021,55.87,06/02/2018,05/02/2021,54.33,20/02/2021,8,0.4784,0.0459,0.4756,-1,-1,-1
COCE5,09/02/2021,55.89,07/02/2018,06/02/2021,53.52,18/02/2021,5,0.4810,0.0459,0.4731,-1,-1,-1
COCE5,10/02/2021,55.94,08/02/2018,09/02/2021,54.5,19/02/2021,5,0.4810,0.0459,0.4731,-1,-1,-1
COCE5,11/02/2021,54.98,09/02/2018,10/02/2021,52.68,25/02/2021,8,0.4810,0.0459,0.4731,-1,-1,-1
COCE5,12/02/2021,54.82,10/02/2018,11/02/2021,52.05,26/02/2021,8,0.4798,0.0459,0.4743,-1,-1,-1
COCE5,13/02/2021,53.53,15/02/2018,12/02/2021,51.95,24/02/2021,5,0.4784,0.0459,0.4756,-1,-1,-1
COCE5,18/02/2021,53.52,16/02/2018,13/02/2021,52.68,25/02/2021,5,0.4784,0.0459,0.4757,-1,-1,-1
COCE5,19/02/2021,54.5,17/02/2018,18/02/2021,51.5,03/03/2021,8,0.4770,0.0459,0.4770,-1,-1,-1
COCE5,20/02/2021,54.33,20/02/2018,19/02/2021,50.17,27/02/2021,5,0.4783,0.0459,0.4758,-1,-1,-1
COCE5,23/02/2021,52.29,21/02/2018,20/02/2021,53.05,05/03/2021,8,0.4770,0.0459,0.4770,-1,-1,-1
COCE5,24/02/2021,51.95,22/02/2018,23/02/2021,51.5,03/03/2021,5,0.4757,0.0459,0.4784,-1,-1,-1
COCE5,25/02/2021,52.68,23/02/2018,24/02/2021,51.81,04/03/2021,5,0.4757,0.0446,0.4797,-1,-1,-1
COCE5,26/02/2021,52.05,24/02/2018,25/02/2021,53.05,05/03/2021,5,0.4769,0.0446,0.4785,-1,-1,-1
COCE5,27/02/2021,50.17,27/02/2018,26/02/2021,52.71,06/03/2021,5,0.4744,0.0446,0.4811,-1,-1,-1
COCE5,02/03/2021,51.96,28/02/2018,27/02/2021,52.59,09/03/2021,5,0.4730,0.0446,0.4824,-1,-1,-1
COCE5,03/03/2021,51.5,01/03/2018,02/03/2021,53.64,10/03/2021,5,0.4743,0.0446,0.4812,-1,-1,-1
COCE5,04/03/2021,51.81,02/03/2018,03/03/2021,53.9,16/03/2021,8,0.4730,0.0446,0.4824,-1,-1,-1
COCE5,05/03/2021,53.05,03/03/2018,04/03/2021,54.7,12/03/2021,5,0.4756,0.0446,0.4798,-1,-1,-1
COCE5,06/03/2021,52.71,06/03/2018,05/03/2021,54.36,18/03/2021,8,0.4770,0.0446,0.4785,-1,-1,-1
COCE5,09/03/2021,52.59,07/03/2018,06/03/2021,54.1,19/03/2021,8,0.4758,0.0446,0.4797,-1,-1,-1
