Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
EVEN3,05/01/2021,11.67,03/01/2018,31/12/2020,11.03,12/01/2021,5,0.4930,0.0255,0.4815,-1,-1,-1
EVEN3,06/01/2021,11.66,04/01/2018,05/01/2021,11.46,13/01/2021,5,0.4917,0.0255,0.4828,-1,-1,-1
EVEN3,07/01/2021,11.04,05/01/2018,06/01/2021,11.3,14/01/2021,5,0.4904,0.0255,0.4841,-1,-1,-1
EVEN3,08/01/2021,10.73,06/01/2018,07/01/2021,11.59,15/01/2021,5,0.4904,0.0255,0.4841,-1,-1,-1
EVEN3,09/01/2021,11.42,09/01/2018,08/01/2021,11.69,16/01/2021,5,0.4904,0.0255,0.4841,-1,-1,-1
EVEN3,12/01/2021,11.03,10/01/2018,09/01/2021,11.72,19/01/2021,5,0.4930,0.0255,0.4815,-1,-1,-1
EVEN3,13/01/2021,11.46,11/01/2018,12/01/2021,11.6,20/01/2021,5,0.4917,0.0255,0.4828,-1,-1,-1
EVEN3,14/01/2021,11.3,12/01/2018,13/01/2021,11.61,21/01/2021,5,0.4930,0.0255,0.4815,-1,-1,-1
EVEN3,15/01/2021,11.59,13/01/2018,14/01/2021,11.12,22/01/2021,5,0.4917,0.0255,0.4828,-1,-1,-1
EVEN3,16/01/2021,11.69,16/01/2018,15/01/2021,10.87,23/01/2021,5,0.4929,0.0255,0.4816,-1,-1,-1
EVEN3,19/01/2021,11.72,17/01/2018,16/01/2021,11.01,27/01/2021,5,0.4929,0.0255,0.4816,-1,-1,-1
EVEN3,20/01/2021,11.6,18/01/2018,19/01/2021,11.23,28/01/2021,5,0.4929,0.0255,0.4816,-1,-1,-1
EVEN3,21/01/2021,11.61,19/01/2018,20/01/2021,11.48,29/01/2021,5,0.4903,0.0255,0.4842,-1,-1,-1
EVEN3,22/01/2021,11.12,20/01/2018,21/01/2021,11.34,30/01/2021,5,0.4917,0.0255,0.4829,-1,-1,-1
EVEN3,23/01/2021,10.87,23/01/2018,22/01/2021,11.48,02/02/2021,5,0.4904,0.0255,0.4841,-1,-1,-1
EVEN3,27/01/2021,11.01,24/01/2018,23/01/2021,11.91,03/02/2021,5,0.4903,0.0255,0.4842,-1,-1,-1
EVEN3,28/01/2021,11.23,25/01/2018,27/01/2021,12.12,04/02/2021,5,0.4916,0.0255,0.4829,-1,-1,-1
EVEN3,29/01/2021,11.48,27/01/2018,28/01/2021,12.05,05/02/2021,5,0.4917,0.0255,0.4829,-1,-1,-1
EVEN3,30/01/2021,11.34,30/01/2018,29/01/2021,12.4,06/02/2021,5,0.4930,0.0255,0.4815,-1,-1,-1
EVEN3,02/02/2021,11.48,31/01/2018,30/01/2021,12.15,09/02/2021,5,0.4917,0.0255,0.4828,-1,-1,-1
EVEN3,03/02/2021,11.91,01/02/2018,02/02/2021,12.03,10/02/2021,5,0.4929,0.0255,0.4816,-1,-1,-1
EVEN3,04/02/2021,12.12,02/02/2018,03/02/2021,11.56,11/02/2021,5,0.4930,0.0255,0.4815,-1,-1,-1
EVEN3,05/02/2021,12.05,03/02/2018,04/02/2021,11.63,12/02/2021,5,0.4944,0.0255,0.4802,-1,-1,-1
EVEN3,06/02/2021,12.4,06/02/2018,05/02/2021,11.75,13/02/2021,5,0.4930,0.0255,0.4815,-1,-1,-1
EVEN3,09/02/2021,12.15,07/02/2018,06/02/2021,11.28,18/02/2021,5,0.4944,0.0255,0.4802,-1,-1,-1
EVEN3,10/02/2021,12.03,08/02/2018,09/02/2021,11.13,19/02/2021,5,0.4931,0.0255,0.4814,-1,-1,-1
EVEN3,11/02/2021,11.56,09/02/2018,10/02/2021,11.15,20/02/2021,5,0.4931,0.0255,0.4814,-1,-1,-1
EVEN3,12/02/2021,11.63,10/02/2018,11/02/2021,10.64,23/02/2021,5,0.4930,0.0255,0.4815,-1,-1,-1
EVEN3,13/02/2021,11.75,15/02/2018,12/02/2021,10.45,24/02/2021,5,0.4944,0.0255,0.4802,-1,-1,-1
EVEN3,18/02/2021,11.28,16/02/2018,13/02/2021,10.52,25/02/2021,5,0.4956,0.0255,0.4789,-1,-1,-1
EVEN3,19/02/2021,11.13,17/02/2018,18/02/2021,10.4,26/02/2021,5,0.4931,0.0255,0.4814,-1,-1,-1
EVEN3,20/02/2021,11.15,20/02/2018,19/02/2021,9.99,27/02/2021,5,0.4931,0.0255,0.4814,-1,-1,-1
EVEN3,23/02/2021,10.64,21/02/2018,20/02/2021,9.8,02/03/2021,5,0.4956,0.0255,0.4789,-1,-1,-1
EVEN3,24/02/2021,10.45,22/02/2018,23/02/2021,10.06,03/03/2021,5,0.4930,0.0255,0.4815,-1,-1,-1
EVEN3,25/02/2021,10.52,23/02/2018,24/02/2021,9.99,04/03/2021,5,0.4917,0.0255,0.4828,-1,-1,-1
EVEN3,26/02/2021,10.4,24/02/2018,25/02/2021,10.12,05/03/2021,5,0.4929,0.0255,0.4816,-1,-1,-1
EVEN3,27/02/2021,9.99,27/02/2018,26/02/2021,10.75,06/03/2021,5,0.4904,0.0255,0.4841,-1,-1,-1
EVEN3,02/03/2021,9.8,28/02/2018,27/02/2021,9.9,09/03/2021,5,0.4904,0.0255,0.4841,-1,-1,-1
EVEN3,03/03/2021,10.06,01/03/2018,02/03/2021,9.32,10/03/2021,5,0.4904,0.0255,0.4841,-1,-1,-1
EVEN3,04/03/2021,9.99,02/03/2018,03/03/2021,9.56,11/03/2021,5,0.4930,0.0255,0.4815,-1,-1,-1
EVEN3,05/03/2021,10.12,03/03/2018,04/03/2021,10.08,12/03/2021,5,0.4917,0.0255,0.4828,-1,-1,-1
EVEN3,06/03/2021,10.75,06/03/2018,05/03/2021,10.43,13/03/2021,5,0.4930,0.0255,0.4815,-1,-1,-1
EVEN3,09/03/2021,9.9,07/03/2018,06/03/2021,10.47,16/03/2021,5,0.4943,0.0255,0.4802,-1,-1,-1
EVEN3,10/03/2021,9.32,08/03/2018,09/03/2021,10.08,17/03/2021,5,0.4917,0.0255,0.4828,-1,-1,-1
EVEN3,11/03/2021,9.56,09/03/2018,10/03/2021,10.23,18/03/2021,5,0.4917,0.0255,0.4828,-1,-1,-1
EVEN3,12/03/2021,10.08,10/03/2018,11/03/2021,9.99,19/03/2021,5,0.4943,0.0255,0.4802,-1,-1,-1
EVEN3,13/03/2021,10.43,13/03/2018,12/03/2021,10.56,20/03/2021,5,0.4944,0.0255,0.4802,-1,-1,-1
EVEN3,16/03/2021,10.47,14/03/2018,13/03/2021,10.47,23/03/2021,5,0.4956,0.0255,0.4789,-1,-1,-1
EVEN3,17/03/2021,10.08,15/03/2018,16/03/2021,10.32,24/03/2021,5,0.4957,0.0255,0.4788,-1,-1,-1
EVEN3,18/03/2021,10.23,16/03/2018,17/03/2021,9.98,25/03/2021,5,0.4944,0.0255,0.4801,-1,-1,-1
EVEN3,19/03/2021,9.99,17/03/2018,18/03/2021,10.35,26/03/2021,5,0.4957,0.0255,0.4788,-1,-1,-1
EVEN3,20/03/2021,10.56,20/03/2018,19/03/2021,10.27,27/03/2021,5,0.4944,0.0255,0.4801,-1,-1,-1
EVEN3,23/03/2021,10.47,21/03/2018,20/03/2021,10.02,30/03/2021,5,0.4957,0.0255,0.4788,-1,-1,-1
EVEN3,24/03/2021,10.32,22/03/2018,23/03/2021,10.4,31/03/2021,5,0.4944,0.0255,0.4801,-1,-1,-1
EVEN3,25/03/2021,9.98,23/03/2018,24/03/2021,10.32,01/04/2021,5,0.4931,0.0255,0.4814,-1,-1,-1
EVEN3,26/03/2021,10.35,24/03/2018,25/03/2021,10.22,02/04/2021,5,0.4930,0.0255,0.4815,-1,-1,-1
EVEN3,27/03/2021,10.27,27/03/2018,26/03/2021,10.43,09/04/2021,8,0.4944,0.0255,0.4802,-1,-1,-1
EVEN3,30/03/2021,10.02,28/03/2018,27/03/2021,10.44,07/04/2021,5,0.4931,0.0255,0.4814,-1,-1,-1
EVEN3,31/03/2021,10.4,29/03/2018,30/03/2021,10.21,08/04/2021,5,0.4930,0.0255,0.4815,-1,-1,-1
EVEN3,01/04/2021,10.32,30/03/2018,31/03/2021,10.7,14/04/2021,8,0.4944,0.0255,0.4802,-1,-1,-1
EVEN3,02/04/2021,10.22,03/04/2018,01/04/2021,10.99,10/04/2021,5,0.4931,0.0255,0.4814,-1,-1,-1
EVEN3,06/04/2021,10.3,04/04/2018,02/04/2021,10.79,13/04/2021,5,0.4931,0.0255,0.4814,-1,-1,-1
EVEN3,07/04/2021,10.44,05/04/2018,06/04/2021,10.7,14/04/2021,5,0.4956,0.0255,0.4789,-1,-1,-1
EVEN3,08/04/2021,10.21,06/04/2018,07/04/2021,10.7,15/04/2021,5,0.4956,0.0255,0.4789,-1,-1,-1
EVEN3,09/04/2021,10.43,07/04/2018,08/04/2021,10.81,16/04/2021,5,0.4931,0.0255,0.4814,-1,-1,-1
EVEN3,10/04/2021,10.99,10/04/2018,09/04/2021,10.94,17/04/2021,5,0.4957,0.0255,0.4788,-1,-1,-1
EVEN3,13/04/2021,10.79,11/04/2018,10/04/2021,10.69,20/04/2021,5,0.4971,0.0255,0.4775,-1,-1,-1
EVEN3,14/04/2021,10.7,12/04/2018,13/04/2021,10.64,21/04/2021,5,0.4958,0.0255,0.4787,-1,-1,-1
EVEN3,15/04/2021,10.7,13/04/2018,14/04/2021,10.69,23/04/2021,5,0.4957,0.0255,0.4788,-1,-1,-1
EVEN3,16/04/2021,10.81,14/04/2018,15/04/2021,10.86,24/04/2021,5,0.4946,0.0283,0.4771,-1,-1,-1
EVEN3,17/04/2021,10.94,17/04/2018,16/04/2021,10.76,27/04/2021,5,0.4970,0.0268,0.4762,-1,-1,-1
EVEN3,20/04/2021,10.69,18/04/2018,17/04/2021,10.51,28/04/2021,5,0.4970,0.0268,0.4762,-1,-1,-1
EVEN3,21/04/2021,10.64,19/04/2018,20/04/2021,10.76,27/04/2021,3,0.4944,0.0269,0.4787,-1,-1,-1
EVEN3,23/04/2021,10.69,20/04/2018,21/04/2021,9.98,30/04/2021,5,0.4943,0.0269,0.4788,-1,-1,-1
EVEN3,24/04/2021,10.86,21/04/2018,23/04/2021,9.66,01/05/2021,5,0.4957,0.0268,0.4775,-1,-1,-1
EVEN3,27/04/2021,10.76,24/04/2018,24/04/2021,9.64,04/05/2021,5,0.4970,0.0268,0.4762,-1,-1,-1
EVEN3,28/04/2021,10.51,25/04/2018,27/04/2021,9.66,01/05/2021,3,0.4944,0.0269,0.4787,-1,-1,-1
EVEN3,29/04/2021,10.56,26/04/2018,28/04/2021,9.6,06/05/2021,5,0.4943,0.0269,0.4788,-1,-1,-1
EVEN3,30/04/2021,9.98,27/04/2018,29/04/2021,9.74,07/05/2021,5,0.4956,0.0268,0.4775,-1,-1,-1
EVEN3,01/05/2021,9.66,28/04/2018,30/04/2021,10.02,08/05/2021,5,0.4930,0.0269,0.4801,-1,-1,-1
EVEN3,04/05/2021,9.64,01/05/2018,01/05/2021,9.86,11/05/2021,5,0.4930,0.0269,0.4801,-1,-1,-1
EVEN3,05/05/2021,9.6,03/05/2018,04/05/2021,9.92,12/05/2021,5,0.4930,0.0269,0.4801,-1,-1,-1
EVEN3,06/05/2021,9.6,04/05/2018,05/05/2021,9.67,13/05/2021,5,0.4930,0.0269,0.4801,-1,-1,-1
EVEN3,07/05/2021,9.74,05/05/2018,06/05/2021,10.39,19/05/2021,8,0.4933,0.0296,0.4771,-1,-1,-1
EVEN3,08/05/2021,10.02,08/05/2018,07/05/2021,10.27,15/05/2021,5,0.4943,0.0282,0.4775,-1,-1,-1
EVEN3,11/05/2021,9.86,09/05/2018,08/05/2021,10.56,18/05/2021,5,0.4957,0.0281,0.4762,-1,-1,-1
EVEN3,12/05/2021,9.92,10/05/2018,11/05/2021,10.39,19/05/2021,5,0.4943,0.0269,0.4788,-1,-1,-1
EVEN3,13/05/2021,9.67,11/05/2018,12/05/2021,10.31,20/05/2021,5,0.4956,0.0268,0.4775,-1,-1,-1
EVEN3,14/05/2021,9.94,12/05/2018,13/05/2021,10.28,21/05/2021,5,0.4930,0.0269,0.4801,-1,-1,-1
EVEN3,15/05/2021,10.27,15/05/2018,14/05/2021,9.7,22/05/2021,5,0.4957,0.0268,0.4775,-1,-1,-1
EVEN3,18/05/2021,10.56,16/05/2018,15/05/2021,9.57,25/05/2021,5,0.4970,0.0268,0.4762,-1,-1,-1
EVEN3,19/05/2021,10.39,17/05/2018,18/05/2021,9.59,26/05/2021,5,0.4970,0.0268,0.4761,-1,-1,-1
EVEN3,20/05/2021,10.31,18/05/2018,19/05/2021,10.14,27/05/2021,5,0.4957,0.0269,0.4774,-1,-1,-1
EVEN3,21/05/2021,10.28,19/05/2018,20/05/2021,10.3,28/05/2021,5,0.4957,0.0269,0.4774,-1,-1,-1
EVEN3,22/05/2021,9.7,22/05/2018,21/05/2021,10.38,29/05/2021,5,0.4957,0.0269,0.4775,-1,-1,-1
EVEN3,25/05/2021,9.57,23/05/2018,22/05/2021,10.51,01/06/2021,5,0.4944,0.0269,0.4787,-1,-1,-1
EVEN3,26/05/2021,9.59,24/05/2018,25/05/2021,10.82,02/06/2021,5,0.4943,0.0269,0.4788,-1,-1,-1
EVEN3,27/05/2021,10.14,25/05/2018,26/05/2021,11.14,03/06/2021,5,0.4957,0.0268,0.4775,-1,-1,-1
EVEN3,28/05/2021,10.3,26/05/2018,27/05/2021,11.22,05/06/2021,5,0.4970,0.0268,0.4761,-1,-1,-1
EVEN3,29/05/2021,10.38,29/05/2018,28/05/2021,11.13,08/06/2021,5,0.4984,0.0268,0.4748,-1,-1,-1
EVEN3,01/06/2021,10.51,30/05/2018,29/05/2021,11.19,09/06/2021,5,0.4997,0.0268,0.4734,-1,-1,-1
EVEN3,02/06/2021,10.82,31/05/2018,01/06/2021,11.06,10/06/2021,5,0.5011,0.0268,0.4721,-1,-1,-1
EVEN3,03/06/2021,11.14,02/06/2018,02/06/2021,11,11/06/2021,5,0.5024,0.0268,0.4708,-1,-1,-1
EVEN3,05/06/2021,11.22,05/06/2018,03/06/2021,10.72,12/06/2021,5,0.5024,0.0268,0.4707,-1,-1,-1
EVEN3,08/06/2021,11.13,06/06/2018,05/06/2021,10.89,15/06/2021,5,0.5038,0.0268,0.4694,-1,-1,-1
EVEN3,09/06/2021,11.19,07/06/2018,08/06/2021,10.77,16/06/2021,5,0.5025,0.0269,0.4706,-1,-1,-1
EVEN3,10/06/2021,11.06,08/06/2018,09/06/2021,10.83,17/06/2021,5,0.5051,0.0268,0.4681,-1,-1,-1
EVEN3,11/06/2021,11,09/06/2018,10/06/2021,10.8,18/06/2021,5,0.5025,0.0269,0.4706,-1,-1,-1
EVEN3,12/06/2021,10.72,12/06/2018,11/06/2021,11.04,19/06/2021,5,0.5025,0.0268,0.4707,-1,-1,-1
EVEN3,15/06/2021,10.89,13/06/2018,12/06/2021,10.76,22/06/2021,5,0.5024,0.0255,0.4721,-1,-1,-1
EVEN3,16/06/2021,10.77,14/06/2018,15/06/2021,10.55,23/06/2021,5,0.5038,0.0255,0.4707,-1,-1,-1
EVEN3,17/06/2021,10.83,15/06/2018,16/06/2021,10.62,24/06/2021,5,0.5025,0.0255,0.4720,-1,-1,-1
EVEN3,18/06/2021,10.8,16/06/2018,17/06/2021,10.8,25/06/2021,5,0.5052,0.0255,0.4693,-1,-1,-1
EVEN3,19/06/2021,11.04,19/06/2018,18/06/2021,10.55,26/06/2021,5,0.5038,0.0255,0.4707,-1,-1,-1
EVEN3,22/06/2021,10.76,20/06/2018,19/06/2021,10.51,29/06/2021,5,0.5052,0.0255,0.4693,-1,-1,-1
EVEN3,23/06/2021,10.55,21/06/2018,22/06/2021,10.32,30/06/2021,5,0.5039,0.0255,0.4706,-1,-1,-1
EVEN3,24/06/2021,10.62,22/06/2018,23/06/2021,9.99,06/07/2021,8,0.5038,0.0254,0.4707,-1,-1,-1
EVEN3,25/06/2021,10.8,23/06/2018,24/06/2021,10.14,02/07/2021,5,0.5065,0.0241,0.4694,-1,-1,-1
EVEN3,26/06/2021,10.55,26/06/2018,25/06/2021,10.14,03/07/2021,5,0.5065,0.0241,0.4693,-1,-1,-1
EVEN3,29/06/2021,10.51,27/06/2018,26/06/2021,9.74,09/07/2021,8,0.5052,0.0241,0.4706,-1,-1,-1
EVEN3,30/06/2021,10.32,28/06/2018,29/06/2021,9.92,07/07/2021,5,0.5052,0.0241,0.4707,-1,-1,-1
EVEN3,01/07/2021,10.46,29/06/2018,30/06/2021,9.97,08/07/2021,5,0.5052,0.0228,0.4720,-1,-1,-1
EVEN3,02/07/2021,10.14,30/06/2018,01/07/2021,9.74,09/07/2021,5,0.5078,0.0215,0.4707,-1,-1,-1
EVEN3,03/07/2021,10.14,03/07/2018,02/07/2021,9.91,13/07/2021,5,0.5051,0.0215,0.4733,-1,-1,-1
EVEN3,06/07/2021,9.99,04/07/2018,03/07/2021,9.85,14/07/2021,5,0.5040,0.0243,0.4717,-1,-1,-1
EVEN3,07/07/2021,9.92,05/07/2018,06/07/2021,10.18,15/07/2021,5,0.5026,0.0229,0.4746,-1,-1,-1
EVEN3,08/07/2021,9.97,06/07/2018,07/07/2021,10.18,16/07/2021,5,0.5026,0.0229,0.4746,-1,-1,-1
EVEN3,09/07/2021,9.74,07/07/2018,08/07/2021,10.06,17/07/2021,5,0.5051,0.0229,0.4720,-1,-1,-1
EVEN3,13/07/2021,9.91,11/07/2018,09/07/2021,9.84,20/07/2021,5,0.5026,0.0229,0.4746,-1,-1,-1
EVEN3,14/07/2021,9.85,12/07/2018,13/07/2021,9.73,21/07/2021,5,0.5051,0.0229,0.4720,-1,-1,-1
EVEN3,15/07/2021,10.18,13/07/2018,14/07/2021,9.7,22/07/2021,5,0.5026,0.0229,0.4746,-1,-1,-1
EVEN3,16/07/2021,10.18,14/07/2018,15/07/2021,9.73,21/07/2021,3,0.5052,0.0229,0.4719,-1,-1,-1
EVEN3,17/07/2021,10.06,17/07/2018,16/07/2021,9.3,29/07/2021,8,0.5040,0.0256,0.4704,-1,-1,-1
EVEN3,20/07/2021,9.84,18/07/2018,17/07/2021,9.7,23/07/2021,3,0.5039,0.0242,0.4719,-1,-1,-1
EVEN3,21/07/2021,9.73,19/07/2018,20/07/2021,9.3,28/07/2021,5,0.5025,0.0242,0.4732,-1,-1,-1
EVEN3,22/07/2021,9.7,20/07/2018,21/07/2021,9.33,27/07/2021,3,0.5012,0.0242,0.4746,-1,-1,-1
EVEN3,23/07/2021,9.7,21/07/2018,22/07/2021,9.3,30/07/2021,5,0.4999,0.0242,0.4759,-1,-1,-1
EVEN3,24/07/2021,9.5,24/07/2018,23/07/2021,9.01,31/07/2021,5,0.5000,0.0270,0.4730,-1,-1,-1
EVEN3,27/07/2021,9.33,25/07/2018,24/07/2021,9.3,30/07/2021,3,0.4986,0.0256,0.4758,-1,-1,-1
EVEN3,28/07/2021,9.3,26/07/2018,27/07/2021,9.01,31/07/2021,3,0.4986,0.0256,0.4758,-1,-1,-1
EVEN3,29/07/2021,9.3,27/07/2018,28/07/2021,9.01,03/08/2021,3,0.4986,0.0256,0.4758,-1,-1,-1
EVEN3,30/07/2021,9.3,28/07/2018,29/07/2021,8.61,06/08/2021,5,0.4987,0.0283,0.4730,-1,-1,-1
EVEN3,31/07/2021,9.01,31/07/2018,30/07/2021,8.77,12/08/2021,8,0.4987,0.0296,0.4717,-1,-1,-1
EVEN3,03/08/2021,9.01,01/08/2018,31/07/2021,8.78,10/08/2021,5,0.4986,0.0282,0.4732,-1,-1,-1
EVEN3,04/08/2021,8.94,02/08/2018,03/08/2021,8.87,11/08/2021,5,0.4973,0.0310,0.4717,-1,-1,-1
EVEN3,05/08/2021,8.83,03/08/2018,04/08/2021,8.77,12/08/2021,5,0.4973,0.0296,0.4731,-1,-1,-1
EVEN3,06/08/2021,8.61,04/08/2018,05/08/2021,8.65,13/08/2021,5,0.4960,0.0296,0.4744,-1,-1,-1
EVEN3,07/08/2021,8.72,07/08/2018,06/08/2021,8.79,14/08/2021,5,0.4960,0.0296,0.4744,-1,-1,-1
EVEN3,10/08/2021,8.78,08/08/2018,07/08/2021,8.66,17/08/2021,5,0.4986,0.0296,0.4718,-1,-1,-1
EVEN3,11/08/2021,8.87,09/08/2018,10/08/2021,8.67,18/08/2021,5,0.4987,0.0296,0.4718,-1,-1,-1
EVEN3,12/08/2021,8.77,10/08/2018,11/08/2021,8.85,19/08/2021,5,0.5000,0.0296,0.4704,-1,-1,-1
EVEN3,13/08/2021,8.65,11/08/2018,12/08/2021,8.46,20/08/2021,5,0.4986,0.0296,0.4718,-1,-1,-1
EVEN3,14/08/2021,8.79,14/08/2018,13/08/2021,8.35,21/08/2021,5,0.4973,0.0296,0.4731,-1,-1,-1
