Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
GGBR4,05/01/2021,26.04,03/01/2018,31/12/2020,28.3,12/01/2021,5,0.4894,0.0121,0.4985,-1,-1,-1
GGBR4,06/01/2021,26.67,04/01/2018,05/01/2021,27.52,13/01/2021,5,0.4918,0.0121,0.4960,-1,-1,-1
GGBR4,07/01/2021,27.99,05/01/2018,06/01/2021,26.61,14/01/2021,5,0.4920,0.0121,0.4959,-1,-1,-1
GGBR4,08/01/2021,29.54,06/01/2018,07/01/2021,27.72,15/01/2021,5,0.4932,0.0121,0.4947,-1,-1,-1
GGBR4,09/01/2021,29.1,09/01/2018,08/01/2021,26.08,16/01/2021,5,0.4932,0.0121,0.4947,-1,-1,-1
GGBR4,12/01/2021,28.3,10/01/2018,09/01/2021,26.45,19/01/2021,5,0.4907,0.0121,0.4971,-1,-1,-1
GGBR4,13/01/2021,27.52,11/01/2018,12/01/2021,25.67,20/01/2021,5,0.4906,0.0121,0.4972,-1,-1,-1
GGBR4,14/01/2021,26.61,12/01/2018,13/01/2021,25.14,21/01/2021,5,0.4894,0.0120,0.4986,-1,-1,-1
GGBR4,15/01/2021,27.72,13/01/2018,14/01/2021,25.02,22/01/2021,5,0.4893,0.0108,0.4999,-1,-1,-1
GGBR4,16/01/2021,26.08,16/01/2018,15/01/2021,25.36,23/01/2021,5,0.4919,0.0108,0.4973,-1,-1,-1
GGBR4,19/01/2021,26.45,17/01/2018,16/01/2021,24.05,27/01/2021,5,0.4905,0.0108,0.4987,-1,-1,-1
GGBR4,20/01/2021,25.67,18/01/2018,19/01/2021,23.61,28/01/2021,5,0.4919,0.0108,0.4973,-1,-1,-1
GGBR4,21/01/2021,25.14,19/01/2018,20/01/2021,24.29,29/01/2021,5,0.4907,0.0108,0.4985,-1,-1,-1
GGBR4,22/01/2021,25.02,20/01/2018,21/01/2021,23.25,30/01/2021,5,0.4907,0.0108,0.4985,-1,-1,-1
GGBR4,23/01/2021,25.36,23/01/2018,22/01/2021,23.24,02/02/2021,5,0.4907,0.0108,0.4985,-1,-1,-1
GGBR4,27/01/2021,24.05,24/01/2018,23/01/2021,22.97,03/02/2021,5,0.4931,0.0108,0.4961,-1,-1,-1
GGBR4,28/01/2021,23.61,25/01/2018,27/01/2021,24,09/02/2021,8,0.4905,0.0108,0.4987,-1,-1,-1
GGBR4,29/01/2021,24.29,27/01/2018,28/01/2021,23.19,05/02/2021,5,0.4893,0.0108,0.4999,-1,-1,-1
GGBR4,30/01/2021,23.25,30/01/2018,29/01/2021,24.2,06/02/2021,5,0.4918,0.0108,0.4974,-1,-1,-1
GGBR4,02/02/2021,23.24,31/01/2018,30/01/2021,24,09/02/2021,5,0.4893,0.0108,0.4999,-1,-1,-1
GGBR4,03/02/2021,22.97,01/02/2018,02/02/2021,24.15,10/02/2021,5,0.4892,0.0108,0.5000,-1,-1,-1
GGBR4,04/02/2021,23.53,02/02/2018,03/02/2021,23.57,11/02/2021,5,0.4880,0.0108,0.5012,-1,-1,-1
GGBR4,05/02/2021,23.19,03/02/2018,04/02/2021,24.11,12/02/2021,5,0.4906,0.0108,0.4986,-1,-1,-1
GGBR4,06/02/2021,24.2,06/02/2018,05/02/2021,24.11,13/02/2021,5,0.4892,0.0108,0.5000,-1,-1,-1
GGBR4,09/02/2021,24,07/02/2018,06/02/2021,24.46,18/02/2021,5,0.4906,0.0108,0.4986,-1,-1,-1
GGBR4,10/02/2021,24.15,08/02/2018,09/02/2021,24.39,19/02/2021,5,0.4893,0.0108,0.4999,-1,-1,-1
GGBR4,11/02/2021,23.57,09/02/2018,10/02/2021,24.9,20/02/2021,5,0.4918,0.0108,0.4974,-1,-1,-1
GGBR4,12/02/2021,24.11,10/02/2018,11/02/2021,24.78,23/02/2021,5,0.4892,0.0108,0.5000,-1,-1,-1
GGBR4,13/02/2021,24.11,15/02/2018,12/02/2021,25.73,24/02/2021,5,0.4904,0.0108,0.4988,-1,-1,-1
GGBR4,18/02/2021,24.46,16/02/2018,13/02/2021,26.67,02/03/2021,8,0.4879,0.0135,0.4987,-1,-1,-1
GGBR4,19/02/2021,24.39,17/02/2018,18/02/2021,26.12,26/02/2021,5,0.4890,0.0121,0.4988,-1,-1,-1
GGBR4,20/02/2021,24.9,20/02/2018,19/02/2021,25.87,27/02/2021,5,0.4866,0.0121,0.5013,-1,-1,-1
GGBR4,23/02/2021,24.78,21/02/2018,20/02/2021,26.67,02/03/2021,5,0.4890,0.0121,0.4988,-1,-1,-1
GGBR4,24/02/2021,25.73,22/02/2018,23/02/2021,27.03,03/03/2021,5,0.4866,0.0121,0.5013,-1,-1,-1
GGBR4,25/02/2021,27.14,23/02/2018,24/02/2021,26.94,04/03/2021,5,0.4890,0.0121,0.4988,-1,-1,-1
GGBR4,26/02/2021,26.12,24/02/2018,25/02/2021,26.91,05/03/2021,5,0.4890,0.0121,0.4988,-1,-1,-1
GGBR4,27/02/2021,25.87,27/02/2018,26/02/2021,27.62,06/03/2021,5,0.4866,0.0121,0.5013,-1,-1,-1
GGBR4,02/03/2021,26.67,28/02/2018,27/02/2021,26.96,09/03/2021,5,0.4866,0.0121,0.5013,-1,-1,-1
GGBR4,03/03/2021,27.03,01/03/2018,02/03/2021,27.33,10/03/2021,5,0.4890,0.0121,0.4988,-1,-1,-1
GGBR4,04/03/2021,26.94,02/03/2018,03/03/2021,26.97,11/03/2021,5,0.4891,0.0121,0.4987,-1,-1,-1
GGBR4,05/03/2021,26.91,03/03/2018,04/03/2021,28.78,17/03/2021,8,0.4878,0.0121,0.5001,-1,-1,-1
GGBR4,06/03/2021,27.62,06/03/2018,05/03/2021,27.5,13/03/2021,5,0.4866,0.0121,0.5013,-1,-1,-1
GGBR4,09/03/2021,26.96,07/03/2018,06/03/2021,28.49,16/03/2021,5,0.4890,0.0121,0.4988,-1,-1,-1
GGBR4,10/03/2021,27.33,08/03/2018,09/03/2021,28.78,17/03/2021,5,0.4866,0.0121,0.5013,-1,-1,-1
GGBR4,11/03/2021,26.97,09/03/2018,10/03/2021,29.12,18/03/2021,5,0.4890,0.0121,0.4988,-1,-1,-1
GGBR4,12/03/2021,27.99,10/03/2018,11/03/2021,26.56,24/03/2021,8,0.4864,0.0121,0.5014,-1,-1,-1
GGBR4,13/03/2021,27.5,13/03/2018,12/03/2021,28.64,20/03/2021,5,0.4878,0.0121,0.5001,-1,-1,-1
GGBR4,16/03/2021,28.49,14/03/2018,13/03/2021,27.77,23/03/2021,5,0.4866,0.0121,0.5013,-1,-1,-1
GGBR4,17/03/2021,28.78,15/03/2018,16/03/2021,26.56,24/03/2021,5,0.4891,0.0121,0.4987,-1,-1,-1
GGBR4,18/03/2021,29.12,16/03/2018,17/03/2021,26.77,25/03/2021,5,0.4905,0.0121,0.4974,-1,-1,-1
GGBR4,19/03/2021,28.61,17/03/2018,18/03/2021,27.17,26/03/2021,5,0.4918,0.0121,0.4960,-1,-1,-1
GGBR4,20/03/2021,28.64,20/03/2018,19/03/2021,30.22,01/04/2021,8,0.4905,0.0121,0.4974,-1,-1,-1
GGBR4,23/03/2021,27.77,21/03/2018,20/03/2021,29.38,02/04/2021,8,0.4917,0.0121,0.4961,-1,-1,-1
GGBR4,24/03/2021,26.56,22/03/2018,23/03/2021,29.46,31/03/2021,5,0.4893,0.0121,0.4986,-1,-1,-1
GGBR4,25/03/2021,26.77,23/03/2018,24/03/2021,30.22,01/04/2021,5,0.4893,0.0121,0.4986,-1,-1,-1
GGBR4,26/03/2021,27.17,24/03/2018,25/03/2021,30.71,08/04/2021,8,0.4917,0.0121,0.4961,-1,-1,-1
GGBR4,27/03/2021,28.6,27/03/2018,26/03/2021,29.44,06/04/2021,5,0.4918,0.0121,0.4960,-1,-1,-1
GGBR4,30/03/2021,29,28/03/2018,27/03/2021,30.14,07/04/2021,5,0.4932,0.0121,0.4947,-1,-1,-1
GGBR4,31/03/2021,29.46,29/03/2018,30/03/2021,30.71,08/04/2021,5,0.4944,0.0121,0.4934,-1,-1,-1
GGBR4,01/04/2021,30.22,30/03/2018,31/03/2021,30.81,09/04/2021,5,0.4944,0.0121,0.4934,-1,-1,-1
GGBR4,02/04/2021,29.38,03/04/2018,01/04/2021,31.12,10/04/2021,5,0.4944,0.0121,0.4934,-1,-1,-1
GGBR4,06/04/2021,29.44,04/04/2018,02/04/2021,31.22,13/04/2021,5,0.4920,0.0121,0.4959,-1,-1,-1
GGBR4,07/04/2021,30.14,05/04/2018,06/04/2021,31.94,14/04/2021,5,0.4944,0.0121,0.4934,-1,-1,-1
GGBR4,08/04/2021,30.71,06/04/2018,07/04/2021,32.39,15/04/2021,5,0.4945,0.0121,0.4933,-1,-1,-1
GGBR4,09/04/2021,30.81,07/04/2018,08/04/2021,32.62,16/04/2021,5,0.4959,0.0121,0.4920,-1,-1,-1
GGBR4,10/04/2021,31.12,10/04/2018,09/04/2021,32.53,17/04/2021,5,0.4971,0.0121,0.4907,-1,-1,-1
GGBR4,13/04/2021,31.22,11/04/2018,10/04/2021,32.51,20/04/2021,5,0.4972,0.0121,0.4906,-1,-1,-1
GGBR4,14/04/2021,31.94,12/04/2018,13/04/2021,32.27,21/04/2021,5,0.4985,0.0121,0.4894,-1,-1,-1
GGBR4,15/04/2021,32.39,13/04/2018,14/04/2021,33.3,23/04/2021,5,0.4986,0.0121,0.4893,-1,-1,-1
GGBR4,16/04/2021,32.62,14/04/2018,15/04/2021,33.52,24/04/2021,5,0.4999,0.0121,0.4879,-1,-1,-1
GGBR4,17/04/2021,32.53,17/04/2018,16/04/2021,34.3,27/04/2021,5,0.5012,0.0121,0.4867,-1,-1,-1
GGBR4,20/04/2021,32.51,18/04/2018,17/04/2021,34.43,28/04/2021,5,0.4986,0.0121,0.4893,-1,-1,-1
GGBR4,21/04/2021,32.27,19/04/2018,20/04/2021,34.67,29/04/2021,5,0.4974,0.0121,0.4905,-1,-1,-1
GGBR4,23/04/2021,33.3,20/04/2018,21/04/2021,34.39,30/04/2021,5,0.4974,0.0121,0.4905,-1,-1,-1
GGBR4,24/04/2021,33.52,21/04/2018,23/04/2021,33.22,01/05/2021,5,0.4999,0.0121,0.4879,-1,-1,-1
GGBR4,27/04/2021,34.3,24/04/2018,24/04/2021,32.5,04/05/2021,5,0.5012,0.0121,0.4867,-1,-1,-1
GGBR4,28/04/2021,34.43,25/04/2018,27/04/2021,32.65,05/05/2021,5,0.5012,0.0121,0.4867,-1,-1,-1
GGBR4,29/04/2021,34.67,26/04/2018,28/04/2021,34.45,06/05/2021,5,0.5012,0.0121,0.4867,-1,-1,-1
