Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
PSSA3,05/01/2021,47.78,03/01/2018,31/12/2020,49.49,12/01/2021,5,0.5145,0.0081,0.4774,-1,-1,-1
PSSA3,06/01/2021,47.36,04/01/2018,05/01/2021,49.39,13/01/2021,5,0.5132,0.0081,0.4787,-1,-1,-1
PSSA3,07/01/2021,46.4,05/01/2018,06/01/2021,49.13,14/01/2021,5,0.5118,0.0081,0.4801,-1,-1,-1
PSSA3,08/01/2021,47.52,06/01/2018,07/01/2021,49.39,13/01/2021,3,0.5107,0.0081,0.4812,-1,-1,-1
PSSA3,09/01/2021,50.8,09/01/2018,08/01/2021,49.56,16/01/2021,5,0.5132,0.0081,0.4787,-1,-1,-1
PSSA3,12/01/2021,49.49,10/01/2018,09/01/2021,49.99,19/01/2021,5,0.5132,0.0081,0.4787,-1,-1,-1
PSSA3,13/01/2021,49.39,11/01/2018,12/01/2021,49.71,20/01/2021,5,0.5105,0.0081,0.4814,-1,-1,-1
PSSA3,14/01/2021,49.13,12/01/2018,13/01/2021,49.84,21/01/2021,5,0.5091,0.0081,0.4828,-1,-1,-1
PSSA3,15/01/2021,49.71,13/01/2018,14/01/2021,50.03,22/01/2021,5,0.5078,0.0081,0.4841,-1,-1,-1
PSSA3,16/01/2021,49.56,16/01/2018,15/01/2021,49.37,23/01/2021,5,0.5092,0.0081,0.4827,-1,-1,-1
PSSA3,19/01/2021,49.99,17/01/2018,16/01/2021,48.76,27/01/2021,5,0.5066,0.0081,0.4853,-1,-1,-1
PSSA3,20/01/2021,49.71,18/01/2018,19/01/2021,47.97,28/01/2021,5,0.5092,0.0081,0.4827,-1,-1,-1
PSSA3,21/01/2021,49.84,19/01/2018,20/01/2021,50.04,29/01/2021,5,0.5065,0.0081,0.4855,-1,-1,-1
PSSA3,22/01/2021,50.03,20/01/2018,21/01/2021,48.18,30/01/2021,5,0.5078,0.0081,0.4841,-1,-1,-1
PSSA3,23/01/2021,49.37,23/01/2018,22/01/2021,48.76,02/02/2021,5,0.5078,0.0081,0.4841,-1,-1,-1
PSSA3,27/01/2021,48.76,24/01/2018,23/01/2021,49.29,03/02/2021,5,0.5051,0.0081,0.4868,-1,-1,-1
PSSA3,28/01/2021,47.97,25/01/2018,27/01/2021,49.85,04/02/2021,5,0.5038,0.0081,0.4882,-1,-1,-1
PSSA3,29/01/2021,50.04,27/01/2018,28/01/2021,49.29,03/02/2021,3,0.5026,0.0081,0.4893,-1,-1,-1
PSSA3,30/01/2021,48.18,30/01/2018,29/01/2021,49.85,04/02/2021,3,0.5053,0.0081,0.4866,-1,-1,-1
PSSA3,02/02/2021,48.76,31/01/2018,30/01/2021,49.86,09/02/2021,5,0.5038,0.0081,0.4882,-1,-1,-1
PSSA3,03/02/2021,49.29,01/02/2018,02/02/2021,49.44,10/02/2021,5,0.5051,0.0081,0.4868,-1,-1,-1
PSSA3,04/02/2021,49.85,02/02/2018,03/02/2021,49.86,09/02/2021,3,0.5053,0.0081,0.4866,-1,-1,-1
PSSA3,05/02/2021,49.52,03/02/2018,04/02/2021,49.44,10/02/2021,3,0.5067,0.0081,0.4852,-1,-1,-1
PSSA3,06/02/2021,51.29,06/02/2018,05/02/2021,48.17,13/02/2021,5,0.5051,0.0081,0.4868,-1,-1,-1
PSSA3,09/02/2021,49.86,07/02/2018,06/02/2021,47.81,18/02/2021,5,0.5065,0.0081,0.4854,-1,-1,-1
PSSA3,10/02/2021,49.44,08/02/2018,09/02/2021,47.71,19/02/2021,5,0.5040,0.0081,0.4880,-1,-1,-1
PSSA3,11/02/2021,49.15,09/02/2018,10/02/2021,48.13,20/02/2021,5,0.5040,0.0081,0.4880,-1,-1,-1
PSSA3,12/02/2021,48.64,10/02/2018,11/02/2021,46.92,23/02/2021,5,0.5038,0.0081,0.4882,-1,-1,-1
PSSA3,13/02/2021,48.17,15/02/2018,12/02/2021,46.63,24/02/2021,5,0.5024,0.0081,0.4895,-1,-1,-1
PSSA3,18/02/2021,47.81,16/02/2018,13/02/2021,46.25,25/02/2021,5,0.5012,0.0081,0.4907,-1,-1,-1
PSSA3,19/02/2021,47.71,17/02/2018,18/02/2021,44.5,26/02/2021,5,0.5012,0.0081,0.4907,-1,-1,-1
PSSA3,20/02/2021,48.13,20/02/2018,19/02/2021,43.59,27/02/2021,5,0.5012,0.0081,0.4907,-1,-1,-1
PSSA3,23/02/2021,46.92,21/02/2018,20/02/2021,43.1,02/03/2021,5,0.5038,0.0081,0.4881,-1,-1,-1
PSSA3,24/02/2021,46.63,22/02/2018,23/02/2021,43.69,03/03/2021,5,0.5012,0.0081,0.4907,-1,-1,-1
PSSA3,25/02/2021,46.25,23/02/2018,24/02/2021,43.58,04/03/2021,5,0.5011,0.0081,0.4909,-1,-1,-1
PSSA3,26/02/2021,44.5,24/02/2018,25/02/2021,43.48,05/03/2021,5,0.4997,0.0081,0.4922,-1,-1,-1
PSSA3,27/02/2021,43.59,27/02/2018,26/02/2021,43.57,06/03/2021,5,0.4984,0.0081,0.4936,-1,-1,-1
PSSA3,02/03/2021,43.1,28/02/2018,27/02/2021,42.95,09/03/2021,5,0.4970,0.0081,0.4949,-1,-1,-1
PSSA3,03/03/2021,43.69,01/03/2018,02/03/2021,42.6,10/03/2021,5,0.4958,0.0081,0.4961,-1,-1,-1
PSSA3,04/03/2021,43.58,02/03/2018,03/03/2021,43.35,11/03/2021,5,0.4984,0.0081,0.4935,-1,-1,-1
PSSA3,05/03/2021,43.48,03/03/2018,04/03/2021,44.33,12/03/2021,5,0.4957,0.0081,0.4963,-1,-1,-1
PSSA3,06/03/2021,43.57,06/03/2018,05/03/2021,43.35,11/03/2021,3,0.4945,0.0081,0.4974,-1,-1,-1
PSSA3,09/03/2021,42.95,07/03/2018,06/03/2021,44.9,16/03/2021,5,0.4970,0.0081,0.4949,-1,-1,-1
PSSA3,10/03/2021,42.6,08/03/2018,09/03/2021,44.9,17/03/2021,5,0.4943,0.0081,0.4976,-1,-1,-1
PSSA3,11/03/2021,43.35,09/03/2018,10/03/2021,46.94,18/03/2021,5,0.4930,0.0081,0.4990,-1,-1,-1
PSSA3,12/03/2021,44.33,10/03/2018,11/03/2021,45.93,19/03/2021,5,0.4943,0.0081,0.4976,-1,-1,-1
PSSA3,13/03/2021,44.09,13/03/2018,12/03/2021,46.94,18/03/2021,3,0.4945,0.0081,0.4974,-1,-1,-1
PSSA3,16/03/2021,44.9,14/03/2018,13/03/2021,48.07,23/03/2021,5,0.4932,0.0081,0.4988,-1,-1,-1
PSSA3,17/03/2021,44.9,15/03/2018,16/03/2021,48.76,20/03/2021,3,0.4959,0.0081,0.4960,-1,-1,-1
PSSA3,18/03/2021,46.94,16/03/2018,17/03/2021,46.82,30/03/2021,8,0.4946,0.0108,0.4946,-1,-1,-1
PSSA3,19/03/2021,45.93,17/03/2018,18/03/2021,46.51,26/03/2021,5,0.4956,0.0094,0.4949,-1,-1,-1
PSSA3,20/03/2021,48.76,20/03/2018,19/03/2021,47.04,27/03/2021,5,0.4929,0.0094,0.4976,-1,-1,-1
PSSA3,23/03/2021,48.07,21/03/2018,20/03/2021,46.82,30/03/2021,5,0.4944,0.0095,0.4961,-1,-1,-1
PSSA3,24/03/2021,46.74,22/03/2018,23/03/2021,47.09,31/03/2021,5,0.4929,0.0094,0.4976,-1,-1,-1
PSSA3,25/03/2021,45.99,23/03/2018,24/03/2021,46.98,01/04/2021,5,0.4917,0.0094,0.4988,-1,-1,-1
PSSA3,26/03/2021,46.51,24/03/2018,25/03/2021,44.79,02/04/2021,5,0.4916,0.0094,0.4990,-1,-1,-1
PSSA3,27/03/2021,47.04,27/03/2018,26/03/2021,46.71,06/04/2021,5,0.4931,0.0095,0.4975,-1,-1,-1
PSSA3,30/03/2021,46.82,28/03/2018,27/03/2021,48.64,07/04/2021,5,0.4944,0.0095,0.4961,-1,-1,-1
PSSA3,31/03/2021,47.09,29/03/2018,30/03/2021,47.83,08/04/2021,5,0.4931,0.0094,0.4975,-1,-1,-1
PSSA3,01/04/2021,46.98,30/03/2018,31/03/2021,47.15,09/04/2021,5,0.4958,0.0095,0.4948,-1,-1,-1
PSSA3,02/04/2021,44.79,03/04/2018,01/04/2021,47.64,10/04/2021,5,0.4944,0.0094,0.4961,-1,-1,-1
PSSA3,06/04/2021,46.71,04/04/2018,02/04/2021,47.45,13/04/2021,5,0.4944,0.0094,0.4961,-1,-1,-1
PSSA3,07/04/2021,48.64,05/04/2018,06/04/2021,46.91,14/04/2021,5,0.4971,0.0095,0.4934,-1,-1,-1
PSSA3,08/04/2021,47.83,06/04/2018,07/04/2021,46.41,15/04/2021,5,0.4983,0.0094,0.4922,-1,-1,-1
PSSA3,09/04/2021,47.15,07/04/2018,08/04/2021,46.26,16/04/2021,5,0.4958,0.0094,0.4948,-1,-1,-1
PSSA3,10/04/2021,47.64,10/04/2018,09/04/2021,46.79,17/04/2021,5,0.4958,0.0094,0.4948,-1,-1,-1
PSSA3,13/04/2021,47.45,11/04/2018,10/04/2021,48.15,20/04/2021,5,0.4983,0.0094,0.4922,-1,-1,-1
PSSA3,14/04/2021,46.91,12/04/2018,13/04/2021,47.8,21/04/2021,5,0.4958,0.0094,0.4948,-1,-1,-1
PSSA3,15/04/2021,46.41,13/04/2018,14/04/2021,47.03,23/04/2021,5,0.4958,0.0094,0.4948,-1,-1,-1
PSSA3,16/04/2021,46.26,14/04/2018,15/04/2021,48.35,24/04/2021,5,0.4958,0.0094,0.4948,-1,-1,-1
PSSA3,17/04/2021,46.79,17/04/2018,16/04/2021,48.17,27/04/2021,5,0.4956,0.0094,0.4949,-1,-1,-1
PSSA3,20/04/2021,48.15,18/04/2018,17/04/2021,47.53,28/04/2021,5,0.4970,0.0094,0.4936,-1,-1,-1
PSSA3,21/04/2021,47.8,19/04/2018,20/04/2021,48.09,29/04/2021,5,0.4970,0.0094,0.4936,-1,-1,-1
PSSA3,23/04/2021,47.03,20/04/2018,21/04/2021,47.98,30/04/2021,5,0.4943,0.0094,0.4963,-1,-1,-1
PSSA3,24/04/2021,48.35,21/04/2018,23/04/2021,49.37,01/05/2021,5,0.4929,0.0094,0.4976,-1,-1,-1
PSSA3,27/04/2021,48.17,24/04/2018,24/04/2021,49.78,04/05/2021,5,0.4944,0.0095,0.4961,-1,-1,-1
PSSA3,28/04/2021,47.53,25/04/2018,27/04/2021,50,05/05/2021,5,0.4929,0.0094,0.4976,-1,-1,-1
PSSA3,29/04/2021,48.09,26/04/2018,28/04/2021,51.5,06/05/2021,5,0.4917,0.0094,0.4988,-1,-1,-1
PSSA3,30/04/2021,47.98,27/04/2018,29/04/2021,52.27,07/05/2021,5,0.4943,0.0094,0.4963,-1,-1,-1
PSSA3,01/05/2021,49.37,28/04/2018,30/04/2021,52.7,08/05/2021,5,0.4916,0.0094,0.4990,-1,-1,-1
PSSA3,04/05/2021,49.78,01/05/2018,01/05/2021,52.85,11/05/2021,5,0.4929,0.0094,0.4976,-1,-1,-1
PSSA3,05/05/2021,50,03/05/2018,04/05/2021,53.98,12/05/2021,5,0.4931,0.0095,0.4975,-1,-1,-1
PSSA3,06/05/2021,51.5,04/05/2018,05/05/2021,53.13,13/05/2021,5,0.4944,0.0095,0.4961,-1,-1,-1
PSSA3,07/05/2021,52.27,05/05/2018,06/05/2021,53.65,14/05/2021,5,0.4956,0.0094,0.4949,-1,-1,-1
PSSA3,08/05/2021,52.7,08/05/2018,07/05/2021,53.24,15/05/2021,5,0.4956,0.0094,0.4949,-1,-1,-1
PSSA3,11/05/2021,52.85,09/05/2018,08/05/2021,52.93,18/05/2021,5,0.4956,0.0094,0.4949,-1,-1,-1
PSSA3,12/05/2021,53.98,10/05/2018,11/05/2021,51.52,19/05/2021,5,0.4956,0.0094,0.4949,-1,-1,-1
PSSA3,13/05/2021,53.13,11/05/2018,12/05/2021,51.75,20/05/2021,5,0.4958,0.0095,0.4948,-1,-1,-1
PSSA3,14/05/2021,53.65,12/05/2018,13/05/2021,51.58,21/05/2021,5,0.4944,0.0094,0.4961,-1,-1,-1
PSSA3,15/05/2021,53.24,15/05/2018,14/05/2021,50.75,22/05/2021,5,0.4971,0.0095,0.4934,-1,-1,-1
PSSA3,18/05/2021,52.93,16/05/2018,15/05/2021,50.93,25/05/2021,5,0.4956,0.0094,0.4949,-1,-1,-1
PSSA3,19/05/2021,51.52,17/05/2018,18/05/2021,51.41,26/05/2021,5,0.4944,0.0094,0.4961,-1,-1,-1
PSSA3,20/05/2021,51.75,18/05/2018,19/05/2021,51.39,27/05/2021,5,0.4944,0.0094,0.4961,-1,-1,-1
PSSA3,21/05/2021,51.58,19/05/2018,20/05/2021,52.3,28/05/2021,5,0.4971,0.0095,0.4934,-1,-1,-1
PSSA3,22/05/2021,50.75,22/05/2018,21/05/2021,52.95,29/05/2021,5,0.4956,0.0094,0.4949,-1,-1,-1
PSSA3,25/05/2021,50.93,23/05/2018,22/05/2021,53.15,01/06/2021,5,0.4943,0.0094,0.4963,-1,-1,-1
PSSA3,26/05/2021,51.41,24/05/2018,25/05/2021,54.08,02/06/2021,5,0.4958,0.0095,0.4948,-1,-1,-1
PSSA3,27/05/2021,51.39,25/05/2018,26/05/2021,52.79,03/06/2021,5,0.4971,0.0095,0.4934,-1,-1,-1
PSSA3,28/05/2021,52.3,26/05/2018,27/05/2021,53.76,05/06/2021,5,0.4958,0.0094,0.4948,-1,-1,-1
PSSA3,29/05/2021,52.95,29/05/2018,28/05/2021,54.71,08/06/2021,5,0.4985,0.0095,0.4921,-1,-1,-1
PSSA3,01/06/2021,53.15,30/05/2018,29/05/2021,54.69,09/06/2021,5,0.4997,0.0094,0.4909,-1,-1,-1
PSSA3,02/06/2021,54.08,31/05/2018,01/06/2021,54.07,10/06/2021,5,0.4997,0.0094,0.4909,-1,-1,-1
PSSA3,03/06/2021,52.79,02/06/2018,02/06/2021,54.3,11/06/2021,5,0.4998,0.0095,0.4907,-1,-1,-1
PSSA3,05/06/2021,53.76,05/06/2018,03/06/2021,54.25,12/06/2021,5,0.4985,0.0094,0.4921,-1,-1,-1
PSSA3,08/06/2021,54.71,06/06/2018,05/06/2021,54.91,15/06/2021,5,0.5012,0.0095,0.4894,-1,-1,-1
PSSA3,09/06/2021,54.69,07/06/2018,08/06/2021,54.66,16/06/2021,5,0.5024,0.0094,0.4882,-1,-1,-1
PSSA3,10/06/2021,54.07,08/06/2018,09/06/2021,55.24,17/06/2021,5,0.4997,0.0094,0.4909,-1,-1,-1
PSSA3,11/06/2021,54.3,09/06/2018,10/06/2021,55.35,18/06/2021,5,0.4985,0.0094,0.4921,-1,-1,-1
PSSA3,12/06/2021,54.25,12/06/2018,11/06/2021,54.64,19/06/2021,5,0.5012,0.0095,0.4894,-1,-1,-1
PSSA3,15/06/2021,54.91,13/06/2018,12/06/2021,55,22/06/2021,5,0.4997,0.0094,0.4909,-1,-1,-1
PSSA3,16/06/2021,54.66,14/06/2018,15/06/2021,54.72,23/06/2021,5,0.5012,0.0095,0.4894,-1,-1,-1
PSSA3,17/06/2021,55.24,15/06/2018,16/06/2021,54.34,24/06/2021,5,0.4998,0.0094,0.4907,-1,-1,-1
PSSA3,18/06/2021,55.35,16/06/2018,17/06/2021,53.8,25/06/2021,5,0.5025,0.0095,0.4880,-1,-1,-1
PSSA3,19/06/2021,54.64,19/06/2018,18/06/2021,52.01,26/06/2021,5,0.5037,0.0094,0.4868,-1,-1,-1
PSSA3,22/06/2021,55,20/06/2018,19/06/2021,53.08,29/06/2021,5,0.5012,0.0094,0.4894,-1,-1,-1
