Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
SANB11,05/01/2021,44.41,03/01/2018,31/12/2020,44.71,12/01/2021,5,0.5067,0.0054,0.4879,-1,-1,-1
SANB11,06/01/2021,43.58,04/01/2018,05/01/2021,45.16,13/01/2021,5,0.5064,0.0054,0.4882,-1,-1,-1
SANB11,07/01/2021,44.66,05/01/2018,06/01/2021,43.92,19/01/2021,8,0.5050,0.0054,0.4896,-1,-1,-1
SANB11,08/01/2021,46.38,06/01/2018,07/01/2021,46,15/01/2021,5,0.5066,0.0054,0.4880,-1,-1,-1
SANB11,09/01/2021,45.89,09/01/2018,08/01/2021,43.7,16/01/2021,5,0.5079,0.0054,0.4867,-1,-1,-1
SANB11,12/01/2021,44.71,10/01/2018,09/01/2021,43.92,19/01/2021,5,0.5067,0.0054,0.4879,-1,-1,-1
SANB11,13/01/2021,45.16,11/01/2018,12/01/2021,42.97,20/01/2021,5,0.5064,0.0054,0.4882,-1,-1,-1
SANB11,14/01/2021,44.75,12/01/2018,13/01/2021,41.87,21/01/2021,5,0.5079,0.0054,0.4867,-1,-1,-1
SANB11,15/01/2021,46,13/01/2018,14/01/2021,40.86,22/01/2021,5,0.5067,0.0054,0.4879,-1,-1,-1
SANB11,16/01/2021,43.7,16/01/2018,15/01/2021,40.6,23/01/2021,5,0.5093,0.0054,0.4853,-1,-1,-1
SANB11,19/01/2021,43.92,17/01/2018,16/01/2021,39.29,27/01/2021,5,0.5078,0.0054,0.4868,-1,-1,-1
SANB11,20/01/2021,42.97,18/01/2018,19/01/2021,39.05,28/01/2021,5,0.5093,0.0054,0.4853,-1,-1,-1
SANB11,21/01/2021,41.87,19/01/2018,20/01/2021,40.61,29/01/2021,5,0.5078,0.0054,0.4868,-1,-1,-1
SANB11,22/01/2021,40.86,20/01/2018,21/01/2021,39.26,30/01/2021,5,0.5064,0.0054,0.4882,-1,-1,-1
SANB11,23/01/2021,40.6,23/01/2018,22/01/2021,40.8,02/02/2021,5,0.5051,0.0054,0.4895,-1,-1,-1
SANB11,27/01/2021,39.29,24/01/2018,23/01/2021,41,03/02/2021,5,0.5037,0.0054,0.4909,-1,-1,-1
SANB11,28/01/2021,39.05,25/01/2018,27/01/2021,40.84,04/02/2021,5,0.5024,0.0054,0.4922,-1,-1,-1
SANB11,29/01/2021,40.61,27/01/2018,28/01/2021,41.21,05/02/2021,5,0.5013,0.0054,0.4933,-1,-1,-1
SANB11,30/01/2021,39.26,30/01/2018,29/01/2021,41.56,06/02/2021,5,0.5039,0.0054,0.4907,-1,-1,-1
SANB11,02/02/2021,40.8,31/01/2018,30/01/2021,40.21,09/02/2021,5,0.5024,0.0054,0.4922,-1,-1,-1
SANB11,03/02/2021,41,01/02/2018,02/02/2021,40.86,10/02/2021,5,0.5036,0.0054,0.4910,-1,-1,-1
SANB11,04/02/2021,40.84,02/02/2018,03/02/2021,40.19,11/02/2021,5,0.5039,0.0054,0.4907,-1,-1,-1
SANB11,05/02/2021,41.21,03/02/2018,04/02/2021,40.6,12/02/2021,5,0.5026,0.0054,0.4920,-1,-1,-1
SANB11,06/02/2021,41.56,06/02/2018,05/02/2021,40.77,13/02/2021,5,0.5050,0.0054,0.4896,-1,-1,-1
SANB11,09/02/2021,40.21,07/02/2018,06/02/2021,41.01,18/02/2021,5,0.5052,0.0054,0.4894,-1,-1,-1
SANB11,10/02/2021,40.86,08/02/2018,09/02/2021,40.41,19/02/2021,5,0.5040,0.0054,0.4906,-1,-1,-1
SANB11,11/02/2021,40.19,09/02/2018,10/02/2021,40.66,20/02/2021,5,0.5066,0.0054,0.4880,-1,-1,-1
SANB11,12/02/2021,40.6,10/02/2018,11/02/2021,39.03,23/02/2021,5,0.5051,0.0054,0.4895,-1,-1,-1
SANB11,13/02/2021,40.77,15/02/2018,12/02/2021,40.32,24/02/2021,5,0.5063,0.0054,0.4883,-1,-1,-1
SANB11,18/02/2021,41.01,16/02/2018,13/02/2021,39.44,25/02/2021,5,0.5063,0.0054,0.4883,-1,-1,-1
SANB11,19/02/2021,40.41,17/02/2018,18/02/2021,38.25,26/02/2021,5,0.5066,0.0054,0.4880,-1,-1,-1
SANB11,20/02/2021,40.66,20/02/2018,19/02/2021,37.39,27/02/2021,5,0.5053,0.0054,0.4893,-1,-1,-1
SANB11,23/02/2021,39.03,21/02/2018,20/02/2021,36.95,02/03/2021,5,0.5077,0.0054,0.4869,-1,-1,-1
SANB11,24/02/2021,40.32,22/02/2018,23/02/2021,38.11,03/03/2021,5,0.5051,0.0054,0.4895,-1,-1,-1
SANB11,25/02/2021,39.44,23/02/2018,24/02/2021,37.66,04/03/2021,5,0.5063,0.0054,0.4883,-1,-1,-1
SANB11,26/02/2021,38.25,24/02/2018,25/02/2021,38.75,05/03/2021,5,0.5037,0.0054,0.4909,-1,-1,-1
SANB11,27/02/2021,37.39,27/02/2018,26/02/2021,40.47,06/03/2021,5,0.5026,0.0054,0.4920,-1,-1,-1
SANB11,02/03/2021,36.95,28/02/2018,27/02/2021,39.07,09/03/2021,5,0.5026,0.0054,0.4920,-1,-1,-1
SANB11,03/03/2021,38.11,01/03/2018,02/03/2021,38.98,10/03/2021,5,0.5026,0.0054,0.4920,-1,-1,-1
SANB11,04/03/2021,37.66,02/03/2018,03/03/2021,39.74,11/03/2021,5,0.5050,0.0054,0.4896,-1,-1,-1
SANB11,05/03/2021,38.75,03/03/2018,04/03/2021,39.64,12/03/2021,5,0.5024,0.0054,0.4922,-1,-1,-1
SANB11,06/03/2021,40.47,06/03/2018,05/03/2021,39.1,13/03/2021,5,0.5039,0.0054,0.4907,-1,-1,-1
SANB11,09/03/2021,39.07,07/03/2018,06/03/2021,39.9,16/03/2021,5,0.5050,0.0054,0.4896,-1,-1,-1
SANB11,10/03/2021,38.98,08/03/2018,09/03/2021,38.5,17/03/2021,5,0.5026,0.0054,0.4920,-1,-1,-1
SANB11,11/03/2021,39.74,09/03/2018,10/03/2021,39.78,18/03/2021,5,0.5024,0.0054,0.4922,-1,-1,-1
SANB11,12/03/2021,39.64,10/03/2018,11/03/2021,40.88,19/03/2021,5,0.5036,0.0054,0.4910,-1,-1,-1
SANB11,13/03/2021,39.1,13/03/2018,12/03/2021,40.43,20/03/2021,5,0.5013,0.0054,0.4933,-1,-1,-1
SANB11,16/03/2021,39.9,14/03/2018,13/03/2021,40.09,23/03/2021,5,0.5010,0.0054,0.4936,-1,-1,-1
SANB11,17/03/2021,38.5,15/03/2018,16/03/2021,39.22,24/03/2021,5,0.5025,0.0054,0.4921,-1,-1,-1
SANB11,18/03/2021,39.78,16/03/2018,17/03/2021,38.98,25/03/2021,5,0.5010,0.0054,0.4936,-1,-1,-1
SANB11,19/03/2021,40.88,17/03/2018,18/03/2021,39.57,26/03/2021,5,0.5025,0.0054,0.4921,-1,-1,-1
SANB11,20/03/2021,40.43,20/03/2018,19/03/2021,40.94,27/03/2021,5,0.5036,0.0054,0.4910,-1,-1,-1
SANB11,23/03/2021,40.09,21/03/2018,20/03/2021,39.74,30/03/2021,5,0.5013,0.0054,0.4933,-1,-1,-1
SANB11,24/03/2021,39.22,22/03/2018,23/03/2021,40.27,31/03/2021,5,0.5013,0.0054,0.4933,-1,-1,-1
SANB11,25/03/2021,38.98,23/03/2018,24/03/2021,39.6,01/04/2021,5,0.5013,0.0054,0.4933,-1,-1,-1
SANB11,26/03/2021,39.57,24/03/2018,25/03/2021,38.55,02/04/2021,5,0.5010,0.0054,0.4936,-1,-1,-1
SANB11,27/03/2021,40.94,27/03/2018,26/03/2021,38.2,09/04/2021,8,0.5025,0.0051,0.4924,-1,-1,-1
SANB11,30/03/2021,39.74,28/03/2018,27/03/2021,38.49,07/04/2021,5,0.5037,0.0040,0.4923,-1,-1,-1
SANB11,31/03/2021,40.27,29/03/2018,30/03/2021,38.5,08/04/2021,5,0.5011,0.0041,0.4949,-1,-1,-1
SANB11,01/04/2021,39.6,30/03/2018,31/03/2021,38.2,09/04/2021,5,0.5027,0.0040,0.4933,-1,-1,-1
SANB11,02/04/2021,38.55,03/04/2018,01/04/2021,37.88,10/04/2021,5,0.5011,0.0041,0.4949,-1,-1,-1
SANB11,06/04/2021,38.9,04/04/2018,02/04/2021,38.78,13/04/2021,5,0.5000,0.0041,0.4959,-1,-1,-1
SANB11,07/04/2021,38.49,05/04/2018,06/04/2021,38.3,14/04/2021,5,0.5023,0.0040,0.4936,-1,-1,-1
SANB11,08/04/2021,38.5,06/04/2018,07/04/2021,39.07,15/04/2021,5,0.5000,0.0041,0.4959,-1,-1,-1
SANB11,09/04/2021,38.2,07/04/2018,08/04/2021,38.6,16/04/2021,5,0.5027,0.0040,0.4933,-1,-1,-1
SANB11,10/04/2021,37.88,10/04/2018,09/04/2021,38.75,17/04/2021,5,0.5011,0.0041,0.4949,-1,-1,-1
SANB11,13/04/2021,38.78,11/04/2018,10/04/2021,38.22,20/04/2021,5,0.4997,0.0041,0.4962,-1,-1,-1
SANB11,14/04/2021,38.3,12/04/2018,13/04/2021,38.3,21/04/2021,5,0.5010,0.0040,0.4950,-1,-1,-1
SANB11,15/04/2021,39.07,13/04/2018,14/04/2021,37.51,23/04/2021,5,0.4987,0.0041,0.4973,-1,-1,-1
SANB11,16/04/2021,38.6,14/04/2018,15/04/2021,38.3,24/04/2021,5,0.5013,0.0040,0.4946,-1,-1,-1
SANB11,17/04/2021,38.75,17/04/2018,16/04/2021,38.15,27/04/2021,5,0.4997,0.0041,0.4962,-1,-1,-1
SANB11,20/04/2021,38.22,18/04/2018,17/04/2021,37.57,28/04/2021,5,0.5010,0.0040,0.4950,-1,-1,-1
SANB11,21/04/2021,38.3,19/04/2018,20/04/2021,40.6,29/04/2021,5,0.4984,0.0041,0.4976,-1,-1,-1
SANB11,23/04/2021,37.51,20/04/2018,21/04/2021,39.03,30/04/2021,5,0.5000,0.0040,0.4960,-1,-1,-1
SANB11,24/04/2021,38.3,21/04/2018,23/04/2021,38.53,01/05/2021,5,0.4984,0.0041,0.4976,-1,-1,-1
SANB11,27/04/2021,38.15,24/04/2018,24/04/2021,39.28,04/05/2021,5,0.4996,0.0040,0.4963,-1,-1,-1
SANB11,28/04/2021,37.57,25/04/2018,27/04/2021,39.08,08/05/2021,8,0.4974,0.0041,0.4986,-1,-1,-1
SANB11,29/04/2021,40.6,26/04/2018,28/04/2021,38.44,11/05/2021,8,0.4974,0.0041,0.4986,-1,-1,-1
SANB11,30/04/2021,39.03,27/04/2018,29/04/2021,38.9,07/05/2021,5,0.4996,0.0040,0.4963,-1,-1,-1
SANB11,01/05/2021,38.53,28/04/2018,30/04/2021,37.69,13/05/2021,8,0.4974,0.0041,0.4986,-1,-1,-1
SANB11,04/05/2021,39.28,01/05/2018,01/05/2021,38.61,14/05/2021,8,0.4974,0.0041,0.4986,-1,-1,-1
