Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
SULA11,05/01/2021,42.7,03/01/2018,31/12/2020,42.17,12/01/2021,5,0.5028,0.0174,0.4798,-1,-1,-1
SULA11,06/01/2021,42.5,04/01/2018,05/01/2021,41.87,16/01/2021,8,0.5015,0.0174,0.4811,-1,-1,-1
SULA11,07/01/2021,41.01,05/01/2018,06/01/2021,42.8,14/01/2021,5,0.5001,0.0174,0.4825,-1,-1,-1
SULA11,08/01/2021,41.3,06/01/2018,07/01/2021,42.9,15/01/2021,5,0.4989,0.0174,0.4837,-1,-1,-1
SULA11,09/01/2021,42.7,09/01/2018,08/01/2021,41.87,16/01/2021,5,0.5015,0.0174,0.4811,-1,-1,-1
SULA11,12/01/2021,42.17,10/01/2018,09/01/2021,41.78,19/01/2021,5,0.5015,0.0174,0.4811,-1,-1,-1
SULA11,13/01/2021,42.29,11/01/2018,12/01/2021,41.39,20/01/2021,5,0.4988,0.0174,0.4838,-1,-1,-1
SULA11,14/01/2021,42.8,12/01/2018,13/01/2021,40.9,21/01/2021,5,0.5002,0.0174,0.4823,-1,-1,-1
SULA11,15/01/2021,42.9,13/01/2018,14/01/2021,40.45,22/01/2021,5,0.5015,0.0174,0.4811,-1,-1,-1
SULA11,16/01/2021,41.87,16/01/2018,15/01/2021,39.94,23/01/2021,5,0.5015,0.0174,0.4811,-1,-1,-1
SULA11,19/01/2021,41.78,17/01/2018,16/01/2021,40.05,27/01/2021,5,0.4989,0.0174,0.4837,-1,-1,-1
SULA11,20/01/2021,41.39,18/01/2018,19/01/2021,39.93,28/01/2021,5,0.4987,0.0174,0.4838,-1,-1,-1
SULA11,21/01/2021,40.9,19/01/2018,20/01/2021,41.38,29/01/2021,5,0.4974,0.0174,0.4852,-1,-1,-1
SULA11,22/01/2021,40.45,20/01/2018,21/01/2021,39.91,30/01/2021,5,0.4962,0.0174,0.4864,-1,-1,-1
SULA11,23/01/2021,39.94,23/01/2018,22/01/2021,39.51,02/02/2021,5,0.4962,0.0174,0.4864,-1,-1,-1
SULA11,27/01/2021,40.05,24/01/2018,23/01/2021,39.8,03/02/2021,5,0.4960,0.0174,0.4865,-1,-1,-1
SULA11,28/01/2021,39.93,25/01/2018,27/01/2021,40.4,04/02/2021,5,0.4975,0.0174,0.4850,-1,-1,-1
SULA11,29/01/2021,41.38,27/01/2018,28/01/2021,39.58,05/02/2021,5,0.4962,0.0174,0.4864,-1,-1,-1
SULA11,30/01/2021,39.91,30/01/2018,29/01/2021,40.18,06/02/2021,5,0.4989,0.0174,0.4837,-1,-1,-1
SULA11,02/02/2021,39.51,31/01/2018,30/01/2021,39.67,09/02/2021,5,0.4975,0.0174,0.4851,-1,-1,-1
SULA11,03/02/2021,39.8,01/02/2018,02/02/2021,38.99,10/02/2021,5,0.4974,0.0174,0.4852,-1,-1,-1
SULA11,04/02/2021,40.4,02/02/2018,03/02/2021,38.52,11/02/2021,5,0.4988,0.0174,0.4838,-1,-1,-1
SULA11,05/02/2021,39.58,03/02/2018,04/02/2021,38.55,12/02/2021,5,0.4989,0.0174,0.4837,-1,-1,-1
SULA11,06/02/2021,40.18,06/02/2018,05/02/2021,38.18,13/02/2021,5,0.4974,0.0174,0.4852,-1,-1,-1
SULA11,09/02/2021,39.67,07/02/2018,06/02/2021,38.25,18/02/2021,5,0.4988,0.0174,0.4838,-1,-1,-1
SULA11,10/02/2021,38.99,08/02/2018,09/02/2021,37.52,19/02/2021,5,0.4962,0.0174,0.4864,-1,-1,-1
SULA11,11/02/2021,38.52,09/02/2018,10/02/2021,36.94,20/02/2021,5,0.4962,0.0174,0.4864,-1,-1,-1
SULA11,12/02/2021,38.55,10/02/2018,11/02/2021,36.45,23/02/2021,5,0.4960,0.0174,0.4865,-1,-1,-1
SULA11,13/02/2021,38.18,15/02/2018,12/02/2021,35.88,24/02/2021,5,0.4974,0.0174,0.4851,-1,-1,-1
SULA11,18/02/2021,38.25,16/02/2018,13/02/2021,32.78,02/03/2021,8,0.4948,0.0173,0.4879,-1,-1,-1
SULA11,19/02/2021,37.52,17/02/2018,18/02/2021,34.78,26/02/2021,5,0.4975,0.0161,0.4864,-1,-1,-1
SULA11,20/02/2021,36.94,20/02/2018,19/02/2021,33.03,27/02/2021,5,0.4949,0.0161,0.4890,-1,-1,-1
SULA11,23/02/2021,36.45,21/02/2018,20/02/2021,32.78,02/03/2021,5,0.4949,0.0161,0.4890,-1,-1,-1
SULA11,24/02/2021,35.88,22/02/2018,23/02/2021,32.8,03/03/2021,5,0.4949,0.0161,0.4890,-1,-1,-1
SULA11,25/02/2021,36.35,23/02/2018,24/02/2021,32.61,04/03/2021,5,0.4948,0.0161,0.4892,-1,-1,-1
SULA11,26/02/2021,34.78,24/02/2018,25/02/2021,32.7,05/03/2021,5,0.4962,0.0161,0.4877,-1,-1,-1
SULA11,27/02/2021,33.03,27/02/2018,26/02/2021,31.85,11/03/2021,8,0.4949,0.0159,0.4891,-1,-1,-1
SULA11,02/03/2021,32.78,28/02/2018,27/02/2021,31.79,09/03/2021,5,0.4948,0.0147,0.4904,-1,-1,-1
