Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
TRPL4,05/01/2021,27.74,03/01/2018,31/12/2020,27.49,12/01/2021,5,0.5268,0.0094,0.4637,0,1,1
TRPL4,06/01/2021,27.56,04/01/2018,05/01/2021,28.2,13/01/2021,5,0.5268,0.0094,0.4637,1,1,1
TRPL4,07/01/2021,27.32,05/01/2018,06/01/2021,28.26,14/01/2021,5,0.5266,0.0094,0.4639,1,1,1
TRPL4,08/01/2021,26.91,06/01/2018,07/01/2021,28.24,15/01/2021,5,0.5255,0.0094,0.4651,1,1,1
TRPL4,09/01/2021,27.98,09/01/2018,08/01/2021,28.13,16/01/2021,5,0.5253,0.0094,0.4653,1,1,0
TRPL4,12/01/2021,27.49,10/01/2018,09/01/2021,28.07,19/01/2021,5,0.5268,0.0095,0.4637,1,1,1
TRPL4,13/01/2021,28.2,11/01/2018,12/01/2021,27.97,20/01/2021,5,0.5255,0.0094,0.4651,0,0,0
TRPL4,14/01/2021,28.26,12/01/2018,13/01/2021,27.53,21/01/2021,5,0.5280,0.0094,0.4625,0,0,0
TRPL4,15/01/2021,28.24,13/01/2018,14/01/2021,27.31,22/01/2021,5,0.5280,0.0094,0.4625,0,0,0
TRPL4,16/01/2021,28.13,16/01/2018,15/01/2021,27.1,23/01/2021,5,0.5253,0.0094,0.4653,0,0,0
TRPL4,19/01/2021,28.07,17/01/2018,16/01/2021,26.92,27/01/2021,5,0.5241,0.0094,0.4665,0,0,0
TRPL4,20/01/2021,27.97,18/01/2018,19/01/2021,27.02,28/01/2021,5,0.5241,0.0094,0.4665,0,0,0
TRPL4,21/01/2021,27.53,19/01/2018,20/01/2021,26.93,29/01/2021,5,0.5239,0.0094,0.4666,0,0,0
TRPL4,22/01/2021,27.31,20/01/2018,21/01/2021,26.35,30/01/2021,5,0.5226,0.0094,0.4680,0,0,0
TRPL4,23/01/2021,27.1,23/01/2018,22/01/2021,26.66,02/02/2021,5,0.5214,0.0094,0.4692,0,0,0
TRPL4,27/01/2021,26.92,24/01/2018,23/01/2021,26.34,03/02/2021,5,0.5212,0.0094,0.4693,0,0,0
TRPL4,28/01/2021,27.02,25/01/2018,27/01/2021,26.51,04/02/2021,5,0.5199,0.0094,0.4707,-1,-1,-1
TRPL4,29/01/2021,26.93,27/01/2018,28/01/2021,26.03,05/02/2021,5,0.5213,0.0094,0.4693,0,0,0
TRPL4,30/01/2021,26.35,30/01/2018,29/01/2021,26.07,06/02/2021,5,0.5187,0.0094,0.4719,-1,-1,-1
