Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
BBDC4,05/01/2021,26.43,04/11/2020,31/12/2020,27.5,15/01/2021,8,0.5257,0.0264,0.4480,1
BBDC4,06/01/2021,26.25,05/11/2020,05/01/2021,26.74,16/01/2021,8,0.5122,0.0271,0.4607,1
BBDC4,07/01/2021,27.07,06/11/2020,06/01/2021,26.68,14/01/2021,5,0.4985,0.0264,0.4751,-1
BBDC4,08/01/2021,27.84,07/11/2020,07/01/2021,26.4,20/01/2021,8,0.5385,0.0256,0.4359,0
BBDC4,09/01/2021,27.6,10/11/2020,08/01/2021,25.85,21/01/2021,8,0.5385,0.0256,0.4359,0
BBDC4,12/01/2021,27.11,11/11/2020,09/01/2021,26.83,19/01/2021,5,0.4985,0.0264,0.4751,-1
BBDC4,13/01/2021,27.09,12/11/2020,12/01/2021,26.4,20/01/2021,5,0.4985,0.0264,0.4751,-1
BBDC4,14/01/2021,26.68,13/11/2020,13/01/2021,24.41,27/01/2021,8,0.4834,0.0272,0.4894,-1
BBDC4,15/01/2021,27.5,14/11/2020,14/01/2021,24.8,28/01/2021,8,0.4578,0.0271,0.5151,1
BBDC4,16/01/2021,26.74,17/11/2020,15/01/2021,25.53,29/01/2021,8,0.4872,0.0256,0.4872,-1
BBDC4,19/01/2021,26.83,18/11/2020,16/01/2021,24.41,27/01/2021,5,0.4474,0.0263,0.5263,1
BBDC4,20/01/2021,26.4,19/11/2020,19/01/2021,25.25,02/02/2021,8,0.4872,0.0256,0.4872,-1
BBDC4,21/01/2021,25.85,20/11/2020,20/01/2021,25.53,29/01/2021,5,0.4474,0.0263,0.5263,1
BBDC4,22/01/2021,25.48,21/11/2020,21/01/2021,25.25,04/02/2021,8,0.4324,0.0270,0.5405,1
BBDC4,23/01/2021,25.01,24/11/2020,22/01/2021,26.01,05/02/2021,8,0.4072,0.0269,0.5659,0
BBDC4,27/01/2021,24.41,25/11/2020,23/01/2021,25.87,06/02/2021,8,0.3947,0.0263,0.5789,0
BBDC4,28/01/2021,24.8,26/11/2020,27/01/2021,25.32,09/02/2021,8,0.3947,0.0263,0.5789,0
