Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
BRFS3,05/01/2021,21.48,04/11/2020,31/12/2020,21.1,15/01/2021,8,0.5350,0.0000,0.4650,0
BRFS3,06/01/2021,21.31,05/11/2020,05/01/2021,20.76,16/01/2021,8,0.5091,0.0000,0.4909,-1
BRFS3,07/01/2021,21.2,06/11/2020,06/01/2021,20.39,19/01/2021,8,0.4834,0.0000,0.5166,-1
BRFS3,08/01/2021,21.93,07/11/2020,07/01/2021,20.41,20/01/2021,8,0.4578,0.0000,0.5422,1
BRFS3,09/01/2021,21.98,10/11/2020,08/01/2021,20.76,16/01/2021,5,0.4872,0.0000,0.5128,-1
BRFS3,12/01/2021,21.53,11/11/2020,09/01/2021,20.05,22/01/2021,8,0.5166,0.0000,0.4834,-1
BRFS3,13/01/2021,21.36,12/11/2020,12/01/2021,20.41,20/01/2021,5,0.4872,0.0000,0.5128,-1
BRFS3,14/01/2021,21.24,13/11/2020,13/01/2021,20.41,27/01/2021,8,0.4578,0.0000,0.5422,1
BRFS3,15/01/2021,21.1,14/11/2020,14/01/2021,20.98,28/01/2021,8,0.4324,0.0000,0.5676,1
BRFS3,16/01/2021,20.76,17/11/2020,15/01/2021,21.65,29/01/2021,8,0.4072,0.0000,0.5928,0
BRFS3,19/01/2021,20.39,18/11/2020,16/01/2021,20.41,27/01/2021,5,0.3821,0.0000,0.6179,0
BRFS3,20/01/2021,20.41,19/11/2020,19/01/2021,21.05,02/02/2021,8,0.3846,0.0000,0.6154,0
BRFS3,21/01/2021,20.41,20/11/2020,20/01/2021,21.9,03/02/2021,8,0.4103,0.0000,0.5897,0
BRFS3,22/01/2021,20.05,21/11/2020,21/01/2021,22.6,19/02/2021,17,0.3750,0.0500,0.5750,0
BRFS3,23/01/2021,20.69,24/11/2020,22/01/2021,21.05,02/02/2021,5,0.3457,0.0247,0.6296,0
BRFS3,27/01/2021,20.41,25/11/2020,23/01/2021,22.41,06/02/2021,8,0.3853,0.0275,0.5872,0
BRFS3,28/01/2021,20.98,26/11/2020,27/01/2021,23.1,09/02/2021,8,0.3590,0.0256,0.6154,0
BRFS3,29/01/2021,21.65,27/11/2020,28/01/2021,23.34,10/02/2021,8,0.4087,0.0272,0.5640,0
BRFS3,30/01/2021,21.22,28/11/2020,29/01/2021,22.41,06/02/2021,5,0.4235,0.0265,0.5500,0
BRFS3,02/02/2021,21.05,01/12/2020,30/01/2021,22.98,12/02/2021,8,0.3846,0.0256,0.5897,0
BRFS3,03/02/2021,21.9,02/12/2020,02/02/2021,23.3,13/02/2021,8,0.3846,0.0256,0.5897,0
BRFS3,04/02/2021,22.57,03/12/2020,03/02/2021,23.07,11/02/2021,5,0.4235,0.0265,0.5500,0
BRFS3,05/02/2021,22.39,04/12/2020,04/02/2021,22.6,19/02/2021,8,0.4377,0.0274,0.5350,0
BRFS3,06/02/2021,22.41,05/12/2020,05/02/2021,22.46,20/02/2021,8,0.3963,0.0248,0.5789,0
BRFS3,09/02/2021,23.1,08/12/2020,06/02/2021,23.25,18/02/2021,5,0.4235,0.0265,0.5500,0
BRFS3,10/02/2021,23.34,09/12/2020,09/02/2021,23.09,24/02/2021,8,0.4377,0.0274,0.5350,1
BRFS3,11/02/2021,23.07,10/12/2020,10/02/2021,23.81,25/02/2021,8,0.4636,0.0273,0.5091,-1
BRFS3,12/02/2021,22.98,11/12/2020,11/02/2021,23.31,26/02/2021,8,0.4359,0.0256,0.5385,0
BRFS3,13/02/2021,23.3,12/12/2020,12/02/2021,21.64,27/02/2021,8,0.4359,0.0256,0.5385,1
BRFS3,18/02/2021,23.25,15/12/2020,13/02/2021,21.7,02/03/2021,8,0.4865,0.0270,0.4865,-1
BRFS3,19/02/2021,22.6,16/12/2020,18/02/2021,23.31,26/02/2021,5,0.4488,0.0249,0.5263,0
BRFS3,20/02/2021,22.46,17/12/2020,19/02/2021,21.71,04/03/2021,8,0.4359,0.0256,0.5385,1
BRFS3,23/02/2021,21.5,18/12/2020,20/02/2021,21.7,02/03/2021,5,0.4217,0.0248,0.5535,0
BRFS3,24/02/2021,23.09,19/12/2020,23/02/2021,23.57,06/03/2021,8,0.4103,0.0256,0.5641,0
BRFS3,25/02/2021,23.81,22/12/2020,24/02/2021,23.26,09/03/2021,8,0.4511,0.0265,0.5224,1
BRFS3,26/02/2021,23.31,23/12/2020,25/02/2021,24.65,10/03/2021,8,0.4511,0.0265,0.5224,0
BRFS3,27/02/2021,21.64,24/12/2020,26/02/2021,24.16,11/03/2021,8,0.3963,0.0248,0.5789,0
BRFS3,02/03/2021,21.7,29/12/2020,27/02/2021,24.9,12/03/2021,8,0.3709,0.0247,0.6043,0
BRFS3,03/03/2021,21.59,30/12/2020,02/03/2021,25.02,13/03/2021,8,0.4116,0.0274,0.5610,0
BRFS3,04/03/2021,21.71,31/12/2020,03/03/2021,24.72,16/03/2021,8,0.3846,0.0256,0.5897,0
BRFS3,05/03/2021,22.73,05/01/2021,04/03/2021,24.45,17/03/2021,8,0.4348,0.0272,0.5380,0
BRFS3,06/03/2021,23.57,06/01/2021,05/03/2021,24.87,18/03/2021,8,0.4607,0.0271,0.5122,0
BRFS3,09/03/2021,23.26,07/01/2021,06/03/2021,24.72,16/03/2021,5,0.4751,0.0264,0.4985,-1
BRFS3,10/03/2021,24.65,08/01/2021,09/03/2021,24.45,17/03/2021,5,0.4232,0.0249,0.5519,1
BRFS3,11/03/2021,24.16,09/01/2021,10/03/2021,25.42,23/03/2021,8,0.4607,0.0271,0.5122,0
BRFS3,12/03/2021,24.9,12/01/2021,11/03/2021,24.36,24/03/2021,8,0.4359,0.0256,0.5385,1
BRFS3,13/03/2021,25.02,13/01/2021,12/03/2021,24.03,25/03/2021,8,0.4841,0.0269,0.4890,-1
BRFS3,16/03/2021,24.72,14/01/2021,13/03/2021,24.28,26/03/2021,8,0.5098,0.0268,0.4634,-1
BRFS3,17/03/2021,24.45,15/01/2021,16/03/2021,24.39,27/03/2021,8,0.4872,0.0256,0.4872,-1
BRFS3,18/03/2021,24.87,16/01/2021,17/03/2021,24.82,30/03/2021,8,0.4872,0.0256,0.4872,-1
BRFS3,19/03/2021,24.77,19/01/2021,18/03/2021,24.28,26/03/2021,5,0.5238,0.0262,0.4500,0
BRFS3,20/03/2021,25.62,20/01/2021,19/03/2021,24.27,15/04/2021,17,0.5000,0.0000,0.5000,-1
BRFS3,23/03/2021,25.42,21/01/2021,20/03/2021,24.55,02/04/2021,8,0.5345,0.0000,0.4655,0
BRFS3,24/03/2021,24.36,22/01/2021,23/03/2021,24.73,06/04/2021,8,0.4911,0.0000,0.5089,-1
BRFS3,25/03/2021,24.03,23/01/2021,24/03/2021,24.45,07/04/2021,8,0.4872,0.0000,0.5128,-1
BRFS3,26/03/2021,24.28,27/01/2021,25/03/2021,24.55,02/04/2021,5,0.4634,0.0000,0.5366,0
BRFS3,27/03/2021,24.39,28/01/2021,26/03/2021,24.39,09/04/2021,8,0.4872,0.0000,0.5128,-1
BRFS3,30/03/2021,24.82,29/01/2021,27/03/2021,24.45,07/04/2021,5,0.5110,0.0000,0.4890,-1
BRFS3,31/03/2021,25.38,30/01/2021,30/03/2021,24.27,08/04/2021,5,0.5366,0.0000,0.4634,0
BRFS3,01/04/2021,25.22,02/02/2021,31/03/2021,24.39,09/04/2021,5,0.5385,0.0000,0.4615,0
BRFS3,02/04/2021,24.55,03/02/2021,01/04/2021,24,10/04/2021,5,0.4890,0.0000,0.5110,-1
BRFS3,06/04/2021,24.73,04/02/2021,02/04/2021,24.48,13/04/2021,5,0.4872,0.0000,0.5128,-1
BRFS3,07/04/2021,24.45,05/02/2021,06/04/2021,24.58,14/04/2021,5,0.5128,0.0000,0.4872,-1
BRFS3,08/04/2021,24.27,06/02/2021,07/04/2021,24.27,15/04/2021,5,0.4634,0.0000,0.5366,0
BRFS3,09/04/2021,24.39,09/02/2021,08/04/2021,24.3,16/04/2021,5,0.4380,0.0000,0.5620,1
BRFS3,10/04/2021,24,10/02/2021,09/04/2021,23.59,17/04/2021,5,0.4853,0.0000,0.5147,-1
BRFS3,13/04/2021,24.48,11/02/2021,10/04/2021,23.72,24/04/2021,8,0.4615,0.0000,0.5385,1
BRFS3,14/04/2021,24.58,12/02/2021,13/04/2021,23.36,27/04/2021,8,0.4872,0.0000,0.5128,-1
