Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
BRML3,05/01/2021,9.53,04/11/2020,31/12/2020,9.38,15/01/2021,8,0.5069,0.0793,0.4138,0
BRML3,06/01/2021,9.72,05/11/2020,05/01/2021,9.28,16/01/2021,8,0.4811,0.0790,0.4399,-1
BRML3,07/01/2021,9.21,06/11/2020,06/01/2021,9.36,19/01/2021,8,0.5128,0.0769,0.4103,1
BRML3,08/01/2021,9.14,07/11/2020,07/01/2021,9.34,27/01/2021,12,0.4592,0.0785,0.4622,-1
BRML3,09/01/2021,9.41,10/11/2020,08/01/2021,9.4,21/01/2021,8,0.4390,0.0780,0.4829,-1
BRML3,12/01/2021,9.14,11/11/2020,09/01/2021,9.37,22/01/2021,8,0.4872,0.0769,0.4359,1
BRML3,13/01/2021,9.24,12/11/2020,12/01/2021,9.17,23/01/2021,8,0.4390,0.0780,0.4829,-1
BRML3,14/01/2021,9.23,13/11/2020,13/01/2021,9.34,27/01/2021,8,0.4914,0.0690,0.4397,1
BRML3,15/01/2021,9.38,14/11/2020,14/01/2021,9.37,22/01/2021,5,0.4592,0.0514,0.4894,-1
BRML3,16/01/2021,9.28,17/11/2020,15/01/2021,9.17,23/01/2021,5,0.4965,0.0513,0.4523,-1
BRML3,19/01/2021,9.36,18/11/2020,16/01/2021,9.34,27/01/2021,5,0.4696,0.0513,0.4791,-1
BRML3,20/01/2021,9.45,19/11/2020,19/01/2021,9.34,28/01/2021,5,0.5211,0.0512,0.4277,0
BRML3,21/01/2021,9.4,20/11/2020,20/01/2021,9.89,29/01/2021,5,0.5467,0.0512,0.4022,1
BRML3,22/01/2021,9.37,21/11/2020,21/01/2021,9.55,30/01/2021,5,0.5136,0.0516,0.4348,1
BRML3,23/01/2021,9.17,24/11/2020,22/01/2021,9.67,02/02/2021,5,0.4878,0.0515,0.4607,-1
BRML3,27/01/2021,9.34,25/11/2020,23/01/2021,9.87,03/02/2021,5,0.4622,0.0514,0.4865,-1
BRML3,28/01/2021,9.34,26/11/2020,27/01/2021,10.14,04/02/2021,5,0.4872,0.0513,0.4615,-1
BRML3,29/01/2021,9.89,27/11/2020,28/01/2021,9.61,10/02/2021,8,0.4500,0.1000,0.4500,-1
BRML3,30/01/2021,9.55,28/11/2020,29/01/2021,9.47,11/02/2021,8,0.4674,0.0772,0.4554,-1
