Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
COCE5,05/01/2021,60.79,04/11/2020,31/12/2020,57.44,12/01/2021,5,0.3993,0.0765,0.5241,1
COCE5,06/01/2021,59.15,05/11/2020,05/01/2021,57.92,13/01/2021,5,0.3993,0.0765,0.5241,1
COCE5,07/01/2021,58.7,06/11/2020,06/01/2021,57.02,19/01/2021,8,0.3518,0.0771,0.5712,1
COCE5,08/01/2021,58.12,07/11/2020,07/01/2021,58.54,20/01/2021,8,0.3518,0.0771,0.5712,0
COCE5,09/01/2021,57.84,10/11/2020,08/01/2021,58.45,21/01/2021,8,0.3518,0.0771,0.5712,0
COCE5,12/01/2021,57.44,11/11/2020,09/01/2021,57.89,22/01/2021,8,0.3518,0.0771,0.5712,0
COCE5,13/01/2021,57.92,12/11/2020,12/01/2021,56.93,23/01/2021,8,0.3518,0.0771,0.5712,1
COCE5,14/01/2021,58.08,13/11/2020,13/01/2021,58.45,21/01/2021,5,0.3993,0.0765,0.5241,0
COCE5,15/01/2021,58.65,14/11/2020,14/01/2021,54.91,28/01/2021,8,0.4087,0.0763,0.5150,1
COCE5,16/01/2021,58.59,17/11/2020,15/01/2021,55.2,29/01/2021,8,0.4348,0.0761,0.4891,1
COCE5,19/01/2021,57.02,18/11/2020,16/01/2021,55.29,30/01/2021,8,0.4027,0.0772,0.5201,1
COCE5,20/01/2021,58.54,19/11/2020,19/01/2021,57.21,02/02/2021,8,0.4027,0.0772,0.5201,1
COCE5,21/01/2021,58.45,20/11/2020,20/01/2021,55.89,09/02/2021,12,0.4576,0.0760,0.4663,-1
COCE5,22/01/2021,57.89,21/11/2020,21/01/2021,56.12,04/02/2021,8,0.4291,0.0772,0.4937,1
COCE5,23/01/2021,56.93,24/11/2020,22/01/2021,55.4,05/02/2021,8,0.4306,0.0689,0.5005,1
COCE5,27/01/2021,54.75,25/11/2020,23/01/2021,57.37,03/02/2021,5,0.4267,0.0512,0.5221,0
COCE5,28/01/2021,54.91,26/11/2020,27/01/2021,56.12,04/02/2021,5,0.4267,0.0512,0.5221,0
COCE5,29/01/2021,55.2,27/11/2020,28/01/2021,55.4,05/02/2021,5,0.4791,0.0513,0.4696,-1
COCE5,30/01/2021,55.29,28/11/2020,29/01/2021,55.87,06/02/2021,5,0.4965,0.0513,0.4523,-1
COCE5,02/02/2021,57.21,01/12/2020,30/01/2021,54.82,12/02/2021,8,0.5069,0.0512,0.4418,0
COCE5,03/02/2021,57.37,02/12/2020,02/02/2021,53.53,13/02/2021,8,0.5233,0.0512,0.4255,0
COCE5,04/02/2021,56.12,03/12/2020,03/02/2021,53.52,18/02/2021,8,0.5353,0.0511,0.4136,0
COCE5,05/02/2021,55.4,04/12/2020,04/02/2021,54.5,19/02/2021,8,0.4902,0.0515,0.4583,-1
COCE5,06/02/2021,55.87,05/12/2020,05/02/2021,54.33,20/02/2021,8,0.4750,0.0513,0.4737,-1
COCE5,09/02/2021,55.89,08/12/2020,06/02/2021,50.17,27/02/2021,12,0.5249,0.0512,0.4239,0
COCE5,10/02/2021,55.94,09/12/2020,09/02/2021,51.96,02/03/2021,12,0.5390,0.0511,0.4099,0
COCE5,11/02/2021,54.98,10/12/2020,10/02/2021,51.5,03/03/2021,12,0.5650,0.0404,0.3946,0
COCE5,12/02/2021,54.82,11/12/2020,11/02/2021,51.81,04/03/2021,12,0.5196,0.0247,0.4557,0
COCE5,13/02/2021,53.53,12/12/2020,12/02/2021,53.05,05/03/2021,12,0.5128,0.0256,0.4615,0
COCE5,18/02/2021,53.52,15/12/2020,13/02/2021,52.71,06/03/2021,12,0.5128,0.0256,0.4615,0
COCE5,19/02/2021,54.5,16/12/2020,18/02/2021,52.59,09/03/2021,12,0.4902,0.0245,0.4853,-1
COCE5,20/02/2021,54.33,17/12/2020,19/02/2021,53.64,10/03/2021,12,0.5333,0.0267,0.4400,0
COCE5,23/02/2021,52.29,18/12/2020,20/02/2021,54.36,18/03/2021,17,0.5000,0.0000,0.5000,-1
COCE5,24/02/2021,51.95,19/12/2020,23/02/2021,54.7,12/03/2021,12,0.4872,0.0000,0.5128,-1
COCE5,25/02/2021,52.68,22/12/2020,24/02/2021,53.8,20/03/2021,17,0.4419,0.0000,0.5581,0
COCE5,26/02/2021,52.05,23/12/2020,25/02/2021,53.9,16/03/2021,12,0.4872,0.0000,0.5128,-1
COCE5,27/02/2021,50.17,24/12/2020,26/02/2021,54.6,17/03/2021,12,0.4235,0.0000,0.5765,0
COCE5,02/03/2021,51.96,29/12/2020,27/02/2021,54.36,18/03/2021,12,0.3984,0.0000,0.6016,0
COCE5,03/03/2021,51.5,30/12/2020,02/03/2021,54.1,19/03/2021,12,0.4359,0.0000,0.5641,0
COCE5,04/03/2021,51.81,31/12/2020,03/03/2021,53.9,16/03/2021,8,0.3784,0.0000,0.6216,0
COCE5,05/03/2021,53.05,05/01/2021,04/03/2021,54.6,17/03/2021,8,0.4429,0.0000,0.5571,0
COCE5,06/03/2021,52.71,06/01/2021,05/03/2021,54.36,18/03/2021,8,0.4690,0.0000,0.5310,0
COCE5,09/03/2021,52.59,07/01/2021,06/03/2021,54.1,19/03/2021,8,0.4359,0.0000,0.5641,0
COCE5,10/03/2021,53.64,08/01/2021,09/03/2021,53.8,20/03/2021,8,0.4359,0.0000,0.5641,0
COCE5,11/03/2021,53.99,09/01/2021,10/03/2021,54.45,23/03/2021,8,0.4909,0.0000,0.5091,-1
COCE5,12/03/2021,54.7,12/01/2021,11/03/2021,54.3,24/03/2021,8,0.4872,0.0000,0.5128,-1
COCE5,13/03/2021,54.43,13/01/2021,12/03/2021,53.51,25/03/2021,8,0.4872,0.0000,0.5128,-1
COCE5,16/03/2021,53.9,14/01/2021,13/03/2021,53.85,26/03/2021,8,0.4324,0.0000,0.5676,1
COCE5,17/03/2021,54.6,15/01/2021,16/03/2021,53.73,27/03/2021,8,0.4359,0.0000,0.5641,1
