Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
CYRE3,05/01/2021,28.5,04/11/2020,31/12/2020,27.6,12/01/2021,5,0.6154,0.0000,0.3846,0
CYRE3,06/01/2021,27.95,05/11/2020,05/01/2021,28.71,09/01/2021,3,0.5640,0.0000,0.4360,1
CYRE3,07/01/2021,27.12,06/11/2020,06/01/2021,28.78,14/01/2021,5,0.5380,0.0000,0.4620,1
CYRE3,08/01/2021,27.4,07/11/2020,07/01/2021,28.26,20/01/2021,8,0.5385,0.0000,0.4615,1
CYRE3,09/01/2021,28.71,10/11/2020,08/01/2021,28.58,16/01/2021,5,0.5641,0.0000,0.4359,0
CYRE3,12/01/2021,27.6,11/11/2020,09/01/2021,26.9,22/01/2021,8,0.5928,0.0000,0.4072,0
CYRE3,13/01/2021,28.96,12/11/2020,12/01/2021,28.26,20/01/2021,5,0.5641,0.0000,0.4359,0
CYRE3,14/01/2021,28.78,13/11/2020,13/01/2021,28.42,21/01/2021,5,0.5897,0.0000,0.4103,0
CYRE3,15/01/2021,29.78,14/11/2020,14/01/2021,26.9,22/01/2021,5,0.5380,0.0000,0.4620,0
CYRE3,16/01/2021,28.58,17/11/2020,15/01/2021,26,23/01/2021,5,0.5641,0.0000,0.4359,0
CYRE3,19/01/2021,28.55,18/11/2020,16/01/2021,25.54,27/01/2021,5,0.5385,0.0000,0.4615,0
CYRE3,20/01/2021,28.26,19/11/2020,19/01/2021,25.79,28/01/2021,5,0.5122,0.0000,0.4878,-1
CYRE3,21/01/2021,28.42,20/11/2020,20/01/2021,26.65,29/01/2021,5,0.5128,0.0000,0.4872,-1
CYRE3,22/01/2021,26.9,21/11/2020,21/01/2021,25.63,30/01/2021,5,0.5645,0.0000,0.4355,0
CYRE3,23/01/2021,26,24/11/2020,22/01/2021,26.42,02/02/2021,5,0.5122,0.0000,0.4878,-1
CYRE3,27/01/2021,25.54,25/11/2020,23/01/2021,27.1,03/02/2021,5,0.4865,0.0000,0.5135,-1
CYRE3,28/01/2021,25.79,26/11/2020,27/01/2021,28.14,04/02/2021,5,0.4872,0.0000,0.5128,-1
CYRE3,29/01/2021,26.65,27/11/2020,28/01/2021,27.86,05/02/2021,5,0.5128,0.0000,0.4872,-1
CYRE3,30/01/2021,25.63,28/11/2020,29/01/2021,27.65,11/02/2021,8,0.5422,0.0000,0.4578,1
CYRE3,02/02/2021,26.42,01/12/2020,30/01/2021,28.03,12/02/2021,8,0.4834,0.0000,0.5166,-1
CYRE3,03/02/2021,27.1,02/12/2020,02/02/2021,28.08,10/02/2021,5,0.5128,0.0000,0.4872,-1
CYRE3,04/02/2021,28.14,03/12/2020,03/02/2021,27.65,11/02/2021,5,0.5128,0.0000,0.4872,-1
CYRE3,05/02/2021,27.86,04/12/2020,04/02/2021,27.88,19/02/2021,8,0.5422,0.0000,0.4578,1
