Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
DIRR3,05/01/2021,13.29,04/11/2020,31/12/2020,14.62,15/01/2021,8,0.5535,0.0264,0.4201,1
DIRR3,06/01/2021,13.24,05/11/2020,05/01/2021,14.5,16/01/2021,8,0.5535,0.0264,0.4201,1
DIRR3,07/01/2021,12.79,06/11/2020,06/01/2021,14.16,19/01/2021,8,0.4984,0.0249,0.4766,-1
DIRR3,08/01/2021,12.6,07/11/2020,07/01/2021,14.02,20/01/2021,8,0.4728,0.0249,0.5023,-1
DIRR3,09/01/2021,13.21,10/11/2020,08/01/2021,13.86,21/01/2021,8,0.4472,0.0248,0.5280,0
DIRR3,12/01/2021,13.55,11/11/2020,09/01/2021,13.22,22/01/2021,8,0.4894,0.0272,0.4834,-1
DIRR3,13/01/2021,14.31,12/11/2020,12/01/2021,13.52,23/01/2021,8,0.5151,0.0271,0.4578,0
DIRR3,14/01/2021,14.51,13/11/2020,13/01/2021,13.38,27/01/2021,8,0.5281,0.0264,0.4455,0
DIRR3,15/01/2021,14.62,14/11/2020,14/01/2021,13.4,28/01/2021,8,0.5281,0.0264,0.4455,0
DIRR3,16/01/2021,14.5,17/11/2020,15/01/2021,14.09,29/01/2021,8,0.5442,0.0272,0.4286,0
DIRR3,19/01/2021,14.16,18/11/2020,16/01/2021,13.91,30/01/2021,8,0.5128,0.0256,0.4615,0
DIRR3,20/01/2021,14.02,19/11/2020,19/01/2021,14.42,06/02/2021,12,0.4965,0.0248,0.4787,-1
DIRR3,21/01/2021,13.86,20/11/2020,20/01/2021,14.38,03/02/2021,8,0.4872,0.0256,0.4872,-1
DIRR3,22/01/2021,13.22,21/11/2020,21/01/2021,14.76,04/02/2021,8,0.4872,0.0256,0.4872,-1
DIRR3,23/01/2021,13.52,24/11/2020,22/01/2021,14.26,11/02/2021,12,0.4682,0.0246,0.5072,-1
DIRR3,27/01/2021,13.38,25/11/2020,23/01/2021,14.44,12/02/2021,12,0.5047,0.0266,0.4687,-1
DIRR3,28/01/2021,13.4,26/11/2020,27/01/2021,14.7,09/02/2021,8,0.4615,0.0256,0.5128,0
DIRR3,29/01/2021,14.09,27/11/2020,28/01/2021,14.21,18/02/2021,12,0.5047,0.0266,0.4687,-1
DIRR3,30/01/2021,13.91,28/11/2020,29/01/2021,13.95,19/02/2021,12,0.5236,0.0276,0.4488,1
DIRR3,02/02/2021,14.15,01/12/2020,30/01/2021,14.35,20/02/2021,12,0.4682,0.0246,0.5072,-1
DIRR3,03/02/2021,14.38,02/12/2020,02/02/2021,13.46,23/02/2021,12,0.5047,0.0266,0.4687,-1
DIRR3,04/02/2021,14.76,03/12/2020,03/02/2021,13.72,24/02/2021,12,0.5047,0.0266,0.4687,-1
DIRR3,05/02/2021,14.53,04/12/2020,04/02/2021,13.79,25/02/2021,12,0.5236,0.0276,0.4488,0
DIRR3,06/02/2021,14.42,05/12/2020,05/02/2021,14.35,20/02/2021,8,0.4872,0.0256,0.4872,-1
DIRR3,09/02/2021,14.7,08/12/2020,06/02/2021,12.83,27/02/2021,12,0.4682,0.0246,0.5072,-1
DIRR3,10/02/2021,14.68,09/12/2020,09/02/2021,12.68,02/03/2021,12,0.5236,0.0276,0.4488,0
DIRR3,11/02/2021,14.26,10/12/2020,10/02/2021,13.79,25/02/2021,8,0.4872,0.0256,0.4872,-1
DIRR3,12/02/2021,14.44,11/12/2020,11/02/2021,12.46,04/03/2021,12,0.4682,0.0246,0.5072,-1
DIRR3,13/02/2021,14.25,12/12/2020,12/02/2021,12.35,05/03/2021,12,0.5047,0.0266,0.4687,-1
DIRR3,18/02/2021,14.21,15/12/2020,13/02/2021,12.68,02/03/2021,8,0.4452,0.0247,0.5300,1
DIRR3,19/02/2021,13.95,16/12/2020,18/02/2021,13.07,16/03/2021,17,0.4474,0.0000,0.5526,1
DIRR3,20/02/2021,14.35,17/12/2020,19/02/2021,12.46,04/03/2021,8,0.4359,0.0000,0.5641,1
DIRR3,23/02/2021,13.46,18/12/2020,20/02/2021,12.35,05/03/2021,8,0.4948,0.0000,0.5052,-1
DIRR3,24/02/2021,13.72,19/12/2020,23/02/2021,12.64,06/03/2021,8,0.4615,0.0000,0.5385,1
DIRR3,25/02/2021,13.79,22/12/2020,24/02/2021,11.6,09/03/2021,8,0.5166,0.0000,0.4834,-1
DIRR3,26/02/2021,13.37,23/12/2020,25/02/2021,11.19,10/03/2021,8,0.5422,0.0000,0.4578,0
DIRR3,27/02/2021,12.83,24/12/2020,26/02/2021,11.56,11/03/2021,8,0.4834,0.0000,0.5166,-1
DIRR3,02/03/2021,12.68,29/12/2020,27/02/2021,12.38,12/03/2021,8,0.4578,0.0000,0.5422,1
DIRR3,03/03/2021,12.85,30/12/2020,02/03/2021,12.43,13/03/2021,8,0.4324,0.0000,0.5676,1
DIRR3,04/03/2021,12.46,31/12/2020,03/03/2021,13.07,16/03/2021,8,0.4615,0.0000,0.5385,0
DIRR3,05/03/2021,12.35,05/01/2021,04/03/2021,12.38,12/03/2021,5,0.4359,0.0000,0.5641,0
DIRR3,06/03/2021,12.64,06/01/2021,05/03/2021,12.43,13/03/2021,5,0.4359,0.0000,0.5641,1
DIRR3,09/03/2021,11.6,07/01/2021,06/03/2021,13.07,16/03/2021,5,0.4878,0.0000,0.5122,-1
DIRR3,10/03/2021,11.19,08/01/2021,09/03/2021,12.49,17/03/2021,5,0.4355,0.0000,0.5645,0
DIRR3,11/03/2021,11.56,09/01/2021,10/03/2021,13.07,16/03/2021,3,0.4102,0.0000,0.5898,0
DIRR3,12/03/2021,12.38,12/01/2021,11/03/2021,12.6,19/03/2021,5,0.4359,0.0000,0.5641,0
DIRR3,13/03/2021,12.43,13/01/2021,12/03/2021,12.81,20/03/2021,5,0.4359,0.0000,0.5641,0
DIRR3,16/03/2021,13.07,14/01/2021,13/03/2021,12.7,23/03/2021,5,0.4359,0.0000,0.5641,1
DIRR3,17/03/2021,12.49,15/01/2021,16/03/2021,12.39,24/03/2021,5,0.4620,0.0000,0.5380,1
DIRR3,18/03/2021,13.25,16/01/2021,17/03/2021,12.03,25/03/2021,5,0.4359,0.0000,0.5641,1
DIRR3,19/03/2021,12.6,19/01/2021,18/03/2021,12.51,26/03/2021,5,0.4853,0.0000,0.5147,-1
DIRR3,20/03/2021,12.81,20/01/2021,19/03/2021,12.42,01/04/2021,8,0.4615,0.0000,0.5385,1
DIRR3,23/03/2021,12.7,21/01/2021,20/03/2021,12.2,02/04/2021,8,0.5089,0.0000,0.4911,-1
DIRR3,24/03/2021,12.39,22/01/2021,23/03/2021,12.45,06/04/2021,8,0.4655,0.0000,0.5345,0
DIRR3,25/03/2021,12.03,23/01/2021,24/03/2021,12.6,07/04/2021,8,0.4615,0.0000,0.5385,0
DIRR3,26/03/2021,12.51,27/01/2021,25/03/2021,12.2,02/04/2021,5,0.4380,0.0000,0.5620,1
DIRR3,27/03/2021,12.4,28/01/2021,26/03/2021,12.33,09/04/2021,8,0.4615,0.0000,0.5385,1
DIRR3,30/03/2021,11.92,29/01/2021,27/03/2021,12.9,10/04/2021,8,0.4359,0.0000,0.5641,0
DIRR3,31/03/2021,12.5,30/01/2021,30/03/2021,13.17,13/04/2021,8,0.4126,0.0000,0.5874,0
DIRR3,01/04/2021,12.42,02/02/2021,31/03/2021,13,14/04/2021,8,0.4359,0.0000,0.5641,0
DIRR3,02/04/2021,12.2,03/02/2021,01/04/2021,13.06,15/04/2021,8,0.3894,0.0000,0.6106,0
DIRR3,06/04/2021,12.45,04/02/2021,02/04/2021,12.99,16/04/2021,8,0.3846,0.0000,0.6154,0
DIRR3,07/04/2021,12.6,05/02/2021,06/04/2021,13.31,17/04/2021,8,0.4315,0.0000,0.5685,0
DIRR3,08/04/2021,12.39,06/02/2021,07/04/2021,13.14,20/04/2021,8,0.4359,0.0000,0.5641,0
DIRR3,09/04/2021,12.33,09/02/2021,08/04/2021,12.85,21/04/2021,8,0.4103,0.0000,0.5897,0
DIRR3,10/04/2021,12.9,10/02/2021,09/04/2021,12.92,23/04/2021,8,0.4103,0.0000,0.5897,0
DIRR3,13/04/2021,13.17,11/02/2021,10/04/2021,13.01,24/04/2021,8,0.4359,0.0000,0.5641,1
DIRR3,14/04/2021,13,12/02/2021,13/04/2021,13.21,27/04/2021,8,0.4595,0.0000,0.5405,0
DIRR3,15/04/2021,13.06,13/02/2021,14/04/2021,13.25,28/04/2021,8,0.4359,0.0000,0.5641,0
DIRR3,16/04/2021,12.99,18/02/2021,15/04/2021,13,29/04/2021,8,0.4832,0.0000,0.5168,-1
DIRR3,17/04/2021,13.31,19/02/2021,16/04/2021,12.96,30/04/2021,8,0.4400,0.0000,0.5600,1
DIRR3,20/04/2021,13.14,20/02/2021,17/04/2021,12.8,01/05/2021,8,0.4832,0.0000,0.5168,-1
DIRR3,21/04/2021,12.85,23/02/2021,20/04/2021,12.99,04/05/2021,8,0.4400,0.0000,0.5600,0
DIRR3,23/04/2021,12.92,24/02/2021,21/04/2021,12.91,05/05/2021,8,0.4146,0.0000,0.5854,1
DIRR3,24/04/2021,13.01,25/02/2021,23/04/2021,12.75,06/05/2021,8,0.4574,0.0000,0.5426,1
DIRR3,27/04/2021,13.21,26/02/2021,24/04/2021,12.87,07/05/2021,8,0.4832,0.0000,0.5168,-1
DIRR3,28/04/2021,13.25,27/02/2021,27/04/2021,13.1,08/05/2021,8,0.5089,0.0000,0.4911,-1
DIRR3,29/04/2021,13,02/03/2021,28/04/2021,13.63,11/05/2021,8,0.5128,0.0000,0.4872,-1
DIRR3,30/04/2021,12.96,03/03/2021,29/04/2021,13.25,12/05/2021,8,0.4872,0.0000,0.5128,-1
DIRR3,01/05/2021,12.8,04/03/2021,30/04/2021,13.15,13/05/2021,8,0.4872,0.0000,0.5128,-1
DIRR3,04/05/2021,12.99,05/03/2021,01/05/2021,13.63,11/05/2021,5,0.4634,0.0000,0.5366,0
DIRR3,05/05/2021,12.91,06/03/2021,04/05/2021,13.25,12/05/2021,5,0.5110,0.0000,0.4890,-1
DIRR3,06/05/2021,12.75,09/03/2021,05/05/2021,14.44,18/05/2021,8,0.4872,0.0000,0.5128,-1
DIRR3,07/05/2021,12.87,10/03/2021,06/05/2021,13.28,14/05/2021,5,0.4634,0.0000,0.5366,0
DIRR3,08/05/2021,13.1,11/03/2021,07/05/2021,14.25,20/05/2021,8,0.4872,0.0000,0.5128,-1
DIRR3,11/05/2021,13.63,12/03/2021,08/05/2021,13.36,21/05/2021,8,0.4872,0.0000,0.5128,-1
