Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
ENGI11,05/01/2021,50.6,04/11/2020,31/12/2020,47.58,08/01/2021,3,0.6410,0.0000,0.3590,0
ENGI11,06/01/2021,50.99,05/11/2020,05/01/2021,47.17,13/01/2021,5,0.5902,0.0000,0.4098,0
ENGI11,07/01/2021,49.34,06/11/2020,06/01/2021,47.25,14/01/2021,5,0.6154,0.0000,0.3846,0
ENGI11,08/01/2021,47.58,07/11/2020,07/01/2021,48.9,15/01/2021,5,0.5897,0.0000,0.4103,1
ENGI11,09/01/2021,49.43,10/11/2020,08/01/2021,47.25,14/01/2021,3,0.5640,0.0000,0.4360,0
ENGI11,12/01/2021,47.02,11/11/2020,09/01/2021,47.65,19/01/2021,5,0.6150,0.0000,0.3850,1
ENGI11,13/01/2021,47.17,12/11/2020,12/01/2021,47.76,20/01/2021,5,0.5897,0.0000,0.4103,1
ENGI11,14/01/2021,47.25,13/11/2020,13/01/2021,47.63,21/01/2021,5,0.6154,0.0000,0.3846,1
ENGI11,15/01/2021,48.9,14/11/2020,14/01/2021,47.84,22/01/2021,5,0.6154,0.0000,0.3846,0
ENGI11,16/01/2021,48.4,17/11/2020,15/01/2021,47.66,23/01/2021,5,0.6154,0.0000,0.3846,0
ENGI11,19/01/2021,47.65,18/11/2020,16/01/2021,47.67,27/01/2021,5,0.5897,0.0000,0.4103,1
ENGI11,20/01/2021,47.76,19/11/2020,19/01/2021,49.54,28/01/2021,5,0.5897,0.0000,0.4103,1
ENGI11,21/01/2021,47.63,20/11/2020,20/01/2021,50.78,03/02/2021,8,0.6377,0.0000,0.3623,1
ENGI11,22/01/2021,47.84,21/11/2020,21/01/2021,52,04/02/2021,8,0.6154,0.0000,0.3846,1
ENGI11,23/01/2021,47.66,24/11/2020,22/01/2021,50.76,05/02/2021,8,0.6410,0.0000,0.3590,1
ENGI11,27/01/2021,47.67,25/11/2020,23/01/2021,50.11,06/02/2021,8,0.5946,0.0000,0.4054,1
ENGI11,28/01/2021,49.54,26/11/2020,27/01/2021,51.14,13/02/2021,12,0.6154,0.0000,0.3846,1
ENGI11,29/01/2021,50.69,27/11/2020,28/01/2021,50.56,18/02/2021,12,0.6358,0.0000,0.3642,0
