Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
EQTL3,05/01/2021,22.75,04/11/2020,31/12/2020,22.06,12/01/2021,5,0.6154,0.0000,0.3846,0
EQTL3,06/01/2021,22.8,05/11/2020,05/01/2021,22.51,09/01/2021,3,0.5640,0.0000,0.4360,0
EQTL3,07/01/2021,22.27,06/11/2020,06/01/2021,22.39,14/01/2021,5,0.5897,0.0000,0.4103,1
EQTL3,08/01/2021,21.83,07/11/2020,07/01/2021,23.21,15/01/2021,5,0.5641,0.0000,0.4359,1
EQTL3,09/01/2021,22.51,10/11/2020,08/01/2021,23.36,16/01/2021,5,0.5380,0.0000,0.4620,1
EQTL3,12/01/2021,22.06,11/11/2020,09/01/2021,23.21,15/01/2021,3,0.5898,0.0000,0.4102,1
EQTL3,13/01/2021,22.06,12/11/2020,12/01/2021,22.77,20/01/2021,5,0.5641,0.0000,0.4359,1
EQTL3,14/01/2021,22.39,13/11/2020,13/01/2021,23.34,09/02/2021,17,0.5500,0.0500,0.4000,1
EQTL3,15/01/2021,23.21,14/11/2020,14/01/2021,22.14,28/01/2021,8,0.5641,0.0256,0.4103,0
EQTL3,16/01/2021,23.36,17/11/2020,15/01/2021,22.75,29/01/2021,8,0.5641,0.0256,0.4103,0
EQTL3,19/01/2021,22.86,18/11/2020,16/01/2021,21.87,27/01/2021,5,0.5773,0.0249,0.3978,0
EQTL3,20/01/2021,22.77,19/11/2020,19/01/2021,22.6,02/02/2021,8,0.5380,0.0272,0.4348,0
EQTL3,21/01/2021,22.28,20/11/2020,20/01/2021,22.75,29/01/2021,5,0.5242,0.0264,0.4493,1
EQTL3,22/01/2021,22,21/11/2020,21/01/2021,22.52,30/01/2021,5,0.5242,0.0264,0.4493,1
EQTL3,23/01/2021,22,24/11/2020,22/01/2021,23.32,05/02/2021,8,0.5091,0.0273,0.4636,-1
EQTL3,27/01/2021,21.87,25/11/2020,23/01/2021,23.49,06/02/2021,8,0.5000,0.0750,0.4250,1
EQTL3,28/01/2021,22.14,26/11/2020,27/01/2021,23.24,04/02/2021,5,0.4680,0.0532,0.4788,-1
EQTL3,29/01/2021,22.75,27/11/2020,28/01/2021,23.51,10/02/2021,8,0.4963,0.0504,0.4534,-1
EQTL3,30/01/2021,22.52,28/11/2020,29/01/2021,23.31,11/02/2021,8,0.5072,0.0493,0.4435,1
EQTL3,02/02/2021,22.6,01/12/2020,30/01/2021,23.34,09/02/2021,5,0.4680,0.0532,0.4788,-1
EQTL3,03/02/2021,22.82,02/12/2020,02/02/2021,23.56,13/02/2021,8,0.4963,0.0504,0.4534,-1
EQTL3,04/02/2021,23.24,03/12/2020,03/02/2021,22.95,18/02/2021,8,0.4963,0.0504,0.4534,-1
EQTL3,05/02/2021,23.32,04/12/2020,04/02/2021,22.99,19/02/2021,8,0.5072,0.0493,0.4435,0
EQTL3,06/02/2021,23.49,05/12/2020,05/02/2021,22.64,20/02/2021,8,0.5328,0.0492,0.4180,0
EQTL3,09/02/2021,23.34,08/12/2020,06/02/2021,21.87,23/02/2021,8,0.5583,0.0491,0.3926,0
EQTL3,10/02/2021,23.51,09/12/2020,09/02/2021,21.83,24/02/2021,8,0.5291,0.0523,0.4186,0
EQTL3,11/02/2021,23.31,10/12/2020,10/02/2021,21.62,25/02/2021,8,0.5730,0.0502,0.3767,0
EQTL3,12/02/2021,23.39,11/12/2020,11/02/2021,20.66,26/02/2021,8,0.5213,0.0532,0.4255,0
EQTL3,13/02/2021,23.56,12/12/2020,12/02/2021,20.1,27/02/2021,8,0.5562,0.0493,0.3945,0
EQTL3,18/02/2021,22.95,15/12/2020,13/02/2021,19.87,02/03/2021,8,0.5730,0.0502,0.3767,0
EQTL3,19/02/2021,22.99,16/12/2020,18/02/2021,20.11,03/03/2021,8,0.5213,0.0532,0.4255,0
EQTL3,20/02/2021,22.64,17/12/2020,19/02/2021,20.24,04/03/2021,8,0.5466,0.0504,0.4030,0
EQTL3,23/02/2021,21.87,18/12/2020,20/02/2021,20.95,11/03/2021,12,0.5043,0.0522,0.4435,0
EQTL3,24/02/2021,21.83,19/12/2020,23/02/2021,21.13,12/03/2021,12,0.5043,0.0522,0.4435,0
EQTL3,25/02/2021,21.62,22/12/2020,24/02/2021,20.58,09/03/2021,8,0.4956,0.0531,0.4513,-1
EQTL3,26/02/2021,20.66,23/12/2020,25/02/2021,20.59,10/03/2021,8,0.4700,0.0530,0.4770,-1
EQTL3,27/02/2021,20.1,24/12/2020,26/02/2021,20.95,11/03/2021,8,0.4444,0.0529,0.5026,0
EQTL3,02/03/2021,19.87,29/12/2020,27/02/2021,21.13,12/03/2021,8,0.4266,0.0521,0.5212,0
EQTL3,03/03/2021,20.11,30/12/2020,02/03/2021,21.19,13/03/2021,8,0.4171,0.0530,0.5299,0
EQTL3,04/03/2021,20.24,31/12/2020,03/03/2021,21.4,16/03/2021,8,0.4557,0.0495,0.4948,-1
EQTL3,05/03/2021,20.93,05/01/2021,04/03/2021,21.13,12/03/2021,5,0.4717,0.0503,0.4780,-1
EQTL3,06/03/2021,21.14,06/01/2021,05/03/2021,21.94,18/03/2021,8,0.4842,0.0491,0.4667,-1
