Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
FLRY3,05/01/2021,27,04/11/2020,31/12/2020,25.87,08/01/2021,3,0.4102,0.0000,0.5898,1
FLRY3,06/01/2021,26.56,05/11/2020,05/01/2021,27.76,13/01/2021,5,0.3850,0.0000,0.6150,0
FLRY3,07/01/2021,25.93,06/11/2020,06/01/2021,27.68,14/01/2021,5,0.3846,0.0000,0.6154,0
FLRY3,08/01/2021,25.87,07/11/2020,07/01/2021,27.84,15/01/2021,5,0.3846,0.0000,0.6154,0
FLRY3,09/01/2021,27.39,10/11/2020,08/01/2021,28.03,16/01/2021,5,0.3846,0.0000,0.6154,0
FLRY3,12/01/2021,26.8,11/11/2020,09/01/2021,27.84,15/01/2021,3,0.4360,0.0000,0.5640,0
FLRY3,13/01/2021,27.76,12/11/2020,12/01/2021,27.53,20/01/2021,5,0.4103,0.0000,0.5897,1
FLRY3,14/01/2021,27.68,13/11/2020,13/01/2021,27.22,21/01/2021,5,0.4359,0.0000,0.5641,1
FLRY3,15/01/2021,27.84,14/11/2020,14/01/2021,26.55,28/01/2021,8,0.3874,0.0000,0.6126,1
FLRY3,16/01/2021,28.03,17/11/2020,15/01/2021,26.89,29/01/2021,8,0.4335,0.0000,0.5665,1
FLRY3,19/01/2021,27.91,18/11/2020,16/01/2021,26.26,30/01/2021,8,0.4595,0.0000,0.5405,1
FLRY3,20/01/2021,27.53,19/11/2020,19/01/2021,27.28,02/02/2021,8,0.4126,0.0000,0.5874,1
FLRY3,21/01/2021,27.22,20/11/2020,20/01/2021,26.89,29/01/2021,5,0.4103,0.0000,0.5897,1
FLRY3,22/01/2021,26.93,21/11/2020,21/01/2021,26.26,30/01/2021,5,0.4103,0.0000,0.5897,1
FLRY3,23/01/2021,26.67,24/11/2020,22/01/2021,27.28,02/02/2021,5,0.4103,0.0000,0.5897,0
FLRY3,27/01/2021,26.72,25/11/2020,23/01/2021,28.7,03/02/2021,5,0.3850,0.0000,0.6150,0
FLRY3,28/01/2021,26.55,26/11/2020,27/01/2021,27.28,02/02/2021,3,0.4360,0.0000,0.5640,0
FLRY3,29/01/2021,26.89,27/11/2020,28/01/2021,27.95,05/02/2021,5,0.3850,0.0000,0.6150,0
FLRY3,30/01/2021,26.26,28/11/2020,29/01/2021,28.34,04/02/2021,3,0.4360,0.0000,0.5640,0
FLRY3,02/02/2021,27.28,01/12/2020,30/01/2021,27.96,09/02/2021,5,0.4103,0.0000,0.5897,0
