Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
GOAU4,05/01/2021,11.8,04/11/2020,31/12/2020,12.66,12/01/2021,5,0.5641,0.0000,0.4359,1
GOAU4,06/01/2021,12.06,05/11/2020,05/01/2021,12.44,13/01/2021,5,0.5897,0.0000,0.4103,1
GOAU4,07/01/2021,12.55,06/11/2020,06/01/2021,12.12,14/01/2021,5,0.5897,0.0000,0.4103,0
GOAU4,08/01/2021,13.1,07/11/2020,07/01/2021,12.46,15/01/2021,5,0.6150,0.0000,0.3850,0
GOAU4,09/01/2021,12.88,10/11/2020,08/01/2021,11.8,16/01/2021,5,0.6400,0.0000,0.3600,0
GOAU4,12/01/2021,12.66,11/11/2020,09/01/2021,11.89,19/01/2021,5,0.5902,0.0000,0.4098,0
GOAU4,13/01/2021,12.44,12/11/2020,12/01/2021,11.59,20/01/2021,5,0.5897,0.0000,0.4103,0
GOAU4,14/01/2021,12.12,13/11/2020,13/01/2021,11.41,21/01/2021,5,0.5610,0.0000,0.4390,0
GOAU4,15/01/2021,12.46,14/11/2020,14/01/2021,10.74,28/01/2021,8,0.5350,0.0000,0.4650,0
GOAU4,16/01/2021,11.8,17/11/2020,15/01/2021,11.59,23/01/2021,5,0.5641,0.0000,0.4359,0
GOAU4,19/01/2021,11.89,18/11/2020,16/01/2021,10.58,30/01/2021,8,0.5385,0.0000,0.4615,0
GOAU4,20/01/2021,11.59,19/11/2020,19/01/2021,10.74,28/01/2021,5,0.5641,0.0000,0.4359,0
GOAU4,21/01/2021,11.41,20/11/2020,20/01/2021,10.98,29/01/2021,5,0.5122,0.0000,0.4878,-1
GOAU4,22/01/2021,11.43,21/11/2020,21/01/2021,10.58,30/01/2021,5,0.4865,0.0000,0.5135,-1
GOAU4,23/01/2021,11.59,24/11/2020,22/01/2021,10.67,02/02/2021,5,0.5128,0.0000,0.4872,-1
GOAU4,27/01/2021,10.92,25/11/2020,23/01/2021,10.52,03/02/2021,5,0.5391,0.0000,0.4609,0
GOAU4,28/01/2021,10.74,26/11/2020,27/01/2021,10.82,04/02/2021,5,0.4865,0.0000,0.5135,-1
GOAU4,29/01/2021,10.98,27/11/2020,28/01/2021,10.62,05/02/2021,5,0.4872,0.0000,0.5128,-1
GOAU4,30/01/2021,10.58,28/11/2020,29/01/2021,11.02,06/02/2021,5,0.5391,0.0000,0.4609,1
GOAU4,02/02/2021,10.67,01/12/2020,30/01/2021,10.91,09/02/2021,5,0.4865,0.0000,0.5135,-1
GOAU4,03/02/2021,10.52,02/12/2020,02/02/2021,11.07,10/02/2021,5,0.5391,0.0000,0.4609,1
GOAU4,04/02/2021,10.82,03/12/2020,03/02/2021,10.77,11/02/2021,5,0.5128,0.0000,0.4872,-1
GOAU4,05/02/2021,10.62,04/12/2020,04/02/2021,10.97,12/02/2021,5,0.5385,0.0000,0.4615,1
GOAU4,06/02/2021,11.02,05/12/2020,05/02/2021,10.95,13/02/2021,5,0.4890,0.0000,0.5110,-1
GOAU4,09/02/2021,10.91,08/12/2020,06/02/2021,11.18,18/02/2021,5,0.5366,0.0000,0.4634,1
GOAU4,10/02/2021,11.07,09/12/2020,09/02/2021,11.7,24/02/2021,8,0.5128,0.0000,0.4872,-1
GOAU4,11/02/2021,10.77,10/12/2020,10/02/2021,12.21,25/02/2021,8,0.5385,0.0000,0.4615,1
GOAU4,12/02/2021,10.97,11/12/2020,11/02/2021,11.72,26/02/2021,8,0.5128,0.0000,0.4872,-1
GOAU4,13/02/2021,10.95,12/12/2020,12/02/2021,11.58,27/02/2021,8,0.5600,0.0000,0.4400,1
GOAU4,18/02/2021,11.18,15/12/2020,13/02/2021,11.91,02/03/2021,8,0.5168,0.0000,0.4832,-1
GOAU4,19/02/2021,11.07,16/12/2020,18/02/2021,12.14,09/03/2021,12,0.5385,0.0000,0.4615,1
GOAU4,20/02/2021,11.28,17/12/2020,19/02/2021,12.26,10/03/2021,12,0.4928,0.0000,0.5072,-1
GOAU4,23/02/2021,11.2,18/12/2020,20/02/2021,12.17,11/03/2021,12,0.5128,0.0000,0.4872,-1
GOAU4,24/02/2021,11.7,19/12/2020,23/02/2021,12.42,12/03/2021,12,0.4872,0.0000,0.5128,-1
GOAU4,25/02/2021,12.21,22/12/2020,24/02/2021,12.2,13/03/2021,12,0.5313,0.0000,0.4687,0
GOAU4,26/02/2021,11.72,23/12/2020,25/02/2021,12.61,16/03/2021,12,0.5385,0.0000,0.4615,1
GOAU4,27/02/2021,11.58,24/12/2020,26/02/2021,12.84,17/03/2021,12,0.4943,0.0000,0.5057,-1
GOAU4,02/03/2021,11.91,29/12/2020,27/02/2021,13.03,18/03/2021,12,0.4687,0.0000,0.5313,0
GOAU4,03/03/2021,12.05,30/12/2020,02/03/2021,12.82,19/03/2021,12,0.5057,0.0000,0.4943,-1
GOAU4,04/03/2021,12.03,31/12/2020,03/03/2021,12.72,20/03/2021,12,0.5128,0.0000,0.4872,-1
GOAU4,05/03/2021,12.13,05/01/2021,04/03/2021,12.38,23/03/2021,12,0.4687,0.0000,0.5313,0
GOAU4,06/03/2021,12.48,06/01/2021,05/03/2021,13.09,31/03/2021,17,0.4872,0.0000,0.5128,-1
GOAU4,09/03/2021,12.14,07/01/2021,06/03/2021,13.41,01/04/2021,17,0.4872,0.0000,0.5128,-1
GOAU4,10/03/2021,12.26,08/01/2021,09/03/2021,12.94,02/04/2021,17,0.4615,0.0000,0.5385,0
GOAU4,11/03/2021,12.17,09/01/2021,10/03/2021,13.13,06/04/2021,17,0.5044,0.0000,0.4956,-1
GOAU4,12/03/2021,12.42,12/01/2021,11/03/2021,13.37,07/04/2021,17,0.4872,0.0000,0.5128,-1
GOAU4,13/03/2021,12.2,13/01/2021,12/03/2021,14.67,16/04/2021,23,0.5289,0.0000,0.4711,1
GOAU4,16/03/2021,12.61,14/01/2021,13/03/2021,14.81,17/04/2021,23,0.4967,0.0000,0.5033,-1
GOAU4,17/03/2021,12.84,15/01/2021,16/03/2021,14.76,20/04/2021,23,0.5289,0.0000,0.4711,1
GOAU4,18/03/2021,13.03,16/01/2021,17/03/2021,14.62,21/04/2021,23,0.5385,0.0000,0.4615,1
GOAU4,19/03/2021,12.82,19/01/2021,18/03/2021,15.08,23/04/2021,23,0.5556,0.0000,0.4444,1
