Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
HYPE3,05/01/2021,33.13,04/11/2020,31/12/2020,34.7,15/01/2021,8,0.5426,0.0000,0.4574,1
HYPE3,06/01/2021,34.23,05/11/2020,05/01/2021,34.8,16/01/2021,8,0.5168,0.0000,0.4832,-1
HYPE3,07/01/2021,33.44,06/11/2020,06/01/2021,34.65,23/01/2021,12,0.5385,0.0000,0.4615,1
HYPE3,08/01/2021,33.43,07/11/2020,07/01/2021,34.24,27/01/2021,12,0.4928,0.0000,0.5072,-1
HYPE3,09/01/2021,35.31,10/11/2020,08/01/2021,34.99,21/01/2021,8,0.4872,0.0000,0.5128,-1
HYPE3,12/01/2021,34.1,11/11/2020,09/01/2021,34.2,29/01/2021,12,0.5328,0.0000,0.4672,1
HYPE3,13/01/2021,34.87,12/11/2020,12/01/2021,32.29,30/01/2021,12,0.5128,0.0000,0.4872,-1
HYPE3,14/01/2021,34.99,13/11/2020,13/01/2021,33.06,02/02/2021,12,0.5385,0.0000,0.4615,0
HYPE3,15/01/2021,34.7,14/11/2020,14/01/2021,33.25,03/02/2021,12,0.5583,0.0000,0.4417,0
HYPE3,16/01/2021,34.8,17/11/2020,15/01/2021,33.02,04/02/2021,12,0.5185,0.0000,0.4815,-1
HYPE3,19/01/2021,34.67,18/11/2020,16/01/2021,33.21,05/02/2021,12,0.5583,0.0000,0.4417,0
HYPE3,20/01/2021,35.41,19/11/2020,19/01/2021,33,06/02/2021,12,0.5185,0.0000,0.4815,-1
HYPE3,21/01/2021,34.99,20/11/2020,20/01/2021,33.02,09/02/2021,12,0.5385,0.0000,0.4615,0
HYPE3,22/01/2021,34.73,21/11/2020,21/01/2021,32.81,10/02/2021,12,0.5128,0.0000,0.4872,-1
HYPE3,23/01/2021,34.65,24/11/2020,22/01/2021,32.76,11/02/2021,12,0.4928,0.0000,0.5072,-1
HYPE3,27/01/2021,34.24,25/11/2020,23/01/2021,33.83,12/02/2021,12,0.4672,0.0000,0.5328,1
HYPE3,28/01/2021,33.36,26/11/2020,27/01/2021,33.82,13/02/2021,12,0.4417,0.0000,0.5583,0
HYPE3,29/01/2021,34.2,27/11/2020,28/01/2021,32.81,10/02/2021,8,0.4359,0.0000,0.5641,1
HYPE3,30/01/2021,32.29,28/11/2020,29/01/2021,32.76,11/02/2021,8,0.4615,0.0000,0.5385,0
HYPE3,02/02/2021,33.06,01/12/2020,30/01/2021,33.83,12/02/2021,8,0.4359,0.0000,0.5641,0
HYPE3,03/02/2021,33.25,02/12/2020,02/02/2021,33.82,13/02/2021,8,0.4615,0.0000,0.5385,0
HYPE3,04/02/2021,33.02,03/12/2020,03/02/2021,33.93,18/02/2021,8,0.4832,0.0000,0.5168,-1
HYPE3,05/02/2021,33.21,04/12/2020,04/02/2021,33.99,19/02/2021,8,0.4400,0.0000,0.5600,0
HYPE3,06/02/2021,33,05/12/2020,05/02/2021,34.42,20/02/2021,8,0.4832,0.0000,0.5168,-1
HYPE3,09/02/2021,33.02,08/12/2020,06/02/2021,33.66,23/02/2021,8,0.4400,0.0000,0.5600,0
HYPE3,10/02/2021,32.81,09/12/2020,09/02/2021,33.76,24/02/2021,8,0.4832,0.0000,0.5168,-1
HYPE3,11/02/2021,32.76,10/12/2020,10/02/2021,32.03,03/03/2021,12,0.4615,0.0000,0.5385,1
HYPE3,12/02/2021,33.83,11/12/2020,11/02/2021,33.34,26/02/2021,8,0.4400,0.0000,0.5600,1
HYPE3,13/02/2021,33.82,12/12/2020,12/02/2021,32.78,27/02/2021,8,0.4832,0.0000,0.5168,-1
HYPE3,18/02/2021,33.93,15/12/2020,13/02/2021,31.45,02/03/2021,8,0.4400,0.0000,0.5600,1
HYPE3,19/02/2021,33.99,16/12/2020,18/02/2021,32.03,03/03/2021,8,0.4615,0.0000,0.5385,1
HYPE3,20/02/2021,34.42,17/12/2020,19/02/2021,31.23,04/03/2021,8,0.4615,0.0000,0.5385,1
HYPE3,23/02/2021,33.66,18/12/2020,20/02/2021,31.44,05/03/2021,8,0.4832,0.0000,0.5168,-1
HYPE3,24/02/2021,33.76,19/12/2020,23/02/2021,31.79,12/03/2021,12,0.4615,0.0000,0.5385,1
HYPE3,25/02/2021,33.79,22/12/2020,24/02/2021,30.52,09/03/2021,8,0.4872,0.0000,0.5128,-1
HYPE3,26/02/2021,33.34,23/12/2020,25/02/2021,31.08,10/03/2021,8,0.4872,0.0000,0.5128,-1
HYPE3,27/02/2021,32.78,24/12/2020,26/02/2021,31.53,17/03/2021,12,0.4417,0.0000,0.5583,1
HYPE3,02/03/2021,31.45,29/12/2020,27/02/2021,31.79,12/03/2021,8,0.4359,0.0000,0.5641,0
HYPE3,03/03/2021,32.03,30/12/2020,02/03/2021,31.47,13/03/2021,8,0.4359,0.0000,0.5641,1
HYPE3,04/03/2021,31.23,31/12/2020,03/03/2021,32.87,20/03/2021,12,0.4815,0.0000,0.5185,-1
HYPE3,05/03/2021,31.44,05/01/2021,04/03/2021,33.05,23/03/2021,12,0.4417,0.0000,0.5583,0
HYPE3,06/03/2021,31.71,06/01/2021,05/03/2021,32.67,24/03/2021,12,0.4815,0.0000,0.5185,-1
HYPE3,09/03/2021,30.52,07/01/2021,06/03/2021,31.7,25/03/2021,12,0.5072,0.0000,0.4928,-1
HYPE3,10/03/2021,31.08,08/01/2021,09/03/2021,32.43,26/03/2021,12,0.4672,0.0000,0.5328,0
HYPE3,11/03/2021,31.16,09/01/2021,10/03/2021,32.35,27/03/2021,12,0.5072,0.0000,0.4928,-1
HYPE3,12/03/2021,31.79,12/01/2021,11/03/2021,32.67,24/03/2021,8,0.5128,0.0000,0.4872,-1
HYPE3,13/03/2021,31.47,13/01/2021,12/03/2021,31.7,25/03/2021,8,0.5128,0.0000,0.4872,-1
HYPE3,16/03/2021,31.84,14/01/2021,13/03/2021,32.43,26/03/2021,8,0.4872,0.0000,0.5128,-1
HYPE3,17/03/2021,31.53,15/01/2021,16/03/2021,32.35,27/03/2021,8,0.5128,0.0000,0.4872,-1
HYPE3,18/03/2021,32.33,16/01/2021,17/03/2021,32.2,30/03/2021,8,0.4872,0.0000,0.5128,-1
HYPE3,19/03/2021,31.62,19/01/2021,18/03/2021,32.49,31/03/2021,8,0.5128,0.0000,0.4872,-1
HYPE3,20/03/2021,32.87,20/01/2021,19/03/2021,32.03,01/04/2021,8,0.4872,0.0000,0.5128,-1
HYPE3,23/03/2021,33.05,21/01/2021,20/03/2021,33.85,09/04/2021,12,0.5328,0.0000,0.4672,1
HYPE3,24/03/2021,32.67,22/01/2021,23/03/2021,33.43,10/04/2021,12,0.5583,0.0000,0.4417,1
HYPE3,25/03/2021,31.7,23/01/2021,24/03/2021,34.19,13/04/2021,12,0.5385,0.0000,0.4615,1
HYPE3,26/03/2021,32.43,27/01/2021,25/03/2021,35.1,14/04/2021,12,0.5385,0.0000,0.4615,1
HYPE3,27/03/2021,32.35,28/01/2021,26/03/2021,34.33,15/04/2021,12,0.5641,0.0000,0.4359,1
HYPE3,30/03/2021,32.2,29/01/2021,27/03/2021,34.93,16/04/2021,12,0.5385,0.0000,0.4615,1
HYPE3,31/03/2021,32.49,30/01/2021,30/03/2021,35.4,17/04/2021,12,0.5185,0.0000,0.4815,-1
HYPE3,01/04/2021,32.03,02/02/2021,31/03/2021,35.2,20/04/2021,12,0.5385,0.0000,0.4615,1
HYPE3,02/04/2021,31.8,03/02/2021,01/04/2021,34.8,21/04/2021,12,0.5128,0.0000,0.4872,-1
HYPE3,06/04/2021,33.12,04/02/2021,02/04/2021,35.12,23/04/2021,12,0.4928,0.0000,0.5072,-1
HYPE3,07/04/2021,32.63,05/02/2021,06/04/2021,35.68,24/04/2021,12,0.5328,0.0000,0.4672,1
HYPE3,08/04/2021,32.78,06/02/2021,07/04/2021,35.02,27/04/2021,12,0.4928,0.0000,0.5072,-1
HYPE3,09/04/2021,33.85,09/02/2021,08/04/2021,34.65,28/04/2021,12,0.5328,0.0000,0.4672,1
HYPE3,10/04/2021,33.43,10/02/2021,09/04/2021,34.68,29/04/2021,12,0.5583,0.0000,0.4417,1
HYPE3,13/04/2021,34.19,11/02/2021,10/04/2021,35.09,30/04/2021,12,0.5185,0.0000,0.4815,-1
HYPE3,14/04/2021,35.1,12/02/2021,13/04/2021,34.66,01/05/2021,12,0.5583,0.0000,0.4417,0
HYPE3,15/04/2021,34.33,13/02/2021,14/04/2021,34.65,28/04/2021,8,0.5641,0.0000,0.4359,1
HYPE3,16/04/2021,34.93,18/02/2021,15/04/2021,34.1,05/05/2021,12,0.5185,0.0000,0.4815,-1
HYPE3,17/04/2021,35.4,19/02/2021,16/04/2021,34.78,06/05/2021,12,0.5385,0.0000,0.4615,0
HYPE3,20/04/2021,35.2,20/02/2021,17/04/2021,33.78,07/05/2021,12,0.5583,0.0000,0.4417,0
HYPE3,21/04/2021,34.8,23/02/2021,20/04/2021,34.72,08/05/2021,12,0.5185,0.0000,0.4815,-1
HYPE3,23/04/2021,35.12,24/02/2021,21/04/2021,33.97,11/05/2021,12,0.4928,0.0000,0.5072,-1
HYPE3,24/04/2021,35.68,25/02/2021,23/04/2021,33.89,12/05/2021,12,0.5328,0.0000,0.4672,0
HYPE3,27/04/2021,35.02,26/02/2021,24/04/2021,33.17,13/05/2021,12,0.5583,0.0000,0.4417,0
HYPE3,28/04/2021,34.65,27/02/2021,27/04/2021,33.8,14/05/2021,12,0.5385,0.0000,0.4615,0
HYPE3,29/04/2021,34.68,02/03/2021,28/04/2021,33.73,15/05/2021,12,0.5185,0.0000,0.4815,-1
HYPE3,30/04/2021,35.09,03/03/2021,29/04/2021,34.61,18/05/2021,12,0.5583,0.0000,0.4417,0
HYPE3,01/05/2021,34.66,04/03/2021,30/04/2021,33.17,13/05/2021,8,0.5641,0.0000,0.4359,0
HYPE3,04/05/2021,34.34,05/03/2021,01/05/2021,35.08,20/05/2021,12,0.5185,0.0000,0.4815,-1
HYPE3,05/05/2021,34.1,06/03/2021,04/05/2021,33.73,15/05/2021,8,0.5128,0.0000,0.4872,-1
HYPE3,06/05/2021,34.78,09/03/2021,05/05/2021,34.61,18/05/2021,8,0.4911,0.0000,0.5089,-1
HYPE3,07/05/2021,33.78,10/03/2021,06/05/2021,34.3,19/05/2021,8,0.5128,0.0000,0.4872,-1
HYPE3,08/05/2021,34.72,11/03/2021,07/05/2021,35.62,26/05/2021,12,0.4672,0.0000,0.5328,0
HYPE3,11/05/2021,33.97,12/03/2021,08/05/2021,35.15,27/05/2021,12,0.5072,0.0000,0.4928,-1
HYPE3,12/05/2021,33.89,13/03/2021,11/05/2021,36.01,28/05/2021,12,0.4672,0.0000,0.5328,0
HYPE3,13/05/2021,33.17,16/03/2021,12/05/2021,36.2,29/05/2021,12,0.4615,0.0000,0.5385,0
HYPE3,14/05/2021,33.8,17/03/2021,13/05/2021,35.62,26/05/2021,8,0.4400,0.0000,0.5600,0
HYPE3,15/05/2021,33.73,18/03/2021,14/05/2021,35.15,27/05/2021,8,0.4832,0.0000,0.5168,-1
HYPE3,18/05/2021,34.61,19/03/2021,15/05/2021,36.01,28/05/2021,8,0.4400,0.0000,0.5600,0
HYPE3,19/05/2021,34.3,20/03/2021,18/05/2021,36.2,29/05/2021,8,0.4615,0.0000,0.5385,0
HYPE3,20/05/2021,35.08,23/03/2021,19/05/2021,36.4,01/06/2021,8,0.4359,0.0000,0.5641,0
HYPE3,21/05/2021,35.39,24/03/2021,20/05/2021,35.81,09/06/2021,12,0.4815,0.0000,0.5185,-1
HYPE3,22/05/2021,35.81,25/03/2021,21/05/2021,36.23,03/06/2021,8,0.4872,0.0000,0.5128,-1
HYPE3,25/05/2021,35.68,26/03/2021,22/05/2021,35.85,05/06/2021,8,0.5089,0.0000,0.4911,-1
HYPE3,26/05/2021,35.62,27/03/2021,25/05/2021,36.98,08/06/2021,8,0.4872,0.0000,0.5128,-1
HYPE3,27/05/2021,35.15,30/03/2021,26/05/2021,35.81,09/06/2021,8,0.4655,0.0000,0.5345,0
HYPE3,28/05/2021,36.01,31/03/2021,27/05/2021,35.3,10/06/2021,8,0.4615,0.0000,0.5385,1
HYPE3,29/05/2021,36.2,01/04/2021,28/05/2021,36.32,11/06/2021,8,0.5089,0.0000,0.4911,-1
HYPE3,01/06/2021,36.4,02/04/2021,29/05/2021,35.23,12/06/2021,8,0.5128,0.0000,0.4872,-1
HYPE3,02/06/2021,36.82,06/04/2021,01/06/2021,35.3,10/06/2021,5,0.5366,0.0000,0.4634,0
HYPE3,03/06/2021,36.23,07/04/2021,02/06/2021,36.32,11/06/2021,5,0.5385,0.0000,0.4615,1
HYPE3,05/06/2021,35.85,08/04/2021,03/06/2021,35.23,12/06/2021,5,0.4890,0.0000,0.5110,-1
HYPE3,08/06/2021,36.98,09/04/2021,05/06/2021,35.41,15/06/2021,5,0.4872,0.0000,0.5128,-1
HYPE3,09/06/2021,35.81,10/04/2021,08/06/2021,35.45,16/06/2021,5,0.5128,0.0000,0.4872,-1
HYPE3,10/06/2021,35.3,13/04/2021,09/06/2021,35.99,17/06/2021,5,0.4634,0.0000,0.5366,0
HYPE3,11/06/2021,36.32,14/04/2021,10/06/2021,36.07,18/06/2021,5,0.4615,0.0000,0.5385,1
HYPE3,12/06/2021,35.23,15/04/2021,11/06/2021,36.3,19/06/2021,5,0.4872,0.0000,0.5128,-1
HYPE3,15/06/2021,35.41,16/04/2021,12/06/2021,36.52,22/06/2021,5,0.4380,0.0000,0.5620,0
HYPE3,16/06/2021,35.45,17/04/2021,15/06/2021,36.64,23/06/2021,5,0.4853,0.0000,0.5147,-1
HYPE3,17/06/2021,35.99,20/04/2021,16/06/2021,36.41,24/06/2021,5,0.5110,0.0000,0.4890,-1
HYPE3,18/06/2021,36.07,21/04/2021,17/06/2021,36.56,25/06/2021,5,0.5128,0.0000,0.4872,-1
HYPE3,19/06/2021,36.3,23/04/2021,18/06/2021,35.3,26/06/2021,5,0.5128,0.0000,0.4872,-1
HYPE3,22/06/2021,36.52,24/04/2021,19/06/2021,35.29,29/06/2021,5,0.5391,0.0000,0.4609,0
HYPE3,23/06/2021,36.64,27/04/2021,22/06/2021,34.8,30/06/2021,5,0.5645,0.0000,0.4355,0
HYPE3,24/06/2021,36.41,28/04/2021,23/06/2021,34.47,01/07/2021,5,0.5641,0.0000,0.4359,0
HYPE3,25/06/2021,36.56,29/04/2021,24/06/2021,34.07,02/07/2021,5,0.5122,0.0000,0.4878,-1
HYPE3,26/06/2021,35.3,30/04/2021,25/06/2021,34.44,03/07/2021,5,0.5645,0.0000,0.4355,0
HYPE3,29/06/2021,35.29,01/05/2021,26/06/2021,34.38,06/07/2021,5,0.5385,0.0000,0.4615,0
HYPE3,30/06/2021,34.8,04/05/2021,29/06/2021,33.88,07/07/2021,5,0.5385,0.0000,0.4615,0
HYPE3,01/07/2021,34.47,05/05/2021,30/06/2021,34.34,08/07/2021,5,0.5122,0.0000,0.4878,-1
HYPE3,02/07/2021,34.07,06/05/2021,01/07/2021,33.95,09/07/2021,5,0.5128,0.0000,0.4872,-1
HYPE3,03/07/2021,34.44,07/05/2021,02/07/2021,35,16/07/2021,8,0.4834,0.0000,0.5166,-1
HYPE3,06/07/2021,34.38,08/05/2021,03/07/2021,35.13,17/07/2021,8,0.5422,0.0000,0.4578,1
HYPE3,07/07/2021,33.88,11/05/2021,06/07/2021,35.38,15/07/2021,5,0.5128,0.0000,0.4872,-1
HYPE3,08/07/2021,34.34,12/05/2021,07/07/2021,35,16/07/2021,5,0.5128,0.0000,0.4872,-1
HYPE3,09/07/2021,33.95,13/05/2021,08/07/2021,35.13,17/07/2021,5,0.5385,0.0000,0.4615,1
HYPE3,13/07/2021,34.27,14/05/2021,09/07/2021,34.9,20/07/2021,5,0.5128,0.0000,0.4872,-1
HYPE3,14/07/2021,36.45,15/05/2021,13/07/2021,34.5,21/07/2021,5,0.5385,0.0000,0.4615,0
HYPE3,15/07/2021,35.38,18/05/2021,14/07/2021,36.25,27/07/2021,8,0.5676,0.0000,0.4324,1
HYPE3,16/07/2021,35,19/05/2021,15/07/2021,35.4,28/07/2021,8,0.5091,0.0000,0.4909,-1
HYPE3,17/07/2021,35.13,20/05/2021,16/07/2021,36.2,29/07/2021,8,0.4834,0.0000,0.5166,-1
HYPE3,20/07/2021,34.9,21/05/2021,17/07/2021,36.25,27/07/2021,5,0.5128,0.0000,0.4872,-1
HYPE3,21/07/2021,34.5,22/05/2021,20/07/2021,35.4,28/07/2021,5,0.4872,0.0000,0.5128,-1
HYPE3,22/07/2021,34.51,25/05/2021,21/07/2021,36.2,29/07/2021,5,0.4872,0.0000,0.5128,-1
HYPE3,23/07/2021,35.3,26/05/2021,22/07/2021,36.48,30/07/2021,5,0.5391,0.0000,0.4609,1
HYPE3,24/07/2021,36.27,27/05/2021,23/07/2021,35.65,31/07/2021,5,0.5385,0.0000,0.4615,0
HYPE3,27/07/2021,36.25,28/05/2021,24/07/2021,37,03/08/2021,5,0.5385,0.0000,0.4615,1
HYPE3,28/07/2021,35.4,29/05/2021,27/07/2021,36.77,04/08/2021,5,0.4865,0.0000,0.5135,-1
HYPE3,29/07/2021,36.2,01/06/2021,28/07/2021,36.88,05/08/2021,5,0.4609,0.0000,0.5391,0
HYPE3,30/07/2021,36.48,02/06/2021,29/07/2021,36.45,06/08/2021,5,0.5135,0.0000,0.4865,-1
HYPE3,31/07/2021,35.65,03/06/2021,30/07/2021,36.38,07/08/2021,5,0.5391,0.0000,0.4609,1
HYPE3,03/08/2021,37,05/06/2021,31/07/2021,36.67,10/08/2021,5,0.4865,0.0000,0.5135,-1
HYPE3,04/08/2021,36.77,08/06/2021,03/08/2021,36.37,11/08/2021,5,0.5391,0.0000,0.4609,0
HYPE3,05/08/2021,36.88,09/06/2021,04/08/2021,36.64,12/08/2021,5,0.5128,0.0000,0.4872,-1
HYPE3,06/08/2021,36.45,10/06/2021,05/08/2021,36.18,13/08/2021,5,0.5385,0.0000,0.4615,0
HYPE3,07/08/2021,36.38,11/06/2021,06/08/2021,36.57,14/08/2021,5,0.5128,0.0000,0.4872,-1
HYPE3,10/08/2021,36.67,12/06/2021,07/08/2021,35.49,17/08/2021,5,0.4865,0.0000,0.5135,-1
HYPE3,11/08/2021,36.37,15/06/2021,10/08/2021,34.54,18/08/2021,5,0.5128,0.0000,0.4872,-1
HYPE3,12/08/2021,36.64,16/06/2021,11/08/2021,34.02,19/08/2021,5,0.4634,0.0000,0.5366,1
HYPE3,13/08/2021,36.18,17/06/2021,12/08/2021,34.79,25/08/2021,8,0.4872,0.0000,0.5128,-1
HYPE3,14/08/2021,36.57,18/06/2021,13/08/2021,35.03,26/08/2021,8,0.4400,0.0000,0.5600,1
HYPE3,17/08/2021,35.49,19/06/2021,14/08/2021,34.54,27/08/2021,8,0.4615,0.0000,0.5385,1
HYPE3,18/08/2021,34.54,22/06/2021,17/08/2021,34.08,03/09/2021,12,0.4163,0.0000,0.5837,1
HYPE3,19/08/2021,34.02,23/06/2021,18/08/2021,34.48,04/09/2021,12,0.4103,0.0000,0.5897,0
HYPE3,20/08/2021,35.08,24/06/2021,19/08/2021,35.57,01/09/2021,8,0.3894,0.0000,0.6106,0
