Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
ITSA4,05/01/2021,11.55,04/11/2020,31/12/2020,11.85,12/01/2021,5,0.6164,0.0000,0.3836,1
ITSA4,06/01/2021,11.46,05/11/2020,05/01/2021,11.94,13/01/2021,5,0.5902,0.0000,0.4098,1
ITSA4,07/01/2021,11.71,06/11/2020,06/01/2021,11.85,12/01/2021,3,0.5640,0.0000,0.4360,1
ITSA4,08/01/2021,12.16,07/11/2020,07/01/2021,12.08,15/01/2021,5,0.5897,0.0000,0.4103,0
ITSA4,09/01/2021,12.13,10/11/2020,08/01/2021,11.61,16/01/2021,5,0.5897,0.0000,0.4103,0
ITSA4,12/01/2021,11.85,11/11/2020,09/01/2021,11.63,19/01/2021,5,0.5641,0.0000,0.4359,0
ITSA4,13/01/2021,11.94,12/11/2020,12/01/2021,11.45,20/01/2021,5,0.5641,0.0000,0.4359,0
ITSA4,14/01/2021,11.82,13/11/2020,13/01/2021,11.27,21/01/2021,5,0.5897,0.0000,0.4103,0
ITSA4,15/01/2021,12.08,14/11/2020,14/01/2021,10.58,28/01/2021,8,0.5405,0.0000,0.4595,0
ITSA4,16/01/2021,11.61,17/11/2020,15/01/2021,10.97,29/01/2021,8,0.5641,0.0000,0.4359,0
ITSA4,19/01/2021,11.63,18/11/2020,16/01/2021,10.61,30/01/2021,8,0.5385,0.0000,0.4615,0
ITSA4,20/01/2021,11.45,19/11/2020,19/01/2021,10.79,02/02/2021,8,0.5641,0.0000,0.4359,0
ITSA4,21/01/2021,11.27,20/11/2020,20/01/2021,10.81,03/02/2021,8,0.5385,0.0000,0.4615,0
ITSA4,22/01/2021,11.04,21/11/2020,21/01/2021,10.61,30/01/2021,5,0.5147,0.0000,0.4853,-1
ITSA4,23/01/2021,10.88,24/11/2020,22/01/2021,10.79,02/02/2021,5,0.4890,0.0000,0.5110,-1
ITSA4,27/01/2021,10.62,25/11/2020,23/01/2021,10.81,03/02/2021,5,0.4872,0.0000,0.5128,-1
ITSA4,28/01/2021,10.58,26/11/2020,27/01/2021,10.82,04/02/2021,5,0.4872,0.0000,0.5128,-1
ITSA4,29/01/2021,10.97,27/11/2020,28/01/2021,10.82,05/02/2021,5,0.4609,0.0000,0.5391,1
ITSA4,30/01/2021,10.61,28/11/2020,29/01/2021,10.76,06/02/2021,5,0.5135,0.0000,0.4865,-1
ITSA4,02/02/2021,10.79,01/12/2020,30/01/2021,10.6,09/02/2021,5,0.4609,0.0000,0.5391,1
ITSA4,03/02/2021,10.81,02/12/2020,02/02/2021,10.69,10/02/2021,5,0.5135,0.0000,0.4865,-1
ITSA4,04/02/2021,10.82,03/12/2020,03/02/2021,10.62,11/02/2021,5,0.5128,0.0000,0.4872,-1
ITSA4,05/02/2021,10.82,04/12/2020,04/02/2021,10.64,12/02/2021,5,0.5128,0.0000,0.4872,-1
ITSA4,06/02/2021,10.76,05/12/2020,05/02/2021,10.21,05/03/2021,17,0.4750,0.0500,0.4750,-1
ITSA4,09/02/2021,10.6,08/12/2020,06/02/2021,9.78,23/02/2021,8,0.4615,0.0256,0.5128,1
ITSA4,10/02/2021,10.69,09/12/2020,09/02/2021,10.52,24/02/2021,8,0.4472,0.0248,0.5280,1
ITSA4,11/02/2021,10.62,10/12/2020,10/02/2021,10.25,20/02/2021,5,0.4751,0.0264,0.4985,-1
ITSA4,12/02/2021,10.64,11/12/2020,11/02/2021,10.08,26/02/2021,8,0.4359,0.0256,0.5385,1
ITSA4,13/02/2021,10.6,12/12/2020,12/02/2021,9.95,27/02/2021,8,0.4865,0.0270,0.4865,-1
ITSA4,18/02/2021,10.54,15/12/2020,13/02/2021,10.42,25/02/2021,5,0.4488,0.0249,0.5263,1
