Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
JBSS3,05/01/2021,23.41,04/11/2020,31/12/2020,24.25,12/01/2021,5,0.6400,0.0000,0.3600,1
JBSS3,06/01/2021,23.75,05/11/2020,05/01/2021,24.63,13/01/2021,5,0.6135,0.0000,0.3865,1
JBSS3,07/01/2021,23.61,06/11/2020,06/01/2021,24.25,12/01/2021,3,0.6410,0.0000,0.3590,1
JBSS3,08/01/2021,23.83,07/11/2020,07/01/2021,24.56,15/01/2021,5,0.5902,0.0000,0.4098,1
JBSS3,09/01/2021,24.4,10/11/2020,08/01/2021,24.42,16/01/2021,5,0.6154,0.0000,0.3846,1
JBSS3,12/01/2021,24.25,11/11/2020,09/01/2021,24.25,19/01/2021,5,0.6154,0.0000,0.3846,0
JBSS3,13/01/2021,24.63,12/11/2020,12/01/2021,24.47,20/01/2021,5,0.5897,0.0000,0.4103,0
JBSS3,14/01/2021,24.86,13/11/2020,13/01/2021,24.75,21/01/2021,5,0.6154,0.0000,0.3846,0
JBSS3,15/01/2021,24.56,14/11/2020,14/01/2021,24.47,22/01/2021,5,0.6400,0.0000,0.3600,0
JBSS3,16/01/2021,24.42,17/11/2020,15/01/2021,24.51,23/01/2021,5,0.5902,0.0000,0.4098,1
JBSS3,19/01/2021,24.25,18/11/2020,16/01/2021,24.47,22/01/2021,3,0.5640,0.0000,0.4360,1
JBSS3,20/01/2021,24.47,19/11/2020,19/01/2021,23.91,28/01/2021,5,0.5380,0.0000,0.4620,0
JBSS3,21/01/2021,24.75,20/11/2020,20/01/2021,24.3,29/01/2021,5,0.5641,0.0000,0.4359,0
JBSS3,22/01/2021,24.47,21/11/2020,21/01/2021,24.18,30/01/2021,5,0.5641,0.0000,0.4359,0
JBSS3,23/01/2021,24.51,24/11/2020,22/01/2021,24.23,02/02/2021,5,0.5147,0.0000,0.4853,-1
JBSS3,27/01/2021,24.14,25/11/2020,23/01/2021,25.15,06/02/2021,8,0.5385,0.0000,0.4615,1
JBSS3,28/01/2021,23.91,26/11/2020,27/01/2021,25.6,09/02/2021,8,0.4911,0.0000,0.5089,-1
JBSS3,29/01/2021,24.3,27/11/2020,28/01/2021,25.66,10/02/2021,8,0.4655,0.0000,0.5345,0
JBSS3,30/01/2021,24.18,28/11/2020,29/01/2021,25.45,11/02/2021,8,0.4872,0.0000,0.5128,-1
JBSS3,02/02/2021,24.23,01/12/2020,30/01/2021,26.52,20/02/2021,12,0.4417,0.0000,0.5583,0
