Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
JHSF3,05/01/2021,7.44,04/11/2020,31/12/2020,7.12,12/01/2021,5,0.4872,0.0513,0.4615,-1
JHSF3,06/01/2021,7.36,05/11/2020,05/01/2021,7.48,16/01/2021,8,0.4390,0.0512,0.5098,0
JHSF3,07/01/2021,7.09,06/11/2020,06/01/2021,7.41,19/01/2021,8,0.4136,0.0511,0.5353,0
JHSF3,08/01/2021,7.02,07/11/2020,07/01/2021,7.04,27/01/2021,12,0.3883,0.0510,0.5607,0
JHSF3,09/01/2021,7.4,10/11/2020,08/01/2021,7.35,21/01/2021,8,0.3696,0.0510,0.5794,1
JHSF3,12/01/2021,7.12,11/11/2020,09/01/2021,7.16,22/01/2021,8,0.4103,0.0513,0.5385,0
JHSF3,13/01/2021,7.28,12/11/2020,12/01/2021,7.06,23/01/2021,8,0.3696,0.0510,0.5794,1
JHSF3,14/01/2021,7.17,13/11/2020,13/01/2021,7.04,27/01/2021,8,0.4103,0.0513,0.5385,1
JHSF3,15/01/2021,7.33,14/11/2020,14/01/2021,7.09,28/01/2021,8,0.3696,0.0510,0.5794,1
JHSF3,16/01/2021,7.48,17/11/2020,15/01/2021,7.33,29/01/2021,8,0.4103,0.0513,0.5385,1
JHSF3,19/01/2021,7.41,18/11/2020,16/01/2021,7.04,27/01/2021,5,0.4184,0.0514,0.5302,1
JHSF3,20/01/2021,7.34,19/11/2020,19/01/2021,7.33,02/02/2021,8,0.3949,0.0511,0.5540,1
JHSF3,21/01/2021,7.35,20/11/2020,20/01/2021,7.61,03/02/2021,8,0.3861,0.0509,0.5630,0
JHSF3,22/01/2021,7.16,21/11/2020,21/01/2021,7.22,30/01/2021,5,0.4184,0.0514,0.5302,0
JHSF3,23/01/2021,7.06,24/11/2020,22/01/2021,7.63,05/02/2021,8,0.3861,0.0509,0.5630,0
JHSF3,27/01/2021,7.04,25/11/2020,23/01/2021,7.59,06/02/2021,8,0.3610,0.0508,0.5882,0
JHSF3,28/01/2021,7.09,26/11/2020,27/01/2021,7.58,09/02/2021,8,0.3427,0.0508,0.6064,0
JHSF3,29/01/2021,7.33,27/11/2020,28/01/2021,7.35,10/02/2021,8,0.3846,0.0513,0.5641,0
JHSF3,30/01/2021,7.22,28/11/2020,29/01/2021,7.08,11/02/2021,8,0.3935,0.0515,0.5550,1
JHSF3,02/02/2021,7.33,01/12/2020,30/01/2021,7.23,12/02/2021,8,0.3582,0.0507,0.5910,1
JHSF3,03/02/2021,7.61,02/12/2020,02/02/2021,7.2,13/02/2021,8,0.3846,0.0513,0.5641,1
JHSF3,04/02/2021,7.88,03/12/2020,03/02/2021,7.15,18/02/2021,8,0.3846,0.0513,0.5641,1
JHSF3,05/02/2021,7.63,04/12/2020,04/02/2021,7.42,19/02/2021,8,0.3935,0.0515,0.5550,1
JHSF3,06/02/2021,7.59,05/12/2020,05/02/2021,7.2,20/02/2021,8,0.3679,0.0509,0.5811,1
JHSF3,09/02/2021,7.58,08/12/2020,06/02/2021,6.89,23/02/2021,8,0.3582,0.0507,0.5910,1
JHSF3,10/02/2021,7.35,09/12/2020,09/02/2021,6.89,24/02/2021,8,0.3407,0.0508,0.6085,1
JHSF3,11/02/2021,7.08,10/12/2020,10/02/2021,6.8,25/02/2021,8,0.3407,0.0508,0.6085,1
JHSF3,12/02/2021,7.23,11/12/2020,11/02/2021,6.46,11/03/2021,17,0.3350,0.0359,0.6291,1
JHSF3,13/02/2021,7.2,12/12/2020,12/02/2021,6.48,27/02/2021,8,0.3846,0.0256,0.5897,1
JHSF3,18/02/2021,7.15,15/12/2020,13/02/2021,6.8,25/02/2021,5,0.3457,0.0247,0.6296,1
JHSF3,19/02/2021,7.42,16/12/2020,18/02/2021,6.68,26/02/2021,5,0.3457,0.0247,0.6296,1
JHSF3,20/02/2021,7.2,17/12/2020,19/02/2021,6.48,27/02/2021,5,0.3976,0.0265,0.5758,1
JHSF3,23/02/2021,6.89,18/12/2020,20/02/2021,6.88,05/03/2021,8,0.3724,0.0248,0.6028,1
JHSF3,24/02/2021,6.89,19/12/2020,23/02/2021,6.87,06/03/2021,8,0.3724,0.0248,0.6028,1
JHSF3,25/02/2021,6.8,22/12/2020,24/02/2021,6.4,09/03/2021,8,0.3750,0.0750,0.5500,1
JHSF3,26/02/2021,6.68,23/12/2020,25/02/2021,6.22,10/03/2021,8,0.3679,0.0509,0.5811,1
JHSF3,27/02/2021,6.48,24/12/2020,26/02/2021,6.46,11/03/2021,8,0.3427,0.0508,0.6064,1
JHSF3,02/03/2021,6.53,29/12/2020,27/02/2021,7.2,18/03/2021,12,0.3250,0.0397,0.6353,0
JHSF3,03/03/2021,6.66,30/12/2020,02/03/2021,6.22,10/03/2021,5,0.3715,0.0251,0.6034,1
JHSF3,04/03/2021,6.59,31/12/2020,03/03/2021,7.04,16/03/2021,8,0.3865,0.0245,0.5890,0
JHSF3,05/03/2021,6.88,05/01/2021,04/03/2021,6.69,17/03/2021,8,0.3590,0.0256,0.6154,1
JHSF3,06/03/2021,6.87,06/01/2021,05/03/2021,7.2,18/03/2021,8,0.4098,0.0246,0.5656,0
JHSF3,09/03/2021,6.4,07/01/2021,06/03/2021,6.86,19/03/2021,8,0.3846,0.0256,0.5897,0
JHSF3,10/03/2021,6.22,08/01/2021,09/03/2021,6.69,17/03/2021,5,0.3725,0.0261,0.6013,0
JHSF3,11/03/2021,6.46,09/01/2021,10/03/2021,7.12,23/03/2021,8,0.3590,0.0256,0.6154,0
JHSF3,12/03/2021,6.76,12/01/2021,11/03/2021,6.86,19/03/2021,5,0.3975,0.0251,0.5774,0
JHSF3,13/03/2021,6.81,13/01/2021,12/03/2021,6.78,25/03/2021,8,0.4128,0.0245,0.5627,1
JHSF3,16/03/2021,7.04,14/01/2021,13/03/2021,7.12,23/03/2021,5,0.4250,0.0250,0.5500,0
