Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
LAME3,05/01/2021,20.02,04/11/2020,31/12/2020,18.49,12/01/2021,5,0.5641,0.0000,0.4359,0
LAME3,06/01/2021,19.49,05/11/2020,05/01/2021,18.72,13/01/2021,5,0.5122,0.0000,0.4878,-1
LAME3,07/01/2021,18.3,06/11/2020,06/01/2021,18.74,14/01/2021,5,0.4865,0.0000,0.5135,-1
LAME3,08/01/2021,18.2,07/11/2020,07/01/2021,18.99,15/01/2021,5,0.4872,0.0000,0.5128,-1
LAME3,09/01/2021,18.81,10/11/2020,08/01/2021,20.13,21/01/2021,8,0.4578,0.0000,0.5422,0
LAME3,12/01/2021,18.49,11/11/2020,09/01/2021,19.81,22/01/2021,8,0.5166,0.0000,0.4834,-1
LAME3,13/01/2021,18.72,12/11/2020,12/01/2021,19.4,20/01/2021,5,0.4872,0.0000,0.5128,-1
LAME3,14/01/2021,18.74,13/11/2020,13/01/2021,20.13,21/01/2021,5,0.5391,0.0000,0.4609,1
LAME3,15/01/2021,18.99,14/11/2020,14/01/2021,19.81,22/01/2021,5,0.5645,0.0000,0.4355,1
LAME3,16/01/2021,19.25,17/11/2020,15/01/2021,19.38,23/01/2021,5,0.5641,0.0000,0.4359,1
LAME3,19/01/2021,19.27,18/11/2020,16/01/2021,19.09,27/01/2021,5,0.5641,0.0000,0.4359,0
LAME3,20/01/2021,19.4,19/11/2020,19/01/2021,18.71,02/02/2021,8,0.5928,0.0000,0.4072,0
LAME3,21/01/2021,20.13,20/11/2020,20/01/2021,19.6,29/01/2021,5,0.6179,0.0000,0.3821,0
LAME3,22/01/2021,19.81,21/11/2020,21/01/2021,19.79,04/02/2021,8,0.6429,0.0000,0.3571,0
LAME3,23/01/2021,19.38,24/11/2020,22/01/2021,18.71,02/02/2021,5,0.5872,0.0000,0.4128,0
LAME3,27/01/2021,19.09,25/11/2020,23/01/2021,19.35,06/02/2021,8,0.5897,0.0000,0.4103,1
LAME3,28/01/2021,19.17,26/11/2020,27/01/2021,19.21,09/02/2021,8,0.5571,0.0000,0.4429,1
LAME3,29/01/2021,19.6,27/11/2020,28/01/2021,19,10/02/2021,8,0.6216,0.0000,0.3784,0
LAME3,30/01/2021,18.87,28/11/2020,29/01/2021,18.54,11/02/2021,8,0.6465,0.0000,0.3535,0
LAME3,02/02/2021,18.71,01/12/2020,30/01/2021,18.88,12/02/2021,8,0.5833,0.0000,0.4167,1
LAME3,03/02/2021,19.64,02/12/2020,02/02/2021,19.08,13/02/2021,8,0.5571,0.0000,0.4429,0
LAME3,04/02/2021,19.79,03/12/2020,03/02/2021,18.87,18/02/2021,8,0.5897,0.0000,0.4103,0
LAME3,05/02/2021,19.34,04/12/2020,04/02/2021,18.54,19/02/2021,8,0.5897,0.0000,0.4103,0
LAME3,06/02/2021,19.35,05/12/2020,05/02/2021,18.85,20/02/2021,8,0.5641,0.0000,0.4359,0
LAME3,09/02/2021,19.21,08/12/2020,06/02/2021,26.39,23/02/2021,8,0.5897,0.0000,0.4103,1
LAME3,10/02/2021,19,09/12/2020,09/02/2021,25.07,24/02/2021,8,0.5641,0.0000,0.4359,1
LAME3,11/02/2021,18.54,10/12/2020,10/02/2021,24.5,25/02/2021,8,0.5310,0.0000,0.4690,1
LAME3,12/02/2021,18.88,11/12/2020,11/02/2021,22.5,04/03/2021,12,0.5385,0.0000,0.4615,1
LAME3,13/02/2021,19.08,12/12/2020,12/02/2021,23,27/02/2021,8,0.5966,0.0000,0.4034,1
LAME3,18/02/2021,18.87,15/12/2020,13/02/2021,22.16,06/03/2021,12,0.5897,0.0000,0.4103,1
LAME3,19/02/2021,18.54,16/12/2020,18/02/2021,22.72,03/03/2021,8,0.5310,0.0000,0.4690,1
LAME3,20/02/2021,18.85,17/12/2020,19/02/2021,22.5,04/03/2021,8,0.5052,0.0000,0.4948,-1
LAME3,23/02/2021,26.39,18/12/2020,20/02/2021,22.79,05/03/2021,8,0.5714,0.0000,0.4286,0
LAME3,24/02/2021,25.07,19/12/2020,23/02/2021,22.16,06/03/2021,8,0.5966,0.0000,0.4034,0
LAME3,25/02/2021,24.5,22/12/2020,24/02/2021,20.49,09/03/2021,8,0.5310,0.0000,0.4690,0
LAME3,26/02/2021,24.01,23/12/2020,25/02/2021,19.68,10/03/2021,8,0.5052,0.0000,0.4948,-1
LAME3,27/02/2021,23,24/12/2020,26/02/2021,20.6,17/03/2021,12,0.4795,0.0000,0.5205,-1
LAME3,02/03/2021,22.83,29/12/2020,27/02/2021,20.86,12/03/2021,8,0.4539,0.0000,0.5461,1
LAME3,03/03/2021,22.72,30/12/2020,02/03/2021,20.2,13/03/2021,8,0.4286,0.0000,0.5714,1
LAME3,04/03/2021,22.5,31/12/2020,03/03/2021,20.31,16/03/2021,8,0.4359,0.0000,0.5641,1
LAME3,05/03/2021,22.79,05/01/2021,04/03/2021,20.6,17/03/2021,8,0.4359,0.0000,0.5641,1
LAME3,06/03/2021,22.16,06/01/2021,05/03/2021,21.13,18/03/2021,8,0.4948,0.0000,0.5052,-1
LAME3,09/03/2021,20.49,07/01/2021,06/03/2021,19.96,19/03/2021,8,0.4615,0.0000,0.5385,1
LAME3,10/03/2021,19.68,08/01/2021,09/03/2021,20.5,20/03/2021,8,0.4286,0.0000,0.5714,0
LAME3,11/03/2021,20.28,09/01/2021,10/03/2021,20.56,23/03/2021,8,0.4359,0.0000,0.5641,0
LAME3,12/03/2021,20.86,12/01/2021,11/03/2021,20.26,30/03/2021,12,0.4615,0.0000,0.5385,1
LAME3,13/03/2021,20.2,13/01/2021,12/03/2021,21.29,31/03/2021,12,0.4615,0.0000,0.5385,0
LAME3,16/03/2021,20.31,14/01/2021,13/03/2021,20.43,26/03/2021,8,0.4034,0.0000,0.5966,0
LAME3,17/03/2021,20.6,15/01/2021,16/03/2021,20.48,27/03/2021,8,0.4359,0.0000,0.5641,1
LAME3,18/03/2021,21.13,16/01/2021,17/03/2021,20.26,30/03/2021,8,0.4359,0.0000,0.5641,1
LAME3,19/03/2021,19.96,19/01/2021,18/03/2021,21.29,31/03/2021,8,0.4359,0.0000,0.5641,0
LAME3,20/03/2021,20.5,20/01/2021,19/03/2021,20.48,27/03/2021,5,0.3821,0.0000,0.6179,1
LAME3,23/03/2021,20.56,21/01/2021,20/03/2021,20.26,30/03/2021,5,0.4390,0.0000,0.5610,1
LAME3,24/03/2021,20.6,22/01/2021,23/03/2021,21.17,06/04/2021,8,0.4650,0.0000,0.5350,0
LAME3,25/03/2021,20.09,23/01/2021,24/03/2021,20.98,07/04/2021,8,0.4909,0.0000,0.5091,-1
LAME3,26/03/2021,20.43,27/01/2021,25/03/2021,20.43,08/04/2021,8,0.4324,0.0000,0.5676,0
LAME3,27/03/2021,20.48,28/01/2021,26/03/2021,20.89,09/04/2021,8,0.4615,0.0000,0.5385,0
LAME3,30/03/2021,20.26,29/01/2021,27/03/2021,20.34,10/04/2021,8,0.4909,0.0000,0.5091,-1
LAME3,31/03/2021,21.29,30/01/2021,30/03/2021,20.43,08/04/2021,5,0.4615,0.0000,0.5385,1
LAME3,01/04/2021,20.8,02/02/2021,31/03/2021,20.89,09/04/2021,5,0.4872,0.0000,0.5128,-1
LAME3,02/04/2021,20.84,03/02/2021,01/04/2021,20.34,10/04/2021,5,0.4355,0.0000,0.5645,1
LAME3,06/04/2021,21.17,04/02/2021,02/04/2021,20.72,13/04/2021,5,0.4878,0.0000,0.5122,-1
LAME3,07/04/2021,20.98,05/02/2021,06/04/2021,22.67,14/04/2021,5,0.4872,0.0000,0.5128,-1
LAME3,08/04/2021,20.43,06/02/2021,07/04/2021,21.76,15/04/2021,5,0.4615,0.0000,0.5385,0
LAME3,09/04/2021,20.89,09/02/2021,08/04/2021,21.49,16/04/2021,5,0.4615,0.0000,0.5385,0
LAME3,10/04/2021,20.34,10/02/2021,09/04/2021,21.64,17/04/2021,5,0.5135,0.0000,0.4865,-1
LAME3,13/04/2021,20.72,11/02/2021,10/04/2021,21.37,20/04/2021,5,0.4609,0.0000,0.5391,0
LAME3,14/04/2021,22.67,12/02/2021,13/04/2021,20.98,21/04/2021,5,0.4872,0.0000,0.5128,-1
LAME3,15/04/2021,21.76,13/02/2021,14/04/2021,20.17,23/04/2021,5,0.5135,0.0000,0.4865,-1
LAME3,16/04/2021,21.49,18/02/2021,15/04/2021,21.03,24/04/2021,5,0.4872,0.0000,0.5128,-1
LAME3,17/04/2021,21.64,19/02/2021,16/04/2021,20.57,27/04/2021,5,0.4609,0.0000,0.5391,1
LAME3,20/04/2021,21.37,20/02/2021,17/04/2021,20.08,28/04/2021,5,0.4872,0.0000,0.5128,-1
