Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
LREN3,05/01/2021,42.21,04/11/2020,31/12/2020,43.38,15/01/2021,8,0.5052,0.0000,0.4948,-1
LREN3,06/01/2021,41.8,05/11/2020,05/01/2021,42.36,22/01/2021,12,0.4795,0.0000,0.5205,-1
LREN3,07/01/2021,39.78,06/11/2020,06/01/2021,41.02,23/01/2021,12,0.4872,0.0000,0.5128,-1
LREN3,08/01/2021,40.75,07/11/2020,07/01/2021,41.42,27/01/2021,12,0.4488,0.0000,0.5512,0
LREN3,09/01/2021,43.1,10/11/2020,08/01/2021,41.69,28/01/2021,12,0.4872,0.0000,0.5128,-1
LREN3,12/01/2021,41.45,11/11/2020,09/01/2021,43.23,29/01/2021,12,0.5257,0.0000,0.4743,1
LREN3,13/01/2021,41.9,12/11/2020,12/01/2021,41.47,30/01/2021,12,0.4872,0.0000,0.5128,-1
LREN3,14/01/2021,41.4,13/11/2020,13/01/2021,41.07,02/02/2021,12,0.5128,0.0000,0.4872,-1
LREN3,15/01/2021,43.38,14/11/2020,14/01/2021,41.69,28/01/2021,8,0.4539,0.0000,0.5461,1
LREN3,16/01/2021,43.08,17/11/2020,15/01/2021,43.23,29/01/2021,8,0.4872,0.0000,0.5128,-1
LREN3,19/01/2021,43.13,18/11/2020,16/01/2021,41.47,30/01/2021,8,0.4615,0.0000,0.5385,1
LREN3,20/01/2021,43.9,19/11/2020,19/01/2021,41.07,02/02/2021,8,0.5166,0.0000,0.4834,-1
LREN3,21/01/2021,43.11,20/11/2020,20/01/2021,41.01,03/02/2021,8,0.5422,0.0000,0.4578,0
LREN3,22/01/2021,42.36,21/11/2020,21/01/2021,41.84,04/02/2021,8,0.4834,0.0000,0.5166,-1
LREN3,23/01/2021,41.02,24/11/2020,22/01/2021,41.34,05/02/2021,8,0.4578,0.0000,0.5422,0
LREN3,27/01/2021,41.42,25/11/2020,23/01/2021,41.01,06/02/2021,8,0.4324,0.0000,0.5676,1
LREN3,28/01/2021,41.69,26/11/2020,27/01/2021,41.24,09/02/2021,8,0.4909,0.0000,0.5091,-1
LREN3,29/01/2021,43.23,27/11/2020,28/01/2021,40.89,10/02/2021,8,0.4872,0.0000,0.5128,-1
LREN3,30/01/2021,41.47,28/11/2020,29/01/2021,40,19/02/2021,12,0.5205,0.0000,0.4795,-1
LREN3,02/02/2021,41.07,01/12/2020,30/01/2021,39.39,12/02/2021,8,0.4539,0.0000,0.5461,1
LREN3,03/02/2021,41.01,02/12/2020,02/02/2021,39.9,13/02/2021,8,0.4286,0.0000,0.5714,1
LREN3,04/02/2021,41.84,03/12/2020,03/02/2021,40.55,18/02/2021,8,0.4034,0.0000,0.5966,1
LREN3,05/02/2021,41.34,04/12/2020,04/02/2021,40,19/02/2021,8,0.4690,0.0000,0.5310,1
LREN3,06/02/2021,41.01,05/12/2020,05/02/2021,39.67,20/02/2021,8,0.4359,0.0000,0.5641,1
LREN3,09/02/2021,41.24,08/12/2020,06/02/2021,38.34,23/02/2021,8,0.4359,0.0000,0.5641,1
LREN3,10/02/2021,40.89,09/12/2020,09/02/2021,38.26,24/02/2021,8,0.4909,0.0000,0.5091,-1
LREN3,11/02/2021,39.76,10/12/2020,10/02/2021,39.67,20/02/2021,5,0.4615,0.0000,0.5385,1
LREN3,12/02/2021,39.39,11/12/2020,11/02/2021,37.24,26/02/2021,8,0.4324,0.0000,0.5676,1
LREN3,13/02/2021,39.9,12/12/2020,12/02/2021,36.66,27/02/2021,8,0.4072,0.0000,0.5928,1
LREN3,18/02/2021,40.55,15/12/2020,13/02/2021,37.32,25/02/2021,5,0.4359,0.0000,0.5641,1
LREN3,19/02/2021,40,16/12/2020,18/02/2021,37.24,26/02/2021,5,0.4359,0.0000,0.5641,1
LREN3,20/02/2021,39.67,17/12/2020,19/02/2021,36.66,27/02/2021,5,0.4103,0.0000,0.5897,1
LREN3,23/02/2021,38.34,18/12/2020,20/02/2021,37.17,02/03/2021,5,0.4103,0.0000,0.5897,1
LREN3,24/02/2021,38.26,19/12/2020,23/02/2021,37.37,03/03/2021,5,0.4103,0.0000,0.5897,1
LREN3,25/02/2021,37.32,22/12/2020,24/02/2021,37.48,04/03/2021,5,0.4103,0.0000,0.5897,0
LREN3,26/02/2021,37.24,23/12/2020,25/02/2021,39.33,05/03/2021,5,0.3821,0.0000,0.6179,0
LREN3,27/02/2021,36.66,24/12/2020,26/02/2021,38.32,11/03/2021,8,0.3571,0.0000,0.6429,0
LREN3,02/03/2021,37.17,29/12/2020,27/02/2021,38,09/03/2021,5,0.3323,0.0000,0.6677,0
LREN3,03/03/2021,37.37,30/12/2020,02/03/2021,36.88,10/03/2021,5,0.3865,0.0000,0.6135,1
LREN3,04/03/2021,37.48,31/12/2020,03/03/2021,38.32,11/03/2021,5,0.4128,0.0000,0.5872,0
LREN3,05/03/2021,39.33,05/01/2021,04/03/2021,40.42,12/03/2021,5,0.4390,0.0000,0.5610,0
LREN3,06/03/2021,39.56,06/01/2021,05/03/2021,41.62,18/03/2021,8,0.4650,0.0000,0.5350,0
LREN3,09/03/2021,38,07/01/2021,06/03/2021,41.11,19/03/2021,8,0.4615,0.0000,0.5385,0
LREN3,10/03/2021,36.88,08/01/2021,09/03/2021,42.47,20/03/2021,8,0.4072,0.0000,0.5928,0
LREN3,11/03/2021,38.32,09/01/2021,10/03/2021,41.55,23/03/2021,8,0.4103,0.0000,0.5897,0
LREN3,12/03/2021,40.42,12/01/2021,11/03/2021,41.65,24/03/2021,8,0.4359,0.0000,0.5641,0
LREN3,13/03/2021,41.56,13/01/2021,12/03/2021,40.91,25/03/2021,8,0.4690,0.0000,0.5310,1
LREN3,16/03/2021,41.82,14/01/2021,13/03/2021,42.59,01/04/2021,12,0.4615,0.0000,0.5385,0
LREN3,17/03/2021,40.7,15/01/2021,16/03/2021,42.92,02/04/2021,12,0.5000,0.0000,0.5000,-1
LREN3,18/03/2021,41.62,16/01/2021,17/03/2021,43.36,06/04/2021,12,0.4235,0.0000,0.5765,0
LREN3,19/03/2021,41.11,19/01/2021,18/03/2021,43.83,07/04/2021,12,0.4615,0.0000,0.5385,0
LREN3,20/03/2021,42.47,20/01/2021,19/03/2021,42.59,01/04/2021,8,0.4359,0.0000,0.5641,0
LREN3,23/03/2021,41.55,21/01/2021,20/03/2021,42.92,02/04/2021,8,0.4948,0.0000,0.5052,-1
LREN3,24/03/2021,41.65,22/01/2021,23/03/2021,43.36,06/04/2021,8,0.4615,0.0000,0.5385,0
LREN3,25/03/2021,40.91,23/01/2021,24/03/2021,43.83,07/04/2021,8,0.4872,0.0000,0.5128,-1
LREN3,26/03/2021,42.87,27/01/2021,25/03/2021,43.13,08/04/2021,8,0.4324,0.0000,0.5676,0
LREN3,27/03/2021,41.98,28/01/2021,26/03/2021,42.43,09/04/2021,8,0.4615,0.0000,0.5385,0
LREN3,30/03/2021,41.49,29/01/2021,27/03/2021,43.83,07/04/2021,5,0.4359,0.0000,0.5641,0
LREN3,31/03/2021,43.92,30/01/2021,30/03/2021,43.13,08/04/2021,5,0.4359,0.0000,0.5641,1
LREN3,01/04/2021,42.59,02/02/2021,31/03/2021,42.43,09/04/2021,5,0.4878,0.0000,0.5122,-1
LREN3,02/04/2021,42.92,03/02/2021,01/04/2021,41.5,10/04/2021,5,0.4355,0.0000,0.5645,1
LREN3,06/04/2021,43.36,04/02/2021,02/04/2021,41.07,13/04/2021,5,0.4878,0.0000,0.5122,-1
LREN3,07/04/2021,43.83,05/02/2021,06/04/2021,41.51,14/04/2021,5,0.5135,0.0000,0.4865,-1
LREN3,08/04/2021,43.13,06/02/2021,07/04/2021,41.49,15/04/2021,5,0.5128,0.0000,0.4872,-1
LREN3,09/04/2021,42.43,09/02/2021,08/04/2021,41.91,16/04/2021,5,0.4872,0.0000,0.5128,-1
LREN3,10/04/2021,41.5,10/02/2021,09/04/2021,46.9,17/04/2021,5,0.4872,0.0000,0.5128,-1
LREN3,13/04/2021,41.07,11/02/2021,10/04/2021,45.23,20/04/2021,5,0.4872,0.0000,0.5128,-1
LREN3,14/04/2021,41.51,12/02/2021,13/04/2021,41.46,27/04/2021,8,0.4578,0.0000,0.5422,1
LREN3,15/04/2021,41.49,13/02/2021,14/04/2021,40.8,23/04/2021,5,0.4872,0.0000,0.5128,-1
LREN3,16/04/2021,41.91,18/02/2021,15/04/2021,40.82,24/04/2021,5,0.4615,0.0000,0.5385,1
LREN3,17/04/2021,46.9,19/02/2021,16/04/2021,41.46,27/04/2021,5,0.5135,0.0000,0.4865,-1
LREN3,20/04/2021,45.23,20/02/2021,17/04/2021,40.4,28/04/2021,5,0.5391,0.0000,0.4609,0
LREN3,21/04/2021,43.4,23/02/2021,20/04/2021,40,29/04/2021,5,0.5128,0.0000,0.4872,-1
LREN3,23/04/2021,40.8,24/02/2021,21/04/2021,39.97,30/04/2021,5,0.5128,0.0000,0.4872,-1
LREN3,24/04/2021,40.82,25/02/2021,23/04/2021,40.4,01/05/2021,5,0.5128,0.0000,0.4872,-1
LREN3,27/04/2021,41.46,26/02/2021,24/04/2021,41,04/05/2021,5,0.5620,0.0000,0.4380,0
LREN3,28/04/2021,40.4,27/02/2021,27/04/2021,41.09,05/05/2021,5,0.5641,0.0000,0.4359,1
LREN3,29/04/2021,40,02/03/2021,28/04/2021,41.39,06/05/2021,5,0.5147,0.0000,0.4853,-1
LREN3,30/04/2021,39.97,03/03/2021,29/04/2021,41.82,07/05/2021,5,0.4890,0.0000,0.5110,-1
LREN3,01/05/2021,40.4,04/03/2021,30/04/2021,43.56,08/05/2021,5,0.4634,0.0000,0.5366,0
LREN3,04/05/2021,41,05/03/2021,01/05/2021,44.12,14/05/2021,8,0.4872,0.0000,0.5128,-1
LREN3,05/05/2021,41.09,06/03/2021,04/05/2021,44.51,12/05/2021,5,0.5110,0.0000,0.4890,-1
LREN3,06/05/2021,41.39,09/03/2021,05/05/2021,43.19,13/05/2021,5,0.5366,0.0000,0.4634,1
LREN3,07/05/2021,41.82,10/03/2021,06/05/2021,44.12,14/05/2021,5,0.5385,0.0000,0.4615,1
LREN3,08/05/2021,43.56,11/03/2021,07/05/2021,43.75,15/05/2021,5,0.5385,0.0000,0.4615,1
