Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
MRFG3,05/01/2021,14.3,04/11/2020,31/12/2020,14.09,15/01/2021,8,0.4655,0.0267,0.5078,-1
MRFG3,06/01/2021,14.21,05/11/2020,05/01/2021,13.97,16/01/2021,8,0.4400,0.0267,0.5333,1
MRFG3,07/01/2021,13.8,06/11/2020,06/01/2021,13.88,19/01/2021,8,0.4146,0.0266,0.5588,0
MRFG3,08/01/2021,13.84,07/11/2020,07/01/2021,13.67,20/01/2021,8,0.3990,0.0261,0.5748,1
MRFG3,09/01/2021,14.01,10/11/2020,08/01/2021,13.53,21/01/2021,8,0.4359,0.0256,0.5385,1
MRFG3,12/01/2021,13.96,11/11/2020,09/01/2021,13.33,22/01/2021,8,0.4359,0.0256,0.5385,1
MRFG3,13/01/2021,14.21,12/11/2020,12/01/2021,13.19,23/01/2021,8,0.3894,0.0265,0.5841,1
MRFG3,14/01/2021,14.19,13/11/2020,13/01/2021,12.8,27/01/2021,8,0.4211,0.0252,0.5538,1
MRFG3,15/01/2021,14.09,14/11/2020,14/01/2021,13.07,28/01/2021,8,0.4000,0.0261,0.5739,1
MRFG3,16/01/2021,13.97,17/11/2020,15/01/2021,13.28,29/01/2021,8,0.4000,0.0261,0.5739,1
MRFG3,19/01/2021,13.88,18/11/2020,16/01/2021,13.29,30/01/2021,8,0.3894,0.0265,0.5841,1
MRFG3,20/01/2021,13.67,19/11/2020,19/01/2021,13.31,02/02/2021,8,0.3737,0.0261,0.6002,1
MRFG3,21/01/2021,13.53,20/11/2020,20/01/2021,13.55,03/02/2021,8,0.3737,0.0261,0.6002,0
MRFG3,22/01/2021,13.33,21/11/2020,21/01/2021,14.07,04/02/2021,8,0.3623,0.0266,0.6111,0
MRFG3,23/01/2021,13.19,24/11/2020,22/01/2021,14.28,05/02/2021,8,0.3373,0.0265,0.6361,0
MRFG3,27/01/2021,12.8,25/11/2020,23/01/2021,13.55,03/02/2021,5,0.3220,0.0261,0.6519,0
MRFG3,28/01/2021,13.07,26/11/2020,27/01/2021,14.43,09/02/2021,8,0.3103,0.0265,0.6631,0
MRFG3,29/01/2021,13.28,27/11/2020,28/01/2021,14.58,10/02/2021,8,0.3333,0.0256,0.6410,0
MRFG3,30/01/2021,13.29,28/11/2020,29/01/2021,14.37,11/02/2021,8,0.3455,0.0252,0.6294,0
MRFG3,02/02/2021,13.31,01/12/2020,30/01/2021,14.43,09/02/2021,5,0.3715,0.0251,0.6034,0
MRFG3,03/02/2021,13.55,02/12/2020,02/02/2021,14.61,13/02/2021,8,0.3846,0.0256,0.5897,0
MRFG3,04/02/2021,14.07,03/12/2020,03/02/2021,14.37,11/02/2021,5,0.3991,0.0250,0.5759,0
MRFG3,05/02/2021,14.28,04/12/2020,04/02/2021,14.81,04/03/2021,17,0.4211,0.0000,0.5789,0
MRFG3,06/02/2021,14.31,05/12/2020,05/02/2021,14.36,20/02/2021,8,0.4359,0.0000,0.5641,0
MRFG3,09/02/2021,14.43,08/12/2020,06/02/2021,13.88,23/02/2021,8,0.4359,0.0000,0.5641,1
MRFG3,10/02/2021,14.58,09/12/2020,09/02/2021,14.2,24/02/2021,8,0.4690,0.0000,0.5310,1
MRFG3,11/02/2021,14.37,10/12/2020,10/02/2021,14.79,25/02/2021,8,0.4948,0.0000,0.5052,-1
MRFG3,12/02/2021,14.67,11/12/2020,11/02/2021,14.25,26/02/2021,8,0.4286,0.0000,0.5714,1
MRFG3,13/02/2021,14.61,12/12/2020,12/02/2021,13.9,27/02/2021,8,0.4948,0.0000,0.5052,-1
MRFG3,18/02/2021,15.22,15/12/2020,13/02/2021,14.31,02/03/2021,8,0.4615,0.0000,0.5385,1
MRFG3,19/02/2021,14.82,16/12/2020,18/02/2021,14.68,03/03/2021,8,0.4872,0.0000,0.5128,-1
MRFG3,20/02/2021,14.36,17/12/2020,19/02/2021,14.81,04/03/2021,8,0.4615,0.0000,0.5385,0
MRFG3,23/02/2021,13.88,18/12/2020,20/02/2021,14.67,05/03/2021,8,0.4286,0.0000,0.5714,0
MRFG3,24/02/2021,14.2,19/12/2020,23/02/2021,14.98,06/03/2021,8,0.4359,0.0000,0.5641,0
MRFG3,25/02/2021,14.79,22/12/2020,24/02/2021,15.37,13/03/2021,12,0.4615,0.0000,0.5385,0
MRFG3,26/02/2021,14.25,23/12/2020,25/02/2021,15.87,16/03/2021,12,0.5000,0.0000,0.5000,-1
MRFG3,27/02/2021,13.9,24/12/2020,26/02/2021,15.94,17/03/2021,12,0.4615,0.0000,0.5385,0
MRFG3,02/03/2021,14.31,29/12/2020,27/02/2021,15.88,18/03/2021,12,0.4235,0.0000,0.5765,0
MRFG3,03/03/2021,14.68,30/12/2020,02/03/2021,15.7,19/03/2021,12,0.5000,0.0000,0.5000,-1
MRFG3,04/03/2021,14.81,31/12/2020,03/03/2021,15.96,20/03/2021,12,0.5257,0.0000,0.4743,1
MRFG3,05/03/2021,14.67,05/01/2021,04/03/2021,16.35,23/03/2021,12,0.5512,0.0000,0.4488,1
MRFG3,06/03/2021,14.98,06/01/2021,05/03/2021,17,24/03/2021,12,0.5128,0.0000,0.4872,-1
MRFG3,09/03/2021,15.64,07/01/2021,06/03/2021,17.15,25/03/2021,12,0.5385,0.0000,0.4615,1
MRFG3,10/03/2021,15.93,08/01/2021,09/03/2021,17.22,26/03/2021,12,0.5385,0.0000,0.4615,1
MRFG3,11/03/2021,15.16,09/01/2021,10/03/2021,16.83,27/03/2021,12,0.5765,0.0000,0.4235,1
