Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
MRVE3,05/01/2021,18.73,04/11/2020,31/12/2020,20.7,15/01/2021,8,0.4834,0.0000,0.5166,-1
MRVE3,06/01/2021,18.62,05/11/2020,05/01/2021,20.3,16/01/2021,8,0.4578,0.0000,0.5422,0
MRVE3,07/01/2021,17.93,06/11/2020,06/01/2021,20.08,19/01/2021,8,0.4324,0.0000,0.5676,0
MRVE3,08/01/2021,17.95,07/11/2020,07/01/2021,19.74,20/01/2021,8,0.4072,0.0000,0.5928,0
MRVE3,09/01/2021,19.19,10/11/2020,08/01/2021,20.3,16/01/2021,5,0.4359,0.0000,0.5641,0
MRVE3,12/01/2021,18.69,11/11/2020,09/01/2021,19.1,22/01/2021,8,0.4650,0.0000,0.5350,0
MRVE3,13/01/2021,19.36,12/11/2020,12/01/2021,19.74,20/01/2021,5,0.4359,0.0000,0.5641,0
MRVE3,14/01/2021,20.21,13/11/2020,13/01/2021,18.67,27/01/2021,8,0.4615,0.0000,0.5385,1
MRVE3,15/01/2021,20.7,14/11/2020,14/01/2021,18.81,28/01/2021,8,0.4615,0.0000,0.5385,1
MRVE3,16/01/2021,20.3,17/11/2020,15/01/2021,19.61,29/01/2021,8,0.4909,0.0000,0.5091,-1
MRVE3,19/01/2021,20.08,18/11/2020,16/01/2021,18.67,27/01/2021,5,0.4615,0.0000,0.5385,1
MRVE3,20/01/2021,19.74,19/11/2020,19/01/2021,18.81,28/01/2021,5,0.4615,0.0000,0.5385,1
MRVE3,21/01/2021,19.72,20/11/2020,20/01/2021,19.4,03/02/2021,8,0.4324,0.0000,0.5676,1
MRVE3,22/01/2021,19.1,21/11/2020,21/01/2021,20.2,04/02/2021,8,0.4072,0.0000,0.5928,0
MRVE3,23/01/2021,19.03,24/11/2020,22/01/2021,19.32,02/02/2021,5,0.3821,0.0000,0.6179,0
MRVE3,27/01/2021,18.67,25/11/2020,23/01/2021,19.75,06/02/2021,8,0.3846,0.0000,0.6154,0
