Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
RENT3,05/01/2021,67.78,04/11/2020,31/12/2020,69.62,12/01/2021,5,0.5641,0.0000,0.4359,1
RENT3,06/01/2021,67.38,05/11/2020,05/01/2021,71.08,13/01/2021,5,0.5147,0.0000,0.4853,-1
RENT3,07/01/2021,63.71,06/11/2020,06/01/2021,71.05,14/01/2021,5,0.4890,0.0000,0.5110,-1
RENT3,08/01/2021,66.51,07/11/2020,07/01/2021,73.93,15/01/2021,5,0.4872,0.0000,0.5128,-1
RENT3,09/01/2021,71,10/11/2020,08/01/2021,70.71,16/01/2021,5,0.5128,0.0000,0.4872,-1
RENT3,12/01/2021,69.62,11/11/2020,09/01/2021,70.69,19/01/2021,5,0.5391,0.0000,0.4609,1
RENT3,13/01/2021,71.08,12/11/2020,12/01/2021,68.8,20/01/2021,5,0.5128,0.0000,0.4872,-1
RENT3,14/01/2021,71.05,13/11/2020,13/01/2021,69.57,21/01/2021,5,0.5385,0.0000,0.4615,0
RENT3,15/01/2021,73.93,14/11/2020,14/01/2021,67.91,22/01/2021,5,0.5128,0.0000,0.4872,-1
RENT3,16/01/2021,70.71,17/11/2020,15/01/2021,67.51,23/01/2021,5,0.5620,0.0000,0.4380,0
RENT3,19/01/2021,70.69,18/11/2020,16/01/2021,63.88,30/01/2021,8,0.5385,0.0000,0.4615,0
RENT3,20/01/2021,68.8,19/11/2020,19/01/2021,64.88,28/01/2021,5,0.5147,0.0000,0.4853,-1
RENT3,21/01/2021,69.57,20/11/2020,20/01/2021,67.24,29/01/2021,5,0.5128,0.0000,0.4872,-1
RENT3,22/01/2021,67.91,21/11/2020,21/01/2021,63.88,30/01/2021,5,0.5385,0.0000,0.4615,0
RENT3,23/01/2021,67.51,24/11/2020,22/01/2021,63.95,02/02/2021,5,0.4890,0.0000,0.5110,-1
RENT3,27/01/2021,65.96,25/11/2020,23/01/2021,67.51,03/02/2021,5,0.4634,0.0000,0.5366,0
RENT3,28/01/2021,64.88,26/11/2020,27/01/2021,68.8,04/02/2021,5,0.4615,0.0000,0.5385,0
RENT3,29/01/2021,67.24,27/11/2020,28/01/2021,69.6,05/02/2021,5,0.4355,0.0000,0.5645,0
RENT3,30/01/2021,63.88,28/11/2020,29/01/2021,68.87,06/02/2021,5,0.4615,0.0000,0.5385,0
RENT3,02/02/2021,63.95,01/12/2020,30/01/2021,69.26,09/02/2021,5,0.4359,0.0000,0.5641,0
RENT3,03/02/2021,67.51,02/12/2020,02/02/2021,68.52,10/02/2021,5,0.4615,0.0000,0.5385,0
RENT3,04/02/2021,68.8,03/12/2020,03/02/2021,67.35,11/02/2021,5,0.4615,0.0000,0.5385,1
RENT3,05/02/2021,69.6,04/12/2020,04/02/2021,66.96,12/02/2021,5,0.4878,0.0000,0.5122,-1
RENT3,06/02/2021,68.87,05/12/2020,05/02/2021,66.9,13/02/2021,5,0.5135,0.0000,0.4865,-1
RENT3,09/02/2021,69.26,08/12/2020,06/02/2021,65.91,18/02/2021,5,0.4609,0.0000,0.5391,1
RENT3,10/02/2021,68.52,09/12/2020,09/02/2021,64.61,19/02/2021,5,0.5135,0.0000,0.4865,-1
RENT3,11/02/2021,67.35,10/12/2020,10/02/2021,65.1,20/02/2021,5,0.4872,0.0000,0.5128,-1
RENT3,12/02/2021,66.96,11/12/2020,11/02/2021,61.09,23/02/2021,5,0.4609,0.0000,0.5391,1
RENT3,13/02/2021,66.9,12/12/2020,12/02/2021,61.3,24/02/2021,5,0.4615,0.0000,0.5385,1
RENT3,18/02/2021,65.91,15/12/2020,13/02/2021,59.16,02/03/2021,8,0.4324,0.0000,0.5676,1
RENT3,19/02/2021,64.61,16/12/2020,18/02/2021,58.6,03/03/2021,8,0.4072,0.0000,0.5928,1
RENT3,20/02/2021,65.1,17/12/2020,19/02/2021,58,27/02/2021,5,0.3821,0.0000,0.6179,1
