Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
SMTO3,05/01/2021,27.25,04/11/2020,31/12/2020,31.2,12/01/2021,5,0.6279,0.0262,0.3459,1
SMTO3,06/01/2021,27.3,05/11/2020,05/01/2021,31.08,16/01/2021,8,0.5890,0.0245,0.3865,1
SMTO3,07/01/2021,28.67,06/11/2020,06/01/2021,31.65,19/01/2021,8,0.6154,0.0256,0.3590,1
SMTO3,08/01/2021,30.08,07/11/2020,07/01/2021,31.59,15/01/2021,5,0.6279,0.0262,0.3459,1
SMTO3,09/01/2021,31.09,10/11/2020,08/01/2021,31.26,21/01/2021,8,0.6410,0.0256,0.3333,1
SMTO3,12/01/2021,31.2,11/11/2020,09/01/2021,30.21,05/02/2021,17,0.6579,0.0000,0.3421,0
SMTO3,13/01/2021,31.85,12/11/2020,12/01/2021,32.08,20/01/2021,5,0.6667,0.0000,0.3333,1
SMTO3,14/01/2021,31.35,13/11/2020,13/01/2021,31.26,21/01/2021,5,0.6667,0.0000,0.3333,0
SMTO3,15/01/2021,31.59,14/11/2020,14/01/2021,30.62,22/01/2021,5,0.6135,0.0000,0.3865,0
SMTO3,16/01/2021,31.08,17/11/2020,15/01/2021,31.26,21/01/2021,3,0.6410,0.0000,0.3590,1
SMTO3,19/01/2021,31.65,18/11/2020,16/01/2021,30.43,27/01/2021,5,0.6154,0.0000,0.3846,0
SMTO3,20/01/2021,32.08,19/11/2020,19/01/2021,30.31,23/01/2021,3,0.6410,0.0000,0.3590,0
SMTO3,21/01/2021,31.26,20/11/2020,20/01/2021,30.43,27/01/2021,3,0.6410,0.0000,0.3590,0
SMTO3,22/01/2021,30.62,21/11/2020,21/01/2021,29.79,30/01/2021,5,0.5902,0.0000,0.4098,0
SMTO3,23/01/2021,30.31,24/11/2020,22/01/2021,30.4,29/01/2021,3,0.5640,0.0000,0.4360,1
SMTO3,27/01/2021,30.43,25/11/2020,23/01/2021,30.48,03/02/2021,5,0.5641,0.0000,0.4359,1
SMTO3,28/01/2021,30.01,26/11/2020,27/01/2021,30.4,04/02/2021,5,0.6150,0.0000,0.3850,1
SMTO3,29/01/2021,30.4,27/11/2020,28/01/2021,30.48,03/02/2021,3,0.5640,0.0000,0.4360,1
SMTO3,30/01/2021,29.79,28/11/2020,29/01/2021,30.6,06/02/2021,5,0.6150,0.0000,0.3850,1
SMTO3,02/02/2021,30.84,01/12/2020,30/01/2021,33.36,09/02/2021,5,0.5897,0.0000,0.4103,1
SMTO3,03/02/2021,30.48,02/12/2020,02/02/2021,34.44,13/02/2021,8,0.6377,0.0000,0.3623,1
SMTO3,04/02/2021,30.4,03/12/2020,03/02/2021,34.03,18/02/2021,8,0.6154,0.0000,0.3846,1
SMTO3,05/02/2021,30.21,04/12/2020,04/02/2021,35.28,19/02/2021,8,0.6154,0.0000,0.3846,1
SMTO3,06/02/2021,30.6,05/12/2020,05/02/2021,35.5,20/02/2021,8,0.5926,0.0000,0.4074,1
SMTO3,09/02/2021,33.36,08/12/2020,06/02/2021,33.37,23/02/2021,8,0.6377,0.0000,0.3623,1
SMTO3,10/02/2021,32.7,09/12/2020,09/02/2021,33.41,24/02/2021,8,0.6410,0.0000,0.3590,1
SMTO3,11/02/2021,33.83,10/12/2020,10/02/2021,33.52,25/02/2021,8,0.5926,0.0000,0.4074,0
SMTO3,12/02/2021,35.22,11/12/2020,11/02/2021,31.69,26/02/2021,8,0.6154,0.0000,0.3846,0
SMTO3,13/02/2021,34.44,12/12/2020,12/02/2021,31.22,27/02/2021,8,0.6154,0.0000,0.3846,0
SMTO3,18/02/2021,34.03,15/12/2020,13/02/2021,30.65,02/03/2021,8,0.5685,0.0000,0.4315,0
SMTO3,19/02/2021,35.28,16/12/2020,18/02/2021,30.21,03/03/2021,8,0.5641,0.0000,0.4359,0
SMTO3,20/02/2021,35.5,17/12/2020,19/02/2021,30.29,04/03/2021,8,0.5897,0.0000,0.4103,0
SMTO3,23/02/2021,33.37,18/12/2020,20/02/2021,31.16,05/03/2021,8,0.5897,0.0000,0.4103,0
SMTO3,24/02/2021,33.41,19/12/2020,23/02/2021,31.99,06/03/2021,8,0.5641,0.0000,0.4359,0
SMTO3,25/02/2021,33.52,22/12/2020,24/02/2021,29.96,09/03/2021,8,0.5897,0.0000,0.4103,0
SMTO3,26/02/2021,31.69,23/12/2020,25/02/2021,30.15,10/03/2021,8,0.6126,0.0000,0.3874,0
SMTO3,27/02/2021,31.22,24/12/2020,26/02/2021,29.82,11/03/2021,8,0.5665,0.0000,0.4335,0
SMTO3,02/03/2021,30.65,29/12/2020,27/02/2021,29.91,12/03/2021,8,0.5405,0.0000,0.4595,0
SMTO3,03/03/2021,30.21,30/12/2020,02/03/2021,30.15,10/03/2021,5,0.5147,0.0000,0.4853,-1
