Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
SULA11,05/01/2021,42.7,04/11/2020,31/12/2020,42.17,12/01/2021,5,0.4865,0.0000,0.5135,-1
SULA11,06/01/2021,42.5,05/11/2020,05/01/2021,42.29,13/01/2021,5,0.4609,0.0000,0.5391,1
SULA11,07/01/2021,41.01,06/11/2020,06/01/2021,42.8,14/01/2021,5,0.4355,0.0000,0.5645,0
SULA11,08/01/2021,41.3,07/11/2020,07/01/2021,42.9,15/01/2021,5,0.4359,0.0000,0.5641,0
SULA11,09/01/2021,42.7,10/11/2020,08/01/2021,40.9,21/01/2021,8,0.4615,0.0000,0.5385,1
SULA11,12/01/2021,42.17,11/11/2020,09/01/2021,40.45,22/01/2021,8,0.4909,0.0000,0.5091,-1
SULA11,13/01/2021,42.29,12/11/2020,12/01/2021,41.39,20/01/2021,5,0.4615,0.0000,0.5385,1
SULA11,14/01/2021,42.8,13/11/2020,13/01/2021,40.9,21/01/2021,5,0.4872,0.0000,0.5128,-1
SULA11,15/01/2021,42.9,14/11/2020,14/01/2021,40.45,22/01/2021,5,0.4872,0.0000,0.5128,-1
SULA11,16/01/2021,41.87,17/11/2020,15/01/2021,39.94,23/01/2021,5,0.4872,0.0000,0.5128,-1
SULA11,19/01/2021,41.78,18/11/2020,16/01/2021,40.05,27/01/2021,5,0.4615,0.0000,0.5385,1
SULA11,20/01/2021,41.39,19/11/2020,19/01/2021,39.51,02/02/2021,8,0.4324,0.0000,0.5676,1
SULA11,21/01/2021,40.9,20/11/2020,20/01/2021,39.8,03/02/2021,8,0.4072,0.0000,0.5928,1
SULA11,22/01/2021,40.45,21/11/2020,21/01/2021,40.4,04/02/2021,8,0.4103,0.0000,0.5897,1
SULA11,23/01/2021,39.94,24/11/2020,22/01/2021,39.58,05/02/2021,8,0.3784,0.0000,0.6216,1
SULA11,27/01/2021,40.05,25/11/2020,23/01/2021,40.18,06/02/2021,8,0.3535,0.0000,0.6465,0
SULA11,28/01/2021,39.93,26/11/2020,27/01/2021,39.67,09/02/2021,8,0.3846,0.0000,0.6154,1
SULA11,29/01/2021,41.38,27/11/2020,28/01/2021,38.99,10/02/2021,8,0.3590,0.0000,0.6410,1
SULA11,30/01/2021,39.91,28/11/2020,29/01/2021,40.18,06/02/2021,5,0.4128,0.0000,0.5872,0
SULA11,02/02/2021,39.51,01/12/2020,30/01/2021,38.55,12/02/2021,8,0.3571,0.0000,0.6429,1
SULA11,03/02/2021,39.8,02/12/2020,02/02/2021,38.99,10/02/2021,5,0.3323,0.0000,0.6677,1
SULA11,04/02/2021,40.4,03/12/2020,03/02/2021,38.52,11/02/2021,5,0.3865,0.0000,0.6135,1
SULA11,05/02/2021,39.58,04/12/2020,04/02/2021,38.55,12/02/2021,5,0.4128,0.0000,0.5872,1
SULA11,06/02/2021,40.18,05/12/2020,05/02/2021,38.18,13/02/2021,5,0.3846,0.0000,0.6154,1
SULA11,09/02/2021,39.67,08/12/2020,06/02/2021,38.55,12/02/2021,3,0.4360,0.0000,0.5640,1
SULA11,10/02/2021,38.99,09/12/2020,09/02/2021,37.52,19/02/2021,5,0.4103,0.0000,0.5897,1
SULA11,11/02/2021,38.52,10/12/2020,10/02/2021,36.94,20/02/2021,5,0.3850,0.0000,0.6150,1
SULA11,12/02/2021,38.55,11/12/2020,11/02/2021,36.45,23/02/2021,5,0.3600,0.0000,0.6400,1
SULA11,13/02/2021,38.18,12/12/2020,12/02/2021,35.88,24/02/2021,5,0.4098,0.0000,0.5902,1
SULA11,18/02/2021,38.25,15/12/2020,13/02/2021,36.35,25/02/2021,5,0.3846,0.0000,0.6154,1
SULA11,19/02/2021,37.52,16/12/2020,18/02/2021,34.78,26/02/2021,5,0.4103,0.0000,0.5897,1
SULA11,20/02/2021,36.94,17/12/2020,19/02/2021,33.03,27/02/2021,5,0.3846,0.0000,0.6154,1
SULA11,23/02/2021,36.45,18/12/2020,20/02/2021,32.78,02/03/2021,5,0.3846,0.0000,0.6154,1
SULA11,24/02/2021,35.88,19/12/2020,23/02/2021,32.8,03/03/2021,5,0.3846,0.0000,0.6154,1
SULA11,25/02/2021,36.35,22/12/2020,24/02/2021,32.61,04/03/2021,5,0.3600,0.0000,0.6400,1
SULA11,26/02/2021,34.78,23/12/2020,25/02/2021,32.7,05/03/2021,5,0.4098,0.0000,0.5902,1
SULA11,27/02/2021,33.03,24/12/2020,26/02/2021,33.55,06/03/2021,5,0.3600,0.0000,0.6400,0
SULA11,02/03/2021,32.78,29/12/2020,27/02/2021,31.79,09/03/2021,5,0.3351,0.0000,0.6649,1
SULA11,03/03/2021,32.8,30/12/2020,02/03/2021,31.42,10/03/2021,5,0.3333,0.0000,0.6667,1
SULA11,04/03/2021,32.61,31/12/2020,03/03/2021,31.85,11/03/2021,5,0.3836,0.0000,0.6164,1
SULA11,05/03/2021,32.7,05/01/2021,04/03/2021,32.61,17/03/2021,8,0.3590,0.0000,0.6410,1
SULA11,06/03/2021,33.55,06/01/2021,05/03/2021,35.83,18/03/2021,8,0.4074,0.0000,0.5926,0
SULA11,09/03/2021,31.79,07/01/2021,06/03/2021,32.7,16/03/2021,5,0.4103,0.0000,0.5897,0
SULA11,10/03/2021,31.42,08/01/2021,09/03/2021,39.55,20/03/2021,8,0.3623,0.0000,0.6377,0
SULA11,11/03/2021,31.85,09/01/2021,10/03/2021,39.32,23/03/2021,8,0.3590,0.0000,0.6410,0
SULA11,12/03/2021,31.94,12/01/2021,11/03/2021,36.38,19/03/2021,5,0.3846,0.0000,0.6154,0
SULA11,13/03/2021,31.75,13/01/2021,12/03/2021,39.55,20/03/2021,5,0.3846,0.0000,0.6154,0
SULA11,16/03/2021,32.7,14/01/2021,13/03/2021,34.17,01/04/2021,12,0.3373,0.0000,0.6627,0
SULA11,17/03/2021,32.61,15/01/2021,16/03/2021,36.35,27/03/2021,8,0.3812,0.0000,0.6188,0
SULA11,18/03/2021,35.83,16/01/2021,17/03/2021,35.33,30/03/2021,8,0.3590,0.0000,0.6410,1
SULA11,19/03/2021,36.38,19/01/2021,18/03/2021,35.16,31/03/2021,8,0.4054,0.0000,0.5946,1
SULA11,20/03/2021,39.55,20/01/2021,19/03/2021,34.17,01/04/2021,8,0.4315,0.0000,0.5685,1
SULA11,23/03/2021,39.32,21/01/2021,20/03/2021,33.39,02/04/2021,8,0.4574,0.0000,0.5426,1
SULA11,24/03/2021,39.47,22/01/2021,23/03/2021,33.49,06/04/2021,8,0.4359,0.0000,0.5641,1
SULA11,25/03/2021,37.98,23/01/2021,24/03/2021,34.92,07/04/2021,8,0.4615,0.0000,0.5385,1
SULA11,26/03/2021,36.91,27/01/2021,25/03/2021,34.77,08/04/2021,8,0.4359,0.0000,0.5641,1
SULA11,27/03/2021,36.35,28/01/2021,26/03/2021,34.24,09/04/2021,8,0.4146,0.0000,0.5854,1
SULA11,30/03/2021,35.33,29/01/2021,27/03/2021,33.94,10/04/2021,8,0.4103,0.0000,0.5897,1
SULA11,31/03/2021,35.16,30/01/2021,30/03/2021,33.68,13/04/2021,8,0.4103,0.0000,0.5897,1
SULA11,01/04/2021,34.17,02/02/2021,31/03/2021,33.76,14/04/2021,8,0.3874,0.0000,0.6126,1
SULA11,02/04/2021,33.39,03/02/2021,01/04/2021,32.6,15/04/2021,8,0.3623,0.0000,0.6377,1
SULA11,06/04/2021,33.49,04/02/2021,02/04/2021,31.96,16/04/2021,8,0.3590,0.0000,0.6410,1
SULA11,07/04/2021,34.92,05/02/2021,06/04/2021,33.76,14/04/2021,5,0.3846,0.0000,0.6154,1
SULA11,08/04/2021,34.77,06/02/2021,07/04/2021,32.6,15/04/2021,5,0.4098,0.0000,0.5902,1
SULA11,09/04/2021,34.24,09/02/2021,08/04/2021,31.96,16/04/2021,5,0.3846,0.0000,0.6154,1
SULA11,10/04/2021,33.94,10/02/2021,09/04/2021,32.28,17/04/2021,5,0.3846,0.0000,0.6154,1
SULA11,13/04/2021,33.68,11/02/2021,10/04/2021,32.5,20/04/2021,5,0.3600,0.0000,0.6400,1
SULA11,14/04/2021,33.76,12/02/2021,13/04/2021,32.28,17/04/2021,3,0.3590,0.0000,0.6410,1
SULA11,15/04/2021,32.6,13/02/2021,14/04/2021,32.13,23/04/2021,5,0.3846,0.0000,0.6154,1
SULA11,16/04/2021,31.96,18/02/2021,15/04/2021,32.65,21/04/2021,3,0.3590,0.0000,0.6410,0
SULA11,17/04/2021,32.28,19/02/2021,16/04/2021,32.13,23/04/2021,3,0.3590,0.0000,0.6410,1
SULA11,20/04/2021,32.5,20/02/2021,17/04/2021,32.65,28/04/2021,5,0.4098,0.0000,0.5902,0
SULA11,21/04/2021,32.65,23/02/2021,20/04/2021,33.4,27/04/2021,3,0.4360,0.0000,0.5640,0
SULA11,23/04/2021,32.13,24/02/2021,21/04/2021,33.39,30/04/2021,5,0.4359,0.0000,0.5641,0
SULA11,24/04/2021,33.27,25/02/2021,23/04/2021,32.71,01/05/2021,5,0.4103,0.0000,0.5897,1
SULA11,27/04/2021,33.4,26/02/2021,24/04/2021,33.15,04/05/2021,5,0.4620,0.0000,0.5380,1
SULA11,28/04/2021,32.65,27/02/2021,27/04/2021,32.92,05/05/2021,5,0.4878,0.0000,0.5122,-1
SULA11,29/04/2021,32.91,02/03/2021,28/04/2021,33.95,06/05/2021,5,0.4355,0.0000,0.5645,0
SULA11,30/04/2021,33.39,03/03/2021,29/04/2021,33.83,07/05/2021,5,0.4878,0.0000,0.5122,-1
SULA11,01/05/2021,32.71,04/03/2021,30/04/2021,34.59,08/05/2021,5,0.4872,0.0000,0.5128,-1
SULA11,04/05/2021,33.15,05/03/2021,01/05/2021,33.91,11/05/2021,5,0.4355,0.0000,0.5645,0
SULA11,05/05/2021,32.92,06/03/2021,04/05/2021,34.58,12/05/2021,5,0.4878,0.0000,0.5122,-1
SULA11,06/05/2021,33.95,09/03/2021,05/05/2021,33,13/05/2021,5,0.4615,0.0000,0.5385,1
SULA11,07/05/2021,33.83,10/03/2021,06/05/2021,33,14/05/2021,5,0.4872,0.0000,0.5128,-1
SULA11,08/05/2021,34.59,11/03/2021,07/05/2021,33.24,15/05/2021,5,0.4380,0.0000,0.5620,1
SULA11,11/05/2021,33.91,12/03/2021,08/05/2021,32.77,18/05/2021,5,0.4853,0.0000,0.5147,-1
SULA11,12/05/2021,34.58,13/03/2021,11/05/2021,31.99,19/05/2021,5,0.4380,0.0000,0.5620,1
SULA11,13/05/2021,33,16/03/2021,12/05/2021,31.8,20/05/2021,5,0.4853,0.0000,0.5147,-1
SULA11,14/05/2021,33,17/03/2021,13/05/2021,32.02,21/05/2021,5,0.4380,0.0000,0.5620,1
SULA11,15/05/2021,33.24,18/03/2021,14/05/2021,33.9,10/06/2021,17,0.4250,0.0500,0.5250,0
SULA11,18/05/2021,32.77,19/03/2021,15/05/2021,34.01,28/05/2021,8,0.4359,0.0256,0.5385,0
SULA11,19/05/2021,31.99,20/03/2021,18/05/2021,34.8,29/05/2021,8,0.3990,0.0261,0.5748,0
SULA11,20/05/2021,31.8,23/03/2021,19/05/2021,34.68,01/06/2021,8,0.3874,0.0266,0.5860,0
SULA11,21/05/2021,32.02,24/03/2021,20/05/2021,34.01,28/05/2021,5,0.3725,0.0261,0.6013,0
SULA11,22/05/2021,31.55,25/03/2021,21/05/2021,34.8,29/05/2021,5,0.4221,0.0251,0.5528,0
SULA11,25/05/2021,32,26/03/2021,22/05/2021,33.73,05/06/2021,8,0.3990,0.0261,0.5748,0
SULA11,26/05/2021,32.09,27/03/2021,25/05/2021,33.9,08/06/2021,8,0.4469,0.0251,0.5280,0
SULA11,27/05/2021,32.8,30/03/2021,26/05/2021,33.58,09/06/2021,8,0.4726,0.0251,0.5023,-1
SULA11,28/05/2021,34.01,31/03/2021,27/05/2021,33.9,10/06/2021,8,0.4983,0.0251,0.4766,-1
SULA11,29/05/2021,34.8,01/04/2021,28/05/2021,34.45,11/06/2021,8,0.5239,0.0251,0.4510,0
SULA11,01/06/2021,34.68,02/04/2021,29/05/2021,33.87,12/06/2021,8,0.5385,0.0256,0.4359,0
