Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
TRPL4,05/01/2021,27.74,04/11/2020,31/12/2020,27.49,12/01/2021,5,0.6135,0.0000,0.3865,0
TRPL4,06/01/2021,27.56,05/11/2020,05/01/2021,28.13,16/01/2021,8,0.6154,0.0000,0.3846,1
TRPL4,07/01/2021,27.32,06/11/2020,06/01/2021,28.07,19/01/2021,8,0.5833,0.0000,0.4167,1
TRPL4,08/01/2021,26.91,07/11/2020,07/01/2021,27.97,20/01/2021,8,0.5571,0.0000,0.4429,1
TRPL4,09/01/2021,27.98,10/11/2020,08/01/2021,27.53,21/01/2021,8,0.5310,0.0000,0.4690,0
TRPL4,12/01/2021,27.49,11/11/2020,09/01/2021,27.31,22/01/2021,8,0.5966,0.0000,0.4034,0
TRPL4,13/01/2021,28.2,12/11/2020,12/01/2021,27.1,23/01/2021,8,0.5641,0.0000,0.4359,0
TRPL4,14/01/2021,28.26,13/11/2020,13/01/2021,26.92,27/01/2021,8,0.5897,0.0000,0.4103,0
TRPL4,15/01/2021,28.24,14/11/2020,14/01/2021,27.02,28/01/2021,8,0.5897,0.0000,0.4103,0
TRPL4,16/01/2021,28.13,17/11/2020,15/01/2021,26.93,29/01/2021,8,0.5641,0.0000,0.4359,0
TRPL4,19/01/2021,28.07,18/11/2020,16/01/2021,26.35,30/01/2021,8,0.5641,0.0000,0.4359,0
TRPL4,20/01/2021,27.97,19/11/2020,19/01/2021,26.66,02/02/2021,8,0.5310,0.0000,0.4690,0
TRPL4,21/01/2021,27.53,20/11/2020,20/01/2021,25.97,09/02/2021,12,0.5385,0.0000,0.4615,0
TRPL4,22/01/2021,27.31,21/11/2020,21/01/2021,25.77,10/02/2021,12,0.5000,0.0000,0.5000,-1
TRPL4,23/01/2021,27.1,24/11/2020,22/01/2021,25.54,11/02/2021,12,0.4743,0.0000,0.5257,1
TRPL4,27/01/2021,26.92,25/11/2020,23/01/2021,25.35,12/02/2021,12,0.4488,0.0000,0.5512,1
TRPL4,28/01/2021,27.02,26/11/2020,27/01/2021,25.25,13/02/2021,12,0.4235,0.0000,0.5765,1
TRPL4,29/01/2021,26.93,27/11/2020,28/01/2021,24.85,18/02/2021,12,0.4615,0.0000,0.5385,1
TRPL4,30/01/2021,26.35,28/11/2020,29/01/2021,25.54,11/02/2021,8,0.4034,0.0000,0.5966,1
TRPL4,02/02/2021,26.66,01/12/2020,30/01/2021,24.99,20/02/2021,12,0.4103,0.0000,0.5897,1
TRPL4,03/02/2021,26.34,02/12/2020,02/02/2021,25.25,13/02/2021,8,0.4690,0.0000,0.5310,1
TRPL4,04/02/2021,26.51,03/12/2020,03/02/2021,24.85,18/02/2021,8,0.4034,0.0000,0.5966,1
TRPL4,05/02/2021,26.03,04/12/2020,04/02/2021,25,19/02/2021,8,0.4359,0.0000,0.5641,1
TRPL4,06/02/2021,26.07,05/12/2020,05/02/2021,25.25,13/02/2021,5,0.3821,0.0000,0.6179,1
TRPL4,09/02/2021,25.97,08/12/2020,06/02/2021,24.85,18/02/2021,5,0.4390,0.0000,0.5610,1
TRPL4,10/02/2021,25.77,09/12/2020,09/02/2021,25,19/02/2021,5,0.3821,0.0000,0.6179,1
TRPL4,11/02/2021,25.54,10/12/2020,10/02/2021,26.19,25/02/2021,8,0.3571,0.0000,0.6429,0
TRPL4,12/02/2021,25.35,11/12/2020,11/02/2021,24.17,23/02/2021,5,0.3323,0.0000,0.6677,1
TRPL4,13/02/2021,25.25,12/12/2020,12/02/2021,25,19/02/2021,2,0.3077,0.0000,0.6923,1
TRPL4,18/02/2021,24.85,15/12/2020,13/02/2021,26.19,25/02/2021,5,0.3077,0.0000,0.6923,0
TRPL4,19/02/2021,25,16/12/2020,18/02/2021,25.82,26/02/2021,5,0.2800,0.0000,0.7200,0
TRPL4,20/02/2021,24.99,17/12/2020,19/02/2021,23.84,04/03/2021,8,0.3368,0.0000,0.6632,1
TRPL4,23/02/2021,24.17,18/12/2020,20/02/2021,23.52,02/03/2021,5,0.3077,0.0000,0.6923,1
TRPL4,24/02/2021,25.65,19/12/2020,23/02/2021,23.72,03/03/2021,5,0.3077,0.0000,0.6923,1
